date,close,volume,open,high,low
2025-03-13,96.09,1087683,98.1,98.59,95.835
2025-03-12,98.23,1221453,98.5,99.449,96.73
2025-03-11,97.49,2026020,101.88,102.54,97.32
2025-03-10,101.32,1625594,102.68,103.74,100.31
2025-03-07,104.32,1294515,103.43,104.45,101.38
2025-03-06,103.83,1446498,104.12,105.23,102.4
2025-03-05,105.37,1279204,103.94,105.81,103.27
2025-03-04,104.37,1785236,109.16,109.16,103.13
2025-03-03,109.4,1223260,110.97,111.92,108.62
2025-02-28,110.22,1780738,109.73,110.46,108.34
2025-02-27,109.12,1333042,109.82,111.01,108.84
2025-02-26,109.395,1278082,110.75,112.1,109.23
2025-02-25,110.76,1307679,113.48,113.76,110.09
2025-02-24,112.82,1064401,113.93,114.26,112.065
2025-02-21,112.97,1006850,113.94,114.18,112.14
2025-02-20,113.53,1945587,114.04,114.19,111.75
2025-02-19,113.75,1193628,112.8,113.99,112.235
2025-02-18,113.81,1434124,111.17,114.215,111.17
2025-02-14,110.77,1440589,111.67,112.61,110.43
2025-02-13,111.5,702289,110.19,111.55,110.1
2025-02-12,110.1,1211526,109.42,110.18,108.6
2025-02-11,110.42,1809180,110.9,111.12,109.54
2025-02-10,111.0,947399,113.52,113.57,110.87
2025-02-07,113.51,823234,113.83,114.67,113.3
2025-02-06,113.8,842243,114.0,114.035,112.71
2025-02-05,113.22,1202825,111.9,113.58,111.2
2025-02-04,111.38,979714,110.69,111.9,110.69
2025-02-03,110.82,1213690,109.98,111.75,108.89
2025-01-31,112.29,1057367,112.74,113.295,112.12
2025-01-30,112.74,957121,113.45,114.21,112.2
2025-01-29,112.6,1211568,112.26,113.91,112.09
2025-01-28,112.41,1241557,111.18,113.1199,111.03
2025-01-27,111.48,1135676,111.2,111.53,110.13
2025-01-24,110.92,1437823,109.19,111.69,108.04
2025-01-23,109.54,2482073,106.39,111.3,106.02
2025-01-22,107.39,1765426,107.27,107.75,106.48
2025-01-21,107.75,998897,107.43,108.0,106.91
2025-01-17,106.87,913635,106.85,107.43,105.81
2025-01-16,106.49,890716,105.71,106.705,105.23
2025-01-15,106.12,1627347,104.07,106.5,103.94
2025-01-14,101.63,1240259,100.43,101.94,100.22
2025-01-13,100.32,1092483,98.61,100.45,98.42
2025-01-10,99.46,969114,101.0,101.275,99.13
2025-01-08,102.22,1524561,102.57,102.8798,100.8156
2025-01-07,102.75,858071,103.09,103.68,101.755
2025-01-06,103.21,969437,103.82,104.72,102.91
2025-01-03,103.28,900079,103.34,103.47,101.97
2025-01-02,102.99,936109,103.5,104.4587,102.54
2024-12-31,102.5,818292,103.14,103.35,101.95
2024-12-30,102.74,952673,102.36,103.35,101.69
2024-12-27,103.83,641558,103.92,105.0,103.38
2024-12-26,104.66,619842,103.37,104.87,103.0
2024-12-24,103.61,323427,102.9,103.93,102.3
2024-12-23,102.59,673323,101.75,102.7,101.245
2024-12-20,102.48,3497426,99.91,102.73,99.36
2024-12-19,100.51,1473014,101.08,102.26,100.255
2024-12-18,100.14,1267814,104.31,104.98,100.0
2024-12-17,104.71,1112803,105.29,106.035,104.4
2024-12-16,105.56,1455362,105.27,105.89,104.28
2024-12-13,104.98,1990708,105.0,105.54,104.11
2024-12-12,105.39,1567341,105.77,106.44,104.735
2024-12-11,105.15,2428892,109.13,109.42,104.47
2024-12-10,108.15,1132857,108.74,108.99,107.075
2024-12-09,108.6,1594261,108.81,110.17,108.39
2024-12-06,107.92,1633159,109.3,109.735,107.645
2024-12-05,109.94,1112553,108.77,110.6,108.745
2024-12-04,108.77,1147312,109.0,109.46,108.1248
2024-12-03,109.34,1685495,110.94,111.35,109.27
2024-12-02,109.89,987221,111.3,111.48,109.8
2024-11-29,111.16,621275,110.9,111.87,110.64
2024-11-27,110.59,592534,110.89,111.57,110.28
2024-11-26,110.75,958493,110.72,111.19,109.85
2024-11-25,110.53,2603641,110.0,110.99,109.085
2024-11-22,109.46,928391,108.79,109.92,108.65
2024-11-21,108.94,761505,108.84,109.42,107.84
2024-11-20,107.88,761480,108.61,108.61,106.93
2024-11-19,107.84,848838,107.36,108.23,107.13
2024-11-18,108.93,1518253,107.6,109.54,107.4424
2024-11-15,107.6,1955051,106.18,107.87,105.79
