date,close,volume,open,high,low
2025-03-13,7130.75,40245,7299.0,7374.4,7017.64
2025-03-12,7350.48,30289,7375.0,7480.0,7247.39
2025-03-11,7361.22,27607,7521.55,7546.325,7330.94
2025-03-10,7503.42,32719,7401.34,7626.1412,7401.34
2025-03-07,7393.21,33092,7519.09,7551.24,7315.43
2025-03-06,7494.92,32882,7399.0,7557.002,7396.515
2025-03-05,7387.79,35706,7221.04,7416.71,7220.89
2025-03-04,7201.71,27940,7184.98,7283.93,7127.6
2025-03-03,7200.29,24903,7300.0,7333.35,7156.24
2025-02-28,7245.58,38773,7204.98,7250.8,7150.1
2025-02-27,7181.95,23978,7213.0,7275.0,7174.18
2025-02-26,7209.67,29526,7288.87,7316.645,7172.21
2025-02-25,7335.4,25918,7104.14,7394.335,7104.14
2025-02-24,7062.02,23148,7094.8,7110.48,7015.0
2025-02-21,7094.8,34580,7280.0,7280.0,7075.0
2025-02-20,7258.0,19901,7147.03,7263.81,7115.02
2025-02-19,7176.91,40025,7100.24,7202.3,7073.38
2025-02-18,7263.4,40762,7340.0,7347.81,7192.17
2025-02-14,7365.72,21327,7385.0,7450.0,7336.55
2025-02-13,7341.48,25721,7330.0,7361.8199,7297.31
2025-02-12,7300.37,19887,7381.25,7439.85,7278.605
2025-02-11,7494.36,19182,7472.15,7585.38,7455.34
2025-02-10,7518.0,29261,7620.0,7640.89,7475.2
2025-02-07,7558.05,29675,7730.0,7773.91,7515.35
2025-02-06,7739.75,26265,7798.0,7855.18,7729.33
2025-02-05,7790.0,22224,7830.0,7891.59,7768.47
2025-02-04,7788.55,22876,7710.0,7804.72,7666.0
2025-02-03,7737.5,25028,7915.02,7915.02,7712.52
2025-01-31,8016.18,24513,8126.08,8179.95,7992.75
2025-01-30,8140.57,22062,7998.0,8205.765,7998.0
2025-01-29,7965.01,20828,8064.09,8065.02,7961.0752
2025-01-28,8064.09,30007,8474.24,8474.24,8030.31
2025-01-27,8382.63,37694,8265.0,8480.36,8265.0
2025-01-24,8200.56,25284,8350.0,8400.0,8200.56
2025-01-23,8345.35,16141,8334.17,8411.61,8276.9
2025-01-22,8381.5,21869,8296.6,8392.645,8286.0
2025-01-21,8347.05,28429,8459.48,8602.13,8304.7701
2025-01-17,8362.86,56741,8500.0,8500.05,8340.8
2025-01-16,8355.81,31693,8226.46,8372.635,8164.63
2025-01-15,8259.08,21978,8341.15,8387.9999,8225.0
2025-01-14,8143.64,23919,8083.6,8174.11,8063.5
2025-01-13,7962.0,27212,7814.0,7992.97,7814.0
2025-01-10,7845.22,25827,7918.69,7918.69,7802.43
2025-01-08,8005.95,29320,7902.0,8060.4999,7833.0
2025-01-07,7897.0,27226,8010.6,8059.95,7866.87
2025-01-06,7988.67,47144,8119.54,8226.05,7907.49
2025-01-03,8070.6,18044,8000.0,8164.9,8000.0
2025-01-02,7989.89,27571,8222.2,8255.5,7920.245
2024-12-31,8178.9,18135,8218.82,8245.55,8160.0
2024-12-30,8176.46,22329,8178.0,8207.5,8086.58
