date,close,volume,open,high,low
2025-03-13,1289.49,326488,1301.78,1311.475,1283.28
2025-03-12,1309.29,319185,1320.46,1322.945,1295.97
2025-03-11,1324.06,403483,1346.58,1356.7691,1312.78
2025-03-10,1346.58,465047,1320.58,1352.37,1320.58
2025-03-07,1319.01,366269,1336.33,1336.33,1291.42
2025-03-06,1331.06,445456,1335.59,1350.69,1320.0052
2025-03-05,1339.67,417262,1348.11,1364.21,1332.81
2025-03-04,1356.77,479207,1376.01,1389.05,1353.54
2025-03-03,1375.99,455249,1382.15,1386.36,1365.98
2025-02-28,1373.64,366054,1361.85,1378.76,1351.74
2025-02-27,1353.46,408065,1335.0,1359.185,1334.38
2025-02-26,1330.42,318558,1345.5,1346.77,1323.43
2025-02-25,1346.58,409158,1320.98,1348.99,1320.005
2025-02-24,1314.91,375124,1311.61,1316.065,1305.445
2025-02-21,1303.41,275109,1314.29,1314.29,1297.87
2025-02-20,1312.44,278212,1295.16,1312.85,1293.08
2025-02-19,1295.8,233022,1294.1,1302.49,1292.75
2025-02-18,1295.82,377947,1312.08,1312.08,1285.16
2025-02-14,1318.8,344571,1340.66,1340.66,1317.79
2025-02-13,1335.68,249942,1331.68,1340.89,1326.515
2025-02-12,1324.3,205508,1318.175,1329.26,1310.13
2025-02-11,1323.94,391453,1311.73,1324.99,1300.098
2025-02-10,1310.02,265891,1318.71,1326.83,1307.07
2025-02-07,1316.75,348136,1326.02,1350.0,1314.7
2025-02-06,1330.74,427569,1336.88,1347.97,1313.18
2025-02-05,1348.24,528099,1341.4,1350.27,1335.43
2025-02-04,1334.19,387661,1293.41,1336.63,1293.41
2025-02-03,1316.06,439111,1297.5,1317.995,1291.1
2025-01-31,1294.42,370860,1306.18,1310.25,1292.12
2025-01-30,1310.16,306166,1301.87,1311.78,1297.5
2025-01-29,1288.08,330688,1275.67,1291.145,1275.67
2025-01-28,1278.34,354796,1289.35,1289.925,1264.415
2025-01-27,1282.53,431799,1249.64,1285.9,1249.64
2025-01-24,1254.0,239539,1259.53,1261.19,1243.55
2025-01-23,1261.62,305117,1239.29,1262.36,1239.29
2025-01-22,1241.33,449759,1238.13,1249.31,1231.67
2025-01-21,1241.08,369239,1230.58,1257.3373,1230.58
2025-01-17,1216.79,278679,1227.97,1227.97,1210.98
2025-01-16,1204.72,199045,1204.04,1206.595,1195.53
2025-01-15,1204.04,282476,1207.97,1217.04,1202.985
2025-01-14,1204.33,244814,1210.14,1220.4792,1198.7
2025-01-13,1210.14,353788,1195.04,1215.025,1193.77
2025-01-10,1197.6,308264,1196.04,1207.95,1195.36
2025-01-08,1205.74,255440,1199.89,1209.16,1196.15
2025-01-07,1199.72,506300,1216.33,1216.975,1195.42
2025-01-06,1210.47,301136,1197.64,1223.0602,1196.32
2025-01-03,1204.22,315352,1186.23,1210.09,1183.34
2025-01-02,1187.71,281535,1184.15,1194.945,1182.38
2024-12-31,1185.8,291022,1185.72,1191.4699,1180.62
2024-12-30,1179.92,371579,1195.28,1195.28,1174.5001
2024-12-27,1197.35,217124,1195.97,1210.31,1192.31
2024-12-26,1206.78,266591,1211.98,1224.1549,1206.21
2024-12-24,1221.65,147117,1206.53,1231.7973,1206.53
2024-12-23,1207.26,309297,1210.23,1210.345,1195.55
2024-12-20,1219.11,861253,1204.04,1229.635,1202.74
2024-12-19,1214.39,402301,1225.14,1234.5,1212.98
2024-12-18,1225.14,328582,1242.09,1250.75,1224.22
2024-12-17,1246.08,493744,1268.86,1274.5,1242.15
2024-12-16,1268.86,373564,1268.01,1283.965,1266.98
2024-12-13,1270.6,203097,1268.83,1281.95,1264.145
2024-12-12,1269.72,230994,1270.3,1273.875,1254.2
2024-12-11,1269.01,274390,1266.35,1275.8,1261.925
2024-12-10,1266.35,320534,1255.85,1273.595,1251.865
2024-12-09,1254.9,312574,1258.66,1265.52,1240.23
2024-12-06,1257.78,317164,1243.1,1260.04,1241.02
2024-12-05,1234.81,274865,1239.49,1245.73,1226.78
2024-12-04,1242.92,257110,1241.41,1253.06,1239.49
2024-12-03,1247.99,263584,1250.5,1252.5,1237.63
2024-12-02,1246.82,424382,1243.22,1255.4,1240.36
2024-11-29,1243.22,149426,1239.67,1251.6,1239.67
2024-11-27,1244.01,214889,1246.0,1249.86,1235.91
2024-11-26,1244.22,375076,1231.36,1245.54,1223.04
2024-11-25,1238.76,521913,1239.92,1253.02,1234.2
2024-11-22,1227.37,338577,1216.79,1228.81,1213.98
2024-11-21,1204.74,344179,1206.43,1206.43,1185.12
2024-11-20,1188.87,405947,1200.59,1202.49,1181.4496
2024-11-19,1200.59,332504,1212.81,1213.2199,1197.58
2024-11-18,1216.67,397078,1207.36,1222.16,1207.36
2024-11-15,1213.37,437650,1226.7,1228.79,1210.6
2024-11-14,1224.4,414451,1240.25,1255.3,1220.76
2024-11-13,1238.78,287444,1233.5,1252.535,1233.5
2024-11-12,1236.85,298381,1234.92,1244.5,1228.25
2024-11-11,1228.52,366216,1228.56,1241.29,1224.07
2024-11-08,1217.7,313310,1228.04,1233.795,1216.765
2024-11-07,1214.51,414682,1231.93,1231.93,1213.17
2024-11-06,1234.15,563468,1194.74,1239.6531,1191.305
2024-11-05,1162.33,260386,1157.56,1166.32,1153.72
2024-11-04,1157.56,358092,1151.69,1165.16,1151.27
2024-11-01,1146.59,496806,1146.44,1162.979,1143.29
2024-10-31,1153.14,473524,1161.0,1168.8,1151.05
2024-10-30,1162.21,328995,1171.37,1185.2019,1157.97
2024-10-29,1175.9,470621,1195.55,1195.6332,1175.53
2024-10-28,1197.11,356050,1199.87,1206.53,1192.23
2024-10-25,1195.22,238279,1208.26,1215.75,1193.69
2024-10-24,1199.77,430628,1181.9,1218.5,1175.4
2024-10-23,1199.25,494769,1195.4,1208.1,1195.4
2024-10-22,1205.38,293296,1199.35,1211.95,1194.0
2024-10-21,1219.01,267791,1214.46,1221.18,1208.9401
2024-10-18,1210.96,227202,1208.79,1218.14,1203.845
