date,close,volume,open,high,low
2025-03-13,292.89,700261,300.24,303.805,292.13
2025-03-12,303.45,834538,306.83,308.72,302.0
2025-03-11,308.21,1057684,313.87,314.31,305.83
2025-03-10,313.6,1060473,314.27,322.49,313.27
2025-03-07,313.98,895185,309.05,315.235,308.01
2025-03-06,308.43,868813,309.99,311.14,303.21
2025-03-05,311.3,680271,302.92,311.88,302.82
2025-03-04,306.05,1317844,312.85,318.535,305.19
2025-03-03,311.04,789798,304.11,311.08,302.385
2025-02-28,303.62,1074735,306.79,308.53,298.96
2025-02-27,305.7,749221,304.58,309.14,303.16
2025-02-26,304.3,933231,308.93,309.59,301.11
2025-02-25,308.6,1398469,310.45,312.67,301.36
2025-02-24,303.35,1064535,303.33,306.7719,300.27
2025-02-21,304.19,593161,303.97,304.8,300.38
2025-02-20,304.06,433192,297.37,304.58,295.42
2025-02-19,297.43,474706,296.1,298.06,295.075
2025-02-18,297.0,556619,296.16,299.49,295.4
2025-02-14,297.4,398818,302.61,303.81,297.33
2025-02-13,301.24,363623,300.91,302.61,299.8616
2025-02-12,300.11,386764,299.32,301.595,297.95
2025-02-11,305.34,333803,302.3,305.43,302.02
2025-02-10,303.62,436005,303.34,304.5,300.28
2025-02-07,302.61,420569,302.9,304.54,300.46
2025-02-06,302.88,471374,303.6,304.175,301.08
2025-02-05,302.15,556567,300.76,303.14,297.55
2025-02-04,296.74,630687,292.85,297.33,292.6063
2025-02-03,295.91,838204,297.07,298.41,292.0
2025-01-31,298.48,734454,296.9,302.25,296.4436
2025-01-30,298.05,806421,299.0,303.2775,294.87
2025-01-29,294.26,643341,296.73,299.02,292.2758
2025-01-28,297.48,726127,296.25,297.94,293.58
2025-01-27,297.32,1305821,294.94,301.53,293.56
2025-01-24,292.19,637550,291.09,294.4,291.0
2025-01-23,291.59,905125,291.77,292.4723,288.085
2025-01-22,290.75,596093,295.13,296.27,290.37
2025-01-21,297.04,653869,297.03,302.26,296.5
2025-01-17,296.07,587338,297.77,299.1263,296.01
2025-01-16,297.7,388617,290.94,298.72,289.445
2025-01-15,290.49,782692,298.0,299.58,288.9
2025-01-14,289.98,958592,291.91,292.7,289.34
2025-01-13,290.24,709478,288.92,290.455,286.91
2025-01-10,288.99,883144,291.29,293.11,287.52
2025-01-08,295.46,584877,296.75,298.43,292.225
2025-01-07,298.2,789533,298.0,300.04,295.42
2025-01-06,295.83,597678,299.05,300.3128,295.135
2025-01-03,300.45,489441,296.1,301.02,296.015
2025-01-02,296.58,707292,299.0,299.5,294.615
2024-12-31,299.44,813136,297.94,299.535,295.905
2024-12-30,295.81,549680,296.94,296.94,292.58
2024-12-27,298.1,388305,299.05,301.84,297.52
2024-12-26,301.32,377714,298.6,302.0,297.27
2024-12-24,300.8,296323,297.2,301.73,296.24
2024-12-23,298.82,751899,296.5,299.285,294.38
2024-12-20,297.5,2224870,291.44,302.95,290.6275
2024-12-19,289.33,1045004,298.85,302.35,288.67
2024-12-18,299.88,867000,311.71,313.36,299.4
2024-12-17,313.36,1234656,312.49,318.0,310.73
2024-12-16,315.2,753895,317.34,319.42,314.4
2024-12-13,317.62,566822,316.31,320.72,316.26
2024-12-12,320.79,650167,324.55,326.7,320.73
2024-12-11,323.34,923361,327.82,329.7753,322.5
2024-12-10,327.99,852998,334.23,334.23,326.36
2024-12-09,335.57,570631,333.68,336.8,332.91
2024-12-06,334.0,1013532,333.71,334.565,331.715
2024-12-05,332.67,568689,333.63,334.665,331.32
2024-12-04,334.61,468970,334.91,335.59,332.01
2024-12-03,336.09,483756,345.1,345.1,335.45
2024-12-02,344.07,709947,346.91,349.08,341.45
2024-11-29,348.05,690998,350.79,352.66,347.46
2024-11-27,351.36,499452,352.87,355.87,351.31
2024-11-26,350.04,650865,347.08,351.67,344.21
2024-11-25,347.83,1359573,341.31,352.86,339.47
2024-11-22,337.58,508842,338.21,338.715,335.92
2024-11-21,335.85,481453,331.6,339.06,330.63
2024-11-20,332.86,531218,333.0,333.82,329.13
2024-11-19,334.45,666666,338.16,338.565,333.72
2024-11-18,337.29,533071,333.82,338.17,331.95
2024-11-15,335.01,599460,330.07,336.11,329.7401
2024-11-14,331.79,681413,333.63,335.16,330.65
2024-11-13,334.94,760248,335.13,336.84,332.06
2024-11-12,330.24,917179,335.0,336.125,329.525
2024-11-11,336.9,750721,336.86,340.625,335.7
2024-11-08,339.42,611198,334.75,341.78,333.61
2024-11-07,333.13,1040704,325.87,334.21,324.86
2024-11-06,325.31,1542723,335.37,337.2,317.11
2024-11-05,340.6,629482,331.22,340.7709,328.7
2024-11-04,332.56,840325,326.62,332.58,324.85
2024-11-01,323.66,1058437,330.12,330.67,322.87
2024-10-31,329.06,1371320,329.0,338.69,324.8922
2024-10-30,335.83,1167835,331.63,336.36,331.52
2024-10-29,331.26,679199,335.13,336.74,330.84
2024-10-28,336.61,465451,338.43,340.79,334.66
2024-10-25,336.34,554724,338.98,339.73,334.81
2024-10-24,338.41,321489,339.86,341.85,338.08
2024-10-23,339.77,711265,334.56,342.5,334.02
2024-10-22,334.92,543349,332.14,336.21,331.13
2024-10-21,331.85,818111,343.93,344.6656,331.01
2024-10-18,345.62,368942,347.02,347.43,344.52
2024-10-17,345.4,641982,346.68,346.91,343.705
2024-10-16,347.64,443977,344.86,349.43,344.86
2024-10-15,344.99,617465,346.05,350.54,344.15
2024-10-14,343.72,440119,341.5,345.47,341.115
2024-10-11,342.83,445123,343.95,344.95,341.59
2024-10-10,342.07,641349,347.01,348.38,341.03
2024-10-09,347.96,415242,347.94,348.51,344.6297
2024-10-08,347.94,539450,348.97,349.14,345.65
2024-10-07,346.71,574970,343.77,347.08,341.01
2024-10-04,345.4,823083,348.71,349.32,343.42
2024-10-03,353.0,628989,355.3,356.16,350.755
2024-10-02,355.3,903247,356.43,356.92,352.11
2024-10-01,360.06,995655,367.3,369.988,359.55
2024-09-30,363.87,943456,356.0,364.15,355.06
2024-09-27,356.64,790705,358.28,359.14,354.83
2024-09-26,356.5,724937,359.5,360.24,355.577
2024-09-25,359.58,651973,362.66,363.12,358.09
2024-09-24,361.99,479405,361.89,366.8,361.18
2024-09-23,365.01,595096,363.79,366.2,362.335
2024-09-20,361.72,2196302,357.5,361.72,355.79
2024-09-19,358.62,582461,363.59,363.59,354.695
2024-09-18,360.72,552705,359.95,366.29,358.875
2024-09-17,357.57,594057,362.28,363.895,357.405
