date,close,volume,open,high,low
2025-03-13,66.91,9778264,68.33,68.91,66.7
2025-03-12,68.62,11545840,68.87,69.38,67.905
2025-03-11,67.98,12133070,68.41,68.95,67.165
2025-03-10,68.16,15035190,69.02,69.97,66.99
2025-03-07,70.48,16388270,67.97,70.98,67.825
2025-03-06,68.08,11226930,68.82,69.86,67.659
2025-03-05,69.5,14464270,67.98,69.69,67.7
2025-03-04,67.48,20179970,69.0,69.08,66.34
2025-03-03,69.75,15753700,71.1,71.57,69.5
2025-02-28,71.05,13601320,70.5,71.12,69.682
2025-02-27,70.73,11661160,72.15,72.55,70.58
2025-02-26,72.05,15296800,74.33,74.48,71.77
2025-02-25,74.07,20647170,77.135,77.5683,72.7
2025-02-24,75.25,12873280,75.245,75.88,73.97
2025-02-21,74.95,15171690,77.44,77.48,74.75
2025-02-20,77.63,9319311,78.12,78.17,76.85
2025-02-19,78.36,9082256,78.5,79.0,77.535
2025-02-18,78.62,11281240,78.2,78.76,77.5006
2025-02-14,77.97,10504560,76.9,78.33,76.63
2025-02-13,76.59,9958597,76.37,76.925,75.73
2025-02-12,76.27,11782530,75.42,76.85,75.3
2025-02-11,76.21,15769400,77.815,77.85,76.04
2025-02-10,78.24,11815590,78.16,78.92,77.61
2025-02-07,77.31,13597270,79.0,79.49,77.23
2025-02-06,78.57,14440460,79.68,79.74,78.11
2025-02-05,79.2,23646050,78.21,79.5,77.67
2025-02-04,77.725,58801890,82.26,82.69,77.38
2025-02-03,89.51,11215040,86.5,89.71,86.0
2025-01-31,88.58,8338934,89.57,90.4,88.54
2025-01-30,89.57,7708468,89.51,90.925,88.84
2025-01-29,88.76,5234468,88.17,89.415,88.17
2025-01-28,88.19,8665994,89.76,89.83,86.88
2025-01-27,90.24,6923826,87.545,90.29,87.39
2025-01-24,89.11,6004674,89.59,90.024,88.84
2025-01-23,89.73,7540610,89.76,89.78,88.24
2025-01-22,89.85,7345739,90.0,90.37,89.1398
2025-01-21,89.77,12629340,92.21,92.21,89.39
2025-01-17,91.81,16499700,90.76,93.245,90.005
2025-01-16,88.92,5816351,89.96,90.373,88.85
2025-01-15,89.64,10024080,88.72,90.19,88.47
2025-01-14,87.18,8958442,85.29,87.4,84.75
2025-01-13,83.99,7402380,82.19,84.12,81.79
2025-01-10,83.36,11341220,86.79,87.09,82.24
2025-01-08,87.94,7400030,88.06,88.23,86.79
2025-01-07,87.97,6080796,89.53,89.97,87.6
2025-01-06,89.53,7869184,88.02,90.09,87.72
2025-01-03,87.6,6136427,86.73,87.7,86.31
2025-01-02,86.18,6227776,85.835,86.94,84.82
2024-12-31,85.35,4533202,85.735,85.9,85.05
2024-12-30,85.43,5855039,85.69,86.0675,84.66
2024-12-27,86.86,5124993,87.36,87.655,86.2027
2024-12-26,88.14,4802170,87.6,88.73,87.26
2024-12-24,88.25,3276344,86.9,88.33,86.59
2024-12-23,86.9,5633131,86.47,87.24,85.97
2024-12-20,87.13,22052710,84.91,88.23,84.5
2024-12-19,86.78,9522428,86.28,88.42,86.16
2024-12-18,85.45,12583700,90.695,91.09,85.1764
2024-12-17,90.86,8395584,90.9,92.0,90.23
2024-12-16,91.3,7402470,90.79,91.46,89.52
2024-12-13,91.02,8358050,90.42,91.185,89.82
2024-12-12,89.4,4711138,90.43,91.17,89.335
2024-12-11,90.75,6657199,88.62,91.03,87.84
2024-12-10,88.76,6697466,89.94,90.0,88.375
2024-12-09,90.0,10714200,92.25,93.66,89.73
2024-12-06,89.88,6955544,89.49,90.04,88.545
2024-12-05,89.045,9025551,89.59,90.27,88.27
2024-12-04,89.33,15535960,85.68,90.14,85.24
2024-12-03,85.14,8189778,86.4,86.4,84.615
2024-12-02,86.53,7273536,86.55,87.47,85.84
2024-11-29,86.77,4469740,86.39,87.08,85.82
2024-11-27,86.57,5477894,87.55,87.66,86.27
2024-11-26,86.94,5610415,87.4,88.18,86.9
2024-11-25,87.77,12998270,87.99,88.74,86.97
2024-11-22,86.77,6785992,84.68,86.8,84.57
2024-11-21,84.82,7250051,85.16,85.49,84.21
2024-11-20,84.74,6076348,84.51,85.6,84.24
2024-11-19,84.09,12442730,82.99,84.235,82.5
2024-11-18,84.67,10152570,86.055,86.84,84.575
2024-11-15,85.83,8083167,85.35,86.2,85.1014
2024-11-14,85.79,8468252,87.06,87.4725,85.475
2024-11-13,87.31,9256571,86.8,87.9,86.08
2024-11-12,86.4,10036910,86.88,87.92,85.6746
2024-11-11,86.94,15459380,84.07,87.47,83.38
2024-11-08,83.01,8144180,81.46,83.07,81.35
2024-11-07,81.35,7994293,81.695,82.74,81.13
2024-11-06,81.41,11546540,81.345,81.69,79.995
2024-11-05,79.25,6573919,77.738,79.41,77.738
2024-11-04,78.13,10257040,77.26,78.44,77.0
2024-11-01,77.25,16473610,77.865,78.3089,76.46
2024-10-31,79.3,13919260,78.49,79.82,78.3
2024-10-30,78.22,14910500,79.03,79.71,77.99
2024-10-29,80.28,35206390,78.04,81.25,76.81
2024-10-28,83.59,15243510,82.03,83.7,81.88
2024-10-25,81.7,7201013,82.01,82.8,81.4
2024-10-24,81.39,7398779,81.235,82.48,80.92
2024-10-23,80.83,7632139,81.24,82.24,80.09
2024-10-22,80.91,7571253,80.05,81.42,80.04
2024-10-21,80.56,7450264,80.315,81.36,80.04
2024-10-18,80.94,8844338,79.5,80.97,78.94
2024-10-17,79.82,8653971,80.75,80.9,79.225
2024-10-16,80.82,5434792,79.81,80.85,79.45
2024-10-15,79.55,7291606,80.15,81.06,78.65
2024-10-14,80.67,5865449,80.34,80.98,79.82
2024-10-11,80.51,7744777,79.54,80.7263,79.16
2024-10-10,78.98,11326110,79.94,80.075,78.53
2024-10-09,81.65,6925969,80.88,82.0,80.85
2024-10-08,81.16,8618496,79.99,81.3999,79.575
2024-10-07,80.26,9206569,79.29,80.49,78.615
2024-10-04,79.36,10083590,78.16,79.53,77.985
2024-10-03,77.31,9121261,76.53,77.4,76.04
2024-10-02,77.44,8073322,77.47,77.77,76.18
2024-10-01,77.47,10608720,78.21,79.01,76.39
2024-09-30,78.03,6853835,77.87,78.5952,77.24
2024-09-27,77.88,11575280,80.4,80.6299,77.73
2024-09-26,80.08,13316660,78.945,80.43,78.47
2024-09-25,77.36,13822400,78.23,79.26,77.34
2024-09-24,78.34,14724840,77.88,78.83,77.67
2024-09-23,77.67,12839810,77.53,78.8,77.35
2024-09-20,76.76,27274650,77.31,77.57,75.462
2024-09-19,77.57,21662380,75.0,78.245,74.81
2024-09-18,73.12,13498160,71.45,73.87,71.36
2024-09-17,71.77,6187212,71.93,72.17,71.12
2024-09-16,71.07,6494997,70.46,71.24,70.0699
2024-09-13,70.1,7572594,70.04,70.6202,69.8601
2024-09-12,70.36,8376713,69.14,70.38,69.04
2024-09-11,69.35,12344870,69.16,69.7,67.76
2024-09-10,68.85,12317450,69.34,69.74,67.15
2024-09-09,69.35,11869340,70.392,70.65,68.25
2024-09-06,68.89,12315820,71.94,72.05,68.55
2024-09-05,72.03,11473840,73.66,74.4,71.015
2024-09-04,72.61,8368990,71.605,73.24,71.59
2024-09-03,72.0,8571345,71.755,72.9484,71.4
2024-08-30,72.43,9634963,73.51,73.69,71.76
2024-08-29,73.16,13181590,71.4,73.93,71.25
2024-08-28,70.43,9277660,71.27,71.5899,70.025
2024-08-27,71.59,9396932,71.75,72.35,71.3
2024-08-26,72.04,9062957,72.07,73.03,71.67
2024-08-23,71.7,8222231,72.0,72.0699,70.84
2024-08-22,71.52,11811120,71.74,73.25,70.92
2024-08-21,71.46,10455490,72.065,72.77,70.87
2024-08-20,71.89,23545970,70.0,72.56,69.43
2024-08-19,69.43,9578068,68.22,69.46,68.17
2024-08-16,67.96,9526778,67.37,68.55,67.37
2024-08-15,67.94,12968280,67.16,68.12,67.05
2024-08-14,66.14,8944776,65.06,66.39,64.66
2024-08-13,65.11,8638603,64.0,65.64,63.72
2024-08-12,63.46,7519467,64.95,65.13,63.285
2024-08-09,64.72,8605324,64.8,65.5,64.47
2024-08-08,64.28,9761208,63.55,64.675,63.1
2024-08-07,62.74,13464350,63.345,65.01,62.64
