date,close,volume,open,high,low
2025-03-13,70.39,1523216,72.09,72.65,70.11
2025-03-12,72.0,875102,72.92,73.45,71.47
2025-03-11,73.71,1422667,74.11,74.81,72.57
2025-03-10,73.94,1055605,73.74,75.23,73.59
2025-03-07,73.96,993022,74.54,75.12,73.87
2025-03-06,74.45,1349259,76.52,76.79,74.0902
2025-03-05,77.09,1323146,75.49,77.13,75.2559
2025-03-04,76.35,1315780,78.17,78.1801,76.3
2025-03-03,77.74,1364249,76.31,77.92,76.165
2025-02-28,76.7,1880550,76.01,76.88,75.805
2025-02-27,75.56,808285,75.29,76.2,75.09
2025-02-26,75.25,713737,75.45,75.8,74.82
2025-02-25,75.45,1073818,74.33,75.87,74.3
2025-02-24,74.33,876182,73.45,74.73,73.1
2025-02-21,73.33,841957,73.13,73.59,72.78
2025-02-20,73.28,788439,73.24,73.53,72.79
2025-02-19,73.44,1110401,72.77,74.17,72.58
2025-02-18,72.87,1060918,71.9,72.92,71.9
2025-02-14,72.34,1270190,74.99,75.34,72.3
2025-02-13,75.0,1072304,74.42,75.05,74.125
2025-02-12,74.41,926249,73.77,74.54,73.31
2025-02-11,74.42,950985,73.29,74.445,72.905
2025-02-10,73.61,842026,74.01,74.13,73.015
2025-02-07,74.02,1404326,73.04,74.88,73.04
2025-02-06,72.95,934983,73.49,73.49,72.18
2025-02-05,73.04,687932,72.18,73.31,71.87
2025-02-04,71.78,672459,71.75,72.18,71.2101
2025-02-03,71.86,943046,71.64,72.11,70.6
2025-01-31,71.84,1079296,71.65,72.35,71.465
2025-01-30,71.96,1044223,71.95,72.71,71.38
2025-01-29,71.33,864441,72.41,72.595,70.9
2025-01-28,72.53,1099415,72.83,73.99,72.36
2025-01-27,73.09,1095637,72.14,73.925,71.71
2025-01-24,71.77,797714,70.84,72.08,70.79
2025-01-23,71.07,832630,71.3,71.49,70.39
2025-01-22,71.13,806137,71.35,71.62,70.6
2025-01-21,71.96,1022309,71.1,72.185,71.1
2025-01-17,71.22,1104031,71.93,71.99,71.2
2025-01-16,71.66,580268,71.29,72.065,71.28
2025-01-15,71.17,863638,72.09,72.24,70.6
2025-01-14,70.66,1151560,70.95,71.03,70.17
2025-01-13,70.76,1239316,68.87,70.92,68.445
2025-01-10,68.83,1132952,69.08,69.52,68.54
2025-01-08,70.15,722271,69.97,70.52,69.54
2025-01-07,70.16,750617,71.02,71.66,70.02
2025-01-06,71.08,716020,72.61,72.98,71.015
2025-01-03,73.03,818612,72.48,73.145,72.16
2025-01-02,72.21,960399,73.59,74.67,71.96
2024-12-31,73.93,1020330,74.11,74.2,73.11
2024-12-30,73.41,989734,73.64,73.7,72.87
2024-12-27,73.95,808480,74.36,74.88,73.77
2024-12-26,74.61,459557,74.12,74.7306,73.895
2024-12-24,74.5,345626,73.26,74.55,73.26
2024-12-23,73.75,1046195,73.52,73.89,73.03
2024-12-20,73.8,3284033,72.77,74.5,72.25
2024-12-19,72.42,1742412,72.8,74.13,72.36
2024-12-18,73.21,1871433,75.44,76.34,73.19
2024-12-17,75.5,1404738,74.82,76.025,74.54
2024-12-16,75.4,1030659,74.57,76.44,74.57
2024-12-13,75.37,919578,75.1,75.9,75.08
2024-12-12,75.31,1234722,74.25,75.61,74.06
2024-12-11,74.2,1168003,74.31,75.02,74.05
2024-12-10,74.33,1173327,74.55,74.76,73.81
2024-12-09,74.92,1086751,74.2,75.05,73.295
2024-12-06,74.13,1012669,74.35,74.72,74.065
2024-12-05,74.31,842103,73.96,74.485,73.8
2024-12-04,74.35,755812,74.48,74.685,73.88
2024-12-03,74.72,1165645,74.63,75.47,74.31
2024-12-02,74.63,1001751,75.59,75.59,74.1401
2024-11-29,75.59,947234,75.98,76.53,75.52
2024-11-27,75.91,800650,75.2,76.14,75.2
2024-11-26,75.0,729779,74.13,75.1,73.84
2024-11-25,74.02,2193414,74.41,74.41,73.67
2024-11-22,74.24,725598,74.76,74.82,74.13
2024-11-21,74.46,758920,74.7,74.84,74.41
2024-11-20,74.53,605492,74.0,74.73,73.53
2024-11-19,74.25,1021234,73.32,74.35,73.13
2024-11-18,73.77,639349,73.29,73.81,72.8316
2024-11-15,73.66,3835304,73.88,74.1275,73.52
2024-11-14,73.66,1034602,73.42,73.91,73.3486
2024-11-13,73.86,1309402,73.98,74.24,73.75
2024-11-12,73.48,1018348,73.99,74.45,73.37
2024-11-11,74.0,1531543,74.27,74.66,73.73
2024-11-08,74.24,1038086,74.22,74.58,73.6
2024-11-07,73.87,1230131,72.675,74.03,72.48
2024-11-06,72.82,1367107,73.71,74.025,71.69
2024-11-05,73.16,991712,71.69,73.21,71.44
2024-11-04,72.28,1108035,72.01,72.5,71.73
2024-11-01,71.42,932814,71.8,72.73,71.35
2024-10-31,71.44,1357116,72.77,73.215,71.42
2024-10-30,72.7,2472156,72.41,73.185,72.12
2024-10-29,72.43,1421787,72.96,74.34,72.425
2024-10-28,71.75,740108,71.37,72.13,71.36
2024-10-25,71.01,512403,72.51,72.63,70.95
2024-10-24,72.0,617490,72.03,72.61,71.8
2024-10-23,72.23,579497,71.5,72.34,71.47
2024-10-22,71.87,560933,71.52,72.38,71.28
2024-10-21,71.6,871517,72.34,72.37,71.5
2024-10-18,72.57,759743,72.0,72.62,71.75
2024-10-17,72.0,885527,71.92,72.18,71.38
2024-10-16,72.25,808995,71.9,72.59,71.77
2024-10-15,71.59,612048,70.8,72.27,70.8
2024-10-14,70.71,762304,70.04,70.925,69.8
2024-10-11,70.3,655059,70.16,70.6338,70.0
2024-10-10,69.77,749581,70.67,70.99,69.47
2024-10-09,71.06,853024,70.16,71.14,69.98
2024-10-08,70.16,660235,70.74,71.23,69.98
2024-10-07,70.41,517171,70.65,70.65,69.94
2024-10-04,70.85,523654,70.78,71.11,70.06
2024-10-03,71.01,534844,71.04,71.14,70.5
2024-10-02,71.05,780468,71.53,71.83,70.7
2024-10-01,72.17,864931,72.42,72.61,71.43
2024-09-30,72.23,947064,71.25,72.3,70.97
2024-09-27,71.45,781791,72.65,72.69,70.88
2024-09-26,70.92,835445,72.03,72.21,70.82
2024-09-25,72.4,736104,72.67,72.9,72.0
2024-09-24,72.53,838983,71.8,72.96,71.73
2024-09-23,72.14,986154,72.34,72.67,72.01
