date,close,volume,open,high,low
2025-03-13,110.32,1479921,110.71,112.44,109.96
2025-03-12,111.52,979362,113.27,114.63,110.83
2025-03-11,112.92,1191431,118.59,119.02,111.78
2025-03-10,118.23,1624606,116.21,120.39,116.09
2025-03-07,117.56,1399074,112.6,118.26,111.65
2025-03-06,113.21,903025,111.3,114.4,111.0237
2025-03-05,111.73,1173052,108.85,111.85,108.545
2025-03-04,109.26,948481,109.62,110.4,106.61
2025-03-03,110.39,1031633,112.74,113.06,109.94
2025-02-28,112.15,1309481,111.07,112.55,110.292
2025-02-27,110.45,1026072,114.26,114.45,107.39
2025-02-26,115.11,493020,115.85,116.38,114.28
2025-02-25,115.49,591656,115.26,115.89,114.27
2025-02-24,114.91,894032,114.74,116.79,113.07
2025-02-21,113.84,658369,114.77,115.405,113.09
2025-02-20,114.72,1235012,115.65,116.86,113.77
2025-02-19,115.01,1031247,110.95,115.36,110.95
2025-02-18,111.74,784764,112.3,113.58,110.9949
2025-02-14,112.26,793480,113.69,114.03,112.22
2025-02-13,112.88,770070,111.4,113.64,110.53
2025-02-12,111.27,926044,111.05,112.0,109.76
2025-02-11,112.62,1159226,113.9,114.88,111.3
2025-02-10,114.84,1394174,117.84,118.26,113.93
2025-02-07,118.86,942978,119.04,119.725,116.6303
2025-02-06,119.16,942986,122.41,123.3352,118.94
2025-02-05,122.37,861671,124.09,124.1,122.2
2025-02-04,123.16,839354,122.37,124.82,121.875
2025-02-03,123.69,872471,125.74,126.57,123.13
2025-01-31,126.13,1210155,125.47,128.04,121.56
2025-01-30,126.84,1528913,124.97,128.285,124.17
2025-01-29,123.52,934284,124.3,124.625,122.31
2025-01-28,125.59,1201419,125.62,126.72,124.605
2025-01-27,124.06,1174004,123.76,125.0,122.82
2025-01-24,123.15,729303,122.98,124.59,122.095
2025-01-23,123.03,995521,122.62,123.18,119.06
2025-01-22,122.78,936430,123.24,124.165,122.46
2025-01-21,123.95,1231285,119.02,124.04,118.83
2025-01-17,118.39,659449,119.32,120.36,118.23
2025-01-16,119.53,667478,118.52,119.88,116.6025
2025-01-15,118.95,936210,122.06,123.0,117.49
2025-01-14,120.73,723648,122.63,122.965,119.25
2025-01-13,122.7,1176085,118.34,122.88,117.25
2025-01-10,113.88,641155,114.0,115.89,113.58
2025-01-08,116.42,770369,116.09,116.97,113.57
2025-01-07,116.6,690033,116.04,119.41,115.555
2025-01-06,115.59,766072,113.5,117.38,113.46
2025-01-03,113.6,482688,112.03,113.845,110.725
2025-01-02,112.0,715265,112.43,113.615,111.355
2024-12-31,111.61,338060,112.02,112.98,111.23
2024-12-30,111.31,400105,110.9,112.075,109.39
2024-12-27,111.99,346041,111.31,112.69,110.98
2024-12-26,112.5,266218,111.45,112.72,110.935
2024-12-24,112.34,214093,112.24,113.105,111.28
2024-12-23,112.27,660111,111.32,112.44,110.35
2024-12-20,112.56,2049624,110.15,113.66,110.15
2024-12-19,110.54,738994,109.0,111.04,107.64
2024-12-18,109.14,1006644,114.08,115.195,109.1
2024-12-17,114.75,743661,115.1,117.41,114.33
2024-12-16,115.17,698093,115.29,116.25,114.5
2024-12-13,115.94,1275028,116.71,116.71,113.07
2024-12-12,116.01,1456075,115.99,116.82,115.59
2024-12-11,116.64,973288,118.5,119.48,116.33
2024-12-10,117.84,743132,120.79,120.81,117.57
2024-12-09,120.29,709488,116.51,120.605,116.51
2024-12-06,116.46,709615,115.81,117.54,115.645
2024-12-05,115.09,1216126,115.53,116.185,114.3401
2024-12-04,116.13,742906,114.47,117.23,114.06
2024-12-03,115.02,699521,116.58,117.05,114.56
2024-12-02,116.7,775553,115.79,116.84,115.16
2024-11-29,116.14,389640,116.06,116.92,115.72
2024-11-27,116.23,622741,115.98,117.01,114.71
2024-11-26,115.07,1013583,113.64,115.24,112.3
2024-11-25,114.66,1408832,113.0,115.22,110.95
2024-11-22,112.03,1143926,111.11,112.63,109.17
2024-11-21,111.11,1374995,111.38,114.13,109.715
2024-11-20,111.34,952179,110.32,111.37,108.54
2024-11-19,109.91,843923,108.48,110.17,107.17
2024-11-18,109.47,1299191,109.52,110.8,109.0
2024-11-15,109.52,1817426,115.24,117.54,109.22
2024-11-14,116.05,732477,119.59,119.59,115.88
2024-11-13,119.74,808699,120.23,120.8545,119.34
2024-11-12,120.35,691375,120.0,120.7575,119.66
2024-11-11,120.64,1293819,121.55,122.1,119.02
2024-11-08,122.47,999722,123.17,123.97,118.98
2024-11-07,124.0,829302,125.44,126.155,123.5
2024-11-06,124.86,1441935,129.04,129.5,120.6
2024-11-05,125.96,855980,123.29,126.0,121.43
2024-11-04,124.82,2389125,122.54,128.83,120.75
2024-11-01,121.04,1474334,119.9,124.18,119.9
2024-10-31,118.59,946463,119.4,120.1425,117.51
2024-10-30,120.03,1004129,118.3,123.01,116.85
2024-10-29,117.76,479032,117.15,118.415,116.39
2024-10-28,117.49,772743,117.67,118.77,116.405
2024-10-25,116.33,733601,116.74,117.4125,115.27
2024-10-24,116.14,730411,118.63,119.76,116.13
2024-10-23,118.5,844095,118.08,119.405,117.04
2024-10-22,118.78,758537,118.35,119.0,116.43
2024-10-21,119.25,735781,119.64,119.64,117.83
