date,close,volume,open,high,low
2025-03-13,342.1,1959515,350.61,354.62,341.53
2025-03-12,349.83,1418846,357.19,357.25,348.6844
2025-03-11,353.02,2002572,358.0,359.75,351.12
2025-03-10,357.78,2445611,355.9,364.23,354.89
2025-03-07,363.62,2024500,361.98,365.11,355.46
2025-03-06,360.08,2094035,358.19,364.99,356.965
2025-03-05,362.32,2000242,356.56,363.17,355.28
2025-03-04,355.28,2564458,355.56,360.54,353.13
2025-03-03,356.73,2607399,364.27,364.27,354.72
2025-02-28,362.27,2799225,359.21,362.87,357.09
2025-02-27,355.51,2468412,358.65,362.2,355.2
2025-02-26,359.59,2438214,356.44,364.94,355.0
2025-02-25,353.03,2063456,346.09,355.57,345.1
2025-02-24,343.87,2442508,346.76,347.345,343.02
2025-02-21,344.57,2871814,352.73,353.155,342.32
2025-02-20,350.02,2041807,350.87,351.25,348.44
2025-02-19,351.85,2042654,347.75,352.21,347.3885
2025-02-18,352.99,1498621,357.7,357.71,350.79
2025-02-14,356.86,1871973,362.18,366.45,356.32
2025-02-13,361.13,1907326,359.0,361.875,354.55
2025-02-12,355.5,1095027,353.0,357.7213,348.46
2025-02-11,361.37,1111179,360.1,364.71,359.09
2025-02-10,359.16,1263220,362.97,362.97,355.94
2025-02-07,360.57,951124,363.94,364.605,357.32
2025-02-06,365.22,970376,367.72,368.18,362.8
2025-02-05,364.48,1619635,360.31,365.42,356.68
2025-02-04,357.59,1783252,356.16,358.27,353.13
2025-02-03,357.64,1641762,352.43,362.75,349.5
2025-01-31,358.16,1870881,365.73,366.68,356.55
2025-01-30,365.55,3418556,362.33,370.0,355.5588
2025-01-29,360.41,1616269,362.6,365.42,359.0
2025-01-28,364.17,1338849,363.48,365.27,359.375
2025-01-27,364.17,1270520,360.02,364.7,357.16
2025-01-24,360.15,1335392,363.01,366.2814,358.69
2025-01-23,361.11,800048,358.6,361.64,355.99
2025-01-22,357.74,1181570,361.84,362.85,356.58
2025-01-21,361.52,1808241,359.01,361.82,356.905
2025-01-17,353.98,2392510,360.1,366.96,353.04
