date,close,volume,open,high,low
2025-03-13,72.3,936748,74.1,75.0,72.27
2025-03-12,74.01,1174848,75.79,76.18,73.48
2025-03-11,75.89,1267197,77.66,77.825,74.91
2025-03-10,77.64,1604295,77.43,80.23,77.08
2025-03-07,77.93,1219208,75.11,78.49,74.6
2025-03-06,75.74,1066213,77.18,77.47,74.77
2025-03-05,77.83,1072399,78.8,79.75,77.03
2025-03-04,78.99,1156838,80.25,80.76,78.79
2025-03-03,80.16,1079512,79.76,81.93,78.41
2025-02-28,79.75,2036230,80.95,82.81,77.95
2025-02-27,83.44,1500947,83.65,84.7,83.25
2025-02-26,84.04,1724764,83.5,85.92,83.02
2025-02-25,83.56,3207056,78.97,84.97,77.91
2025-02-24,76.28,1266605,73.02,76.34,73.02
2025-02-21,73.02,570706,74.47,74.72,72.41
2025-02-20,74.5,602170,74.1,74.9,73.8
2025-02-19,73.98,610753,73.7,75.1923,73.7
2025-02-18,74.34,955181,73.89,74.795,73.6101
2025-02-14,74.24,1081408,74.74,74.93,73.83
2025-02-13,74.31,595922,73.85,74.365,72.94
2025-02-12,73.68,459858,73.07,73.8,72.7093
2025-02-11,73.65,550200,74.0,75.07,73.54
2025-02-10,74.31,626114,73.72,74.8,73.2193
2025-02-07,73.38,859478,74.78,74.99,72.851
2025-02-06,74.78,934553,75.12,76.455,74.46
2025-02-05,74.79,451707,75.0,75.0,74.1843
2025-02-04,74.61,644334,73.59,74.94,73.59
2025-02-03,73.58,995962,73.25,74.3185,72.27
2025-01-31,74.06,1091971,75.41,75.59,74.04
2025-01-30,75.3,540877,75.32,75.84,74.25
2025-01-29,74.5,668052,74.88,75.365,73.88
2025-01-28,74.88,698055,75.78,76.29,74.6503
2025-01-27,75.14,983538,75.0,76.8,73.98
2025-01-24,74.99,1142489,73.24,74.99,73.24
2025-01-23,73.6,723690,73.66,73.83,72.89
2025-01-22,73.66,1334487,73.79,74.25,73.1
2025-01-21,74.02,1071047,73.695,74.34,72.6
2025-01-17,73.51,1514789,73.1,73.67,71.95
2025-01-16,72.69,739198,71.95,72.93,71.37
2025-01-15,72.03,1320076,70.5,72.58,70.44
2025-01-14,70.19,717746,68.53,70.385,68.51
2025-01-13,68.51,780862,66.77,68.57,66.2221
2025-01-10,67.07,1166344,68.98,70.0,66.92
2025-01-08,68.96,2732087,69.18,71.85,67.69
2025-01-07,69.41,840672,68.58,69.75,68.38
2025-01-06,68.47,1002150,67.12,68.55,66.98
2025-01-03,67.12,747287,65.93,67.3299,65.625
2025-01-02,65.93,561809,66.07,66.74,65.425
2024-12-31,66.06,541058,66.24,66.75,65.85
2024-12-30,66.05,686423,66.17,66.65,65.5508
2024-12-27,66.74,460337,66.5,67.095,66.16
2024-12-26,66.94,505004,66.22,67.19,65.86
2024-12-24,66.56,252375,66.29,66.7,65.85
2024-12-23,66.63,823212,66.61,67.08,66.01
2024-12-20,66.83,1798749,66.58,67.5,66.2846
2024-12-19,66.8,1141863,67.09,67.76,66.21
2024-12-18,66.89,595908,68.45,68.9,66.58
2024-12-17,68.6,756890,69.08,70.0,68.0
2024-12-16,69.27,755847,69.26,70.34,68.955
2024-12-13,69.56,637853,70.0,70.0,68.8
2024-12-12,70.01,620149,70.35,70.73,69.691
2024-12-11,70.49,588734,70.0,70.89,69.4
2024-12-10,69.72,767212,70.98,70.98,68.76
2024-12-09,70.63,662237,69.92,71.39,69.76
2024-12-06,69.96,1049489,69.51,71.04,69.4594
2024-12-05,69.57,845243,69.87,70.7345,69.25
2024-12-04,70.26,885034,69.98,71.18,68.9
2024-12-03,70.77,1254601,71.78,71.93,69.88
2024-12-02,71.99,984401,71.5,72.38,71.11
2024-11-29,71.51,576974,72.64,72.79,71.06
2024-11-27,72.48,702927,71.82,72.805,71.35
2024-11-26,71.49,676288,71.61,71.99,70.57
2024-11-25,71.61,1622950,70.63,72.1,70.48
2024-11-22,70.81,700145,69.79,70.94,69.61
2024-11-21,69.63,799914,68.19,69.93,68.19
2024-11-20,68.39,953328,66.84,68.68,66.65
2024-11-19,67.05,711432,66.65,67.48,66.51
2024-11-18,67.12,939229,67.19,67.43,65.95
2024-11-15,67.48,1146295,67.74,68.33,67.0
2024-11-14,67.9,1063194,69.38,70.31,67.85
2024-11-13,70.04,917355,70.23,71.06,69.68
2024-11-12,70.7,1290453,71.42,72.25,69.62
2024-11-11,71.53,1065946,72.22,73.2,71.0403
2024-11-08,72.43,2159241,76.6,77.17,72.02
2024-11-07,75.07,1598913,74.03,75.42,72.8892
2024-11-06,74.14,1415335,73.58,75.18,73.58
2024-11-05,73.16,892026,71.56,73.51,71.0066
2024-11-04,72.17,781349,72.5,73.73,72.01
2024-11-01,72.46,689831,73.0,73.82,72.36
2024-10-31,72.58,801387,73.33,73.88,72.58
2024-10-30,73.57,601207,73.26,74.12,72.98
2024-10-29,73.35,683073,72.77,73.87,72.54
2024-10-28,73.36,822862,73.19,73.55,72.75
2024-10-25,73.19,713506,73.15,73.94,72.85
2024-10-24,73.2,2120465,72.53,76.05,72.3942
2024-10-23,72.5,701547,72.37,72.69,71.3321
2024-10-22,72.61,745739,73.0,73.13,72.21
2024-10-21,73.1,834900,73.5,73.87,72.2214
2024-10-18,73.68,831689,72.79,73.8,72.3575
2024-10-17,72.41,1252242,71.5,72.72,71.14
2024-10-16,71.42,774662,69.75,71.6,69.7
2024-10-15,69.72,957471,69.15,70.5,69.02
2024-10-14,69.39,646965,68.22,69.47,68.1
2024-10-11,68.14,1235889,68.25,68.85,67.74
2024-10-10,68.1,529575,68.8,68.8145,67.875
2024-10-09,69.18,842363,67.48,69.26,67.27
2024-10-08,67.13,1034442,66.8,68.72,66.705
2024-10-07,66.29,1222649,67.35,67.35,65.97
2024-10-04,67.74,837213,67.58,68.41,67.2
2024-10-03,67.26,754814,67.63,67.82,66.65
2024-10-02,67.63,820693,66.98,68.26,66.6
2024-10-01,67.3,932406,69.44,69.44,66.95
2024-09-30,69.72,1369287,67.49,69.85,67.3
2024-09-27,67.57,2001249,68.41,69.13,67.32
2024-09-26,68.1,1951894,68.86,69.05,67.88
2024-09-25,69.22,772478,70.1,70.115,68.7647
2024-09-24,70.04,878965,70.12,70.87,69.7
2024-09-23,70.12,1336936,70.33,71.36,69.49
2024-09-20,69.95,4410211,72.03,72.13,69.85
2024-09-19,72.34,886372,72.9,73.23,72.2
2024-09-18,72.13,679767,72.3,73.27,71.51
2024-09-17,72.33,788852,71.5,73.4,71.36
2024-09-16,71.79,991044,69.97,71.915,69.9
2024-09-13,70.0,1013112,68.65,70.42,68.54
