date,close,volume,open,high,low
2025-03-13,222.45,419185,224.88,225.34,221.86
2025-03-12,224.45,559632,227.31,227.63,223.36
2025-03-11,228.06,858866,231.68,231.68,227.15
2025-03-10,231.53,668662,232.88,236.83,230.21
2025-03-07,232.74,667376,229.87,234.5,228.335
2025-03-06,232.25,1476811,225.39,232.485,225.06
2025-03-05,227.43,622801,224.96,229.5,224.96
2025-03-04,225.81,906014,225.9,229.24,225.0
2025-03-03,222.72,547458,220.12,224.16,215.94
2025-02-28,219.26,881413,221.0,222.68,216.02
2025-02-27,220.07,278503,221.29,222.5,219.62
2025-02-26,223.05,298802,223.44,226.37,221.78
2025-02-25,223.79,666792,223.36,225.79,222.32
2025-02-24,223.68,394838,220.19,224.72,218.95
2025-02-21,220.56,412247,219.81,221.01,218.245
2025-02-20,220.79,249643,220.64,221.33,219.58
2025-02-19,221.39,258472,218.72,222.28,217.68
2025-02-18,219.66,379691,217.0,220.29,214.81
2025-02-14,219.34,322511,220.49,221.8,218.91
2025-02-13,219.23,443537,219.22,220.26,216.52
2025-02-12,219.11,340954,220.76,221.5399,218.28
2025-02-11,223.36,302682,223.28,223.55,221.52
2025-02-10,224.31,437474,224.21,224.85,221.7
2025-02-07,223.23,682890,225.73,226.475,220.79
2025-02-06,225.44,1332373,221.46,227.375,216.98
2025-02-05,220.83,888398,220.89,221.73,218.365
2025-02-04,219.4,538247,216.58,219.89,214.22
2025-02-03,218.34,523070,218.38,219.62,215.83
2025-01-31,220.65,565568,219.79,224.8,218.94
2025-01-30,221.7,310893,221.84,224.185,220.58
2025-01-29,220.28,332507,221.8,222.23,218.95
2025-01-28,221.06,359733,221.06,223.51,220.345
2025-01-27,221.82,485231,217.88,221.9,217.34
2025-01-24,217.01,297318,216.25,217.88,215.281
2025-01-23,217.2,393234,218.32,219.6,213.9701
2025-01-22,218.58,717994,214.85,219.69,214.72
2025-01-21,217.07,654023,212.64,218.19,212.64
2025-01-17,209.62,693876,210.67,210.9902,208.32
2025-01-16,210.15,428434,206.67,210.34,205.7563
2025-01-15,206.66,468796,209.13,209.13,205.78
2025-01-14,207.57,509076,208.03,208.03,205.42
2025-01-13,207.37,420285,205.88,207.82,204.28
2025-01-10,205.74,343778,206.45,209.845,205.12
2025-01-08,209.43,284143,206.78,209.73,204.96
2025-01-07,206.49,465067,204.86,207.5,203.8
2025-01-06,204.01,507837,203.35,206.57,203.35
