date,close,volume,open,high,low
2025-03-13,363.66,1965867,365.14,367.28,361.03
2025-03-12,363.84,1559213,368.35,371.11,361.335
2025-03-11,365.29,1638849,369.52,369.52,363.1
2025-03-10,370.12,2162585,375.45,377.09,367.29
2025-03-07,379.3,1961830,379.94,381.0,367.45
2025-03-06,382.31,1263833,392.04,393.47,379.9985
2025-03-05,395.69,1105201,387.75,398.0,387.01
2025-03-04,389.92,1687281,395.07,396.44,388.77
2025-03-03,394.88,1237657,390.4,397.32,388.35
2025-02-28,386.19,2855622,391.05,393.82,379.61
2025-02-27,388.9,997257,390.4,393.84,388.5095
2025-02-26,391.74,867818,391.55,396.67,389.335
2025-02-25,390.3,1665069,388.25,391.37,385.07
2025-02-24,387.92,1317444,381.97,390.28,380.51
2025-02-21,382.78,1268475,382.87,387.52,380.1
2025-02-20,386.41,930275,387.67,387.9985,383.3
2025-02-19,388.52,827136,384.58,388.63,384.26
2025-02-18,385.61,1338410,383.0,385.71,379.36
2025-02-14,385.18,1267884,390.03,391.485,384.5
2025-02-13,388.37,916676,386.24,388.8,383.44
2025-02-12,385.63,1161419,386.79,389.73,382.04
2025-02-11,390.48,881874,390.72,393.445,389.0
2025-02-10,392.6,1334553,392.79,393.96,390.37
2025-02-07,391.4,1025808,396.04,397.2275,390.61
2025-02-06,396.07,1124078,398.4,400.25,395.91
2025-02-05,399.09,1011830,394.89,399.8499,393.415
2025-02-04,392.39,1121598,389.33,393.07,388.24
2025-02-03,391.14,999024,389.44,394.13,387.0
2025-01-31,391.29,1549213,391.15,397.56,390.0
2025-01-30,390.43,1683562,394.15,400.555,389.3
2025-01-29,391.07,3322052,395.0,396.71,386.77
2025-01-28,395.15,1993675,400.61,406.19,394.59
2025-01-27,399.9,1582562,396.0,400.34,394.54
2025-01-24,394.31,1331817,390.05,394.68,389.815
2025-01-23,393.5,1389832,391.12,394.59,389.45
2025-01-22,390.49,1996570,394.16,394.9999,388.89
2025-01-21,395.85,2102209,389.635,396.21,387.9
2025-01-17,383.42,1727128,385.0,385.82,379.0
2025-01-16,381.79,1515283,372.07,381.82,372.07
2025-01-15,368.61,1529224,364.53,370.05,363.66
2025-01-14,362.8,1175858,362.83,363.61,359.32
2025-01-13,360.98,1400835,363.65,367.85,360.76
2025-01-10,365.66,1313873,361.62,368.82,361.16
2025-01-08,364.1,1534717,361.305,364.95,354.7257
2025-01-07,355.18,1931593,362.17,362.47,351.85
2025-01-06,361.36,1269910,360.96,362.44,358.02
2025-01-03,361.52,805544,360.97,361.996,358.3
2025-01-02,358.72,858269,362.48,362.48,356.8201
2024-12-31,360.05,821834,361.9,364.58,358.24
2024-12-30,362.26,814082,362.9,364.105,358.67
2024-12-27,367.11,705491,367.23,369.67,364.79
2024-12-26,369.42,840826,368.24,370.65,367.48
2024-12-24,370.78,431006,368.28,370.83,366.5597
2024-12-23,366.49,1461406,364.79,367.26,362.44
2024-12-20,364.6,3146693,356.23,364.805,356.0
2024-12-19,357.14,1713558,359.31,363.06,356.3
2024-12-18,359.17,1618165,371.0,371.92,358.49
2024-12-17,370.81,1540369,371.58,374.57,368.05
2024-12-16,372.7,1155610,375.0,376.24,372.445
2024-12-13,374.6,755824,375.62,376.485,373.15
2024-12-12,375.06,846127,377.0,378.09,374.62
2024-12-11,376.16,1214105,383.02,386.63,375.26
2024-12-10,382.68,1281748,384.12,385.56,381.09
2024-12-09,381.11,924899,384.8,385.1473,378.75
2024-12-06,385.02,1049412,383.09,389.99,383.09
2024-12-05,382.45,1319513,387.18,388.714,379.82
2024-12-04,389.76,707714,390.75,392.21,387.96
2024-12-03,390.97,923883,389.49,391.9,386.46
2024-12-02,389.63,1216547,393.25,394.14,388.67
2024-11-29,392.15,711206,387.03,393.3,386.46
2024-11-27,388.14,1018008,389.16,391.4,387.82
2024-11-26,389.71,1014597,388.0,389.95,384.9062
2024-11-25,384.91,2102840,386.29,388.4276,379.5
2024-11-22,384.85,1069692,390.41,391.07,381.48
2024-11-21,390.14,1136399,387.19,390.365,384.57
2024-11-20,385.68,1098082,389.85,390.0,382.25
2024-11-19,388.68,1524168,386.93,392.305,385.89
2024-11-18,389.4,2054699,392.97,398.2,389.03
2024-11-15,390.08,2874077,381.99,392.01,380.21
2024-11-14,383.28,1811783,389.54,392.7,382.4
2024-11-13,388.34,1685887,386.67,390.59,385.34
2024-11-12,387.11,1634143,381.42,388.12,380.56
2024-11-11,378.86,966242,377.47,381.54,376.14
2024-11-08,375.96,1009226,371.11,377.83,370.83
2024-11-07,369.83,867013,370.34,370.34,366.12
2024-11-06,369.02,1366185,374.0,376.04,364.615
2024-11-05,369.86,1346698,366.24,370.289,363.05
2024-11-04,366.9,730068,368.0,369.69,364.125
2024-11-01,367.15,1860484,358.16,367.76,357.78
2024-10-31,356.28,1383928,360.73,364.01,355.56
2024-10-30,363.43,2242813,365.685,373.73,357.9
2024-10-29,359.01,2173842,354.0,362.36,353.45
2024-10-28,356.01,967742,355.87,356.52,354.15
2024-10-25,352.82,1244464,358.49,361.6,351.2857
2024-10-24,359.9,708143,364.5,366.2376,359.89
2024-10-23,363.24,1313379,364.72,366.97,360.83
2024-10-22,366.02,893466,366.38,367.32,363.085
2024-10-21,367.25,906575,367.45,370.97,366.21
2024-10-18,369.56,1589555,361.15,371.17,360.215
2024-10-17,359.73,820712,362.61,364.53,359.04
2024-10-16,361.31,795954,358.39,362.35,356.14
2024-10-15,358.98,975965,359.02,365.02,357.09
2024-10-14,359.71,698625,356.55,360.91,354.88
2024-10-11,355.6,787931,355.0,358.87,352.93
2024-10-10,353.37,740946,355.0,356.0,351.79
2024-10-09,353.96,861434,350.67,354.49,349.05
2024-10-08,350.79,923168,347.84,351.715,346.56
2024-10-07,345.14,1096180,349.91,349.91,343.95
2024-10-04,351.22,676931,352.39,354.43,347.81
2024-10-03,351.61,850802,354.93,355.29,350.72
2024-10-02,355.11,830118,354.96,356.94,351.3
2024-10-01,357.27,738856,361.69,362.0,355.36
2024-09-30,361.26,790673,358.73,361.55,356.84
2024-09-27,360.27,814377,362.99,364.13,359.77
2024-09-26,361.35,1431782,362.0,363.5,358.3101
2024-09-25,359.5,854946,363.26,363.81,358.75
