date,close,volume,open,high,low
2025-03-13,1330.22,267793,1323.31,1339.12,1311.3501
2025-03-12,1325.37,343219,1327.83,1332.515,1304.79
2025-03-11,1319.87,212950,1332.52,1335.12,1305.27
2025-03-10,1336.05,325729,1324.97,1353.57,1319.8544
2025-03-07,1341.59,329033,1332.88,1343.24,1306.145
2025-03-06,1344.68,271071,1355.25,1367.86,1336.16
2025-03-05,1375.02,206752,1346.99,1376.65,1342.34
2025-03-04,1349.81,261245,1361.04,1378.55,1334.535
2025-03-03,1370.82,246388,1370.0,1382.11,1353.01
2025-02-28,1367.2,267162,1359.89,1370.0,1333.795
2025-02-27,1349.52,156441,1340.9,1360.0,1338.915
2025-02-26,1332.8,150200,1336.72,1345.675,1327.3101
2025-02-25,1333.73,221918,1325.78,1337.31,1304.14
2025-02-24,1313.03,248128,1316.71,1325.83,1289.7615
2025-02-21,1290.13,198831,1306.27,1319.12,1278.36
2025-02-20,1312.54,150359,1341.17,1350.0,1306.32
2025-02-19,1342.45,319598,1305.0,1347.7374,1305.0
2025-02-18,1299.48,281056,1316.76,1323.52,1292.95
2025-02-14,1314.19,350656,1337.0,1337.0,1298.195
2025-02-13,1335.96,337918,1353.75,1361.35,1328.51
2025-02-12,1353.46,309301,1348.62,1366.14,1335.71
2025-02-11,1361.37,262933,1333.3,1364.7,1323.9
2025-02-10,1335.3,199180,1331.13,1335.8,1312.695
2025-02-07,1327.34,222342,1323.0,1330.78,1308.59
2025-02-06,1299.35,406212,1288.86,1312.99,1265.9
2025-02-05,1291.51,373348,1313.56,1314.305,1276.475
2025-02-04,1307.66,544520,1253.46,1362.16,1253.46
2025-02-03,1352.78,359381,1333.59,1358.0,1331.61
2025-01-31,1353.34,192054,1367.75,1371.68,1350.52
2025-01-30,1364.89,198115,1347.0,1367.2699,1345.89
2025-01-29,1338.92,191757,1325.59,1346.935,1325.59
2025-01-28,1329.48,214799,1352.7,1353.0,1320.72
2025-01-27,1344.23,236686,1328.77,1347.41,1323.99
2025-01-24,1341.82,185161,1349.41,1349.52,1336.88
2025-01-23,1349.98,239558,1379.14,1379.463,1337.915
2025-01-22,1354.0,204070,1360.0,1362.99,1343.05
2025-01-21,1358.01,198407,1357.92,1365.5399,1346.86
2025-01-17,1340.02,213229,1328.2,1341.05,1323.355
2025-01-16,1322.02,229398,1298.16,1330.0,1297.33
2025-01-15,1293.53,292124,1315.22,1315.38,1282.41
2025-01-14,1300.73,211169,1285.09,1307.39,1284.1
2025-01-13,1278.46,221560,1253.09,1280.47,1252.9453
2025-01-10,1262.11,266857,1273.45,1287.2,1260.46
2025-01-08,1282.32,319543,1255.52,1284.2,1240.34
2025-01-07,1252.13,190939,1248.86,1263.1899,1242.49
2025-01-06,1251.32,363545,1276.62,1276.84,1245.815
2025-01-03,1275.56,219743,1256.9,1282.245,1256.9
2025-01-02,1254.11,297706,1271.86,1272.045,1245.335
2024-12-31,1267.28,256592,1282.33,1289.18,1261.975
2024-12-30,1279.91,216618,1267.31,1287.78,1266.84
2024-12-27,1290.9,153963,1289.17,1297.896,1283.66
2024-12-26,1301.23,108493,1298.87,1302.49,1291.39
2024-12-24,1301.66,91517,1287.15,1301.66,1283.68
2024-12-23,1290.61,271922,1269.61,1296.55,1263.825
2024-12-20,1276.15,608490,1247.0,1293.38,1247.0
2024-12-19,1260.12,454725,1250.0,1266.14,1246.705
2024-12-18,1239.0,566861,1265.05,1277.64,1238.395
2024-12-17,1274.24,559972,1271.38,1278.82,1256.25
2024-12-16,1280.04,350316,1263.55,1282.84,1258.175
2024-12-13,1259.12,235968,1236.82,1261.65,1234.85
2024-12-12,1240.52,407653,1243.81,1254.0,1235.8
2024-12-11,1246.65,220153,1271.56,1275.37,1245.37
2024-12-10,1261.57,171117,1261.9,1268.83,1251.09
2024-12-09,1258.49,243458,1278.75,1278.75,1250.485
2024-12-06,1279.21,289929,1291.69,1295.29,1268.13
2024-12-05,1292.86,261544,1294.35,1311.505,1285.3832
2024-12-04,1307.81,348576,1257.71,1317.59,1257.71
2024-12-03,1258.71,206829,1254.66,1265.55,1249.825
2024-12-02,1260.47,353481,1265.57,1284.27,1247.47
2024-11-29,1252.97,171083,1262.8,1262.8,1240.67
2024-11-27,1249.33,286357,1262.0,1266.5,1244.9407
2024-11-26,1262.61,344856,1260.95,1273.89,1247.62
2024-11-25,1260.98,436892,1268.0,1268.0,1248.24
2024-11-22,1260.32,486580,1239.0,1266.7799,1230.05
2024-11-21,1240.13,567350,1305.2,1311.01,1237.46
2024-11-20,1293.11,377223,1263.13,1297.97,1250.26
2024-11-19,1250.62,319335,1250.89,1257.37,1246.205
2024-11-18,1252.35,268286,1260.96,1266.21,1242.99
2024-11-15,1254.16,481098,1265.43,1279.47,1240.2
2024-11-14,1271.71,667537,1355.12,1355.12,1257.97
2024-11-13,1363.0,227505,1361.93,1377.46,1354.14
