date,close,volume,open,high,low
2025-03-13,136.28,1015999,135.45,138.27,134.37
2025-03-12,135.52,1034203,138.55,139.0198,134.68
2025-03-11,138.82,1443211,138.46,140.19,135.25
2025-03-10,138.47,1704741,139.1,143.14,137.685
2025-03-07,139.85,1127582,136.0,140.31,135.0465
2025-03-06,136.26,898665,133.79,137.475,133.73
2025-03-05,134.17,1400213,130.96,137.555,130.96
2025-03-04,130.79,1523476,134.57,135.795,129.84
2025-03-03,135.13,2114507,134.21,138.8,128.55
2025-02-28,132.75,5861075,135.45,137.92,130.6
2025-02-27,139.11,3336639,156.5,156.6,135.95
2025-02-26,177.63,765593,176.39,178.79,173.72
2025-02-25,177.63,802489,178.05,180.58,175.85
2025-02-24,177.64,611159,175.36,178.45,173.26
2025-02-21,175.64,397701,174.95,176.205,173.88
2025-02-20,175.13,767692,174.57,176.71,173.34
2025-02-19,174.82,591250,169.26,176.26,167.78
2025-02-18,169.33,537805,167.015,170.2,165.62
2025-02-14,167.43,518347,169.11,169.84,166.76
2025-02-13,167.61,594480,168.68,169.29,166.895
2025-02-12,168.33,488076,170.0,170.485,167.78
2025-02-11,171.31,405563,170.08,171.525,169.99
2025-02-10,171.46,470235,171.77,172.19,170.2075
2025-02-07,171.1,466385,173.29,174.24,170.3
2025-02-06,173.62,456117,175.62,176.745,173.47
2025-02-05,176.03,416025,176.0,176.58,174.29
2025-02-04,174.9,415035,175.14,177.1,174.605
2025-02-03,175.1,939449,179.02,180.045,172.68
2025-01-31,180.24,436744,182.74,184.34,179.96
2025-01-30,182.84,440177,182.07,184.58,181.33
2025-01-29,180.58,330877,181.25,182.085,179.355
2025-01-28,181.18,476276,183.18,183.89,179.99
2025-01-27,183.66,492567,182.12,185.94,181.23
2025-01-24,180.98,585390,180.18,181.81,179.13
2025-01-23,180.74,651011,181.47,181.85,176.655
2025-01-22,180.76,641617,180.42,182.325,179.93
2025-01-21,182.45,593013,182.81,184.39,179.525
2025-01-17,181.27,589843,181.98,182.89,179.23
2025-01-16,181.45,685508,176.97,182.065,175.435
2025-01-15,176.55,600491,180.87,181.9,176.02
2025-01-14,179.17,440737,179.4,181.15,178.5
2025-01-13,178.54,480230,174.5,179.48,172.677
2025-01-10,174.61,757293,175.42,177.495,174.16
2025-01-08,177.96,447466,179.41,179.41,176.82
2025-01-07,179.79,348873,181.35,184.88,179.42
2025-01-06,180.49,496991,181.09,185.35,179.88
2025-01-03,181.75,362737,179.84,182.71,177.42
2025-01-02,179.05,442954,179.7,180.9237,177.89
2024-12-31,177.98,266758,177.97,179.765,177.325
2024-12-30,177.05,335530,178.18,178.495,175.27
2024-12-27,179.51,317457,179.39,181.19,178.15
2024-12-26,180.14,458354,175.95,180.76,175.55
2024-12-24,177.26,114964,178.91,178.91,176.38
2024-12-23,178.25,343919,177.03,178.6,175.41
2024-12-20,178.16,1355914,175.25,179.09,174.965
2024-12-19,174.79,752039,172.01,176.0,171.69
2024-12-18,172.66,383401,177.4,178.54,172.445
2024-12-17,178.28,410938,176.88,181.13,176.88
2024-12-16,177.25,666992,179.4,182.115,176.65
2024-12-13,180.14,327161,183.06,184.3715,179.82
2024-12-12,183.31,382280,183.36,185.78,182.85
2024-12-11,183.62,363682,186.82,187.3525,182.8
2024-12-10,186.52,326717,187.11,188.7799,183.9
2024-12-09,187.04,397336,184.19,188.87,184.19
2024-12-06,184.65,270563,187.49,188.6,184.23
2024-12-05,186.47,494744,186.79,188.78,186.08
2024-12-04,187.33,525123,188.19,189.6054,185.53
2024-12-03,188.13,518653,193.63,195.24,185.27
2024-12-02,194.31,514868,191.7,194.95,190.0
2024-11-29,192.85,400527,191.06,193.42,191.05
2024-11-27,192.0,278612,192.66,193.95,191.4
2024-11-26,191.01,439411,195.36,195.36,188.95
2024-11-25,194.64,873368,193.81,195.42,192.65
2024-11-22,191.71,309439,191.42,193.49,190.455
2024-11-21,190.64,360672,188.21,191.23,187.47
2024-11-20,187.43,588502,192.26,192.35,185.66
2024-11-19,193.07,567252,192.3,194.41,189.93
2024-11-18,194.43,480573,191.47,195.47,191.47
2024-11-15,192.15,515661,190.78,193.0,189.9471
2024-11-14,190.78,284578,193.51,194.305,190.51
2024-11-13,193.98,365077,195.78,197.43,193.49
2024-11-12,195.58,453263,198.25,200.15,195.37
2024-11-11,198.02,501987,196.03,199.5,195.49
2024-11-08,195.55,645597,198.07,199.35,194.5801
2024-11-07,198.03,608193,202.94,203.33,195.98
2024-11-06,201.92,640750,208.27,208.27,200.17
2024-11-05,203.5,532844,205.99,209.67,203.39
2024-11-04,207.33,773708,210.31,212.16,206.25
2024-11-01,211.21,1057520,201.94,212.77,201.94
2024-10-31,201.06,1484969,207.36,215.13,195.5101
2024-10-30,235.22,439098,235.63,238.39,234.77
2024-10-29,236.44,244151,236.14,239.125,235.3
2024-10-28,236.63,245790,235.39,238.0,233.2
2024-10-25,233.63,252156,235.03,236.16,232.95
2024-10-24,235.62,241595,238.98,239.46,235.55
2024-10-23,237.82,233199,236.68,237.95,234.845
2024-10-22,236.71,222584,236.29,237.3,234.17
2024-10-21,236.42,273523,239.31,239.82,235.44
