date,close,volume,open,high,low
2025-03-13,112.81,6018640,114.97,114.97,112.1
2025-03-12,115.34,4063712,117.4,117.4,114.8575
2025-03-11,116.12,6518912,117.46,117.61,115.73
2025-03-10,117.61,5952173,118.78,119.785,116.99
2025-03-07,119.27,6230165,120.01,120.58,117.25
2025-03-06,120.65,4834084,121.56,122.82,120.1521
2025-03-05,123.04,6705325,121.34,123.23,121.2
2025-03-04,121.74,6264277,122.79,123.2,121.24
2025-03-03,123.54,4817534,124.43,125.99,123.06
2025-02-28,124.76,6043215,123.6,124.9,123.35
2025-02-27,123.49,5259568,126.0,126.46,123.145
2025-02-26,124.89,7545178,125.88,127.58,123.0
2025-02-25,122.7,6373494,121.52,123.38,121.5
2025-02-24,121.47,5292974,121.54,122.5063,121.28
2025-02-21,121.11,5692805,122.93,123.0716,120.67
2025-02-20,122.98,4663116,123.09,123.38,121.9494
2025-02-19,123.42,3678764,123.92,124.0,123.0
2025-02-18,123.83,5121424,124.02,124.35,122.23
2025-02-14,124.34,4193114,126.55,126.745,123.35
2025-02-13,125.85,2885786,124.5,126.12,124.23
2025-02-12,124.41,3453302,123.83,124.55,123.6
2025-02-11,124.68,2571409,124.47,124.82,123.92
2025-02-10,124.97,3765069,125.12,125.66,123.58
2025-02-07,124.69,3216708,126.1,126.8,124.45
2025-02-06,126.16,4769296,125.94,127.48,125.8
2025-02-05,125.51,4381634,125.14,125.555,123.93
2025-02-04,125.14,5804971,124.31,125.39,124.255
2025-02-03,124.31,5635928,123.96,125.31,123.1
2025-01-31,124.79,3268517,125.92,126.22,124.62
2025-01-30,126.09,4334419,124.83,126.48,124.61
2025-01-29,124.21,3930494,124.28,125.303,124.0
2025-01-28,124.34,3350890,124.61,125.45,123.7
2025-01-27,124.9,4734044,123.1,125.315,123.04
2025-01-24,122.73,4470338,122.57,123.4775,122.31
2025-01-23,122.6,3821384,122.5,123.065,122.205
2025-01-22,122.57,4256869,123.41,123.485,121.345
2025-01-21,123.3,4859826,123.68,124.485,122.7124
2025-01-17,121.85,4752776,122.58,122.838,121.47
2025-01-16,121.38,3840339,119.55,121.69,119.23
2025-01-15,119.11,4906373,120.34,120.4172,118.47
2025-01-14,119.24,4652737,120.5,120.6,118.69
2025-01-13,119.89,4603726,120.06,120.195,117.89
2025-01-10,120.06,4355169,121.48,122.29,119.7482
2025-01-08,121.65,5219221,120.17,122.01,119.51
2025-01-07,120.14,4500296,121.09,121.77,120.03
2025-01-06,120.88,5963626,120.74,121.72,120.36
2025-01-03,120.73,3897866,121.55,121.79,120.02
2025-01-02,121.15,3424512,121.71,122.14,120.75
2024-12-31,120.81,3600133,121.89,121.89,120.35
2024-12-30,121.09,3976896,122.21,122.64,120.61
2024-12-27,123.94,3471576,123.92,124.76,123.69
2024-12-26,125.01,2893004,123.45,125.23,123.4
2024-12-24,123.49,1476071,121.99,123.49,121.76
2024-12-23,121.77,5436903,121.54,122.13,120.3
2024-12-20,122.0,11714070,121.1,123.535,121.0
2024-12-19,121.2,7979777,122.41,123.28,121.01
2024-12-18,121.24,5808721,123.27,124.32,121.16
2024-12-17,123.06,6813118,124.23,124.98,122.9
2024-12-16,123.72,6990492,125.21,125.41,123.37
2024-12-13,124.85,4595839,126.43,126.85,124.83
2024-12-12,126.42,4727931,126.94,127.05,125.85
2024-12-11,126.81,5440777,127.31,127.91,126.57
2024-12-10,127.2,6185998,126.16,127.4,124.94
2024-12-09,125.9,6245815,126.4,126.73,125.52
2024-12-06,126.09,4064762,126.44,127.14,125.68
2024-12-05,125.92,4768001,125.57,126.81,125.25
2024-12-04,125.5,4785875,124.76,125.74,124.15
2024-12-03,124.75,3916013,126.59,126.8,124.25
2024-12-02,126.19,4819030,126.39,127.62,126.0704
2024-11-29,125.69,2846727,126.14,126.56,125.69
2024-11-27,126.36,4491371,126.3,128.0,126.17
2024-11-26,126.2,4724975,125.04,126.44,124.43
2024-11-25,124.79,8925212,121.94,125.43,121.86
2024-11-22,121.47,6398496,120.25,121.71,119.06
2024-11-21,119.77,5204293,119.87,119.91,117.7801
2024-11-20,119.74,8990951,119.44,120.7,116.75
2024-11-19,119.56,5794496,119.37,119.9,118.03
2024-11-18,119.67,5137582,120.01,120.97,119.46
2024-11-15,119.97,5103496,119.73,120.61,119.34
2024-11-14,119.91,5581192,120.18,122.1,119.91
2024-11-13,121.13,4510973,119.91,121.92,119.885
2024-11-12,119.85,3943265,118.67,120.02,117.78
2024-11-11,118.06,3537507,118.21,118.98,117.69
2024-11-08,117.83,5785802,116.51,118.61,116.47
2024-11-07,116.85,6897661,115.79,117.58,115.52
2024-11-06,115.63,11891310,116.14,116.95,114.08
2024-11-05,113.75,2962772,112.56,113.82,112.45
2024-11-04,112.69,4006852,112.74,113.53,111.73
2024-11-01,112.39,5067642,113.31,113.88,112.375
2024-10-31,113.03,3874602,112.35,113.56,112.04
2024-10-30,112.95,3763720,114.1,114.14,112.49
2024-10-29,114.11,3576576,113.16,114.97,112.78
2024-10-28,114.17,2798944,114.66,115.0,113.66
2024-10-25,113.82,2686905,114.57,114.81,113.57
2024-10-24,114.2,2847816,114.84,115.39,114.09
2024-10-23,114.22,4156437,114.62,115.2,114.13
2024-10-22,115.19,3900324,115.84,115.96,114.69
2024-10-21,115.66,4495568,117.56,117.62,114.8676
2024-10-18,117.71,3478101,117.86,118.14,117.14
2024-10-17,117.48,2934419,118.07,118.56,117.21
2024-10-16,117.4,4688868,116.3,117.5,116.04
2024-10-15,116.76,7378523,115.83,117.67,115.54
2024-10-14,115.24,4697410,114.015,115.36,113.65
2024-10-11,113.73,3865588,112.63,113.875,112.35
2024-10-10,112.59,3453184,113.73,113.82,112.22
2024-10-09,113.98,3970789,113.42,114.23,113.19
2024-10-08,113.45,6289522,112.8,113.56,111.89
