date,close,volume,open,high,low
2025-03-13,259.1,4196568,256.73,263.28,256.26
2025-03-12,255.61,3983032,254.51,256.96,248.26
2025-03-11,256.67,5171129,258.8,259.9158,252.515
2025-03-10,266.63,5173471,263.99,271.59,263.345
2025-03-07,265.24,3289848,262.43,266.6065,261.3349
2025-03-06,262.95,3276637,261.48,263.97,259.33
2025-03-05,262.74,5161017,261.01,263.54,257.48
2025-03-04,264.65,4694577,273.115,274.95,264.4501
2025-03-03,272.83,4025376,269.29,276.49,269.29
2025-02-28,269.69,4721100,266.27,269.99,263.89
2025-02-27,264.17,3561987,263.23,266.29,262.14
2025-02-26,263.58,4473441,266.172,267.5,261.96
2025-02-25,270.54,3516465,269.23,272.7,268.2766
2025-02-24,268.13,4141327,267.97,273.4,267.565
2025-02-21,265.17,3554397,265.435,267.66,263.5
2025-02-20,265.4,2795066,263.0,265.745,262.16
2025-02-19,263.35,3788019,262.7,264.25,259.83
2025-02-18,263.21,3879310,270.0,270.7488,262.55
2025-02-14,270.815,4835552,266.69,271.41,264.4
2025-02-13,265.08,3859940,255.05,266.0,255.0
2025-02-12,255.28,3220033,256.39,259.59,255.16
2025-02-11,258.7,2598224,255.115,259.46,253.35
2025-02-10,255.83,4887564,254.925,256.48,251.25
2025-02-07,246.24,3434762,247.5,250.5,246.1
2025-02-06,247.17,3272200,243.61,247.6,243.42
2025-02-05,242.43,3131411,237.85,242.7,237.635
2025-02-04,237.25,3285908,236.31,240.84,235.39
2025-02-03,238.1,3720012,235.938,238.35,232.6
2025-01-31,232.97,3338009,234.5,235.48,231.0
2025-01-30,234.37,4205176,239.21,240.84,233.972
2025-01-29,235.15,8859455,238.0,241.4,233.23
2025-01-28,221.14,3975463,220.21,224.16,218.8
2025-01-27,221.43,4153136,216.79,223.3299,216.79
2025-01-24,218.57,3118512,216.845,218.6,215.7357
2025-01-23,216.04,3628414,218.66,219.41,215.37
2025-01-22,218.18,4124311,219.19,220.86,218.08
2025-01-21,219.49,3700423,218.24,220.28,218.13
2025-01-17,218.97,4259865,219.208,219.5,217.635
2025-01-16,215.75,2411392,213.385,216.74,213.385
2025-01-15,214.2,3116086,216.14,217.56,213.88
2025-01-14,214.18,3537351,213.43,214.635,211.34
2025-01-13,213.46,3645128,211.33,215.41,210.71
2025-01-10,211.3,4175486,212.63,213.4454,209.825
2025-01-08,215.52,3270029,214.23,215.76,212.195
2025-01-07,212.335,5039252,211.38,215.43,211.38
2025-01-06,212.38,5639652,213.45,215.0,208.39
2025-01-03,219.11,2738187,221.15,221.35,218.87
2025-01-02,219.53,2850958,222.18,222.52,218.65
2024-12-31,220.73,2120091,220.16,221.67,219.88
2024-12-30,220.66,2160991,222.77,223.02,219.2201
2024-12-27,223.02,2150128,222.1,224.06,221.26
2024-12-26,223.68,1902977,221.0,224.67,220.53
2024-12-24,223.01,1411842,221.8,223.7,221.185
2024-12-23,221.66,3081821,219.89,222.405,217.89
2024-12-20,220.31,9116076,218.0,221.465,217.99
2024-12-19,218.0,4958768,220.06,221.75,217.79
2024-12-18,220.69,5197113,219.4,223.2,219.32
2024-12-17,220.71,7729824,229.32,229.7,218.9158
2024-12-16,229.47,4489719,233.09,233.33,228.37
2024-12-13,231.94,2895594,232.8,232.8,230.73
2024-12-12,233.27,4067645,231.13,233.94,230.02
2024-12-11,234.34,3439428,233.19,236.82,233.03
2024-12-10,233.5,5352849,234.84,235.6194,230.61
