date,close,volume,open,high,low
2025-03-13,51.66,4827972,52.22,52.81,51.59
2025-03-12,52.36,4248677,53.45,53.86,52.34
2025-03-11,53.92,8280521,56.71,57.208,53.84
2025-03-10,57.21,7456118,56.98,59.73,56.76
2025-03-07,56.89,6108625,54.37,57.12,54.12
2025-03-06,54.59,4878200,54.59,54.88,54.09
2025-03-05,54.95,4735694,54.91,55.16,54.15
2025-03-04,55.1,5203209,54.78,56.07,54.27
2025-03-03,54.9,4846502,55.4,55.98,54.62
2025-02-28,55.35,5014434,54.94,55.53,54.31
2025-02-27,54.72,3184127,54.95,55.53,54.5601
2025-02-26,55.14,4009313,56.98,57.325,54.92
2025-02-25,57.01,5910687,56.06,57.645,55.76
2025-02-24,56.06,6782081,56.4,56.5586,55.315
2025-02-21,56.37,4037288,57.78,57.95,56.1
2025-02-20,57.74,2643220,57.93,57.99,57.23
2025-02-19,57.86,4111684,57.49,58.06,56.42
2025-02-18,57.72,4424687,57.4,57.76,56.64
2025-02-14,57.14,4901550,57.21,57.37,56.59
2025-02-13,56.99,7402454,56.0,57.035,55.7796
2025-02-12,55.87,4078876,54.43,55.925,54.07
2025-02-11,54.97,5753041,54.32,55.06,53.89
2025-02-10,54.43,4881783,53.15,54.61,53.045
2025-02-07,52.95,6337948,53.17,53.39,52.5
2025-02-06,53.06,7711296,53.61,53.76,52.76
2025-02-05,53.61,4064062,54.3,54.3,53.46
2025-02-04,54.04,6172645,54.65,54.89,53.74
2025-02-03,54.58,6833912,53.5,55.22,53.39
2025-01-31,54.36,9309357,54.52,54.9,53.31
2025-01-30,54.29,9205378,54.04,55.43,53.5001
2025-01-29,57.16,6908800,57.24,58.41,56.94
2025-01-28,57.38,4135049,57.65,58.96,57.36
2025-01-27,57.93,4213733,57.41,58.72,57.38
2025-01-24,57.94,3384402,57.42,58.02,57.235
2025-01-23,57.38,5468442,57.5,58.319,57.26
2025-01-22,57.47,4867170,56.83,58.1199,56.71
2025-01-21,56.88,7910635,54.1,57.06,54.02
2025-01-17,53.66,5583421,54.1,54.72,53.51
2025-01-16,53.53,4715328,52.92,53.73,52.63
2025-01-15,53.1,4975432,53.95,54.42,52.81
2025-01-14,53.18,3845390,54.66,54.83,53.04
2025-01-13,54.57,4980539,54.0,54.66,53.65
2025-01-10,54.59,6356753,54.24,55.8,54.16
2025-01-08,54.39,4148397,53.85,54.5,53.45
2025-01-07,53.87,3537121,53.89,54.21,53.28
2025-01-06,53.65,6099058,52.35,53.8,51.93
2025-01-03,51.93,6346226,52.44,52.69,51.28
2025-01-02,52.38,4838602,53.12,53.64,51.97
2024-12-31,53.06,4204855,52.6,53.64,52.45
2024-12-30,52.59,3997224,54.0,54.08,52.56
2024-12-27,54.56,3466624,55.08,55.57,54.27
2024-12-26,55.49,3416825,54.59,55.588,53.95
2024-12-24,54.49,2000568,53.69,54.5,53.32
2024-12-23,53.69,5348558,53.33,53.92,52.74
2024-12-20,53.92,10938870,52.66,54.43,52.66
2024-12-19,52.806,7494550,53.006,53.362,52.476
2024-12-18,53.038,7129675,55.193,55.193,53.022
2024-12-17,55.042,6116325,55.412,55.648,54.614
2024-12-16,55.304,5854810,57.34,57.4737,55.266
2024-12-13,57.09,3838330,57.248,57.442,56.74
2024-12-12,57.054,3602900,57.072,57.4535,56.596
2024-12-11,57.098,4081370,57.224,57.778,56.958
2024-12-10,56.942,3845650,56.8,57.62,56.4761
2024-12-09,56.746,7367315,56.492,56.9781,55.796
2024-12-06,56.492,5348635,57.116,57.634,56.362
2024-12-05,56.494,5765915,57.356,57.962,55.752
2024-12-04,57.172,4920510,57.0,57.542,56.5375
2024-12-03,56.996,6112635,57.652,57.91,56.566
2024-12-02,58.054,5956025,56.79,58.16,56.094
2024-11-29,56.734,3819470,56.814,57.396,56.509
2024-11-27,56.392,3653615,56.274,57.35,56.235
2024-11-26,56.038,3937915,56.964,57.407,55.99
2024-11-25,57.198,8782300,56.914,57.638,56.74
2024-11-22,56.342,4001635,54.892,56.695,54.892
2024-11-21,54.726,4317905,54.49,55.008,54.108
2024-11-20,54.0,4822800,54.2,54.36,53.57
2024-11-19,54.57,5137830,54.973,55.298,54.4226
2024-11-18,55.364,3266435,54.906,55.577,54.7721
2024-11-15,55.132,4995960,55.24,55.823,54.922
2024-11-14,55.416,3557900,55.854,56.426,55.334
2024-11-13,55.75,2853220,55.738,56.08,55.402
2024-11-12,55.838,4191080,56.216,56.56,55.758
2024-11-11,56.314,4271390,57.824,57.824,55.978
2024-11-08,57.712,6009535,58.198,58.84,57.555
2024-11-07,57.858,6264320,58.086,58.552,57.362
2024-11-06,57.79,12038740,55.41,57.868,55.41
2024-11-05,55.242,5259625,54.11,55.316,54.11
2024-11-04,54.072,4962130,53.628,54.868,53.27
