date,close,volume,open,high,low
2025-03-13,115.23,4629136,115.765,117.47,114.96
2025-03-12,115.26,4970937,115.9,116.07,114.95
2025-03-11,116.36,6498313,120.27,120.58,115.9404
2025-03-10,120.62,6279869,121.04,123.7,120.045
2025-03-07,121.62,5635793,119.6,121.66,119.32
2025-03-06,120.5,5742074,118.935,120.58,118.17
2025-03-05,119.02,6812003,117.48,119.59,117.315
2025-03-04,116.79,5387043,118.49,118.66,116.595
2025-03-03,119.26,5165125,119.82,120.98,118.77
2025-02-28,119.03,8754868,117.8,119.63,117.8
2025-02-27,117.63,4821600,117.0,118.73,116.99
2025-02-26,116.89,3445341,118.1,118.573,116.72
2025-02-25,118.11,4985615,116.46,118.34,116.46
2025-02-24,116.16,6269889,116.58,118.08,115.86
2025-02-21,116.33,6459937,116.45,116.85,115.255
2025-02-20,116.6,5801169,114.97,116.63,114.85
2025-02-19,115.0,4252012,114.96,115.44,114.2501
2025-02-18,115.42,5407835,114.55,115.78,113.922
2025-02-14,116.22,5942315,116.055,116.76,115.66
2025-02-13,115.64,5854015,114.54,116.13,114.3517
2025-02-12,114.26,5172931,113.35,114.8417,113.29
2025-02-11,114.53,4589131,114.0,114.705,113.415
2025-02-10,114.16,6101467,113.52,114.77,112.76
2025-02-07,113.11,4830714,113.87,113.96,112.62
2025-02-06,113.47,6318203,112.35,113.87,112.27
2025-02-05,111.9,7122930,111.72,112.67,111.01
2025-02-04,111.77,9347797,111.34,112.15,110.21
2025-02-03,111.29,12635200,112.33,112.56,109.4
2025-01-31,114.23,15866060,115.01,116.59,113.36
2025-01-30,114.9,41170420,117.39,117.98,109.62
2025-01-29,133.78,4262114,136.03,136.58,133.6273
2025-01-28,135.42,3094469,135.76,136.99,135.3501
2025-01-27,136.26,4944374,133.9,136.86,133.74
2025-01-24,133.03,3212277,133.4,133.9,132.53
2025-01-23,133.61,3282621,132.94,133.67,132.01
2025-01-22,132.55,4420652,132.66,133.43,131.25
2025-01-21,132.87,5283149,130.42,133.57,130.15
2025-01-17,129.73,4261052,130.15,130.58,129.43
2025-01-16,129.94,5471669,129.505,130.66,128.7679
2025-01-15,127.47,4315931,127.5,127.9555,126.58
2025-01-14,125.84,4247608,125.37,125.93,124.56
2025-01-13,125.01,6939181,123.34,125.17,121.56
2025-01-10,123.28,5231805,125.01,125.43,122.9
2025-01-08,126.76,4536284,125.91,126.78,125.22
