date,close,volume,open,high,low
2025-03-13,95.73,1368083,94.98,95.8699,94.35
2025-03-12,95.43,1373937,97.26,97.77,95.36
2025-03-11,96.99,2197353,100.59,100.59,96.92
2025-03-10,100.33,1437409,99.76,102.44,99.0101
2025-03-07,100.12,1444817,97.58,100.27,97.3
2025-03-06,97.95,1175122,98.23,98.56,97.15
2025-03-05,98.62,1427133,98.0,99.61,97.6417
2025-03-04,98.88,1281523,99.45,100.76,98.7527
2025-03-03,99.87,1009586,99.81,101.435,98.98
2025-02-28,99.76,1947750,99.55,100.48,98.95
2025-02-27,99.16,847770,99.39,100.75,98.99
2025-02-26,99.72,1237684,101.15,101.46,99.39
2025-02-25,100.65,1990659,100.62,102.25,99.4001
2025-02-24,100.07,1592854,98.6,100.28,97.9433
2025-02-21,98.15,2816519,97.33,98.33,96.6
2025-02-20,97.72,1114772,97.41,97.92,96.65
2025-02-19,97.68,1195587,97.67,98.12,96.82
2025-02-18,97.9,2388254,97.9,98.38,96.99
2025-02-14,97.99,974522,99.99,99.99,97.98
2025-02-13,99.75,1576387,100.27,100.55,98.55
2025-02-12,100.06,1205978,98.81,100.51,98.5
2025-02-11,99.81,938484,99.6,100.12,98.28
2025-02-10,99.78,1461479,99.26,100.38,98.49
2025-02-07,98.81,2182954,98.33,99.23,96.69
2025-02-06,98.44,2281095,96.01,98.49,95.63
2025-02-05,95.81,2627796,100.69,102.0,95.52
2025-02-04,100.98,2065565,102.2,103.38,100.8
2025-02-03,101.17,1484369,102.02,102.59,100.49
2025-01-31,103.39,994935,103.67,104.7,103.35
2025-01-30,103.85,881455,103.63,104.4,102.99
2025-01-29,102.85,891703,103.39,104.0,102.63
2025-01-28,103.45,1265948,103.32,104.48,102.6
2025-01-27,103.28,2060251,101.94,103.38,101.76
2025-01-24,101.75,1441517,102.86,103.11,101.31
2025-01-23,103.27,1680125,102.75,103.69,102.1
2025-01-22,102.71,1190399,103.16,103.425,102.43
2025-01-21,103.09,1761293,102.81,103.55,102.06
2025-01-17,102.94,1372681,104.25,104.435,102.9
2025-01-16,104.05,1369689,102.71,104.46,102.02
2025-01-15,102.55,1718124,104.2,104.78,102.34
