date,close,volume,open,high,low
2025-03-13,225.04,1604448,226.05,227.97,224.0
2025-03-12,227.17,1581596,227.31,228.84,224.76
2025-03-11,224.71,1883965,219.94,225.89,218.83
2025-03-10,221.34,3326496,217.38,222.6,215.08
2025-03-07,220.9,3779003,233.19,233.69,218.705
2025-03-06,235.17,1429765,238.0,238.6,233.03
2025-03-05,240.35,1330021,237.07,241.82,234.41
2025-03-04,234.86,1547586,237.34,239.59,228.17
2025-03-03,239.77,1224562,249.72,250.44,238.85
2025-02-28,247.31,1009662,247.7,248.46,243.245
2025-02-27,245.12,720559,249.24,252.24,245.09
2025-02-26,250.53,692883,250.06,253.63,249.5322
2025-02-25,249.79,1313505,251.61,252.96,246.1655
2025-02-24,251.56,865980,253.37,254.585,250.9813
2025-02-21,252.86,782647,260.68,260.68,251.31
2025-02-20,258.59,708832,263.5,263.72,256.51
2025-02-19,264.97,1071810,266.55,270.115,263.31
2025-02-18,272.76,1433349,280.15,280.335,271.135
2025-02-14,270.46,927825,270.24,272.265,267.77
2025-02-13,269.33,934742,265.84,269.86,264.255
2025-02-12,263.81,1091017,255.33,266.64,253.5434
2025-02-11,267.77,893241,266.83,269.19,265.5206
2025-02-10,268.56,616642,274.35,274.465,268.2
2025-02-07,272.92,486262,276.76,277.73,272.42
2025-02-06,277.21,710608,276.55,277.99,274.215
2025-02-05,274.33,758179,274.29,274.68,271.43
2025-02-04,272.07,629654,273.36,273.96,271.14
2025-02-03,271.16,961843,270.32,272.5,267.27
2025-01-31,274.15,719961,276.69,277.4,273.825
2025-01-30,276.36,575658,273.57,277.1399,272.88
2025-01-29,272.2,623611,275.58,276.0,272.05
2025-01-28,275.1,543589,276.2,279.06,273.45
2025-01-27,274.99,667202,274.31,275.59,273.2825
2025-01-24,277.54,749817,275.6,277.87,274.67
2025-01-23,274.83,536687,275.3,275.8,273.25
2025-01-22,274.38,597799,273.25,275.85,270.06
2025-01-21,275.53,897690,275.39,279.22,273.82
2025-01-17,270.1,668251,270.8,272.53,269.32
2025-01-16,269.17,590424,268.0,269.74,267.09
2025-01-15,268.19,948800,266.53,268.9199,266.37
2025-01-14,260.07,531327,258.18,260.639,257.08
2025-01-13,256.03,732852,249.7,256.25,249.36
2025-01-10,251.69,506850,253.0,253.0,249.72
2025-01-08,255.28,605004,251.9,256.02,250.515
2025-01-07,251.98,779462,255.75,257.9,250.4
2025-01-06,257.38,640061,257.99,261.35,256.805
2025-01-03,257.13,562512,257.47,258.58,254.93
2025-01-02,255.57,641774,260.68,260.68,254.12
2024-12-31,257.23,389630,259.33,260.28,256.71
2024-12-30,258.16,713640,259.12,260.53,257.515
2024-12-27,262.36,409498,262.0,265.23,261.2
2024-12-26,264.55,483442,263.04,265.0,263.04
2024-12-24,264.31,246329,263.0,264.67,262.14
2024-12-23,262.87,656852,261.98,264.45,260.885
2024-12-20,263.13,2007398,259.19,265.82,258.375
2024-12-19,260.92,1061478,265.85,267.62,259.99
2024-12-18,264.89,976142,272.56,277.665,264.73
2024-12-17,272.65,774612,275.39,276.215,272.15
2024-12-16,277.0,595467,276.19,278.43,274.335
2024-12-13,275.77,492601,277.96,278.678,274.085
2024-12-12,278.11,689750,279.9,279.9,277.38
2024-12-11,279.56,919198,279.39,279.9,276.8348
2024-12-10,276.31,775439,279.45,281.01,273.42
2024-12-09,281.23,672038,286.59,288.85,278.83
2024-12-06,286.86,1355213,288.23,289.29,285.7
2024-12-05,287.63,765875,285.0,289.22,282.16
2024-12-04,285.65,616961,285.13,286.89,283.68
2024-12-03,286.5,543115,287.26,289.12,284.59
2024-12-02,287.05,579573,288.32,288.32,285.0775
2024-11-29,288.13,355153,287.92,289.13,287.09
2024-11-27,286.39,386233,290.07,291.69,285.63
2024-11-26,288.4,577638,289.9,290.535,285.915
2024-11-25,290.37,1066659,285.95,291.895,285.66
2024-11-22,284.61,503287,281.35,284.92,280.0901
2024-11-21,281.18,792619,279.49,282.41,277.16
2024-11-20,277.81,714358,278.53,278.53,276.29
2024-11-19,278.01,723962,275.09,278.21,273.66
2024-11-18,278.74,491555,280.7,280.7,277.6
2024-11-15,279.28,669613,281.68,283.22,277.6
2024-11-14,282.68,927752,287.32,288.61,281.61
2024-11-13,287.71,580002,288.84,290.92,286.71
2024-11-12,288.38,783369,290.93,292.3829,286.44
2024-11-11,292.04,526928,293.79,295.1,290.68
2024-11-08,292.31,740698,290.58,293.73,290.02
2024-11-07,290.59,1163416,292.11,293.28,288.5579
2024-11-06,290.45,2679074,288.03,298.31,287.6001
2024-11-05,272.67,689408,267.91,272.89,267.69
2024-11-04,268.86,1124157,270.13,272.71,268.2
2024-11-01,270.39,986524,275.3,275.4,270.26
2024-10-31,273.93,1429290,273.85,278.465,273.105
2024-10-30,276.23,1952067,270.0,279.47,267.88
2024-10-29,259.55,1183042,256.9,260.87,254.47
2024-10-28,258.5,1437464,258.44,260.16,257.19
2024-10-25,256.54,742336,258.34,259.31,255.63
2024-10-24,256.14,1281182,253.73,256.54,252.38
2024-10-23,253.57,545480,253.49,254.99,250.76
2024-10-22,253.72,653588,258.95,259.1,253.67
2024-10-21,259.94,902643,261.58,261.58,257.22
2024-10-18,261.72,829144,258.63,262.7999,255.5
2024-10-17,258.64,746690,257.94,259.775,256.39
2024-10-16,256.48,462226,253.01,256.785,251.82
2024-10-15,252.79,972912,250.0,257.8,249.685
2024-10-14,248.7,1387341,247.91,249.44,244.63
2024-10-11,247.51,607511,243.94,248.53,243.94
2024-10-10,243.9,909639,239.36,245.54,238.7
2024-10-09,241.64,869784,238.19,243.345,236.55
2024-10-08,238.19,853259,238.2,239.59,236.63
2024-10-07,238.03,971091,238.61,240.3025,237.33
2024-10-04,241.43,532627,243.18,243.2,239.41
2024-10-03,241.1,524829,240.23,242.94,238.6
2024-10-02,240.46,930752,244.44,245.985,239.97
2024-10-01,247.49,667502,249.78,251.73,244.42
2024-09-30,250.43,795260,249.25,250.91,246.02
2024-09-27,250.24,777653,251.17,252.365,248.2
2024-09-26,250.58,887806,254.08,257.01,249.63
2024-09-25,249.63,922058,251.94,251.94,249.34
2024-09-24,249.87,1079706,253.09,253.83,247.39
2024-09-23,252.33,728538,252.6,253.8,250.325
2024-09-20,252.05,1697639,258.18,258.18,250.74
2024-09-19,253.67,1015200,250.0,254.01,246.44
2024-09-18,244.4,679414,245.71,249.58,244.265
2024-09-17,245.12,757555,243.36,247.0,242.0439
2024-09-16,242.87,894659,238.05,243.33,237.0
2024-09-13,237.47,726323,236.0,239.635,235.46
2024-09-12,236.27,680084,233.52,237.33,233.52
2024-09-11,232.95,1552979,231.5,233.369,225.36
2024-09-10,232.95,1076936,233.73,233.82,231.03
2024-09-09,231.83,1757148,232.9,234.66,230.95
2024-09-06,231.97,1161464,234.03,236.03,231.56
2024-09-05,232.16,727644,234.11,235.04,230.72
2024-09-04,234.83,1009418,239.09,240.01,232.69
2024-09-03,239.02,933447,241.65,244.0,237.68
2024-08-30,245.21,844615,242.29,245.87,241.37
2024-08-29,241.28,866649,237.52,243.4149,236.8521
2024-08-28,235.77,1835059,241.81,242.39,235.09
2024-08-27,240.41,1007336,249.02,250.0016,237.17
2024-08-26,250.68,447624,256.33,257.54,250.23
2024-08-23,254.89,1252331,250.26,257.42,249.655
2024-08-22,247.98,680587,248.75,250.235,246.665
2024-08-21,247.84,920689,247.23,249.88,246.79
2024-08-20,245.6,533967,244.23,246.79,244.23
2024-08-19,244.29,660452,244.61,245.615,242.18
2024-08-16,244.43,490890,247.06,247.0622,243.595
2024-08-15,246.57,1028898,245.87,247.09,242.34
2024-08-14,242.5,876714,245.09,246.3,242.07
2024-08-13,243.84,706027,244.06,245.92,241.79
2024-08-12,241.9,869250,244.23,244.79,239.91
2024-08-09,244.34,887968,246.18,249.13,243.36
2024-08-08,246.33,1196298,242.67,250.77,242.3214
2024-08-07,241.22,1376834,248.49,251.72,241.22
2024-08-06,246.14,2294967,245.61,251.71,238.89
2024-08-05,257.43,1355133,260.0,262.41,252.93
2024-08-02,266.34,986570,268.36,268.36,260.12
2024-08-01,271.13,1316744,273.94,274.98,269.96
2024-07-31,274.51,1458874,271.8,278.79,268.52
2024-07-30,270.0,1205094,268.83,273.325,267.64
2024-07-29,264.53,586815,262.21,265.245,260.94
