date,close,volume,open,high,low
2025-03-13,502.92,1699817.0,493.79,512.75,488.0
2025-03-12,495.42,1368972.0,484.62,496.64,483.09
2025-03-11,488.34,1389925.0,496.86,497.4964,480.28
2025-03-10,500.01,1796715.0,483.39,503.89,480.38
2025-03-07,488.29,1198359.0,485.71,492.34,482.82
2025-03-06,485.72,1325410.0,490.15,491.62,479.78
2025-03-05,491.64,1147351.0,485.25,495.54,483.54
2025-03-04,486.22,1195957.0,485.49,490.7,480.11
2025-03-03,483.31,1282846.0,477.82,490.65,477.73
2025-02-28,479.79,2470731.0,479.9,484.98,474.01
2025-02-27,474.5,1054200.0,475.34,486.07,473.51
2025-02-26,479.1,823601.0,479.93,484.98,474.24
2025-02-25,480.35,1199568.0,480.95,486.14,476.26
2025-02-24,481.65,1245588.0,482.84,487.5,479.05
2025-02-21,484.24,1444082.0,481.36,487.38,479.69
2025-02-20,480.33,1576519.0,474.01,481.18,472.8
2025-02-19,471.76,1454686.0,463.12,472.12,461.91
2025-02-18,462.11,1405517.0,455.06,467.8599,451.99
2025-02-14,459.0,995204.0,462.5,469.55,457.36
2025-02-13,462.58,1350284.0,454.45,465.68,450.6
2025-02-12,453.2,1137957.0,451.83,455.6648,446.0
2025-02-11,455.22,1561257.0,459.83,468.19,452.49
2025-02-10,469.97,1759598.0,470.58,471.94,464.01
2025-02-07,469.32,1192355.0,478.98,480.47,468.7
2025-02-06,481.16,1010848.0,487.79,488.43,478.8101
2025-02-05,488.44,1558001.0,484.5,491.805,481.695
2025-02-04,482.28,2029543.0,468.04,482.74,467.3
2025-02-03,470.37,2189246.0,463.36,473.07,458.735
2025-01-31,461.68,3648821.0,454.17,472.04,447.2
2025-01-30,438.4,1167337.0,443.56,444.275,435.0
2025-01-29,441.52,1026507.0,437.74,442.915,430.81
2025-01-28,440.68,1159684.0,443.88,446.98,438.01
2025-01-27,443.88,1613622.0,436.72,447.72,435.3301
2025-01-24,439.62,1647884.0,438.73,442.66,436.605
2025-01-23,439.73,1658390.0,429.25,442.89,424.54
2025-01-22,428.0,1215748.0,427.89,432.6,424.65
2025-01-21,427.89,1561126.0,427.94,430.53,423.49
2025-01-17,422.0,1773554.0,422.73,428.25,419.27
2025-01-16,416.96,1226092.0,423.41,424.5826,415.15
2025-01-15,424.26,1722228.0,415.13,425.49,415.13
2025-01-14,411.66,1376367.0,411.94,414.5,408.02
2025-01-13,413.37,1859728.0,408.0,416.55,397.245
2025-01-10,409.56,1687867.0,406.17,413.52,405.17
2025-01-08,412.11,1173858.0,410.71,412.36,407.24
2025-01-07,408.32,1679927.0,402.995,410.81,401.54
2025-01-06,402.49,2176538.0,401.31,404.74,399.0
2025-01-03,407.11,1087154.0,407.57,411.65,406.4
2025-01-02,405.76,1277867.0,403.14,409.5975,402.72
2024-12-31,402.7,1048120.0,399.63,404.99,399.63
2024-12-30,399.35,1455983.0,404.54,407.35,399.06
2024-12-27,408.76,1373494.0,405.26,410.98,404.49
2024-12-26,410.65,1191539.0,407.2,411.29,406.02
2024-12-24,408.18,1468555.0,401.53,410.68,401.27
2024-12-23,405.27,2204467.0,391.87,405.93,390.915
2024-12-20,397.27,6203131.0,395.72,401.31,386.49
2024-12-19,396.64,8208717.0,391.0,404.04,377.85
2024-12-18,447.5,1761042.0,467.06,471.05,445.87
2024-12-17,469.24,1304829.0,468.07,474.185,465.62
2024-12-16,468.09,1511252.0,463.37,470.08,462.125
2024-12-13,463.73,1097110.0,462.33,466.7137,459.79
2024-12-12,464.12,958587.0,466.52,470.25,460.05
2024-12-11,468.29,1043840.0,472.31,472.33,460.7385
2024-12-10,469.22,865214.0,473.3,476.458,465.12
2024-12-09,473.98,1260636.0,467.33,476.02,467.0
2024-12-06,462.1,1115377.0,458.06,465.905,456.86
2024-12-05,459.92,1183850.0,461.35,467.06,457.96
2024-12-04,463.98,1220618.0,454.72,464.87,450.0
2024-12-03,456.97,1181804.0,462.86,468.51,455.01
2024-12-02,465.73,960021.0,467.48,468.19,463.05
2024-11-29,468.13,770568.0,463.6,470.9299,462.33
2024-11-27,464.56,1006928.0,464.81,470.4245,462.01
2024-11-26,467.07,1327768.0,464.0,467.96,459.07
2024-11-25,461.71,2168316.0,456.58,462.95,455.825
2024-11-22,450.97,1270384.0,454.3,457.54,449.0401
2024-11-21,450.37,1507791.0,454.24,455.43,445.0
2024-11-20,451.23,1651184.0,448.46,451.7625,445.3839
2024-11-19,448.01,2192552.0,462.8,463.9,447.14
2024-11-18,467.01,1129334.0,465.19,468.875,458.05
2024-11-15,465.7,2581391.0,478.56,479.935,458.1
2024-11-14,483.96,1231557.0,495.62,496.33,483.55
2024-11-13,494.61,1079483.0,491.34,498.25,491.03
2024-11-12,490.0,1364593.0,503.0,508.035,489.02
2024-11-11,501.72,1335553.0,518.27,518.35,500.13
2024-11-08,516.74,1259505.0,507.17,519.88,504.94
2024-11-07,502.45,992325.0,493.7,504.31,486.64
2024-11-06,493.64,1648744.0,505.35,506.65,485.29
2024-11-05,499.88,1723251.0,483.0,503.205,474.0001
2024-11-04,472.8,1247982.0,473.91,475.48,468.77
2024-11-01,471.12,1352751.0,471.06,475.73,463.1446
2024-10-31,475.98,1376037.0,471.58,477.695,468.98
2024-10-30,475.08,721967.0,470.44,475.46,468.47
2024-10-29,470.36,999658.0,476.33,478.06,469.62
2024-10-28,476.37,501452.0,477.95,478.315,474.685
2024-10-25,477.7,1019702.0,477.2,480.41,475.0458
2024-10-24,471.91,674034.0,473.35,477.8399,471.87
2024-10-23,470.05,991373.0,474.47,477.47,464.78
2024-10-22,474.91,1132762.0,479.43,482.87,473.58
2024-10-21,478.09,689638.0,480.17,487.88,477.66
2024-10-18,483.0,2260056.0,498.3,498.63,480.79
2024-10-17,498.73,1018894.0,490.0,499.09,487.9614
2024-10-16,487.25,725082.0,480.82,488.48,480.7
2024-10-15,484.3,1250974.0,487.01,488.0,480.79
2024-10-14,484.82,743902.0,481.64,487.09,478.9
2024-10-11,481.71,940274.0,478.53,482.89,475.87
2024-10-10,476.15,1083365.0,467.49,477.0,464.8455
2024-10-09,467.97,1007042.0,460.0,468.16,456.16
2024-10-08,458.94,1315495.0,452.03,459.87,451.1091
2024-10-07,448.6,914059.0,454.17,454.36,447.7
2024-10-04,455.31,781799.0,454.98,458.14,452.62
2024-10-03,453.55,992854.0,460.0,462.13,452.26
2024-10-02,462.14,897239.0,462.6,468.07,460.55
2024-10-01,469.76,1128879.0,472.0,472.31,461.36
2024-09-30,465.08,807962.0,463.16,467.57,461.4101
2024-09-27,462.88,710761.0,466.01,467.5655,461.49
2024-09-26,463.15,948180.0,462.08,465.32,458.1
2024-09-25,461.76,778341.0,463.09,464.88,458.535
2024-09-24,462.99,1416447.0,459.59,466.085,456.07
2024-09-23,460.0,975049.0,464.92,465.75,458.55
2024-09-20,464.92,2238743.0,474.36,474.9299,463.81
2024-09-19,477.9,939955.0,477.7,483.975,476.2678
2024-09-18,474.16,868204.0,483.78,483.78,473.75
2024-09-17,481.26,1266239.0,486.42,487.2301,477.17
2024-09-16,489.43,695534.0,490.0,490.15,483.95
2024-09-13,485.37,700870.0,480.0,486.06,478.75
2024-09-12,478.65,738368.0,474.74,479.51,468.46
2024-09-11,474.74,947550.0,469.07,476.11,460.69
