date,close,volume,open,high,low
2025-03-13,61.87,1558040,61.78,62.7,61.56
2025-03-12,61.55,1368338,61.75,61.94,60.68
2025-03-11,61.96,2386319,63.01,63.16,61.91
2025-03-10,62.96,1407290,62.25,63.95,62.25
2025-03-07,62.56,1387124,61.95,63.01,61.75
2025-03-06,62.17,1204079,62.28,62.34,61.63
2025-03-05,62.53,1139388,62.16,62.93,62.09
2025-03-04,62.23,1273305,63.79,63.98,62.15
2025-03-03,63.73,1404939,63.03,63.88,63.02
2025-02-28,63.08,1679997,62.63,63.175,62.06
2025-02-27,62.12,1549918,61.6,62.685,61.465
2025-02-26,61.39,2213994,62.56,62.82,61.29
2025-02-25,62.82,1527572,62.78,62.99,62.21
2025-02-24,62.31,2573756,61.12,62.67,61.12
2025-02-21,60.97,1639793,60.3,61.15,60.2
2025-02-20,60.4,1116121,60.38,60.57,59.55
2025-02-19,60.8,1235921,60.4,61.045,60.315
2025-02-18,60.51,1224549,60.5,60.685,60.16
2025-02-14,60.35,1432802,61.32,61.535,60.31
2025-02-13,61.49,1201761,60.77,61.61,60.69
2025-02-12,60.74,1453954,60.79,61.14,60.48
2025-02-11,61.2,1406903,60.95,61.415,60.44
2025-02-10,60.82,1455805,61.33,61.475,60.53
2025-02-07,61.51,1343271,61.42,61.55,61.0
2025-02-06,61.48,1462183,61.36,61.63,60.995
2025-02-05,60.85,1330814,60.72,60.89,60.15
2025-02-04,60.29,1712393,59.73,60.4,59.6
2025-02-03,59.52,1990482,58.57,59.94,58.07
2025-01-31,58.83,2496884,59.03,59.47,58.3
2025-01-30,59.29,1756857,58.84,59.53,58.67
2025-01-29,58.67,2155795,59.03,59.259,58.28
2025-01-28,59.34,2974697,60.72,61.11,58.96
2025-01-27,59.2,2618332,58.22,59.5,57.75
2025-01-24,57.52,2186227,56.88,57.55,56.86
2025-01-23,56.93,2637107,58.47,58.79,56.87
2025-01-22,59.05,2248924,59.54,59.76,58.94
2025-01-21,59.19,2305746,59.62,60.0,59.07
2025-01-17,59.5,7137076,60.51,60.54,59.49
2025-01-16,60.37,1961262,59.91,60.54,59.7401
2025-01-15,59.94,1801590,59.26,59.98,59.155
2025-01-14,58.59,1368000,57.22,58.62,57.0
2025-01-13,57.3,1835315,56.53,57.52,56.525
2025-01-10,56.7,2092725,57.1,57.47,55.97
2025-01-08,58.09,1224956,57.49,58.17,57.04
2025-01-07,57.5,1437901,57.28,58.18,57.15
2025-01-06,57.22,1958234,57.85,58.17,57.05
2025-01-03,57.93,1615978,58.1,58.1,57.44
2025-01-02,58.01,1384926,58.96,58.96,57.87
2024-12-31,58.52,831235,58.78,58.78,58.2
2024-12-30,58.52,794696,58.5,58.81,58.015
2024-12-27,58.97,824466,58.77,59.42,58.66
2024-12-26,59.22,808684,58.67,59.31,58.56
2024-12-24,58.71,544242,58.31,58.7599,58.24
2024-12-23,58.41,2017879,58.15,58.55,57.8
2024-12-20,58.57,4520933,57.84,59.15,56.88
2024-12-19,58.03,1598582,57.97,58.58,57.775
2024-12-18,57.87,1754278,58.77,59.3199,57.85
2024-12-17,58.85,1446142,59.32,59.635,58.76
2024-12-16,59.71,1305909,60.23,60.34,59.67
2024-12-13,60.76,1372499,60.84,61.085,60.63
2024-12-12,60.48,1208355,61.2,61.56,60.44
2024-12-11,60.87,2196388,61.24,61.38,60.43
2024-12-10,61.29,1215690,61.97,61.97,60.38
2024-12-09,62.04,1211743,63.06,63.18,61.96
2024-12-06,62.95,1467240,63.45,63.92,62.71
2024-12-05,63.61,791521,63.69,64.28,63.3701
2024-12-04,63.66,795139,63.34,63.85,63.0
2024-12-03,63.52,1081031,63.85,63.8724,63.05
2024-12-02,63.65,1065468,64.66,64.755,63.57
2024-11-29,64.55,853416,65.13,65.38,64.51
2024-11-27,64.94,1158138,64.53,65.49,64.33
2024-11-26,64.33,1150374,63.19,64.46,62.96
2024-11-25,63.05,1616607,63.25,63.46,62.6701
2024-11-22,62.27,1033504,62.05,62.54,62.05
2024-11-21,62.14,1830005,61.24,62.26,60.9
2024-11-20,60.94,941389,60.52,61.135,59.97
2024-11-19,60.19,829816,60.34,60.5,59.5448
2024-11-18,60.83,1330259,60.46,61.04,60.43
2024-11-15,60.74,2073983,59.61,60.84,59.61
2024-11-14,59.65,1763289,60.05,60.3482,59.42
2024-11-13,60.24,1295251,60.22,60.55,60.03
2024-11-12,60.4,1056024,60.67,60.76,60.08
2024-11-11,60.42,1437247,60.85,61.34,60.38
2024-11-08,60.55,940238,60.12,60.86,59.47
2024-11-07,59.62,1186067,60.58,60.58,59.52
2024-11-06,60.67,1659410,61.15,61.15,59.58
2024-11-05,58.21,994725,57.55,58.23,57.49
2024-11-04,57.53,1351282,57.56,57.87,57.24
2024-11-01,57.5,1317182,57.38,57.89,57.13
2024-10-31,57.17,2347066,57.73,57.98,57.15
2024-10-30,58.02,1164993,58.03,58.295,57.82
2024-10-29,57.62,1703282,58.36,58.73,57.56
2024-10-28,58.41,1430275,58.57,59.0,58.24
2024-10-25,58.16,1826162,59.19,59.355,57.93
2024-10-24,59.31,1822084,59.28,60.035,59.18
2024-10-23,59.13,2206610,58.51,59.17,57.84
2024-10-22,58.53,3651371,60.5,60.5,57.95
2024-10-21,61.03,3249569,61.5,61.96,61.02
2024-10-18,61.26,7725215,61.22,61.6,60.72
2024-10-17,61.04,2536775,60.46,61.29,60.24
2024-10-16,59.28,1574251,59.01,59.55,58.83
2024-10-15,58.92,1827164,59.3,59.98,58.79
2024-10-14,59.26,1629463,58.335,59.44,58.08
2024-10-11,58.57,1040476,58.47,58.95,58.27
2024-10-10,58.1,1469042,59.0,59.12,57.8
2024-10-09,57.99,1442622,57.23,58.3,57.23
2024-10-08,57.47,2107111,56.72,57.73,56.29
2024-10-07,56.48,2528702,57.95,58.155,56.01
2024-10-04,58.51,1434972,57.29,58.725,57.1365
2024-10-03,57.16,1766015,57.64,57.76,56.72
2024-10-02,57.63,2643217,57.15,57.705,56.89
2024-10-01,57.26,2586369,56.54,57.37,56.14
2024-09-30,56.73,2287863,56.57,56.76,55.8
2024-09-27,56.51,1274635,56.5,56.96,56.355
2024-09-26,56.71,1569412,56.22,56.85,55.89
2024-09-25,56.39,1735594,56.94,56.98,56.18
2024-09-24,56.65,1399138,56.99,57.28,56.46
2024-09-23,57.44,1573019,57.36,57.79,57.09
2024-09-20,57.45,5837141,57.15,57.75,57.01
2024-09-19,57.52,1492619,57.91,58.02,57.19
2024-09-18,57.81,1807481,58.38,58.485,57.74
2024-09-17,58.13,3442695,58.76,59.15,58.01
2024-09-16,58.75,1421402,58.7,59.38,58.47
2024-09-13,58.34,1015283,57.85,58.385,57.85
2024-09-12,57.78,1213265,57.2,57.86,56.97
2024-09-11,57.11,1615580,58.37,58.46,56.72
2024-09-10,58.49,1350877,59.54,59.7,58.44
2024-09-09,59.38,1734153,59.07,59.83,58.65
2024-09-06,58.69,1362816,59.02,59.57,58.68
2024-09-05,59.02,2041225,60.76,60.76,58.65
2024-09-04,60.58,1436812,60.6,61.28,60.16
2024-09-03,60.52,1380085,59.55,60.855,59.15
2024-08-30,59.7,1935906,59.19,59.75,59.0986
2024-08-29,59.32,859579,58.85,59.39,58.3
2024-08-28,58.73,1298822,58.78,59.11,58.38
2024-08-27,58.71,965337,58.47,58.8,58.22
2024-08-26,58.3,771547,58.37,58.86,58.255
2024-08-23,58.22,919623,57.99,58.34,57.82
2024-08-22,57.98,632904,57.61,58.03,57.5
2024-08-21,57.62,887783,57.56,57.71,56.8495
2024-08-20,57.35,886429,57.29,57.61,57.115
2024-08-19,57.4,735613,57.46,57.9,57.312
2024-08-16,57.56,1311657,57.79,57.92,57.08
2024-08-15,57.58,1391426,57.62,58.089,57.41
2024-08-14,57.31,1221093,56.79,57.47,56.54
2024-08-13,56.52,1646394,57.17,57.365,56.22
2024-08-12,57.16,1752946,57.335,57.57,57.01
2024-08-09,57.13,1322402,56.88,57.18,56.49
2024-08-08,56.71,1585116,56.0,56.95,55.875
2024-08-07,55.98,2723720,55.39,56.54,55.12
2024-08-06,55.1,2059788,54.88,55.67,54.79
2024-08-05,54.73,2131430,55.66,55.8,53.65
2024-08-02,55.18,1392139,54.7,55.31,53.96
2024-08-01,54.77,1371822,55.38,55.68,53.9
2024-07-31,55.13,2589353,55.34,55.58,54.765
2024-07-30,55.46,1457687,54.2,55.66,53.78
2024-07-29,53.95,993039,54.18,54.47,53.63
2024-07-26,54.07,1384730,52.64,54.155,52.64
2024-07-25,52.47,1552863,52.28,53.225,52.2
2024-07-24,52.29,2155308,52.38,52.96,52.1
2024-07-23,52.21,4001057,53.5,53.9486,51.88
2024-07-22,51.82,4162714,51.77,52.68,51.51
2024-07-19,51.54,4404823,55.55,55.75,51.41
2024-07-18,56.21,1158109,55.82,56.66,55.82
2024-07-17,55.79,1561402,54.85,55.85,54.78
2024-07-16,54.43,1614792,54.14,54.87,54.14
2024-07-15,54.02,1295073,53.58,54.32,53.58
2024-07-12,53.45,1720961,52.79,53.57,52.29
2024-07-11,52.29,1928315,52.62,53.0,51.84
2024-07-10,53.0867,1219312,52.6933,53.1333,52.62
2024-07-09,52.5,1018681,52.92,53.2533,52.48
2024-07-08,53.08,1198272,52.8667,53.3333,52.8
2024-07-05,52.4267,2002237,52.5133,52.7354,52.1267
2024-07-03,52.78,842820,52.4133,52.9,52.2267
2024-07-02,52.8067,1694644,52.38,53.0933,52.38
2024-07-01,52.68,1329213,52.9933,53.4133,52.36
2024-06-28,52.3867,3511707,52.8067,53.18,52.16
2024-06-27,52.92,1322421,52.9333,53.3333,52.73
2024-06-26,52.8733,1220751,53.62,53.62,52.4806
2024-06-25,53.94,1419909,53.9267,54.2133,53.5001
2024-06-24,53.8933,1664556,53.6,54.16,53.3283
2024-06-21,53.66,2825623,54.1533,54.3,53.4133
2024-06-20,54.02,1550215,53.62,54.3667,53.42
2024-06-18,53.4467,1360290,53.04,53.7067,52.9867
2024-06-17,53.1467,1818127,52.22,53.4667,52.22
2024-06-14,52.1,1601806,51.86,52.2033,51.6467
2024-06-13,52.18,2138293,51.1933,52.3267,51.1733
2024-06-12,52.1133,1913232,52.12,52.5033,51.7467
2024-06-11,52.3067,1288408,52.9867,53.0233,52.2467
2024-06-10,53.18,745027,53.3333,53.5314,52.8833
2024-06-07,53.4667,923937,53.3067,53.86,53.16
2024-06-06,53.0733,877531,53.42,53.5733,52.9667
2024-06-05,53.2267,1056726,53.6933,53.74,52.6867
2024-06-04,53.56,2285931,53.2267,53.7933,52.98
2024-06-03,53.38,1370143,53.9467,54.02,53.04
2024-05-31,54.02,2531238,53.1067,54.1133,52.8067
2024-05-30,53.0,1670601,51.8667,53.1733,51.8667
2024-05-29,51.9667,1938999,52.2133,52.5933,51.9333
2024-05-28,52.38,1256928,52.6733,52.9467,52.3533
2024-05-24,52.86,897438,52.7333,52.8867,52.32
2024-05-23,52.5667,1192789,53.2333,53.4733,52.3367
2024-05-22,53.3933,1418569,52.8,53.62,52.8
2024-05-21,52.82,1611874,52.4933,53.4667,52.4933
2024-05-20,52.4467,1038114,52.98,53.06,52.3133
2024-05-17,52.8733,1193448,52.5467,52.8933,52.24
2024-05-16,52.3933,1436943,53.1933,53.3067,52.3133
2024-05-15,52.2467,1918180,52.2133,52.68,52.1333
2024-05-14,52.5533,1237830,52.3,52.6667,52.2667
2024-05-13,52.4067,1227291,53.1,53.2067,52.2933
2024-05-10,53.16,1133842,52.6333,53.18,52.5333
2024-05-09,52.5267,960480,52.2067,52.5867,52.1933
2024-05-08,52.3733,1274251,52.4467,52.8333,52.3333
2024-05-07,52.3667,1511916,52.7333,52.8133,52.2767
2024-05-06,52.4733,1519953,52.6467,52.6467,52.0
2024-05-03,52.3733,1889854,52.3267,52.6525,51.62
2024-05-02,52.6733,2038527,52.1867,52.7733,51.8033
2024-05-01,51.8533,1841679,51.32,52.3933,51.2467
2024-04-30,51.3133,2431659,51.6733,51.6733,51.2333
2024-04-29,51.5867,1590345,51.14,51.6067,51.1267
2024-04-26,51.1,2153065,51.26,51.7532,50.7267
2024-04-25,51.94,2803194,51.7467,52.3333,51.7367
2024-04-24,51.9,4295959,51.8,52.4333,51.24
2024-04-23,52.72,6044898,55.6667,55.8399,52.02
2024-04-22,55.62,2266039,55.26,55.8833,55.0
2024-04-19,54.9333,2927253,54.36,54.9533,54.0067
2024-04-18,53.9867,1655355,54.2867,54.5,53.7333
2024-04-17,53.8067,2505787,54.6467,54.6467,53.58
2024-04-16,54.7467,1576119,54.94,55.1,54.52
2024-04-15,54.6667,1702873,55.52,55.66,54.58
2024-04-12,54.7667,1563633,54.82,55.1168,54.3867
2024-04-11,54.7933,1783239,56.0133,56.0133,54.7533
2024-04-10,55.9533,1708537,55.68,56.3729,55.68
2024-04-09,55.8267,2340016,57.92,58.2333,55.44
2024-04-08,57.8933,1676587,58.1467,58.48,57.76
2024-04-05,58.1733,1745499,58.06,58.42,57.9533
2024-04-04,57.74,1250944,58.1733,58.8467,57.6733
2024-04-03,58.0267,1753074,58.28,58.4,57.86
2024-04-02,58.1733,1836727,58.3467,58.7733,58.0533
2024-04-01,58.3267,1722748,58.8667,58.9133,58.2333
2024-03-28,58.96,2471509,59.0733,59.4567,58.8567
2024-03-27,58.78,1564536,57.86,58.8067,57.86
2024-03-26,57.6933,1833291,57.6133,58.1267,57.4733
2024-03-25,57.8133,1380478,57.5733,57.9733,57.3933
2024-03-22,57.4867,1855405,57.84,57.9866,57.4
2024-03-21,57.2133,1347402,57.4333,57.8,56.9133
2024-03-20,57.5733,1393879,57.28,57.8,57.2067
2024-03-19,57.3333,1694512,57.12,57.54,56.86
2024-03-18,56.66,1366230,56.6667,56.9399,56.4867
2024-03-15,57.0067,3788295,56.28,57.0467,56.0985
2024-03-14,56.82,1716061,56.94,57.06,56.1933
2024-03-13,56.9933,1918746,57.2533,57.3333,56.7233
2024-03-12,57.0867,1883911,56.7733,57.3,56.55
2024-03-11,56.6267,1191792,56.12,57.0433,56.12
2024-03-08,56.2667,1266550,56.04,56.4667,55.86
2024-03-07,56.1267,1301536,56.3333,56.7067,56.1067
2024-03-06,56.4933,1371117,56.0933,56.64,55.68
2024-03-05,56.0333,1591327,55.6533,56.3333,55.6533
2024-03-04,55.74,1552822,55.18,55.88,55.18
2024-03-01,55.1267,1360090,55.8333,55.8333,55.1267
2024-02-29,55.7333,2872206,56.3333,56.4067,55.0733
2024-02-28,56.3733,1303722,56.6667,56.8767,56.34
2024-02-27,56.5867,1077879,56.78,56.82,56.2733
2024-02-26,56.78,1996180,57.1333,57.4467,56.6267
2024-02-23,56.8733,1658446,57.3333,57.5533,56.76
2024-02-22,57.14,2663529,55.84,57.3,55.7067
2024-02-21,55.6533,1876344,54.8667,55.6933,54.6933
2024-02-20,54.6533,1453107,54.8867,55.36,54.6467
2024-02-16,55.0733,1312309,54.9867,55.4567,54.7667
2024-02-15,54.8467,1490863,54.6467,55.2778,54.5867
2024-02-14,54.6133,1580371,54.0867,54.9067,54.0867
2024-02-13,53.96,1790934,54.3667,54.44,53.5
2024-02-12,53.8067,1006516,53.7867,54.25,53.5733
2024-02-09,53.6533,1372125,52.9533,53.68,52.8667
2024-02-08,53.2533,1707070,53.3933,53.5467,52.96
2024-02-07,53.56,1406067,53.8667,53.9011,53.4533
2024-02-06,53.66,1221138,53.96,54.21,53.58
2024-02-05,54.2533,1050723,53.9933,54.4733,53.7067
2024-02-02,53.9133,1678257,53.8267,54.31,53.6067
2024-02-01,53.52,2392872,54.1333,54.2,53.1933
2024-01-31,54.5867,3056674,54.5933,54.9733,54.4333
2024-01-30,54.42,1389976,54.28,54.7533,54.17
2024-01-29,54.1267,2263236,53.9533,54.14,53.5467
2024-01-26,54.3133,2664879,55.42,55.5733,54.2467
2024-01-25,55.5133,4434601,55.6267,56.6733,54.0667
2024-01-24,51.7933,2854159,51.9533,52.18,51.66
2024-01-23,51.1867,2017090,51.38,51.7933,51.01
2024-01-22,51.3867,2706067,50.1733,51.47,50.1
2024-01-19,50.2133,2227066,50.0,50.3533,49.7267
2024-01-18,49.5867,908725,48.9133,49.6267,48.6867
2024-01-17,49.1533,1255291,48.9133,49.6967,48.9067
2024-01-16,48.8667,1426951,48.7467,49.0067,48.48
