datetime,title,source,link,sentiment_class,sentiment_score
1/8/2016 9:29:07 PM,"Texas Instruments, Analog Devices drop potential Maxim bid: Bloomberg",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BYGE1pQazBo/story01.htm,neutral,0.5457168221473694
12/1/2016 3:30:07 PM,"BRIEF-Sprott Resource, Adriana Resources announce TSX Venture exchange acceptance of pricing of $15 mln private placement (SCP, ADI)",Reuters,http://www.businessinsider.com/r-brief-sprott-resource-adriana-resources-announce-tsx-venture-exchange-acceptance-of-pricing-of-15-mln-private-placement-2016-12,neutral,0.7322537899017334
2/15/2017 2:05:01 PM,EARNINGS SUMMARY: Details of Analog Devices Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-analog-devices-q1-earnings-report-1001752913,neutral,0.9359530210494995
3/30/2017 12:40:00 PM,"Research Reports Initiation on Semiconductor Stocks -- Analog Devices, Skyworks Solutions, Amkor Technology, and Superconductor Technologies",PR Newswire,/news/stocks/research-reports-initiation-on-semiconductor-stocks-analog-devices-skyworks-solutions-amkor-technology-and-superconductor-technologies-1001881300,neutral,0.9456734657287598
5/2/2017 12:30:00 PM,"Semiconductor Stocks on Investors' Radar -- Taiwan Semiconductor Manufacturing, Marvell Technology, Analog Devices, and Skyworks Solutions",PR Newswire,/news/stocks/semiconductor-stocks-on-investors-radar-taiwan-semiconductor-manufacturing-marvell-technology-analog-devices-and-skyworks-solutions-1001968672,neutral,0.9486629366874695
5/31/2017 2:18:49 PM,EARNINGS SUMMARY: Details of Analog Devices Q2 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-analog-devices-q2-earnings-report-1002054448,neutral,0.9347032308578491
5/31/2017 2:29:46 PM,Analog Devices Q2 Results Top Estimates; Sees Q3 Above View ,RTTNews,/news/stocks/analog-devices-q2-results-top-estimates-sees-q3-above-view-1002054548,positive,0.8087172508239746
5/31/2017 3:31:00 PM,"Covered Call reports for Analog Devices Inc., Bank of America, JP Morgan Chase, NVIDIA and Verizon Communications include trade ideas that offer returns of 17% or more!",PR Newswire,/news/stocks/covered-call-reports-for-analog-devices-inc-bank-of-america-jp-morgan-chase-nvidia-and-verizon-communications-include-trade-ideas-that-offer-returns-of-17-or-more-1002054978,neutral,0.8494554758071899
6/12/2017 12:20:00 PM,"Technical Reports on Semiconductor Equities -- Marvell Technology, Taiwan Semiconductor Manufacturing, Analog Devices, and Xilinx",PR Newswire,/news/stocks/technical-reports-on-semiconductor-equities-marvell-technology-taiwan-semiconductor-manufacturing-analog-devices-and-xilinx-1002084876,neutral,0.9421373009681702
6/30/2017 12:06:04 AM,Amazon's Echo Dot is outselling Google Home — but many consumers aren't convinced they need a voice assistant,Business Insider,http://www.businessinsider.com/amazons-echo-dot-smart-speaker-outselling-google-home-by-large-margin-2017-6,neutral,0.8425677418708801
8/17/2017 6:08:22 AM,"Analog Devices Names Prashanth Mahendra-Rajah SVP, Finance And CFO ",RTTNews,/news/stocks/analog-devices-names-prashanth-mahendra-rajah-svp-finance-and-cfo-1002263887,neutral,0.953780472278595
8/30/2017 2:12:38 PM,Analog Devices Announces 84% Increase In Q3 Bottom Line,RTTNews,/news/stocks/analog-devices-announces-84-increase-in-q3-bottom-line-1002294561,positive,0.9459378719329834
9/11/2017 2:00:00 PM,Cavium and Enea Deliver Optimized Software and Hardware Platform for uCPE,PR Newswire,/news/stocks/cavium-and-enea-deliver-optimized-software-and-hardware-platform-for-ucpe-655294,neutral,0.7827104330062866
9/14/2017 12:00:00 PM,"Technical Research on Semiconductor Equities -- MoSys, Applied Optoelectronics, Analog Devices, and AXT Inc.",PR Newswire,/news/stocks/technical-research-on-semiconductor-equities-mosys-applied-optoelectronics-analog-devices-and-axt-inc-1002369483,neutral,0.9443514943122864
11/21/2017 2:05:15 PM,EARNINGS SUMMARY: Details of Analog Devices Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-analog-devices-q4-earnings-report-1008934366,neutral,0.9350097179412842
11/29/2017 6:46:00 PM,Environmental Leader Names Sphera Project of the Year Award Winner,PR Newswire,/news/stocks/environmental-leader-names-sphera-project-of-the-year-award-winner-1001562725,positive,0.7680389881134033
2/28/2018 2:03:41 PM,EARNINGS SUMMARY: Details of Analog Devices Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-analog-devices-q1-earnings-report-1017433323,neutral,0.9359530210494995
3/8/2018 4:21:00 PM,"Analog Devices, Inc. -- Moody's assigns Baa1 rating to Analog Devices' proposed senior unsecured debt; outlook positive",Moodys,/news/bonds/analog-devices-inc-moody-s-assigns-baa1-rating-to-analog-devices-proposed-senior-unsecured-debt-outlook-positive-1018416470,positive,0.7390099167823792
3/9/2018 12:02:00 AM,"Analog Devices, Inc. -- Moody's assigns Baa1 rating to Analog Devices' proposed senior unsecured debt; outlook positive",Moodys,/news/bonds/analog-devices-inc-moody-s-assigns-baa1-rating-to-analog-devices-proposed-senior-unsecured-debt-outlook-positive-1018464430,positive,0.7390099167823792
3/9/2018 10:25:00 PM,"Analog Devices, Inc. -- Moody's assigns Baa1 rating to Analog Devices' proposed senior unsecured debt; outlook positive",Moodys,/news/bonds/analog-devices-inc-moody-s-assigns-baa1-rating-to-analog-devices-proposed-senior-unsecured-debt-outlook-positive-1018591847,positive,0.7390099167823792
5/7/2018 5:27:31 PM,BRIEF-Lion E-Mobility Signs Cooperation Agreement With Analog Devices Inc.,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/1bxDJq5u4o8/brief-lion-e-mobility-signs-cooperation-agreement-with-analog-devices-inc-idUSASO0004BT,positive,0.9045639634132385
5/30/2018 11:03:22 AM,"Earnings In Focus: May 30 (ADI, DKS, PVH, KORS) ",RTTNews,/news/stocks/earnings-in-focus-may-30-adi-dks-pvh-kors-1025823487,neutral,0.9333313703536987
5/30/2018 2:25:40 PM,Analog Devices Q2 Profit Surges; Results Beat Estimates - Quick Facts ,RTTNews,/news/stocks/analog-devices-q2-profit-surges-results-beat-estimates-quick-facts-1025842233,positive,0.9437339901924133
6/18/2018 3:00:00 PM,Cantel Expands its Dental Water Solutions Portfolio with Entry into Amalgam Separator Category,PR Newswire,/news/stocks/cantel-expands-its-dental-water-solutions-portfolio-with-entry-into-amalgam-separator-category-1001808712,positive,0.9197816252708435
8/21/2018 3:01:35 PM,What Wall Street expects from Analog Devices's earnings,Markets Insider Automation,/news/stocks/analog_devices-q3-earnings-preview-1027473620,neutral,0.912741482257843
8/22/2018 2:19:22 PM,Analog Devices Q3 Adj. Profit Beats View - Quick Facts ,RTTNews,/news/stocks/analog-devices-q3-adj-profit-beats-view-quick-facts-1027476892,neutral,0.7901657223701477
11/19/2018 3:01:22 PM,Analog Devices is about to announce its earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/analog_devices-stock-q4-earnings-preview-1027738748,neutral,0.9355586171150208
11/20/2018 2:06:36 PM,Analog Devices Q4 adjusted earnings Beat Estimates,RTTNews,/news/stocks/analog-devices-q4-adjusted-earnings-beat-estimates-1027742549,positive,0.8930001854896545
