datetime,title,source,link,sentiment_class,sentiment_score
7/24/2013 11:13:54 PM,Akamai earnings beat estimates as more people watch video online,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/V0tCdzcg318/story01.htm,positive,0.9467288255691528
9/20/2013 8:53:52 PM,SEC charges former Akamai executive whose tips went to Rajaratnam,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GzuEcv8DGX0/story01.htm,negative,0.7573850750923157
9/21/2013 12:24:15 AM,US SEC charges former Akamai exec whose tips went to Rajaratnam,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/GHbgJIBC5Eo/story01.htm,negative,0.6801557540893555
4/26/2016 11:13:42 PM,Akamai revenue rises on demand for cloud security,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/F4m_Wkv_5YI/akamai-results-idINKCN0XN2LT,positive,0.9249703884124756
6/7/2016 8:48:39 PM,"Akamai, Nortek forfeit profits to avoid charges for bribes in China: SEC",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/yW-9F7Y4RBM/us-sec-corruption-idUSKCN0YT27F,neutral,0.7052381038665771
9/28/2016 3:10:26 PM,BRIEF-Akamai acquires data processing provider Concord Systems (AKAM),Reuters,/news/stocks/brief-akamai-acquires-data-processing-provider-concord-systems-akam-1001423494,neutral,0.928683340549469
10/4/2016 2:40:22 PM,BRIEF-Akamai acquires Soha Systems (AKAM),Reuters,/news/stocks/brief-akamai-acquires-soha-systems-akam-1001435205,neutral,0.9430614709854126
10/25/2016 10:08:35 PM,BRIEF-Akamai Q3 non-GAAP earnings per share $0.68 (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-q3-non-gaap-earnings-per-share-068-2016-10,neutral,0.7458638548851013
10/25/2016 10:22:29 PM,Akamai revenue rises nearly 6 pct on demand for cloud security services (AKAM),Reuters,http://www.businessinsider.com/r-akamai-revenue-rises-nearly-6-pct-on-demand-for-cloud-security-services-2016-10,positive,0.9479033350944519
12/19/2016 1:00:07 PM,BRIEF-Akamai buys Cyberfend in an all cash transaction (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-buys-cyberfend-in-an-all-cash-transaction-2016-12,neutral,0.9135720729827881
2/7/2017 10:09:04 PM,EARNINGS SUMMARY: Details of Akamai Technologies Inc Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-akamai-technologies-inc-q4-earnings-report-1001730811,neutral,0.9245277047157288
