datetime,title,source,link,sentiment_class,sentiment_score
11/7/2016 10:46:18 PM,BRIEF-Align Technology names John F. Morici as new cfo (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-names-john-f-morici-as-new-cfo-2016-11,neutral,0.9373642802238464
11/7/2016 10:50:18 PM,BRIEF-Align Technology Q3 earnings per share $0.63 (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-q3-earnings-per-share-063-2016-11,neutral,0.867928147315979
12/23/2016 7:56:03 PM,BRIEF-Align Technology enters agreement to buy four parcels of real estate (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-enters-agreement-to-buy-four-parcels-of-real-estate-2016-12,positive,0.6749574542045593
1/31/2017 11:08:07 PM,BRIEF-Align Technology Q4 earnings per share $0.59 (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-q4-earnings-per-share-059-2017-1,neutral,0.8650274276733398
2/28/2017 2:48:13 PM,BRIEF-Align Technology announces acquisition of its Invisalign distributor for the Brazil market (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-announces-acquisition-of-its-invisalign-distributor-for-the-brazil-market-2017-2,neutral,0.8717707395553589
3/28/2017 3:00:47 PM,BRIEF-Align Technology prevails in additional US patent office proceedings initiated by ClearCorrect (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-prevails-in-additional-us-patent-office-proceedings-initiated-by-clearcorrect-2017-3,positive,0.5347634553909302
4/3/2017 5:26:00 PM,New 52-week Highs On Nasdaq ,RTTNews,/news/stocks/new-52-week-highs-on-nasdaq-1001891210,positive,0.6017306447029114
4/6/2017 10:40:50 PM,BRIEF-Align Technology says CEO Joseph Hogan's 2016 total compensation was $8.9 mln vs $17.4 mln in 2015 – SEC filing (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-says-ceo-joseph-hogans-2016-total-compensation-was-89-mln-vs-174-mln-in-2015--sec-filing-2017-4,negative,0.9418391585350037
4/10/2017 1:00:00 PM,"Research Reports Initiation on Medical Equipment Stocks -- Align, ResMed, Corindus, and Second Sight Medical Products",PR Newswire,/news/stocks/research-reports-initiation-on-medical-equipment-stocks-align-resmed-corindus-and-second-sight-medical-products-1001909882,neutral,0.9426506161689758
5/3/2017 2:56:05 PM,BRIEF-Align Technology announces $50 million accelerated stock repurchase program (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-announces-50-million-accelerated-stock-repurchase-program-2017-5,neutral,0.7143418788909912
5/9/2017 3:00:00 PM,Align Technology Launches Invisalign Brand Marketing Campaign to Challenge Metal Braces as the Status Quo,PR Newswire,/news/stocks/align-technology-launches-invisalign-brand-marketing-campaign-to-challenge-metal-braces-as-the-status-quo-1001994422,positive,0.5438947081565857
5/24/2017 11:50:05 PM,BRIEF-Align technology receives U.S. patents for aligner material (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-receives-us-patents-for-aligner-material-2017-5,neutral,0.5394623875617981
6/10/2017 12:16:00 AM,"Hilton Worldwide, Align Technology, ANSYS Set to Join S&P 500; Teradata and Ryder System to Join S&P MidCap 400",PR Newswire,/news/stocks/hilton-worldwide-align-technology-ansys-set-to-join-s-p-500-teradata-and-ryder-system-to-join-s-p-midcap-400-1002083221,neutral,0.8976293206214905
6/21/2017 4:47:00 PM,"Invisalign® Brand Teams Up With Superstar Athletes Gabrielle Reece, Laird Hamilton, And Their Daughter Reece To Inspire Others To Focus On Achieving Their Personal Goals And Wellbeing",PR Newswire,/news/stocks/invisalign-brand-teams-up-with-superstar-athletes-gabrielle-reece-laird-hamilton-and-their-daughter-reece-to-inspire-others-to-focus-on-achieving-their-personal-goals-and-wellbeing-1002112692,positive,0.65472012758255
7/27/2017 10:48:03 PM,BRIEF-Align Technology reports Q2 diluted EPS $0.85 (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-reports-q2-diluted-eps-085-2017-7,negative,0.8911987543106079
7/28/2017 7:16:39 PM,Align Technology Remains Firmly Positive After Early Rally ,RTTNews,/news/stocks/align-technology-remains-firmly-positive-after-early-rally-1002216001,positive,0.9225749969482422
8/3/2017 12:15:00 PM,"Medical Equipment Stock Performance Review -- Align Technology, Invacare, Globus Medical, and ResMed",PR Newswire,/news/stocks/medical-equipment-stock-performance-review-align-technology-invacare-globus-medical-and-resmed-1002229771,neutral,0.9328151345252991
8/17/2017 11:12:06 AM,"Investors get sweet tooth for Straumann on profit beat, takeovers (STMN, ALGN)",Reuters,http://www.businessinsider.com/r-investors-get-sweet-tooth-for-straumann-on-profit-beat-takeovers-2017-8,neutral,0.7350225448608398
10/18/2017 6:07:03 PM,"Lofty Align Tech shares may rise more on U.S. tax cut, index inclusion (ALGN, MMM, DHR)",Reuters,http://www.businessinsider.com/r-lofty-align-tech-shares-may-rise-more-on-us-tax-cut-index-inclusion-2017-10,positive,0.9298801422119141
10/18/2017 10:35:00 PM,"SmileDirectClub Continues to Disrupt the Status Quo, Fights for Consumer Access",PR Newswire,/news/stocks/smiledirectclub-continues-to-disrupt-the-status-quo-fights-for-consumer-access-1004815567,negative,0.9507026076316833
10/26/2017 10:07:15 PM,BRIEF-Align Technology ‍Q3 revenues up 38.3 pct (ALGN),Reuters,http://www.businessinsider.com/r-brief-align-technology-q3-revenues-up-383-pct-2017-10,positive,0.9434253573417664
