datetime,title,source,link,sentiment_class,sentiment_score
1/13/2005 7:27:00 PM,Sod-Turning Ceremony Marks Start of Construction of First Pediatric HI,PR Newswire,/news/stocks/sod-turning-ceremony-marks-start-of-construction-of-first-pediatric-hi-1009438132,neutral,0.9007321000099182
12/13/2005 8:32:00 PM,PLAVIX(R) (clopidogrel bisulfate) Recommended as Effective Cardiovascular Risk Reduction Treatment for Patients With Established Peripheral Arterial Disease (P.A.D.),PR Newswire,/news/stocks/plavixr-clopidogrel-bisulfate-recommended-as-effective-cardiovascular-risk-reduction-treatment-for-patients-with-established-peripheral-arterial-disease-p-a-d--1000053026,positive,0.8947616815567017
1/18/2006 2:42:00 PM,FDA Grants Priority Review to PLAVIX(R) (Clopidogrel Bisulfate) Supplemental New Drug Application (sNDA) for Additional Type of Heart Attack,PR Newswire,/news/stocks/fda-grants-priority-review-to-plavix-r-clopidogrel-bisulfate-supplemental-new-drug-application-snda-for-additional-type-of-heart-attack-1028241630,positive,0.8210455179214478
1/23/2006 3:12:00 PM,Crohn's Patient Robert Hill Reaches Peak of Antarctica's Tallest Mountain,PR Newswire,/news/stocks/crohns-patient-robert-hill-reaches-peak-of-antarcticas-tallest-mountain-866939,neutral,0.753421425819397
1/25/2006 1:02:00 PM,Bristol-Myers Squibb Company Reports Financial Results for the Fourth Quarter and Twelve Months of 2005 and Announces EPS Guidance for 2006,PR Newswire,/news/stocks/bristol-myers-squibb-company-reports-financial-results-for-the-fourth-quarter-and-twelve-months-of-2005-and-announces-eps-guidance-for-2006-1012388763,neutral,0.9183541536331177
9/28/2006 2:12:00 PM,Crohn's & Colitis Foundation of America and ConvaTec Announce 2006 Great Comebacks Regional Awards Recipients,PR Newswire,/news/stocks/crohns-&-colitis-foundation-of-america-and-convatec-announce-2006-great-comebacks-regional-awards-recipients-1000124648,neutral,0.6399334669113159
11/13/2006 9:32:00 PM,ORENCIA(R) (abatacept) Data Demonstrated Improvement in Children and Adolescents With Juvenile Idiopathic Arthritis as Measured by the Validated ACR Pediatric Criteria,PR Newswire,/news/stocks/orencia-r-abatacept-data-demonstrated-improvement-in-children-and-adolescents-with-juvenile-idiopathic-arthritis-as-measured-by-the-validated-acr-pediatric-criteria-1005290630,positive,0.9553226828575134
11/20/2006 6:27:00 PM,Crohn's and Colitis Foundation of America and ConvaTec Recognize Young Patients With Inflammatory Bowel Disease,PR Newswire,/news/stocks/crohn-s-and-colitis-foundation-of-america-and-convatec-recognize-young-patients-with-inflammatory-bowel-disease-1027845523,neutral,0.6664834022521973
4/13/2007 12:10:00 PM,BARACLUDE(R) (entecavir) Therapy Resulted in Undetectable Levels of Hepatitis B Virus in Cohort of Patients Who Re-Started Treatment,PR Newswire,/news/stocks/baraclude-r-entecavir-therapy-resulted-in-undetectable-levels-of-hepatitis-b-virus-in-cohort-of-patients-who-re-started-treatment-1012353856,positive,0.7428292036056519
11/12/2007 5:55:00 PM,"Post-Hoc Data Show Daily Activity Participation, Independence and Sleep Quality Improved in Adults with Moderate to Severe Rheumatoid Arthritis After Treatment with ORENCIA(R) (Abatacept)",PR Newswire,/news/stocks/post-hoc-data-show-daily-activity-participation-independence-and-sleep-quality-improved-in-adults-with-moderate-to-severe-rheumatoid-arthritis-after-treatment-with-orencia-r-abatacept-1027498817,positive,0.9574458003044128
