datetime,title,source,link,sentiment_class,sentiment_score
4/8/2020 4:59:36 PM,Hovnanian Enterprises among industrial gainers; Carrier Global only loser,Seeking Alpha,https://seekingalpha.com/news/3559414-hovnanian-enterprises-among-industrial-gainers-carrier-global-only-loser?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.8135556578636169
4/8/2020 6:13:19 PM,7 Companies That Deserve to Be S&P 500 Stocks,InvestorPlace,/news/stocks/7-companies-that-deserve-to-be-sp-500-stocks-1029077621,neutral,0.9320712089538574
6/10/2020 1:24:49 PM,Sharp climb has Tusa cash in chips on Carrier,Seeking Alpha,https://seekingalpha.com/news/3581897-sharp-climb-tusa-cash-in-chips-on-carrier?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.5013449192047119
6/10/2020 8:14:18 PM,Carrier Global declares $0.08 dividend,Seeking Alpha,https://seekingalpha.com/news/3582076-carrier-global-declares-0_08-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9254828691482544
6/16/2020 11:36:52 AM,Carrier gets lift as Argus initiates coverage,Seeking Alpha,https://seekingalpha.com/news/3583343-carrier-gets-lift-argus-initiates-coverage?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.5774499773979187
8/26/2020 5:12:49 PM,10 S&P 500 Stocks to Buy for Growth and Value,InvestorPlace,/news/stocks/10-sp-500-stocks-to-buy-for-growth-and-value-1029537355,neutral,0.8114319443702698
8/27/2020 12:04:45 PM,5 Reasons Why Tesla Stock Will Rocket Upward Before Plummeting Back to Earth,InvestorPlace,/news/stocks/5-reasons-why-tsla-stock-will-rocket-1029539788,neutral,0.8720546960830688
10/15/2020 8:21:02 PM,Carrier Global declares $0.08 dividend,Seeking Alpha,https://seekingalpha.com/news/3622646-carrier-global-declares-0_08-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9254828691482544
10/28/2020 3:33:23 PM,Notable earnings before Thursday's open,Seeking Alpha,https://seekingalpha.com/news/3627321-notable-earnings-thursdays-open?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.882573127746582
10/28/2020 5:30:25 PM,Carrier Global Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3627461-carrier-global-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.7593635320663452
10/29/2020 10:34:05 AM,"Carrier Global EPS beats by $0.21, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3628028-carrier-global-eps-beats-0_21-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.7139514684677124
10/29/2020 12:09:48 PM,"Big beat, guidance raise sends Carrier up 4%",Seeking Alpha,https://seekingalpha.com/news/3628207-big-beat-guidance-raise-sends-carrier-up-4?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9350625872612
11/20/2020 6:14:50 PM,3 Infrastructure Stocks Building to the Upside,InvestorPlace,/news/stocks/3-infrastructure-stocks-building-to-the-upside-1029826111,positive,0.7647325992584229
12/4/2020 2:53:06 PM,Sensata strikes strategic long-term agreement with Carrier Global,Seeking Alpha,https://seekingalpha.com/news/3641745-sensata-strikes-strategic-long-term-agreement-carrier-global?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9467015862464905
