,datetime,title,source,link,sentiment_class,sentiment_score
0,7/10/2016 4:28:28 AM,"Exclusive: WellCare, Centene make offers for Aetna assets - sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DSnqVUDXk-A/us-aetna-divestiture-idUSKCN0ZP0TG,neutral,0.9408626556396484
1,10/4/2016 12:40:21 PM,BRIEF-Centene submits final filing for 2017 benefit plan design (CNC),Reuters,/news/stocks/brief-centene-submits-final-filing-for-2017-benefit-plan-design-cnc-1001433977,neutral,0.9476944208145142
2,10/18/2016 6:20:24 PM,BRIEF-Centene says unit to provide managed care services to MO Healthnet Managed Care beneficiaries (CNC),Reuters,/news/stocks/brief-centene-says-unit-to-provide-managed-care-services-to-mo-healthnet-managed-care-beneficiaries-cnc-1001462863,neutral,0.760653018951416
3,10/25/2016 12:18:18 PM,Health insurer Centene's quarterly profit surges 56 pct (CNC),Reuters,http://www.businessinsider.com/r-health-insurer-centenes-quarterly-profit-surges-56-pct-2016-10,positive,0.9095476865768433
4,10/25/2016 12:40:19 PM,BRIEF-Centene Q3 adjusted EPS $1.11 (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-q3-adjusted-eps-111-2016-10,neutral,0.9076404571533203
5,10/26/2016 4:10:18 PM,BRIEF-Centene Corporation announces offering of notes (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-corporation-announces-offering-of-notes-2016-10,neutral,0.9263209700584412
6,10/27/2016 4:38:22 AM,BRIEF-Centene Corporation announces pricing of notes (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-corporation-announces-pricing-of-notes-2016-10,neutral,0.9416599273681641
7,11/4/2016 8:56:18 PM,BRIEF-Centene reaches settlement with Commonwealth of Kentucky (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-reaches-settlement-with-commonwealth-of-kentucky-2016-11,positive,0.8683292865753174
8,11/7/2016 10:36:18 PM,BRIEF-Centene announces new Medicaid contract in Nevada (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-announces-new-medicaid-contract-in-nevada-2016-11,positive,0.6703038811683655
9,11/9/2016 11:36:20 PM,BRIEF-Centene issues $1.2 bln principal amount of its 4.75% senior notes (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-issues-12-bln-principal-amount-of-its-475-senior-notes-2016-11,neutral,0.9118900895118713
10,11/14/2016 8:10:21 PM,BRIEF-Centene says GAO decision upholds TRICARE west region contract award to co's unit (CNC),Reuters,http://www.businessinsider.com/r-brief-centene-says-gao-decision-upholds-tricare-west-region-contract-award-to-cos-unit-2016-11,positive,0.7837275862693787
