datetime,title,source,link,sentiment_class,sentiment_score
5/2/2005 8:32:00 PM,Domino's Pizza(R) Kicks Off Cinco de Mayo Holiday With National Contes,PR Newswire,/news/stocks/domino-s-pizza-r-kicks-off-cinco-de-mayo-holiday-with-national-contes-1018805383,neutral,0.8471328616142273
6/15/2005 5:37:00 AM,Domino's Pizza Crowns Rene DeGuia as the 'World's Fastest Pizza Maker',PR Newswire,/news/stocks/domino-s-pizza-crowns-rene-deguia-as-the-world-s-fastest-pizza-maker-1018614426,positive,0.8301389217376709
12/20/2007 12:30:00 PM,Domino's Pizza Named a Top 10 Franchise Opportunity - Again,PR Newswire,/news/stocks/domino-s-pizza-named-a-top-10-franchise-opportunity-again-1012422519,positive,0.9260985255241394
2/4/2008 11:27:00 PM,Domino's Pizza Delivers One Million Free Pies on 'Super Tuesday',PR Newswire,/news/stocks/domino-s-pizza-delivers-one-million-free-pies-on-super-tuesday-1006014887,positive,0.6455535292625427
3/13/2008 6:10:00 PM,Baby Brooklyn from Scottsdale Wins Free Domino's Pizza,PR Newswire,/news/stocks/baby-brooklyn-from-scottsdale-wins-free-domino-s-pizza-1020124641,neutral,0.8556123971939087
10/5/2016 2:40:20 PM,"INSIGHT-Even with rising wages, robot revolution skips restaurants (PNRA, DPZ)",Reuters,/news/stocks/insight-even-with-rising-wages-robot-revolution-skips-restaurants-pnra-dpz-1001436898,neutral,0.8004837036132812
10/18/2016 3:10:21 PM,BRIEF-Domino's Pizza posts Q3 earnings per share of $0.96 (DPZ),Reuters,/news/stocks/brief-dominos-pizza-posts-q3-earnings-per-share-of-$0-96-dpz-1001462446,neutral,0.5081437230110168
10/18/2016 3:20:22 PM,Domino's revenue jumps more than expected (DPZ),Reuters,/news/stocks/dominos-revenue-jumps-more-than-expected-dpz-1001462445,positive,0.9321883320808411
10/18/2016 10:30:20 PM,UPDATE 1-Domino's delivers growth as restaurant industry struggles (DPZ),Reuters,/news/stocks/update-1-dominos-delivers-growth-as-restaurant-industry-struggles-dpz-1001463407,positive,0.9464727640151978
11/25/2016 4:18:18 PM,BRIEF-Domino's Pizza offering 50 pct off (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-pizza-offering-50-pct-off-2016-11,negative,0.8653104901313782
12/3/2016 12:42:05 PM,BRIEF-Domino's Pizza files shelf for a potential common stock offering (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-pizza-files-shelf-for-a-potential-common-stock-offering-2016-12,neutral,0.9348174929618835
12/7/2016 2:38:03 PM,BRIEF-Domino's opens first store in Sweden (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-opens-first-store-in-sweden-2016-12,neutral,0.8167364001274109
12/19/2016 3:10:03 PM,BRIEF-Domino's Pizza announces launch of ordering on Google Home (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-pizza-announces-launch-of-ordering-on-google-home-2016-12,neutral,0.8042060136795044
1/19/2017 1:28:06 PM,BRIEF-Domino's Pizza to hire 200 new team members (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-pizza-to-hire-200-new-team-members-2017-1,neutral,0.8119016885757446
2/1/2017 12:40:12 PM,BRIEF-Domino's Pizza to add full ordering on Facebook messenger (DPZ),Reuters,http://www.businessinsider.com/r-brief-dominos-pizza-to-add-full-ordering-on-facebook-messenger-2017-2,neutral,0.9178605079650879
2/2/2017 3:57:25 PM,"Domino's expands Messenger ordering ahead of Super Bowl (FB, DPZ)",Business Insider,http://www.businessinsider.com/dominos-expands-messenger-ordering-ahead-of-super-bowl-2017-2,neutral,0.9243916273117065
