datetime,title,source,link,sentiment_class,sentiment_score
7/11/2012 1:31:29 AM,Duke Energy board unhappy with 'autocratic' Johnson,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/ETKejKdyLYg/duke-progress-idINDEE8690KN20120710,negative,0.9395028948783875
5/3/2013 2:24:58 PM,Duke Energy profit below expectations; power demand weak,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/5-tYquewDvM/story01.htm,negative,0.7187086343765259
6/18/2013 2:44:10 PM,Duke Energy CFO Lynn Good to become CEO,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/QuGuuVK6kns/story01.htm,neutral,0.9277613162994385
6/18/2013 9:03:33 PM,Duke Energy turns to insider to succeed CEO Rogers,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/6fy-fHKiabw/story01.htm,neutral,0.9205741882324219
8/7/2013 2:30:51 PM,Duke Energy profit misses Street on weak commercial sales,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/6--iT5zgfS8/story01.htm,negative,0.9645248651504517
11/5/2015 1:14:01 PM,Duke Energy profit drops 27 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/-fkWVLLdXbo/story01.htm,negative,0.9678670167922974
9/1/2016 9:37:50 PM,Duke Energy shareholder lawsuit over CEO firing moves forward,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ojUJtQw2_2w/us-duke-energy-lawsuit-idUSKCN1175W1,negative,0.9290086627006531
10/14/2016 11:40:22 AM,BRIEF-Duke Energy says reduced number of customer outages caused by Hurricane Matthew (DUK),Reuters,/news/stocks/brief-duke-energy-says-reduced-number-of-customer-outages-caused-by-hurricane-matthew-duk-1001455698,negative,0.6643836498260498
10/17/2016 11:40:21 AM,BRIEF-Duke Energy says 96 pct of Hurricane Matthew outages restored (DUK),Reuters,/news/stocks/brief-duke-energy-says-96-pct-of-hurricane-matthew-outages-restored-duk-1001458141,positive,0.4621041417121887
2/15/2017 7:44:10 AM,"RPT-INSIGHT-California demand for wind power energizes transmission firms (DUK, FTS, EIX, RDSA)",Reuters,http://www.businessinsider.com/r-rpt-insight-california-demand-for-wind-power-energizes-transmission-firms-2017-2,neutral,0.7103845477104187
