datetime,title,source,link,sentiment_class,sentiment_score
6/30/2015 6:01:22 PM,Emerson Electric to spin off network power business,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Ru8CP49rfXQ/story01.htm,neutral,0.8846948146820068
7/22/2016 8:24:36 PM,Exclusive: Emerson Electric in bid for Pentair's valves business - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/u5ydx23vk8c/us-pentair-m-a-emersonelectric-idUSKCN10223I,neutral,0.9008111953735352
8/2/2016 1:38:46 PM,Emerson Electric to sell businesses for $5.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/bmR6nYXj4-0/us-emerson-electric-divestiture-idUSKCN10D0ZR,neutral,0.9278435111045837
10/3/2016 6:50:23 PM,BRIEF-Emerson announces agreement to acquire UK-based Permasense (EMR),Reuters,/news/stocks/brief-emerson-announces-agreement-to-acquire-uk-based-permasense-emr-1001433292,positive,0.6066848039627075
11/8/2016 6:20:20 PM,BRIEF-Emerson to acquire blending & transfer systems business of FMC Technologies (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-to-acquire-blending--transfer-systems-business-of-fmc-technologies-2016-11,neutral,0.9281915426254272
11/10/2016 10:00:17 PM,"EU mergers and takeovers (Nov 10) (8058, 6594, EMR, 6701, NDA , FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-nov-10-2016-11,neutral,0.9298924207687378
12/1/2016 1:46:05 PM,"EU mergers and takeovers (Dec 1) (6594, EMR, 6701, FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-1-2016-12,neutral,0.9262276887893677
12/6/2016 1:42:09 PM,"EU mergers and takeovers (Dec 6) (CS, NDA , EMR, 6594)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-6-2016-12,neutral,0.9358266592025757
12/9/2016 7:16:03 PM,BRIEF-Emerson electric's CEO D. N. Farr's fy 2016 total compensation $13.3 mln (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electrics-ceo-d-n-farrs-fy-2016-total-compensation-133-mln-2016-12,neutral,0.9295539259910583
12/14/2016 1:28:03 PM,"BRIEF-CCI approves acquisition of Emerson's motors, drives & electric power generation biz by Nidec Corp (6594, EMR)",Reuters,http://www.businessinsider.com/r-brief-cci-approves-acquisition-of-emersons-motors-drives--electric-power-generation-biz-by-nidec-corp-2016-12,neutral,0.6290983557701111
1/6/2017 12:50:07 PM,"EU mergers and takeovers (Jan 6) (EMR, PNR, 5110)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-jan-6-2017-1,neutral,0.9371199011802673
1/19/2017 1:26:04 PM,"BRIEF-Emerson Electric says underlying orders were flat, excluding unfavorable currency translation, for trailing three-month period (EMR)",Reuters,http://www.businessinsider.com/r-brief-emerson-electric-says-underlying-orders-were-flat-excluding-unfavorable-currency-translation-for-trailing-three-month-period-2017-1,negative,0.9511210322380066
1/31/2017 2:58:07 AM,BRIEF-Emerson Electric provides update on sale of Leroy-Somer and control techniques to Nidec Corp (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-provides-update-on-sale-of-leroy-somer-and-control-techniques-to-nidec-corp-2017-1,neutral,0.9073426723480225
2/7/2017 1:04:08 PM,BRIEF-Emerson Electric posts qtrly adj. earnings $0.48 (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-posts-qtrly-adj-earnings-048-2017-2,neutral,0.5437014102935791
2/7/2017 1:04:12 PM,Emerson Electric Co. Earnings Drop 17% In Q1,RTTNews,/news/stocks/emerson-electric-co-earnings-drop-17-in-q1-1001728623,negative,0.9741846919059753
2/7/2017 1:11:35 PM,Emerson Electric Q1 Profit Down; But Raises FY EPS View ,RTTNews,/news/stocks/emerson-electric-q1-profit-down-but-raises-fy-eps-view-1001728684,negative,0.9677426218986511
2/7/2017 1:38:09 PM,"UPDATE 1-Emerson Electric beats profit estimates, raises forecast (EMR)",Reuters,http://www.businessinsider.com/r-update-1-emerson-electric-beats-profit-estimates-raises-forecast-2017-2,neutral,0.6331013441085815
2/7/2017 8:20:11 PM,BRIEF-EMERSON ELECTRIC SETS REGULAR QUARTERLY CASH DIVIDEND OF $0.48/SHR (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-sets-regular-quarterly-cash-dividend-of-048-shr-2017-2,neutral,0.9112755060195923
2/7/2017 9:24:11 PM,"BRIEF-Emerson Electric expects 2017 operating cash flow from cont ops to be about $2.5 bln - Conf Call (EMR, PNR)",Reuters,http://www.businessinsider.com/r-brief-emerson-electric-expects-2017-operating-cash-flow-from-cont-ops-to-be-about-25-bln---conf-call-2017-2,neutral,0.6888888478279114
