,datetime,title,source,link,sentiment_class,sentiment_score
0,10/26/2016 12:08:20 AM,BRIEF-Edwards Lifesciences sees new product launches lifting growth (EW),Reuters,http://www.businessinsider.com/r-brief-edwards-lifesciences-sees-new-product-launches-lifting-growth-2016-10,positive,0.8845229744911194
1,11/28/2016 2:16:18 PM,BRIEF-Edwards enters into agreement to acquire Valtech Cardio (EW),Reuters,http://www.businessinsider.com/r-brief-edwards-enters-into-agreement-to-acquire-valtech-cardio-2016-11,positive,0.5544425845146179
2,11/28/2016 3:16:07 PM,Edwards Lifesciences to buy Israel's Valtech for up to $690 mln (EW),Reuters,http://www.businessinsider.com/r-edwards-lifesciences-to-buy-israels-valtech-for-up-to-690-mln-2016-11,neutral,0.7234453558921814
3,11/28/2016 4:04:06 PM,UPDATE 1-Edwards Lifesciences to buy Israel's Valtech for up to $690 mln (EW),Reuters,http://www.businessinsider.com/r-update-1-edwards-lifesciences-to-buy-israels-valtech-for-up-to-690-mln-2016-11,positive,0.504868745803833
4,12/8/2016 2:40:15 PM,BRIEF-Edwards Lifesciences sees 2017 global sales of $3.0 bln to $3.4 bln (EW),Reuters,http://www.businessinsider.com/r-brief-edwards-lifesciences-sees-2017-global-sales-of-30-bln-to-34-bln-2016-12,neutral,0.8026097416877747
5,2/1/2017 10:30:50 PM,BRIEF-Edwards Lifesciences Corp Q4 EPS $0.73 (EW),Reuters,http://www.businessinsider.com/r-brief-edwards-lifesciences-corp-q4-eps-073-2017-2,neutral,0.7940788269042969
6,2/1/2017 10:33:03 PM,Edwards Lifesciences Corp. Bottom Line Rises 13% In Q4,RTTNews,/news/stocks/edwards-lifesciences-corp-bottom-line-rises-13-in-q4-1001715259,positive,0.9379391670227051
7,2/2/2017 6:22:10 PM,"Edwards Lifesciences Under Pressure Despite Upbeat Q4 Results, Guidance ",RTTNews,/news/stocks/edwards-lifesciences-under-pressure-despite-upbeat-q4-results-guidance-1001719012,negative,0.6105371117591858
8,2/23/2017 4:16:12 PM,"US STOCKS-S&P, Dow hit record highs as oil prices rally (XOM, CVX, HPQ, BSX, EW, CRI, NVDA)",Reuters,http://www.businessinsider.com/r-us-stocks-sp-dow-hit-record-highs-as-oil-prices-rally-2017-2,positive,0.8520277142524719
9,2/23/2017 6:04:14 PM,"US STOCKS-Wall St reverses as tech losses outweigh oil gains (XOM, CVX, NVDA, BSX, EW)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-reverses-as-tech-losses-outweigh-oil-gains-2017-2,negative,0.9184073805809021
