datetime,title,source,link,sentiment_class,sentiment_score
9/26/2016 11:20:23 AM,BRIEF-Freeport-Mcmoran announces extension of consent solicitations (FCX),Reuters,/news/stocks/brief-freeport-mcmoran-announces-extension-of-consent-solicitations-fcx-1001416558,neutral,0.8742696046829224
10/3/2016 2:20:22 PM,"Freeport Indonesia says copper mine impacted by ""labour disruption"" (FCX)",Reuters,/news/stocks/freeport-indonesia-says-copper-mine-impacted-by-labour-disruption-fcx-1001432595,negative,0.9419634342193604
10/3/2016 2:30:21 PM,UPDATE 1-Freeport Indonesia copper mine operations halt amid labour dispute (FCX),Reuters,/news/stocks/update-1-freeport-indonesia-copper-mine-operations-halt-amid-labour-dispute-fcx-1001432679,negative,0.9596523642539978
10/4/2016 1:20:23 PM,Indonesia may allow miners a further 3-5 years to build smelters -minister (FCX),Reuters,/news/stocks/indonesia-may-allow-miners-a-further-3-5-years-to-build-smelters-minister-fcx-1001434228,neutral,0.6113647818565369
10/7/2016 3:50:22 PM,"UPDATE 1-Indonesia eyes 15 mln T nickel ore exports in 2017 (ANTM, FCX)",Reuters,/news/stocks/update-1-indonesia-eyes-15-mln-t-nickel-ore-exports-in-2017-antm-fcx-1001443360,negative,0.41237154603004456
10/10/2016 2:20:20 PM,Freeport reaches deal with workers to end Indonesia copper mine stoppage (FCX),Reuters,/news/stocks/freeport-reaches-deal-with-workers-to-end-indonesia-copper-mine-stoppage-fcx-1001445647,positive,0.5199567079544067
10/13/2016 1:50:24 PM,"SolGold approves funding deal with Newcrest to mine in Ecuador (BLT, FCX, BHP, NCM, SOLG)",Reuters,/news/stocks/solgold-approves-funding-deal-with-newcrest-to-mine-in-ecuador-blt-fcx-bhp-ncm-solg-1001453904,positive,0.8454453945159912
10/14/2016 12:40:26 PM,"RPT-SolGold approves funding deal with Newcrest to mine in Ecuador (BLT, FCX, BHP, NCM, SOLG)",Reuters,/news/stocks/rpt-solgold-approves-funding-deal-with-newcrest-to-mine-in-ecuador-blt-fcx-bhp-ncm-solg-1001455722,positive,0.9051094651222229
10/14/2016 4:40:25 PM,BRIEF-Sentinel Peak reports acquisition of Freeport-McMoran's onshore California assets (FCX),Reuters,/news/stocks/brief-sentinel-peak-reports-acquisition-of-freeport-mcmorans-onshore-california-assets-fcx-1001457056,neutral,0.9425673484802246
10/14/2016 4:50:22 PM,BRIEF-Freeport-McMoran to sell onshore California Oil & Gas properties for $742 mln (FCX),Reuters,/news/stocks/brief-freeport-mcmoran-to-sell-onshore-california-oil-&-gas-properties-for-$742-mln-fcx-1001457077,neutral,0.9200432896614075
10/14/2016 5:20:21 PM,Freeport-McMoRan to sell some oil and gas assets for up to $742 mln (FCX),Reuters,/news/stocks/freeport-mcmoran-to-sell-some-oil-and-gas-assets-for-up-to-$742-mln-fcx-1001457074,neutral,0.8848870396614075
10/14/2016 6:50:23 PM,UPDATE 1-Freeport-McMoRan to sell some oil and gas assets for up to $742 mln (FCX),Reuters,/news/stocks/update-1-freeport-mcmoran-to-sell-some-oil-and-gas-assets-for-up-to-$742-mln-fcx-1001457238,neutral,0.6792933940887451
10/19/2016 1:30:23 PM,Work stops at Freeport Indonesia copper mine after worker death -media (FCX),Reuters,/news/stocks/work-stops-at-freeport-indonesia-copper-mine-after-worker-death-media-fcx-1001464087,negative,0.5996441841125488
10/19/2016 1:50:22 PM,Mining resumes at Freeport Indonesia copper mine -spokesman (FCX),Reuters,/news/stocks/mining-resumes-at-freeport-indonesia-copper-mine-spokesman-fcx-1001464498,neutral,0.9300779104232788
10/19/2016 2:10:21 PM,UPDATE 1-Mining resumes at Freeport Indonesia copper mine (FCX),Reuters,/news/stocks/update-1-mining-resumes-at-freeport-indonesia-copper-mine-fcx-1001464488,neutral,0.8489569425582886
