,datetime,title,source,link,sentiment_class,sentiment_score
0,6/30/2005 11:02:00 PM,Kerr-McGee Capitalizes on Deepwater Hub With Satellite Discovery,PR Newswire,/news/stocks/kerr-mcgee-capitalizes-on-deepwater-hub-with-satellite-discovery-1002376119,neutral,0.7062814235687256
1,9/7/2012 11:29:17 PM,ONGC buys Hess stake in Azeri field for $1 bln,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/RIgGKBQ7hHM/hess-ongc-idINDEE8860GF20120907,neutral,0.9131579995155334
2,3/4/2013 3:21:47 PM,"Hess to exit trading, retail; focus on oil, gas exploration",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3W8V5rXRRi8/us-hess-elliott-idUSBRE9230HJ20130304,neutral,0.9257321357727051
3,5/3/2013 12:40:47 PM,ISS backs investor Elliott Management's nominees to Hess board,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ty2H3dkmfC4/story01.htm,neutral,0.9381157159805298
4,5/3/2013 3:49:55 PM,ISS backs hedge fund's nominees to Hess board,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3-q5Rp8fkU0/story01.htm,neutral,0.9265910983085632
5,5/10/2013 3:15:55 PM,"Hess to split chairman, CEO roles as vote looms",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/FU5WX--o3j4/story01.htm,neutral,0.9284685850143433
6,5/13/2013 4:14:35 PM,Hedge fund nominees to Hess board to forgo special pay package,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DK3RbRGAfg4/story01.htm,negative,0.7562599778175354
7,5/13/2013 5:52:40 PM,Hedge fund nominees to Hess board forgo controversial pay scheme,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3rAFD6vB5us/story01.htm,negative,0.825158953666687
8,5/14/2013 1:42:36 PM,Hedge fund proposes revamped Hess board to end proxy fight,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/H6UxxeftxBM/story01.htm,neutral,0.8775167465209961
9,5/16/2013 2:55:03 PM,"Hess offers three board seats to Elliott, ends proxy fight",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3AX6hxGd8e4/story01.htm,neutral,0.9245440363883972
10,10/29/2014 2:06:21 PM,Hess quarterly net income more than doubles on asset sales,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rXPhSFC0PbU/story01.htm,neutral,0.6365194916725159
11,10/28/2015 2:44:11 PM,"Hess posts third-quarter loss on crude price slump, beats expectations",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/czNpIiaQPws/story01.htm,negative,0.9602503776550293
12,9/24/2016 1:00:22 AM,BRIEF-Hess Corp announces pricing of offer to purchase notes due in 2019 (HES),Reuters,/news/stocks/brief-hess-corp-announces-pricing-of-offer-to-purchase-notes-due-in-2019-hes-1001416410,neutral,0.7914908528327942
13,9/29/2016 4:50:23 AM,BRIEF-Hess Corp calls outstanding notes due in 2017 for redemption (HES),Reuters,/news/stocks/brief-hess-corp-calls-outstanding-notes-due-in-2017-for-redemption-hes-1001425081,neutral,0.8730853796005249
14,10/4/2016 12:40:20 PM,BRIEF-Hess Corp announces pricing of maximum tender offer (HES),Reuters,/news/stocks/brief-hess-corp-announces-pricing-of-maximum-tender-offer-hes-1001434003,neutral,0.877173662185669
15,10/14/2016 7:00:24 PM,BRIEF-License to produce at Denmark's Syd Arne field extended to 2047 (HES),Reuters,/news/stocks/brief-license-to-produce-at-denmarks-syd-arne-field-extended-to-2047-hes-1001457301,neutral,0.7569228410720825
16,10/18/2016 2:20:21 PM,Hess CEO says U.S. shale oil industry can maintain output at $50/barrel (HES),Reuters,/news/stocks/hess-ceo-says-u-s-shale-oil-industry-can-maintain-output-at-$50-barrel-hes-1001462233,positive,0.8519604802131653
17,10/18/2016 5:10:23 PM,"Deepwater projects survive low oil price, executives say (HES, BP., CVX, RDSA, STL)",Reuters,/news/stocks/deepwater-projects-survive-low-oil-price-executives-say-hes-bp-cvx-rdsa-stl-1001462747,neutral,0.8678963780403137
18,10/26/2016 2:50:18 PM,BRIEF-Hess Q3 adjusted loss per share $1.12 (HES),Reuters,http://www.businessinsider.com/r-brief-hess-q3-adjusted-loss-per-share-112-2016-10,negative,0.943720817565918
19,10/26/2016 3:00:20 PM,Hess quarterly loss widens (HES),Reuters,http://www.businessinsider.com/r-hess-quarterly-loss-widens-2016-10,negative,0.9453492760658264
20,10/26/2016 3:52:17 PM,UPDATE 1-Oil producer Hess reports smaller-than-expected loss (HES),Reuters,http://www.businessinsider.com/r-update-1-oil-producer-hess-reports-smaller-than-expected-loss-2016-10,negative,0.9616611003875732
21,10/26/2016 10:20:20 PM,BRIEF-Hess to add rigs if oil prices improve (HES),Reuters,http://www.businessinsider.com/r-brief-hess-to-add-rigs-if-oil-prices-improve-2016-10,neutral,0.8583261966705322
22,11/30/2016 5:00:37 PM,"Oil stocks are going nuts over reports of an OPEC deal to cut output (MRO, CVX, HAL, NFX, HES, DVN)",Business Insider,http://www.businessinsider.com/oil-stocks-rally-after-opec-deal-reports-2016-11,negative,0.9677969813346863
23,12/1/2016 4:08:52 AM,"Oil stocks are going nuts over reports of an OPEC deal to cut output (MRO, CVX, HAL, NFX, HES, DVN)",Business Insider,http://markets.businessinsider.com/news/stocks/Oil-stocks-are-going-nuts-over-reports-of-an-OPEC-deal-to-cut-output-MRO-CVX-HAL-NFX-HES-DVN-1001562863,negative,0.9677969813346863
24,1/12/2017 3:00:05 PM,BRIEF-Hess announces new oil discovery offshore Guyana (HES),Reuters,http://www.businessinsider.com/r-brief-hess-announces-new-oil-discovery-offshore-guyana-2017-1,neutral,0.6300540566444397
25,1/12/2017 3:12:06 PM,BRIEF-Hess announces 2017 E&P capital and exploratory budget (HES),Reuters,http://www.businessinsider.com/r-brief-hess-announces-2017-ep-capital-and-exploratory-budget-2017-1,neutral,0.9341191053390503
26,1/12/2017 3:20:05 PM,"Exxon Mobil discovers new oil reservoir offshore Guyana (XOM, HES, 883)",Reuters,http://www.businessinsider.com/r-exxon-mobil-discovers-new-oil-reservoir-offshore-guyana-2017-1,neutral,0.8814823031425476
27,1/12/2017 3:46:03 PM,Hess to spend more on exploration and production this year (HES),Reuters,http://www.businessinsider.com/r-hess-to-spend-more-on-exploration-and-production-this-year-2017-1,neutral,0.5839610695838928
28,1/25/2017 1:48:07 PM,Oil producer Hess posts bigger quarterly loss (HES),Reuters,http://www.businessinsider.com/r-oil-producer-hess-posts-bigger-quarterly-loss-2017-1,negative,0.9727276563644409
29,1/25/2017 2:20:04 PM,BRIEF-Hess reports Q4 loss $15.65/shr (HES),Reuters,http://www.businessinsider.com/r-brief-hess-reports-q4-loss-1565-shr-2017-1,negative,0.9086601734161377
30,1/25/2017 2:40:05 PM,UPDATE 1-Oil producer Hess posts smaller-than-expected loss (HES),Reuters,http://www.businessinsider.com/r-update-1-oil-producer-hess-posts-smaller-than-expected-loss-2017-1,negative,0.9620417952537537
31,1/25/2017 5:06:06 PM,"BRIEF-Hess forecasts Q1 Bakken production of 90,000 to 95,000 boe/d (HES)",Reuters,http://www.businessinsider.com/r-brief-hess-forecasts-q1-bakken-production-of-90000-to-95000-boe-d-2017-1,neutral,0.92738938331604
32,2/23/2017 2:16:12 PM,"UPDATE 1-Oil and gas producer Apache to spend 60 pct more this year (APA, XOM, CVX, HES)",Reuters,http://www.businessinsider.com/r-update-1-oil-and-gas-producer-apache-to-spend-60-pct-more-this-year-2017-2,positive,0.6238886117935181
33,2/23/2017 3:00:12 PM,"UPDATE 2-Oil and gas producer Apache raises 2017 budget by more than 60 pct (APA, XOM, CVX, HES)",Reuters,http://www.businessinsider.com/r-update-2-oil-and-gas-producer-apache-raises-2017-budget-by-more-than-60-pct-2017-2,positive,0.913852334022522
34,3/9/2017 7:32:22 AM,"CERAWEEK-U.S. shale plots production growth despite OPEC's warning (HES, CHK, CLR, CVX, LAZ, PXD)",Reuters,http://www.businessinsider.com/r-ceraweek-us-shale-plots-production-growth-despite-opecs-warning-2017-3,positive,0.9489554762840271
35,3/9/2017 1:10:22 PM,"RPT-CERAWEEK-U.S. shale plots production growth despite OPEC's warning (HES, CHK, CLR, CVX, LAZ, PXD)",Reuters,http://www.businessinsider.com/r-rpt-ceraweek-us-shale-plots-production-growth-despite-opecs-warning-2017-3,positive,0.9462383389472961
36,3/9/2017 11:50:22 PM,"UPDATE 1-Libya's oil output drops to 620,000 bpd -NOC head (COP, MRO, HES)",Reuters,http://www.businessinsider.com/r-update-1-libyas-oil-output-drops-to-620000-bpd--noc-head-2017-3,negative,0.9655360579490662
37,3/10/2017 7:26:22 AM,"CERAWEEK-Oil industry revives quest for deepwater reserves (RDSA, XOM, FP, MUR, HES, BP., ENI)",Reuters,http://www.businessinsider.com/r-ceraweek-oil-industry-revives-quest-for-deepwater-reserves-2017-3,positive,0.863542914390564
38,3/10/2017 1:02:22 PM,"RPT-CERAWEEK-Oil industry revives quest for deepwater reserves (RDSA, XOM, FP, MUR, HES, BP., ENI)",Reuters,http://www.businessinsider.com/r-rpt-ceraweek-oil-industry-revives-quest-for-deepwater-reserves-2017-3,positive,0.8631947040557861
39,3/10/2017 7:20:22 PM,"U.S. oil rig count rises to most since Sept. 2015 -Baker Hughes (BHI, MRO, PXD, HES, CHK, CLR, XOM)",Reuters,http://www.businessinsider.com/r-us-oil-rig-count-rises-to-most-since-sept-2015--baker-hughes-2017-3,positive,0.7372560501098633
40,3/20/2017 12:50:00 PM,"Oil and Gas Stocks Under Scanner -- Hess, Anadarko Petroleum, Noble Energy, and Gulfport Energy",PR Newswire,/news/stocks/oil-and-gas-stocks-under-scanner-hess-anadarko-petroleum-noble-energy-and-gulfport-energy-1001849641,neutral,0.8711839914321899
