datetime,title,source,link,sentiment_class,sentiment_score
2/24/2017 12:11:44 PM,"Hilton Worldwide To Buy Back Up To $1 Bln Of Stock, Change Name To 'Hilton Inc' ",RTTNews,/news/stocks/hilton-worldwide-to-buy-back-up-to-1-bln-of-stock-change-name-to-hilton-inc-1001780787,neutral,0.9235497713088989
3/15/2017 3:45:00 PM,New Millennial Perception Survey Reveals Both Optimism and Frustration Among Global Youth,PR Newswire,/news/stocks/new-millennial-perception-survey-reveals-both-optimism-and-frustration-among-global-youth-1001838346,negative,0.5992385149002075
3/22/2017 4:00:00 AM,Hilton Expands Resort Footprint with Debut in Tibet Autonomous Region,PR Newswire,/news/stocks/hilton-expands-resort-footprint-with-debut-in-tibet-autonomous-region-1001856099,positive,0.8732144832611084
3/28/2017 12:10:00 PM,"Research Reports on Lodging Equities -- Hilton, Ctrip.com, Marriott, and Expedia",PR Newswire,/news/stocks/research-reports-on-lodging-equities-hilton-ctrip-com-marriott-and-expedia-1001873033,neutral,0.9426567554473877
4/3/2017 2:15:00 PM,The Diplomat Beach Resort in Hollywood Officially Rekindles the Spirit of South Florida,PR Newswire,/news/stocks/the-diplomat-beach-resort-in-hollywood-officially-rekindles-the-spirit-of-south-florida-1001890190,positive,0.6173793077468872
4/6/2017 4:30:00 AM,Hilton Signs Landmark Deal for Six Hotels in Sri Lanka,PR Newswire,/news/stocks/hilton-signs-landmark-deal-for-six-hotels-in-sri-lanka-1001900696,positive,0.8955581188201904
4/7/2017 9:59:00 AM,Hilton Debuts its Hilton Garden Inn Brand in Shanghai,PR Newswire,/news/stocks/hilton-debuts-its-hilton-garden-inn-brand-in-shanghai-1001905602,neutral,0.6347365379333496
4/18/2017 11:33:00 AM,Hilton Appoints Area President for Greater China and Mongolia,PR Newswire,/news/stocks/hilton-appoints-area-president-for-greater-china-and-mongolia-1001925988,neutral,0.9367012977600098
4/19/2017 3:00:00 AM,Hilton Appoints Area President for Greater China and Mongolia,PR Newswire,/news/stocks/hilton-appoints-area-president-for-greater-china-and-mongolia-1001596481,neutral,0.9367012977600098
4/24/2017 6:17:00 AM,"Hilton Opens First Hotel in Picturesque Jiuzhaigou, Sichuan Province",PR Newswire,/news/stocks/hilton-opens-first-hotel-in-picturesque-jiuzhaigou-sichuan-province-1001940284,neutral,0.6966351866722107
4/24/2017 9:37:00 AM,"Hilton Opens First Hotel in Picturesque Jiuzhaigou, Sichuan Province",PR Newswire,/news/stocks/hilton-opens-first-hotel-in-picturesque-jiuzhaigou-sichuan-province-1001940850,neutral,0.6966351866722107
4/25/2017 9:30:00 AM,Hilton Opens its 100th Hotel in Greater China,PR Newswire,/news/stocks/hilton-opens-its-100th-hotel-in-greater-china-1001944970,neutral,0.5351654291152954
4/26/2017 5:00:00 AM,Hilton Opens its 100th Hotel in Greater China,PR Newswire,/news/stocks/hilton-opens-its-100th-hotel-in-greater-china-1001949078,neutral,0.5351654291152954
4/26/2017 8:00:00 AM,Hilton Named Third Best Multinational Place to Work in Asia,PR Newswire,/news/stocks/hilton-named-third-best-multinational-place-to-work-in-asia-1001949500,positive,0.8183388113975525
5/2/2017 12:18:44 PM,"Hilton Worldwide Holdings, Inc. Reports 10% Decline In Q1 Earnings",RTTNews,/news/stocks/hilton-worldwide-holdings-inc-reports-10-decline-in-q1-earnings-1001968619,negative,0.973081648349762
5/2/2017 12:23:07 PM,Hilton Worldwide Q1 Profit Falls ,RTTNews,/news/stocks/hilton-worldwide-q1-profit-falls-1001968635,neutral,0.5953510403633118
5/11/2017 9:15:00 AM,Hilton Unveils Second DoubleTree by Hilton in China's Port City of Xiamen,PR Newswire,/news/stocks/hilton-unveils-second-doubletree-by-hilton-in-china-s-port-city-of-xiamen-1002002607,neutral,0.7378902435302734
5/12/2017 12:10:00 PM,"Technical Reports on Lodging Stocks -- Ctrip.com, Hilton Worldwide, Marriott, and Expedia",PR Newswire,/news/stocks/technical-reports-on-lodging-stocks-ctrip-com-hilton-worldwide-marriott-and-expedia-1002007665,neutral,0.940184473991394
6/1/2017 10:15:00 AM,Singapore Welcomes First Hilton Garden Inn,PR Newswire,/news/stocks/singapore-welcomes-first-hilton-garden-inn-1002057771,neutral,0.7523072361946106
6/2/2017 8:15:00 AM,Conrad Guangzhou Opens to the World,PR Newswire,/news/stocks/conrad-guangzhou-opens-to-the-world-1002062018,neutral,0.7665731310844421
6/5/2017 3:10:06 PM,"Hilton co-brand could lift Amex (AXP, HLT)",Business Insider,http://www.businessinsider.com/hilton-co-brand-could-lift-amex-2017-6,positive,0.9418540596961975
6/6/2017 3:00:00 AM,"Hilton to Open First Upscale Resort in Weerawila, Sri Lanka",PR Newswire,/news/stocks/hilton-to-open-first-upscale-resort-in-weerawila-sri-lanka-1002068808,neutral,0.61537766456604
6/8/2017 8:00:00 AM,Hilton debuts first Curio Collection by Hilton Property in Asia Pacific,PR Newswire,/news/stocks/hilton-debuts-first-curio-collection-by-hilton-property-in-asia-pacific-1002076801,neutral,0.7695801854133606
6/9/2017 5:00:00 AM,DoubleTree by Hilton Shenzhen Longhua Debuts as First International Full-Service Hotel in the Transportation Hub of Shenzhen,PR Newswire,/news/stocks/doubletree-by-hilton-shenzhen-longhua-debuts-as-first-international-full-service-hotel-in-the-transportation-hub-of-shenzhen-1002080306,positive,0.8865321278572083
6/10/2017 12:16:00 AM,"Hilton Worldwide, Align Technology, ANSYS Set to Join S&P 500; Teradata and Ryder System to Join S&P MidCap 400",PR Newswire,/news/stocks/hilton-worldwide-align-technology-ansys-set-to-join-s-p-500-teradata-and-ryder-system-to-join-s-p-midcap-400-1002083221,neutral,0.8976292014122009
6/21/2017 10:01:00 AM,"Hilton Expands Presence in Xi'an, China with Second Hotel from Flagship Brand",PR Newswire,/news/stocks/hilton-expands-presence-in-xi-an-china-with-second-hotel-from-flagship-brand-1002110763,positive,0.7374804615974426
7/3/2017 6:30:00 AM,Hilton Unveils New Friendly Offerings for Family Travel,PR Newswire,/news/stocks/hilton-unveils-new-friendly-offerings-for-family-travel-1002142081,positive,0.7206699252128601
7/4/2017 9:10:00 AM,Hilton Debuts in Yunnan Province's Shangri-La,PR Newswire,/news/stocks/hilton-debuts-in-yunnan-province-s-shangri-la-1002145370,neutral,0.8712577223777771
7/19/2017 1:37:12 PM,Hilton Recommends Stockholders Reject TRC Capital's Mini-Tender Offer ,RTTNews,/news/stocks/hilton-recommends-stockholders-reject-trc-capital-s-mini-tender-offer-1002186285,neutral,0.7487075924873352
7/26/2017 12:17:16 PM,"Hilton Worldwide Holdings, Inc. Q2 Profit Climbs 76%",RTTNews,/news/stocks/hilton-worldwide-holdings-inc-q2-profit-climbs-76-1002205267,positive,0.9340261816978455
7/26/2017 12:27:33 PM,Hilton Worldwide Raises 2017 Outlook ,RTTNews,/news/stocks/hilton-worldwide-raises-2017-outlook-1002205288,neutral,0.7527586221694946
7/26/2017 3:31:00 PM,"Options trade ideas for ANI Pharmaceuticals, Facebook, Gilead Sciences, Hilton Worldwide and Shutterfly offer returns of 21% or more!",PR Newswire,/news/stocks/options-trade-ideas-for-ani-pharmaceuticals-facebook-gilead-sciences-hilton-worldwide-and-shutterfly-offer-returns-of-21-or-more-1002206273,positive,0.6960605978965759
8/8/2017 10:22:00 AM,Hilton Hotels & Resorts Establishes New Coastal Landmark with Opening of Hilton Yantai,PR Newswire,/news/stocks/hilton-hotels-resorts-establishes-new-coastal-landmark-with-opening-of-hilton-yantai-1002239446,positive,0.6886322498321533
8/9/2017 11:43:00 PM,"Tru by Hilton Set to be Developed in Orlando, Florida",PR Newswire,/news/stocks/tru-by-hilton-set-to-be-developed-in-orlando-florida-1002246045,neutral,0.9015224575996399
8/10/2017 12:36:00 AM,"Tru by Hilton Set to be Developed in Orlando, Florida",PR Newswire,/news/stocks/tru-by-hilton-set-to-be-developed-in-orlando-florida-1002246133,neutral,0.9015224575996399
8/24/2017 5:46:00 AM,Hilton Announces Partnership with CFPA to Develop China's Future Leaders,PR Newswire,/news/stocks/hilton-announces-partnership-with-cfpa-to-develop-china-s-future-leaders-1002280393,positive,0.8180623054504395
9/5/2017 6:00:00 AM,Hilton Named One of Australia's Best Companies to Work For in 2017 by Great Place to Work(R) Institute,PR Newswire,/news/stocks/hilton-named-one-of-australia-s-best-companies-to-work-for-in-2017-by-great-place-to-work-r-institute-1002306949,positive,0.8481766581535339
9/12/2017 12:00:00 PM,"Technical Research on Lodging Equities -- Ctrip.com, Hilton Worldwide, Park Hotels & Resorts, and Extended Stay America",PR Newswire,/news/stocks/technical-research-on-lodging-equities-ctrip-com-hilton-worldwide-park-hotels-resorts-and-extended-stay-america-1002361024,neutral,0.9475533962249756
9/27/2017 6:00:00 PM,Hilton and Fess Parker Family Announce Extensive Remodel and Rebranding of Santa Barbara's Iconic Beachfront Resort,PR Newswire,/news/stocks/hilton-and-fess-parker-family-announce-extensive-remodel-and-rebranding-of-santa-barbara-s-iconic-beachfront-resort-1002656072,neutral,0.7002950310707092
9/28/2017 5:24:00 AM,Hilton Gears Up to Enter Midscale Segment in Shiyan,PR Newswire,/news/stocks/hilton-gears-up-to-enter-midscale-segment-in-shiyan-1002698368,positive,0.6564937829971313
10/26/2017 12:42:56 PM,Hilton Worldwide Q3 Profit Down; Lifts FY17 Earnings View - Quick Facts ,RTTNews,/news/stocks/hilton-worldwide-q3-profit-down-lifts-fy17-earnings-view-quick-facts-1005691040,negative,0.9642663598060608
10/31/2017 9:51:00 AM,First Hilton Garden Inn opens in Hangzhou Lu'niao,PR Newswire,/news/stocks/first-hilton-garden-inn-opens-in-hangzhou-lu-niao-1006281373,neutral,0.8357810378074646
11/2/2017 7:00:00 AM,Dubai Ruler Launches IT Education Initiative to Create One Million Arab Coders,PR Newswire,/news/stocks/dubai-ruler-launches-it-education-initiative-to-create-one-million-arab-coders-1002145072,positive,0.5629188418388367
