,datetime,title,source,link,sentiment_class,sentiment_score
0,10/20/2016 2:12:20 AM,BRIEF-Idexx Laboratories elects Lawrence D. Kingsley to board of directors (IDXX),Reuters,http://www.businessinsider.com/r-brief-idexx-laboratories-elects-lawrence-d-kingsley-to-board-of-directors-2016-10,neutral,0.9367678165435791
1,1/4/2017 12:48:03 AM,"BRIEF-S&P Dow Jones Indices says IDEXX Laboratories to join S&P 500 (IDXX, STJ)",Reuters,http://www.businessinsider.com/r-brief-sp-dow-jones-indices-says-idexx-laboratories-to-join-sp-500-2017-1,neutral,0.9315417408943176
2,2/2/2017 1:08:24 PM,IDEXX Laboratories Inc Reveals 18% Advance In Q4 Profit,RTTNews,/news/stocks/idexx-laboratories-inc-reveals-18-advance-in-q4-profit-1001717360,positive,0.9093653559684753
3,2/2/2017 1:34:28 PM,IDEXX Lab Raises 2017 EPS Guidance Range By $0.08 - Quick Facts ,RTTNews,/news/stocks/idexx-lab-raises-2017-eps-guidance-range-by-0-08-quick-facts-1001717546,positive,0.750760555267334
4,2/27/2017 9:49:00 PM,IDEXX Laboratories to Present at Raymond James Institutional Investors Conference,PR Newswire,/news/stocks/idexx-laboratories-to-present-at-raymond-james-institutional-investors-conference-1001787416,neutral,0.9428181052207947
5,3/14/2017 12:25:00 PM,"Healthcare Stocks on Investors' Radar -- Delcath Systems, Palatin Technologies, AMAG Pharma, and IDEXX Laboratories",PR Newswire,/news/stocks/healthcare-stocks-on-investors-radar-delcath-systems-palatin-technologies-amag-pharma-and-idexx-laboratories-1001833054,neutral,0.942951500415802
6,3/20/2017 1:00:00 PM,IDEXX Laboratories Joins the NASDAQ-100 Index,PR Newswire,/news/stocks/idexx-laboratories-joins-the-nasdaq-100-index-1001849741,neutral,0.8646807074546814
7,4/6/2017 9:00:00 PM,IDEXX Laboratories to Release 2017 First Quarter Financial Results,PR Newswire,/news/stocks/idexx-laboratories-to-release-2017-first-quarter-financial-results-1001904269,neutral,0.8938047885894775
8,4/19/2017 1:00:00 PM,"Research Reports Initiation on Diagnostic Substances Stocks -- Palatin Technologies, AMAG Pharma, IDEXX Labs, and Meridian Bioscience",PR Newswire,/news/stocks/research-reports-initiation-on-diagnostic-substances-stocks-palatin-technologies-amag-pharma-idexx-labs-and-meridian-bioscience-1001930151,neutral,0.9430679082870483
9,4/28/2017 1:00:00 PM,IDEXX Laboratories Announces First Quarter Results,PR Newswire,/news/stocks/idexx-laboratories-announces-first-quarter-results-1001961299,neutral,0.8626618385314941
10,4/28/2017 1:04:55 PM,IDEXX Laboratories Inc Announces 50% Rise In Q1 Profit,RTTNews,/news/stocks/idexx-laboratories-inc-announces-50-rise-in-q1-profit-1001961321,positive,0.9372439384460449
11,4/28/2017 1:12:12 PM,IDEXX Increases 2017 Outlook - Quick Facts ,RTTNews,/news/stocks/idexx-increases-2017-outlook-quick-facts-1001961397,positive,0.5643405914306641
12,5/3/2017 1:00:00 PM,IDEXX Laboratories Announces Increase in Share Repurchase Program,PR Newswire,/news/stocks/idexx-laboratories-announces-increase-in-share-repurchase-program-1001973867,positive,0.8874314427375793
