,datetime,title,source,link,sentiment_class,sentiment_score
0,2/23/2017 12:00:00 PM,"Leidos Holdings, Inc. Reports Fourth Quarter and Fiscal Year 2016 Results",PR Newswire,/news/stocks/leidos-holdings-inc-reports-fourth-quarter-and-fiscal-year-2016-results-1001776341,neutral,0.9179413318634033
1,2/23/2017 10:30:00 PM,Leidos' Alvie Johnson Honored with Prestigious AFCEA Women's Appreciation Award,PR Newswire,/news/stocks/leidos-alvie-johnson-honored-with-prestigious-afcea-women-s-appreciation-award-1001779113,positive,0.8522475361824036
2,2/27/2017 12:50:00 PM,Leidos Health Ranked in 2017 Best in KLAS Awards: Professional Services,PR Newswire,/news/stocks/leidos-health-ranked-in-2017-best-in-klas-awards-professional-services-1001785476,neutral,0.6979290843009949
3,3/7/2017 12:50:00 PM,Leidos' Skyline Air Traffic Control System Now Operational in Korea,PR Newswire,/news/stocks/leidos-skyline-air-traffic-control-system-now-operational-in-korea-1001810528,neutral,0.7432504296302795
4,3/7/2017 1:30:00 PM,"Research Reports Initiation on Tech Stocks -- Nielsen, Leidos, Broadridge Financial Solutions, and ServiceNow",PR Newswire,/news/stocks/research-reports-initiation-on-tech-stocks-nielsen-leidos-broadridge-financial-solutions-and-servicenow-1001810762,neutral,0.9453792572021484
5,3/8/2017 10:15:00 PM,General Services Administration Awards Leidos Healthcare Information Technology and Cybersecurity Contract,PR Newswire,/news/stocks/general-services-administration-awards-leidos-healthcare-information-technology-and-cybersecurity-contract-1001817387,positive,0.7998060584068298
6,3/9/2017 12:50:00 PM,Air Force Awards Leidos Electromagnetic Research Contract,PR Newswire,/news/stocks/air-force-awards-leidos-electromagnetic-research-contract-1001819415,neutral,0.6473134160041809
7,3/13/2017 11:45:00 AM,Airways New Zealand Awards Leidos Contract to Modernize Air Traffic Management Systems,PR Newswire,/news/stocks/airways-new-zealand-awards-leidos-contract-to-modernize-air-traffic-management-systems-1001828529,positive,0.9195125102996826
8,3/13/2017 9:15:00 PM,Air Force Research Laboratory Awards Leidos Mission Systems Open Architecture Science and Technology Contract,PR Newswire,/news/stocks/air-force-research-laboratory-awards-leidos-mission-systems-open-architecture-science-and-technology-contract-1001830758,neutral,0.8097711205482483
9,3/14/2017 9:15:00 PM,Air Force Association Recognizes Leidos RPA Operations Center for Outstanding Current/Future Armed UAV Technology,PR Newswire,/news/stocks/air-force-association-recognizes-leidos-rpa-operations-center-for-outstanding-current-future-armed-uav-technology-1001835183,positive,0.9290936589241028
