,datetime,title,source,link,sentiment_class,sentiment_score
0,10/25/2005 4:07:00 PM,Webcast Alert: Lyondell Chemical Company Announces Third-Quarter 2005 Teleconference Schedule,PR Newswire,/news/stocks/webcast-alert-lyondell-chemical-company-announces-third-quarter-2005-teleconference-schedule-1028653545,neutral,0.9028656482696533
1,4/6/2006 4:32:00 PM,Lyondell-Citgo Houston Refinery Offered for Sale,PR Newswire,/news/stocks/lyondell-citgo-houston-refinery-offered-for-sale-1010441706,neutral,0.8450760841369629
2,4/24/2006 10:32:00 PM,Lyondell and CITGO Sign Morgan Stanley for Refinery Sale,PR Newswire,/news/stocks/lyondell-and-citgo-sign-morgan-stanley-for-refinery-sale-1007623594,neutral,0.5560843348503113
3,10/21/2016 11:30:20 PM,"Lyondell's Houston refinery draws bids from Aramco, Valero, Suncor -sources (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-lyondells-houston-refinery-draws-bids-from-aramco-valero-suncor--sources-2016-10,neutral,0.506868839263916
4,10/24/2016 11:54:20 AM,Saudi Aramco denies bidding for Lyondell's Houston refinery (LYB),Reuters,http://www.businessinsider.com/r-saudi-aramco-denies-bidding-for-lyondells-houston-refinery-2016-10,neutral,0.9268797039985657
5,11/17/2016 7:30:19 PM,Polish Basell Orlen declares force majeure on some products (LYB),Reuters,http://www.businessinsider.com/r-polish-basell-orlen-declares-force-majeure-on-some-products-2016-11,neutral,0.6651955246925354
6,12/16/2016 10:20:03 PM,Houston refinery worker's death due to natural causes -official (LYB),Reuters,http://www.businessinsider.com/r-houston-refinery-workers-death-due-to-natural-causes--official-2016-12,negative,0.6141104698181152
7,1/19/2017 1:02:04 PM,BRIEF-LyondellBasell Industries says Corpus Christi complex expansion complete (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-industries-says-corpus-christi-complex-expansion-complete-2017-1,neutral,0.740512490272522
8,2/3/2017 10:10:07 PM,"UPDATE 1-Lyondell, buyers differed on value of Houston refinery -CEO (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-update-1-lyondell-buyers-differed-on-value-of-houston-refinery--ceo-2017-2,neutral,0.9162498116493225
9,2/17/2017 1:18:11 PM,BRIEF-LyondellBasell board authorizes interim dividend of $0.85/shr (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-board-authorizes-interim-dividend-of-085-shr-2017-2,neutral,0.9227837324142456
10,2/22/2017 12:36:12 AM,BRIEF-Lyondellbasell prices public offering of guaranteed notes (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-prices-public-offering-of-guaranteed-notes-2017-2,neutral,0.8717313408851624
11,3/10/2017 3:00:00 PM,LyondellBasell Honored by Junior Achievement with US President's Volunteer Service Award,PR Newswire,/news/stocks/lyondellbasell-honored-by-junior-achievement-with-us-president-s-volunteer-service-award-1001824297,positive,0.8586373925209045
12,3/16/2017 3:20:49 AM,BRIEF-Fire on crude unit cooling tower at Lyondell Houston refinery -sources (LYB),Reuters,http://www.businessinsider.com/r-brief-fire-on-crude-unit-cooling-tower-at-lyondell-houston-refinery--sources-2017-3,neutral,0.5778821706771851
13,3/16/2017 3:56:42 AM,CORRECTED-BRIEF-Fire on cooling tower at Lyondell Houston refinery -sources (LYB),Reuters,http://www.businessinsider.com/r-corrected-brief-fire-on-cooling-tower-at-lyondell-houston-refinery--sources-2017-3,negative,0.6147317886352539
14,3/24/2017 12:40:00 PM,"Research Reports Coverage on Specialty Chemicals Stocks -- LyondellBasell, Amyris, Axalta Coating, and Platform Specialty",PR Newswire,/news/stocks/research-reports-coverage-on-specialty-chemicals-stocks-lyondellbasell-amyris-axalta-coating-and-platform-specialty-1001865549,neutral,0.9455125331878662
15,3/27/2017 7:00:49 PM,BRIEF-Lyondellbasell Industries NV CEO Bob Patel's fy 2016 total compensation was $12.64 mln (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-industries-nv-ceo-bob-patels-fy-2016-total-compensation-was-1264-mln-2017-3,neutral,0.7089794278144836
16,3/29/2017 7:04:00 PM,"LyondellBasell to Host Investor Day 2017 on April 5, 2017",PR Newswire,/news/stocks/lyondellbasell-to-host-investor-day-2017-on-april-5-2017-1001879104,neutral,0.9380360841751099
17,4/3/2017 3:55:00 PM,LyondellBasell Joins the Astros Foundation Community Leaders Program,PR Newswire,/news/stocks/lyondellbasell-joins-the-astros-foundation-community-leaders-program-1001890785,neutral,0.9048362374305725
18,4/6/2017 11:16:56 PM,BRIEF-Lyondellbasell says CEO's compensation was $12.6 mln in 2016 (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-says-ceos-compensation-was-126-mln-in-2016-2017-4,negative,0.6273899078369141
