datetime,title,source,link,sentiment_class,sentiment_score
10/6/2005 3:37:00 PM,"MORNING UPDATE: Seven Summits Research issues alerts for BAC, FRE, COST, MAR, and RI",PR Newswire,/news/stocks/morning-update-seven-summits-research-issues-alerts-for-bac-fre-cost-mar-and-ri-1010319848,neutral,0.9308966994285583
10/10/2005 7:47:00 PM,Introducing Marriott Flexrez: For the Savvy Traveler,PR Newswire,/news/stocks/introducing-marriott-flexrez-for-the-savvy-traveler-1010442793,neutral,0.8298805952072144
10/19/2005 2:07:00 PM,SideStep Announces Agreement With Marriott International,PR Newswire,/news/stocks/sidestep-announces-agreement-with-marriott-international-1000905803,positive,0.6630530953407288
11/28/2005 4:07:00 PM,Sidley Austin Brown & Wood LLP beraten Starwood Hotels & Resorts bei der Übernahme der Marken- und Management-Geschäftseinheit von Meridien Hotels,PR Newswire,/news/stocks/sidley-austin-brown-&-wood-llp-beraten-starwood-hotels-&-resorts-bei-der-uebernahme-der-marken-und-management-geschaftseinheit-von-meridien-hotels-1000760152,neutral,0.9306260943412781
11/29/2006 4:32:00 PM,Erica Qualls Named General Manager of Atlanta Marriott Marquis,PR Newswire,/news/stocks/erica-qualls-named-general-manager-of-atlanta-marriott-marquis-1004440225,neutral,0.9290179014205933
6/22/2007 6:08:00 PM,Marriott Named as a 'Best Place to Work in Information Technology' by Computerworld,PR Newswire,/news/stocks/marriott-named-as-a-best-place-to-work-in-information-technology-by-computerworld-1030011487,positive,0.8895953297615051
11/16/2015 12:18:19 PM,Marriott to buy Starwood Hotels in $12.2 billion deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OF7YuN5-m8I/story01.htm,neutral,0.9255706667900085
11/16/2015 12:31:07 PM,Marriott to buy Starwood Hotels in $12.2 billion deal,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/VGnKZXhffxo/story01.htm,neutral,0.9255706667900085
3/12/2016 12:27:25 AM,"AT&T, Starwood, Marriott working on Cuba deals ahead of Obama visit",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/mkuSaQb6COE/story01.htm,neutral,0.9337701201438904
3/12/2016 6:23:49 AM,"AT&T, Starwood, Marriott working on Cuba deals ahead of Obama visit",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/SaFZbCjyt_0/story01.htm,neutral,0.9337701201438904
3/14/2016 1:47:01 PM,China's Anbang challenges Marriott with $13 billion Starwood offer,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/QPAagRX32GQ/story01.htm,neutral,0.5787477493286133
3/18/2016 1:54:24 PM,"Starwood gets $13 billion bid from Anbang, tops Marriott offer",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ru_vgdHNSXc/story01.htm,neutral,0.6958699822425842
3/21/2016 12:17:15 PM,Marriott wins back Sheraton-owner Starwood with new offer,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Z08a9SVvD-k/story01.htm,positive,0.5966511964797974
3/21/2016 12:53:59 PM,Marriott wins back Sheraton-owner Starwood with new offer,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/rgrv4A6pwGA/story01.htm,positive,0.5966511964797974
4/8/2016 6:02:38 PM,"Marriott, Starwood Hotels stockholders approve deal",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/_Udt3QplCJg/story01.htm,neutral,0.8698574900627136
4/8/2016 9:08:59 PM,"Marriott, Starwood Hotels stockholders approve deal",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ioG2ZVZwJZo/story01.htm,neutral,0.8698574900627136
6/14/2016 1:02:55 PM,"Exclusive: EU set to clear unconditionally Marriott, Starwood deal - source",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/K5pZnitKtHo/us-starwood-hotels-m-a-marriott-intnl-eu-idUSKCN0Z0142,neutral,0.900816798210144
6/14/2016 2:16:03 PM,"Exclusive: EU set to clear unconditionally Marriott, Starwood deal - source",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/4lDOeRsAR0A/starwood-hotels-m-a-marriott-intnl-eu-idINKCN0Z01FW,neutral,0.900816798210144
8/8/2016 10:09:33 PM,China extends Marriott-Starwood deal review by up to 60 days,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/pUZh7CpRsEk/us-starwood-hotels-m-a-marriott-intnl-idUSKCN10J1EF,neutral,0.8872289657592773
2/15/2017 10:39:59 PM,EARNINGS SUMMARY: Details of Marriott International Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-marriott-international-inc-q4-earnings-report-1001754967,neutral,0.9240012168884277
2/15/2017 11:49:35 PM,Marriott Issues Guidance - Quick Facts ,RTTNews,/news/stocks/marriott-issues-guidance-quick-facts-1001755232,neutral,0.9303776025772095
2/16/2017 12:36:17 AM,Marriott Q4 Profit Tops Street - Update ,RTTNews,/news/stocks/marriott-q4-profit-tops-street-update-1001755355,neutral,0.5871038436889648
2/28/2017 8:51:00 PM,"/C O R R E C T I O N -- Marriott International, Inc./",PR Newswire,/news/stocks/c-o-r-r-e-c-t-i-o-n-marriott-international-inc-1001786684,neutral,0.9472756385803223
2/28/2017 9:15:00 PM,"Marriott International Appoints David Flueck as Senior Vice President, Loyalty to Oversee Company's Award-winning Programs",PR Newswire,/news/stocks/marriott-international-appoints-david-flueck-as-senior-vice-president-loyalty-to-oversee-company-s-award-winning-programs-1001791925,neutral,0.7437655925750732
3/2/2017 1:30:00 PM,"Lingerfelt CommonWealth Sells Richmond Marriott Short Pump in Richmond, VA",PR Newswire,/news/stocks/lingerfelt-commonwealth-sells-richmond-marriott-short-pump-in-richmond-va-1001798807,neutral,0.927465558052063
3/2/2017 1:30:00 PM,Marriott International Scores Big With NCAA Partnership,PR Newswire,/news/stocks/marriott-international-scores-big-with-ncaa-partnership-1001798805,positive,0.850446343421936
3/7/2017 3:14:00 PM,Marriott International Announces 2020 Growth Vision In Europe Post Starwood Acquisition,PR Newswire,/news/stocks/marriott-international-announces-2020-growth-vision-in-europe-post-starwood-acquisition-1001811574,positive,0.7717469334602356
3/9/2017 4:06:00 PM,Marriott International Named A Fortune 100 Best Company To Work For -- A Winner For Two Decades Straight,PR Newswire,/news/stocks/marriott-international-named-a-fortune-100-best-company-to-work-for-a-winner-for-two-decades-straight-1001820680,positive,0.8045703172683716
3/15/2017 3:58:00 PM,Courtyard Silver Spring North Pumps Up Its Fitness Center with More Space and Equipment,PR Newswire,/news/stocks/courtyard-silver-spring-north-pumps-up-its-fitness-center-with-more-space-and-equipment-476533,positive,0.838586151599884
3/16/2017 2:30:00 AM,New Appointment of Christine Wang,PR Newswire,/news/stocks/new-appointment-of-christine-wang-1001840085,neutral,0.8720072507858276
3/21/2017 11:10:00 AM,"Marriott to Add 100,000+ Worldwide Travel Experiences for Guests Worldwide With PlacePass",PR Newswire,/news/stocks/marriott-to-add-100-000+-worldwide-travel-experiences-for-guests-worldwide-with-placepass-485361,positive,0.5749879479408264
3/21/2017 11:50:00 AM,Marriott International Maps Future Growth at Investor Day,PR Newswire,/news/stocks/marriott-international-maps-future-growth-at-investor-day-1001853190,neutral,0.9196193814277649
3/21/2017 12:06:43 PM,Marriott Unveils Three-year Growth Plan - Quick Facts ,RTTNews,/news/stocks/marriott-unveils-three-year-growth-plan-quick-facts-1001853275,neutral,0.8445296287536621
3/21/2017 1:12:24 PM,"Marriott to add up to 300,000 rooms by 2019",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/q5WyPdBfQlQ/us-marriott-intnl-outlook-idUSKBN16S1DP,positive,0.6341245770454407
3/21/2017 1:15:00 PM,Noble Breaks Ground on Marriott's First Dual-Brand AC Hotels By Marriott® and Moxy Hotel in Vibrant Midtown Atlanta,PR Newswire,/news/stocks/noble-breaks-ground-on-marriott-s-first-dual-brand-ac-hotels-by-marriott-and-moxy-hotel-in-vibrant-midtown-atlanta-1001853672,positive,0.6774895191192627
3/22/2017 3:00:00 AM,W Hotels Worldwide Set To Shake Up The Indian Hospitality Scene With The Opening Of W Goa,PR Newswire,/news/stocks/w-hotels-worldwide-set-to-shake-up-the-indian-hospitality-scene-with-the-opening-of-w-goa-1001856088,positive,0.5238549709320068
3/22/2017 7:27:00 PM,"Marriott International Debuts Four Points by Sheraton Brand in Auckland, New Zealand",PR Newswire,/news/stocks/marriott-international-debuts-four-points-by-sheraton-brand-in-auckland-new-zealand-1001859364,neutral,0.828127384185791
3/23/2017 3:27:32 PM,"Hotels could be the next frontier for voice control (AAPL, AMZN, MAR)",Business Insider,http://www.businessinsider.com/hotels-could-be-the-next-frontier-for-voice-control-2017-3,neutral,0.8298457860946655
3/27/2017 6:26:00 PM,W Marbella To Debut On Spain's Sizzling South Coast,PR Newswire,/news/stocks/w-marbella-to-debut-on-spain-s-sizzling-south-coast-1001870950,neutral,0.814812421798706
