datetime,title,source,link,sentiment_class,sentiment_score
9/18/2015 8:43:58 PM,AB InBev talked to SABMiller investor Altria before approach - Bbg,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/9ogC_ATsyoQ/story01.htm,neutral,0.9127551913261414
9/18/2015 8:54:33 PM,AB InBev talked to SABMiller investor Altria before approach: Bloomberg,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/wCOdAYDZ0yc/story01.htm,neutral,0.9414114952087402
9/28/2016 2:50:20 PM,"SABMiller shareholders approve AB InBev takeover (MO, SAB, ABI)",Reuters,/news/stocks/sabmiller-shareholders-approve-ab-inbev-takeover-mo-sab-abi-1001423309,neutral,0.8980376124382019
9/28/2016 2:50:20 PM,"BRIEF-SABMiller says shareholders approve AB InBev deal (ABI, SAB, SAB, MO)",Reuters,/news/stocks/brief-sabmiller-says-shareholders-approve-ab-inbev-deal-abi-sab-sab-mo-1001423311,neutral,0.8368574380874634
10/11/2016 4:20:29 PM,"BRIEF-Altria becomes significant shareholder in Anheuser-Busch InBev (MO, ABI)",Reuters,/news/stocks/brief-altria-becomes-significant-shareholder-in-anheuser-busch-inbev-mo-abi-1001449359,neutral,0.9066557288169861
10/11/2016 6:10:26 PM,"U.S. Supreme Court declines to hear tobacco arbitration dispute (RAI, MO)",Reuters,/news/stocks/u-s-supreme-court-declines-to-hear-tobacco-arbitration-dispute-rai-mo-1001449633,negative,0.5628949403762817
10/11/2016 6:50:21 PM,"UPDATE 1-U.S. Supreme Court declines to hear tobacco arbitration dispute (RAI, MO)",Reuters,/news/stocks/update-1-u-s-supreme-court-declines-to-hear-tobacco-arbitration-dispute-rai-mo-1001449660,negative,0.781415581703186
10/24/2016 4:12:26 AM,"BRIEF-Altria announces increased ownership of Anheuser-Busch InBev (MO, ABI)",Reuters,http://www.businessinsider.com/r-brief-altria-announces-increased-ownership-of-anheuser-busch-inbev-2016-10,neutral,0.5406975150108337
10/27/2016 2:10:20 PM,BRIEF-Altria reports Q3 adjusted earnings per share $0.82 (MO),Reuters,http://www.businessinsider.com/r-brief-altria-reports-q3-adjusted-earnings-per-share-082-2016-10,neutral,0.8267448544502258
11/9/2016 12:56:18 PM,"California approves tax increase on cigarettes (RAI, MO)",Reuters,http://www.businessinsider.com/r-california-approves-tax-increase-on-cigarettes-2016-11,neutral,0.6761154532432556
11/9/2016 10:16:20 PM,"UPDATE 1-California approves tax increase on cigarettes (RAI, MO)",Reuters,http://www.businessinsider.com/r-update-1-california-approves-tax-increase-on-cigarettes-2016-11,neutral,0.4967719316482544
11/30/2016 11:14:11 PM,"Federal government bans smoking in public housing (RAI, MO)",Reuters,http://www.businessinsider.com/r-federal-government-bans-smoking-in-public-housing-2016-11,neutral,0.814146876335144
12/6/2016 4:16:03 PM,BRIEF-Altria's statement on Philip Morris International's MRTP application submission with FDA (MO),Reuters,http://www.businessinsider.com/r-brief-altrias-statement-on-philip-morris-internationals-mrtp-application-submission-with-fda-2016-12,neutral,0.8900923132896423
12/6/2016 10:16:03 PM,Philip Morris seeks U.S. approval to market alternative cigarette,Reuters,http://www.businessinsider.com/r-philip-morris-seeks-us-approval-to-market-alternative-cigarette-2016-12,positive,0.5346179008483887
12/7/2016 9:42:04 PM,BRIEF-Altria declares qtrly dividend of $0.61 per common share (MO),Reuters,http://www.businessinsider.com/r-brief-altria-declares-qtrly-dividend-of-061-per-common-share-2016-12,neutral,0.7703167796134949
12/8/2016 12:04:05 PM,"U.S. surgeon general raises concerns over e-cigarette use among youth (RAI, MO, PM)",Reuters,http://www.businessinsider.com/r-us-surgeon-general-raises-concerns-over-e-cigarette-use-among-youth-2016-12,negative,0.7580339312553406
2/1/2017 2:26:07 AM,Altria unit recalls some U.S. smokeless tobacco products (MO),Reuters,http://www.businessinsider.com/r-altria-unit-recalls-some-us-smokeless-tobacco-products-2017-1,negative,0.8970891237258911
2/1/2017 2:26:07 AM,BRIEF-U.S. Smokeless Tobacco Co voluntarily recalls certain smokeless tobacco products (MO),Reuters,http://www.businessinsider.com/r-brief-us-smokeless-tobacco-co-voluntarily-recalls-certain-smokeless-tobacco-products-2017-1,negative,0.9366359710693359
2/1/2017 1:06:59 PM,EARNINGS SUMMARY: Details of Altria Group  Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-altria-group-inc-q4-earnings-report-1001712782,neutral,0.9223171472549438
2/1/2017 1:39:15 PM,Altria Sees FY17 Earnings Below Market View; Q4 Adj. EPS Tops Estimates ,RTTNews,/news/stocks/altria-sees-fy17-earnings-below-market-view-q4-adj-eps-tops-estimates-1001712925,negative,0.5020783543586731
2/4/2017 12:02:08 AM,BRIEF-Altria working with authorities to investigate potential tampering of recalled products (MO),Reuters,http://www.businessinsider.com/r-brief-altria-working-with-authorities-to-investigate-potential-tampering-of-recalled-products-2017-2,neutral,0.5704559087753296
2/22/2017 2:26:12 PM,BRIEF-Altria reaffirms FY 2017 adjusted EPS view $3.26 to $3.32 (MO),Reuters,http://www.businessinsider.com/r-brief-altria-reaffirms-fy-2017-adjusted-eps-view-326-to-332-2017-2,neutral,0.790281355381012
3/14/2017 1:05:00 PM,"Research Reports on Cigarettes Equities -- Reynolds American, Altria, Philip Morris, and Vector",PR Newswire,/news/stocks/research-reports-on-cigarettes-equities-reynolds-american-altria-philip-morris-and-vector-1001833315,neutral,0.9396058320999146
3/17/2017 1:53:26 PM,"Dividend stocks aren't as great as they used to be (KO, MO)",Business Insider,http://markets.businessinsider.com/news/stocks/dividend-stocks-not-as-great-as-they-used-to-be-2017-3-1001845939,neutral,0.8092196583747864
3/31/2017 5:52:49 PM,Philip Morris files U.S. FDA application for heated tobacco device,Reuters,http://www.businessinsider.com/r-philip-morris-files-us-fda-application-for-heated-tobacco-device-2017-3,neutral,0.7937001585960388
3/31/2017 6:00:48 PM,"UPDATE 1-Philip Morris asks for U.S. FDA nod to sell heated tobacco device (PM, MO)",Reuters,http://www.businessinsider.com/r-update-1-philip-morris-asks-for-us-fda-nod-to-sell-heated-tobacco-device-2017-3,neutral,0.6916692852973938
4/6/2017 3:30:50 PM,BRIEF-Altria Group CEO's 2016 compensation was $27.6 mln (MO),Reuters,http://www.businessinsider.com/r-brief-altria-group-ceos-2016-compensation-was-276-mln-2017-4,negative,0.591966986656189
4/17/2017 12:05:00 PM,"Research Reports on Cigarettes Equities -- Reynolds, Altria, Philip Morris, and British American Tobacco",PR Newswire,/news/stocks/research-reports-on-cigarettes-equities-reynolds-altria-philip-morris-and-british-american-tobacco-1001923704,neutral,0.9474155902862549
4/25/2017 10:09:06 PM,"U.S. House bill would exempt e-cigarettes from tobacco regulations (MO, RAI)",Reuters,http://www.businessinsider.com/r-us-house-bill-would-exempt-e-cigarettes-from-tobacco-regulations-2017-4,neutral,0.9126819968223572
5/2/2017 1:15:05 PM,EARNINGS SUMMARY: Details of Altria Group  Inc. Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-altria-group-inc-q1-earnings-report-1001968909,neutral,0.9222118854522705
5/18/2017 8:36:04 PM,BRIEF-Altria reaffirms 2017 adj EPS guidance (MO),Reuters,http://www.businessinsider.com/r-brief-altria-reaffirms-2017-adj-eps-guidance-2017-5,neutral,0.902167022228241
5/26/2017 4:59:45 AM,Altria's Statement On FDA's Filing Of Philip Morris' MRTP Application ,RTTNews,/news/stocks/altria-s-statement-on-fda-s-filing-of-philip-morris-mrtp-application-1002043857,neutral,0.9339697360992432
6/2/2017 12:50:00 PM,"Research Reports on Cigarettes Equities -- Altria, Philip Morris, Reynolds American, and British American Tobacco",PR Newswire,/news/stocks/research-reports-on-cigarettes-equities-altria-philip-morris-reynolds-american-and-british-american-tobacco-1002062899,neutral,0.9473667144775391
6/15/2017 9:08:03 PM,UPDATE 1-U.S. youth tobacco use in 2016 fell by largest amount in 6 years (MO),Reuters,http://www.businessinsider.com/r-update-1-us-youth-tobacco-use-in-2016-fell-by-largest-amount-in-6-years-2017-6,negative,0.967235803604126
7/17/2017 3:48:08 PM,"EU will only extend glyphosate licence with national backing (MON, MO)",Reuters,http://www.businessinsider.com/r-eu-will-only-extend-glyphosate-licence-with-national-backing-2017-7,neutral,0.8468464612960815
7/27/2017 1:55:17 PM,Altria Group  Inc. Q2 Earnings Rise 4%,RTTNews,/news/stocks/altria-group-inc-q2-earnings-rise-4-1002210334,positive,0.9422864317893982
7/27/2017 2:17:47 PM,"Altria Group Q2 Profit Climbs, Reaffirms FY17 Adj. EPS View ",RTTNews,/news/stocks/altria-group-q2-profit-climbs-reaffirms-fy17-adj-eps-view-1002210543,positive,0.9228813052177429
7/28/2017 4:44:05 PM,"U.S. FDA aims to cut nicotine in cigarettes; ease e-cigarette rules (RAI, MO)",Reuters,http://www.businessinsider.com/r-us-fda-aims-to-cut-nicotine-in-cigarettes-ease-e-cigarette-rules-2017-7,neutral,0.7219154834747314
7/28/2017 4:48:07 PM,"Tobacco stocks tank after FDA says it plans to cut nicotine in cigarettes to non-addictive levels (BTI, MO, PM, VGR)",Business Insider,http://www.businessinsider.com/tobacco-stocks-fda-cut-nicotine-non-addictive-levels-2017-7,negative,0.9495283365249634
7/28/2017 5:38:05 PM,"US STOCKS-Wall St dragged lower by Amazon, tobacco stocks (AMZN, MO, PM, SBUX, MAT)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-dragged-lower-by-amazon-tobacco-stocks-2017-7,negative,0.958379864692688
7/28/2017 5:44:03 PM,"UPDATE 1-U.S. FDA aims to cut nicotine in cigarettes, ease e-cigarette rules (BATS, MO, RAI)",Reuters,http://www.businessinsider.com/r-update-1-us-fda-aims-to-cut-nicotine-in-cigarettes-ease-e-cigarette-rules-2017-7,neutral,0.7480100989341736
7/28/2017 6:20:14 PM,"GLOBAL MARKETS-Stocks fall with tobacco shares, Amazon; oil climbs (AMZN, MO, BATS)",Reuters,http://www.businessinsider.com/r-global-markets-stocks-fall-with-tobacco-shares-amazon-oil-climbs-2017-7,negative,0.9688868522644043
7/28/2017 7:10:15 PM,"US STOCKS-S&P lower as Amazon, tobacco stocks drag; Dow, Nasdaq flat (AMZN, MO, PM, SBUX, MAT)",Reuters,http://www.businessinsider.com/r-us-stocks-sp-lower-as-amazon-tobacco-stocks-drag-dow-nasdaq-flat-2017-7,negative,0.9569521546363831
7/28/2017 9:08:03 PM,"US STOCKS-S&P 500 knocked lower after earnings wave (CVX, AMZN, MO, XOM, SBUX, MAT)",Reuters,http://www.businessinsider.com/r-us-stocks-sp-500-knocked-lower-after-earnings-wave-2017-7,negative,0.9523518085479736
7/28/2017 9:36:08 PM,"GLOBAL MARKETS-Stocks edge lower as some earnings disappoint; oil climbs (MO, BATS, AMZN, XOM, SBUX)",Reuters,http://www.businessinsider.com/r-global-markets-stocks-edge-lower-as-some-earnings-disappoint-oil-climbs-2017-7,negative,0.9657577872276306
7/28/2017 10:24:03 PM,"US STOCKS-S&P 500 dented by earnings; Dow hits record high (CVX, AMZN, MO, XOM, SBUX, MAT)",Reuters,http://www.businessinsider.com/r-us-stocks-sp-500-dented-by-earnings-dow-hits-record-high-2017-7,negative,0.9129366874694824
7/28/2017 11:12:06 PM,"GLOBAL MARKETS-Stocks edge lower as some earnings disappoint; oil rises (MO, BATS, AMZN, XOM, SBUX)",Reuters,http://www.businessinsider.com/r-global-markets-stocks-edge-lower-as-some-earnings-disappoint-oil-rises-2017-7,negative,0.9661880731582642
7/29/2017 12:34:03 AM,"FDA move on nicotine could boost Philip Morris iQOS smoking device (PM, MO, 2914, BATS)",Reuters,http://www.businessinsider.com/r-fda-move-on-nicotine-could-boost-philip-morris-iqos-smoking-device-2017-7,positive,0.7051845788955688
7/31/2017 5:27:06 PM,"GLOBAL MARKETS-Stocks retreat as gains in Europe fade; dollar dips (HSBA, BATS, MO, PM)",Reuters,http://www.businessinsider.com/r-global-markets-stocks-retreat-as-gains-in-europe-fade-dollar-dips-2017-7,negative,0.9532364010810852
7/31/2017 7:47:03 PM,"GLOBAL MARKETS-Stock market gains capped by tech, Europe; US dollar weakens (HSBA, AAPL, BATS, MO, PM)",Reuters,http://www.businessinsider.com/r-global-markets-stock-market-gains-capped-by-tech-europe-us-dollar-weakens-2017-7,negative,0.9419809579849243
7/31/2017 10:22:04 PM,"GLOBAL MARKETS-Europe, tech keeps stocks in check; U.S. dollar softens (HSBA, AAPL, BATS, MO, PM)",Reuters,http://www.businessinsider.com/r-global-markets-europe-tech-keeps-stocks-in-check-us-dollar-softens-2017-7,positive,0.8549239039421082
