,datetime,title,source,link,sentiment_class,sentiment_score
0,12/21/2015 10:32:37 PM,NetApp to buy flash storage maker SolidFire for $870 million,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Z8YranBPedk/story01.htm,neutral,0.8895899057388306
1,10/19/2016 4:10:22 PM,BRIEF-NetApp names William H. Miller chief information officer (NTAP),Reuters,/news/stocks/brief-netapp-names-william-h-miller-chief-information-officer-ntap-1001465364,neutral,0.9418320655822754
2,11/3/2016 11:06:18 PM,BRIEF-NetApp expects to reduce worldwide headcount by about 6 percent - SEC filing (NTAP),Reuters,http://www.businessinsider.com/r-brief-netapp-expects-to-reduce-worldwide-headcount-by-about-6-percent---sec-filing-2016-11,negative,0.8058359026908875
3,11/16/2016 11:18:20 PM,BRIEF-Netapp reports Q2 earnings per share $0.38 (NTAP),Reuters,http://www.businessinsider.com/r-brief-netapp-reports-q2-earnings-per-share-038-2016-11,neutral,0.7311645150184631
4,12/12/2016 6:02:05 PM,BRIEF-Netapp says enters senior unsecured credit agreement (NTAP),Reuters,http://www.businessinsider.com/r-brief-netapp-says-enters-senior-unsecured-credit-agreement-2016-12,positive,0.6666271686553955
5,2/13/2017 2:42:12 PM,BRIEF-Vanguard Chester Funds reports a 5.12 pct passive stake in Netapp (NTAP),Reuters,http://www.businessinsider.com/r-brief-vanguard-chester-funds-reports-a-512-pct-passive-stake-in-netapp-2017-2,neutral,0.9278504848480225
6,2/15/2017 10:04:24 PM,NetApp Inc. Announces 12% Rise In Q3 Earnings,RTTNews,/news/stocks/netapp-inc-announces-12-rise-in-q3-earnings-1001754780,positive,0.9414519667625427
7,2/15/2017 10:16:10 PM,BRIEF-Netapp Q3 non-gaap earnings per share $0.82 (NTAP),Reuters,http://www.businessinsider.com/r-brief-netapp-q3-non-gaap-earnings-per-share-082-2017-2,neutral,0.8141835331916809
8,2/16/2017 9:38:34 PM,NetApp Pulls Back Off Best Levels But Remains Firmly Positive ,RTTNews,/news/stocks/netapp-pulls-back-off-best-levels-but-remains-firmly-positive-1001759130,positive,0.879479169845581
9,2/24/2017 1:00:00 PM,"Data Storage Devices Stocks Under Review -- NetApp, Teradata, Quantum, and Pure Storage",PR Newswire,/news/stocks/data-storage-devices-stocks-under-review-netapp-teradata-quantum-and-pure-storage-1001780975,neutral,0.7707921266555786
10,4/13/2017 12:15:00 PM,"How These Data Storage Devices Stocks are Faring? -- NetApp, Nimble, Pure Storage, and Teradata",PR Newswire,/news/stocks/how-these-data-storage-devices-stocks-are-faring-netapp-nimble-pure-storage-and-teradata-1001920131,neutral,0.9285132884979248
