,datetime,title,source,link,sentiment_class,sentiment_score
0,1/25/2017 3:26:05 PM,BRIEF-NVR Inc announces fourth quarter and full year results (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-fourth-quarter-and-full-year-results-2017-1,neutral,0.8468381762504578
1,2/15/2017 8:18:10 PM,BRIEF-NVR INC ANNOUNCES $300 MLN SHARE REPURCHASE (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-300-mln-share-repurchase-2017-2,neutral,0.8909576535224915
2,4/20/2017 3:00:00 PM,"NVR, Inc. Announces First Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-first-quarter-results-1001934814,neutral,0.7337356805801392
3,4/20/2017 3:07:54 PM,NVR  Inc. Reports 58% Rise In Q1 Earnings,RTTNews,/news/stocks/nvr-inc-reports-58-rise-in-q1-earnings-1001934874,positive,0.9440492391586304
4,4/20/2017 3:15:09 PM,BRIEF-NVR announces Q1 revenue of $1.277 billion (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-announces-q1-revenue-of-1277-billion-2017-4,neutral,0.8830092549324036
5,6/28/2017 8:12:05 PM,"U.S. housing stocks may rally as millennials age -Smead (AMZN, TSLA, NVR, LEN, HD, JWN, SBUX, WFM, SHLD)",Reuters,http://www.businessinsider.com/r-us-housing-stocks-may-rally-as-millennials-age--smead-2017-6,positive,0.837824821472168
6,7/14/2017 8:32:05 PM,"Wall St Weekahead-Housing stocks may not be on terra firma (DHI, PHM, NVR)",Reuters,http://www.businessinsider.com/r-wall-st-weekahead-housing-stocks-may-not-be-on-terra-firma-2017-7,neutral,0.5684313774108887
7,7/21/2017 3:02:58 PM,NVR  Inc. Bottom Line Advances 61% In Q2,RTTNews,/news/stocks/nvr-inc-bottom-line-advances-61-in-q2-1002195277,positive,0.9300582408905029
8,7/21/2017 3:28:03 PM,BRIEF-NVR Inc announces second quarter results (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-second-quarter-results-2017-7,neutral,0.7601666450500488
9,10/19/2017 3:00:00 PM,"NVR, Inc. Announces Third Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-third-quarter-results-1004905287,neutral,0.7104823589324951
10,10/19/2017 3:15:57 PM,NVR  Inc. Announces 38% Increase In Q3 Bottom Line,RTTNews,/news/stocks/nvr-inc-announces-38-increase-in-q3-bottom-line-1004906319,positive,0.9347901940345764
11,10/19/2017 3:17:25 PM,NVR Q3 Profit Increases ,RTTNews,/news/stocks/nvr-q3-profit-increases-1004906317,negative,0.49317535758018494
12,10/19/2017 3:22:09 PM,BRIEF-NVR INC Q3 EARNINGS PER SHARE $38.02 (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-q3-earnings-per-share-3802-2017-10,neutral,0.7724915742874146
13,12/12/2017 10:31:00 PM,"NVR, Inc. Announces Share Repurchase",PR Newswire,/news/stocks/nvr-inc-announces-share-repurchase-1011137668,neutral,0.8892490267753601
14,1/25/2018 3:00:00 PM,"NVR, Inc. Announces Fourth Quarter and Full Year Results",PR Newswire,/news/stocks/nvr-inc-announces-fourth-quarter-and-full-year-results-1013996764,neutral,0.6822659969329834
15,1/25/2018 3:09:34 PM,NVR  Inc. Reports Decline In Q4 Earnings,RTTNews,/news/stocks/nvr-inc-reports-decline-in-q4-earnings-1013996866,negative,0.9712539911270142
16,2/14/2018 8:00:00 PM,"NVR, Inc. Announces Share Repurchase",PR Newswire,/news/stocks/nvr-inc-announces-share-repurchase-1015796825,neutral,0.8892490267753601
17,4/17/2018 2:45:00 PM,New Partnership a Win for All Teachers,PR Newswire,/news/stocks/new-partnership-a-win-for-all-teachers-584087,positive,0.7250667214393616
18,4/19/2018 3:00:00 PM,"NVR, Inc. Announces First Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-first-quarter-results-1021579847,neutral,0.7337356805801392
19,4/19/2018 3:06:56 PM,BRIEF-NVR Inc Reports Q1 Earnings Per Share Of $39.34,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/OcvRKMBZM2M/brief-nvr-inc-reports-q1-earnings-per-share-of-39-34-idUSASC09WIB,neutral,0.6265639066696167
20,4/19/2018 3:08:01 PM,NVR  Inc. Profit Advances In Q1,RTTNews,/news/stocks/nvr-inc-profit-advances-in-q1-1021579949,positive,0.8133547902107239
21,7/20/2018 3:03:42 PM,NVR  Inc. Earnings Climb In Q2,RTTNews,/news/stocks/nvr-inc-earnings-climb-in-q2-1027385903,positive,0.9255673885345459
22,10/19/2018 6:34:00 PM,Wells Fargo Commercial Mortgage Trt 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trt-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634695,neutral,0.8908685445785522
23,10/19/2018 6:37:00 PM,Wells Fargo Commercial Mortgage Trust 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trust-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634709,neutral,0.8900895714759827
24,10/19/2018 6:40:00 PM,Wells Fargo Commercial Mortgage Trust 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trust-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634710,neutral,0.8900895714759827
