datetime,title,source,link,sentiment_class,sentiment_score
10/18/2011 3:47:35 PM,India to grant Internet licence to Qualcomm,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/QwUUKomhWr0/idINIndia-59958320111018,positive,0.8290439248085022
5/8/2012 6:16:09 PM,Qualcomm gets 4G spectrum in India,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/PZxFfcplgTs/qualcomm-4g-spectrum-india-idINDEE8470EJ20120508,neutral,0.67939293384552
5/16/2012 12:56:22 PM,Bharti in talks for stake in Qualcomm India unit - sources,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/qpDUnM1OZJs/qualcomm-bharti-airtel-idINDEE84F08Q20120516,neutral,0.930657684803009
5/24/2012 12:19:36 PM,Bharti to buy 49 pct in Qualcomm India broadband venture,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/TiP2V7jyDY8/qualcomm-bharti-idINDEE84N08120120524,neutral,0.8960043787956238
1/3/2013 4:55:53 PM,NY pension fund sues Qualcomm for political records,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/QQHsfrXgjFs/us-newyork-pension-qualcomm-suit-idUSBRE9020EG20130103,negative,0.9235169291496277
3/5/2013 2:47:01 PM,"Qualcomm ups dividend, increases share repurchase",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/iWweaYRDE7c/us-qualcomm-dividend-idUSBRE9240JU20130305,positive,0.8932656645774841
4/24/2013 10:24:53 PM,Qualcomm raises full-year forecast on smartphone demand,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KhzwlfB5MIc/story01.htm,positive,0.8271653652191162
7/30/2013 10:26:47 AM,"Alcatel posts strong second-quarter, signs Qualcomm partnership",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/p1TkT_CnfcQ/story01.htm,positive,0.9552048444747925
9/4/2013 8:18:20 PM,Qualcomm jumps into consumer fray with Toq smartwatch,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/bPoZGpUIjbc/story01.htm,positive,0.5183594226837158
10/18/2013 11:13:34 AM,Bharti Airtel buys out Qualcomm stake in India 4G broadband JV,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/gIqpbvci-Tk/story01.htm,neutral,0.9028580784797668
11/7/2013 12:46:27 AM,Qualcomm curbs spending as revenue guidance disappoints,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OeY-cfbCgxs/story01.htm,negative,0.9601461887359619
11/7/2013 1:35:28 AM,Qualcomm curbs spending as revenue forecast disappoints,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/xTY3Po_Fp0s/story01.htm,negative,0.9645726680755615
11/25/2013 1:57:07 PM,Qualcomm says China's price regulator probing company,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rfTpkeGmafk/story01.htm,neutral,0.9164977073669434
12/12/2013 11:35:23 AM,China official says has 'substantial' price-fixing evidence against Qualcomm: media,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/J0oj9bx_4-E/story01.htm,neutral,0.8796008229255676
12/13/2013 2:15:04 AM,Microsoft considers Qualcomm executive as CEO candidate: report,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/nrYoe74OVco/story01.htm,neutral,0.9383490681648254
12/13/2013 2:30:05 AM,Microsoft considers Qualcomm exec as CEO candidate - report,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/594nnvL_Kyk/story01.htm,neutral,0.9404534697532654
12/13/2013 1:52:46 PM,Qualcomm says COO Steve Mollenkopf to become CEO in March,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/aUd2z08RWyU/story01.htm,neutral,0.9449759125709534
12/13/2013 8:09:20 PM,"Qualcomm names COO Mollenkopf CEO, ending Microsoft talk",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/l8aACPG-5dE/story01.htm,neutral,0.7724978923797607
12/14/2013 5:43:48 AM,"Qualcomm promotes Mollenkopf to CEO, ends Microsoft talk",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BtzIL6jnWbI/story01.htm,neutral,0.8884888291358948
1/9/2014 3:23:50 AM,Qualcomm CEO says still in the dark on China antitrust probe,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rPTegKf4Kww/story01.htm,neutral,0.7407217621803284
1/29/2014 3:11:13 AM,Qualcomm faces prospect of record antitrust fines in China,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/28oU6og9vAI/story01.htm,negative,0.9623664021492004
1/29/2014 10:09:02 PM,"Qualcomm posts higher first-quarter revenue, short of Street",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/SzzxNDmXfmk/story01.htm,positive,0.9486051201820374
3/4/2014 1:46:12 PM,Qualcomm raises share repurchase program by $5 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ktE5gv-x0pM/story01.htm,positive,0.8086429238319397
4/23/2014 10:16:51 PM,Qualcomm posts higher second-quarter revenue but misses Street,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DC-ciaX-ylM/story01.htm,negative,0.7022871375083923
4/24/2014 2:08:12 AM,Qualcomm faces China bribery allegations from U.S. regulator,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/s4OgawsFrmA/story01.htm,negative,0.9387041926383972
7/22/2014 12:20:23 AM,Former Qualcomm executive pleads guilty to insider trading,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/rzmp8Myqodw/story01.htm,negative,0.6366504430770874
7/23/2014 10:28:42 PM,"Qualcomm posts higher quarterly results, outlook weighs",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/dvHxMpUVGv4/story01.htm,positive,0.93548583984375
8/14/2014 12:43:03 PM,Qualcomm denies direct financial links with Chinese antitrust expert,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/QKt1dQQImMI/story01.htm,neutral,0.856786847114563
8/21/2014 11:10:11 AM,China taps South Korea for ideas in Qualcomm antitrust case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/41hi1ac2ZNQ/story01.htm,neutral,0.5723795294761658
8/22/2014 11:13:49 AM,Qualcomm will strive for resolution to China anti-trust probe: regulator,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/9Xqt_GVd498/story01.htm,neutral,0.8349695205688477
8/29/2014 10:29:15 PM,Exclusive: Intel hires senior exec Faintuch from Qualcomm,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/q5s3HCPf2BE/story01.htm,neutral,0.9004253149032593
9/19/2014 5:20:40 AM,"Apple's iPhone 6 Plus includes chips from Qualcomm, Skyworks: iFixit",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/za9fp6krsus/story01.htm,neutral,0.9346348643302917
11/5/2014 10:50:06 PM,Qualcomm results disappoint as China probe weighs,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GjXn7yUBD8M/story01.htm,negative,0.9229201674461365
11/19/2014 6:01:04 PM,Qualcomm CEO more cautious on future revenue growth,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/t6fNTuEDpPs/story01.htm,neutral,0.644576907157898
12/26/2014 6:08:41 AM,China's antitrust regulator says Qualcomm case to be settled soon,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/r7uEc6riHkk/story01.htm,neutral,0.5744717717170715
12/26/2014 7:07:12 AM,China's antitrust regulator says Qualcomm case to be settled soon,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/jceLyZPJ1BI/story01.htm,neutral,0.5744717717170715
12/29/2014 2:57:07 AM,"For Qualcomm, China settlement may be just the beginning",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/wBu4TJNKniE/story01.htm,neutral,0.9225848317146301
12/29/2014 4:02:16 AM,"For Qualcomm, China settlement may be just the beginning",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/Q2wnYaZeUwA/story01.htm,neutral,0.9225848317146301
1/28/2015 10:33:55 PM,Qualcomm cuts fiscal 2015 outlook after new chip skipped by big customer,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LTVz77McXvM/story01.htm,negative,0.9581021666526794
1/29/2015 3:37:22 PM,"S&P 500 opens flat, Qualcomm weighs on Nasdaq",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/8iWdH3nwDZQ/story01.htm,negative,0.8853822350502014
1/29/2015 3:37:47 PM,"S&P 500 opens flat, Qualcomm weighs on Nasdaq",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/6gycgLxlrg8/story01.htm,negative,0.8853822350502014
2/9/2015 11:06:29 AM,Exclusive: Qualcomm nears $1 billion deal resolving China antitrust dispute - source,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/X07aXN-j-WA/story01.htm,positive,0.7583933472633362
2/9/2015 10:19:07 PM,Qualcomm to pay $975 million to settle China antitrust dispute,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/fcdWb22D7Ok/story01.htm,neutral,0.8228060603141785
2/10/2015 4:03:46 AM,Qualcomm to pay $975 million to resolve China antitrust dispute,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BETtIHRSO7s/story01.htm,neutral,0.49800965189933777
2/10/2015 11:26:43 AM,"With antitrust deal done, Qualcomm still faces China challenges",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/91_aBQpF-X8/story01.htm,negative,0.8756206631660461
2/20/2015 9:07:23 AM,Ex-Qualcomm executive pleads guilty to insider trading,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ZLMV0dmpvJg/story01.htm,negative,0.6861863732337952
5/4/2015 6:17:33 PM,"GE ties up with Qualcomm, Apple in new lighting business bet",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/_04Esuv5XLI/story01.htm,neutral,0.7256303429603577
5/23/2015 9:20:56 PM,"Daimler and Qualcomm to develop in-car tech, wireless charging",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/siAUHALR0s0/story01.htm,neutral,0.6744887828826904
6/11/2015 6:05:27 AM,Qualcomm names old-hand as new China chairman; former head joins Xiaomi,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/SpL6PJ55lj8/story01.htm,neutral,0.9259263873100281
7/20/2015 10:13:52 PM,Qualcomm preparing to layoff as many as several thousand employees - tech website,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/tqxgdKUQ9nM/story01.htm,negative,0.9170918464660645
7/21/2015 2:11:42 AM,Qualcomm may consider breakup - WSJ,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ey8SMsN6rOU/story01.htm,neutral,0.9258877635002136
7/22/2015 10:14:53 PM,Qualcomm says may split itself,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Q5rlIPy-f48/story01.htm,neutral,0.8939548134803772
9/4/2015 12:19:20 AM,Qualcomm president says splitting company may not create value,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/NwhkjXtPoG8/story01.htm,neutral,0.7582339644432068
11/4/2015 10:50:59 PM,"Qualcomm profit, revenue beat on strong demand for mobile chips",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/UeapkgnckUc/story01.htm,positive,0.9396284222602844
12/15/2015 1:50:00 PM,Qualcomm to maintain current corporate structure,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/PGI4bmBBL-M/story01.htm,neutral,0.8702998757362366
1/13/2016 10:35:35 AM,"Qualcomm, TDK form $3 billion JV to make components used in wireless tech",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/z4RxtTCc_s4/story01.htm,neutral,0.8081983327865601
4/20/2016 10:11:21 PM,Qualcomm profit forecast misses estimates as chip shipments drop,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/0I7cBYIwSAM/us-qualcomm-results-idUSKCN0XH2I0,negative,0.9724025130271912
9/27/2016 3:00:20 PM,"German carmakers and technolgy firms form 5G telecoms association (NSU, BMW, DAI, VOW3, INTC, ERIC , QCOM)",Reuters,/news/stocks/german-carmakers-and-technolgy-firms-form-5g-telecoms-association-nsu-bmw-dai-vow3-intc-eric-qcom-1001420753,neutral,0.9438827633857727
9/29/2016 2:30:22 PM,"Car industry puts cooperation on show in battle against Silicon Valley firms (BMW, DAI, VOW3, 7201, GM, RNO, INTC, ERIC , TSLA, QCOM, TOM2, VOLV , NVDA)",Reuters,/news/stocks/car-industry-puts-cooperation-on-show-in-battle-against-silicon-valley-firms-bmw-dai-vow3-7201-gm-rno-intc-eric-tsla-qcom-tom2-volv-nvda-1001426156,positive,0.8769593238830566
9/29/2016 7:20:23 PM,"UPDATE 1-Car industry shows off cooperation as way to rival technology firms (NVDA, BMW, DAI, VOW3, 7201, GM, RNO, INTC, ERIC , VOLV , TSLA, QCOM, TOM2)",Reuters,/news/stocks/update-1-car-industry-shows-off-cooperation-as-way-to-rival-technology-firms-nvda-bmw-dai-vow3-7201-gm-rno-intc-eric-volv-tsla-qcom-tom2-1001427202,positive,0.8905306458473206
9/29/2016 10:20:22 PM,"BRIEF-Qualcomm in talks to buy NXP Semiconductors, which could value NXP at more than $30 bln - CNBC, citing Dow Jones (NXPI, QCOM)",Reuters,/news/stocks/brief-qualcomm-in-talks-to-buy-nxp-semiconductors-which-could-value-nxp-at-more-than-$30-bln-cnbc-citing-dow-jones-nxpi-qcom-1001427717,neutral,0.8193463683128357
9/29/2016 10:20:22 PM,"Qualcomm in talks to buy NXP Semiconductors - CNBC, citing DJ (QCOM, NXPI)",Reuters,/news/stocks/qualcomm-in-talks-to-buy-nxp-semiconductors-cnbc-citing-dj-qcom-nxpi-1001427712,neutral,0.9047597646713257
9/29/2016 10:30:22 PM,"UPDATE 1-Qualcomm in talks to buy NXP Semiconductors - WSJ (NXPI, QCOM)",Reuters,/news/stocks/update-1-qualcomm-in-talks-to-buy-nxp-semiconductors-wsj-nxpi-qcom-1001427745,neutral,0.7807736396789551
9/30/2016 2:10:25 PM,"PRESS DIGEST - Wall Street Journal - Sept 30 (QCOM, NXPI, DNKN, KO, 7201, CRM, MSFT, LNKD)",Reuters,/news/stocks/press-digest-wall-street-journal-sept-30-qcom-nxpi-dnkn-ko-7201-crm-msft-lnkd-1001428516,neutral,0.9459957480430603
9/30/2016 10:10:23 PM,"Qualcomm to fight EU antitrust charge at Nov. 10 hearing - sources (NVDA, QCOM)",Reuters,/news/stocks/qualcomm-to-fight-eu-antitrust-charge-at-nov-10-hearing-sources-nvda-qcom-1001430847,neutral,0.922547459602356
10/3/2016 3:20:56 PM,"Qualcomm is reportedly in talks to buy NXP Semiconductors (QCOM, NXPI)",Business Insider,/news/stocks/qualcomm-is-reportedly-in-talks-to-buy-nxp-semiconductors-qcom-nxpi,neutral,0.8498383164405823
10/5/2016 1:00:24 PM,"Samsung Elec to make Qualcomm Snapdragon 830 chips - Electronic Times (005930, QCOM)",Reuters,/news/stocks/samsung-elec-to-make-qualcomm-snapdragon-830-chips-electronic-times-005930-qcom-1001436747,neutral,0.9269376993179321
10/6/2016 6:50:24 PM,BRIEF-Qualcomm sets quarterly cash dividend of $0.53 per share (QCOM),Reuters,/news/stocks/brief-qualcomm-sets-quarterly-cash-dividend-of-$0-53-per-share-qcom-1001441228,neutral,0.9232696890830994
10/6/2016 7:30:22 PM,"BRIEF-NXP Semiconductors asking price $120/share, talks with Qualcomm continue, no deal imminent- CNBC, citing sources (NXPI, QCOM)",Reuters,/news/stocks/brief-nxp-semiconductors-asking-price-$120-share-talks-with-qualcomm-continue-no-deal-imminent-cnbc-citing-sources-nxpi-qcom-1001441216,neutral,0.9020060896873474
10/10/2016 7:20:20 PM,"BRIEF-Qualcomm appoints Ann Livermore to its board of directors (QCOM, UPS)",Reuters,/news/stocks/brief-qualcomm-appoints-ann-livermore-to-its-board-of-directors-qcom-ups-1001446712,neutral,0.9452240467071533
10/17/2016 6:00:19 AM,"BRIEF-Qualcomm files actions against Meizu in the U.S.,Germany And France (QCOM)",Reuters,/news/stocks/brief-qualcomm-files-actions-against-meizu-in-the-u-s-germany-and-france-qcom-1001458079,negative,0.718395471572876
10/17/2016 4:00:24 PM,BRIEF-Qualcomm reports over--air connection via multefire using listen-before-talk (QCOM),Reuters,/news/stocks/brief-qualcomm-reports-over-air-connection-via-multefire-using-listen-before-talk-qcom-1001459807,neutral,0.9455142617225647
10/19/2016 3:50:20 PM,BRIEF-Qualcomm appoints Alex Rogers as EVP and president of QTl (QCOM),Reuters,/news/stocks/brief-qualcomm-appoints-alex-rogers-as-evp-and-president-of-qtl-qcom-1001465330,neutral,0.9363594055175781
10/19/2016 11:46:23 PM,"China's LeEco unveils a car, but cannot make it drive (300104, QCOM)",Reuters,http://www.businessinsider.com/r-chinas-leeco-unveils-a-car-but-cannot-make-it-drive-2016-10,neutral,0.9368190765380859
10/21/2016 5:05:26 PM,"Qualcomm is reportedly nearing a massive deal to buy NXP Semiconductors (QCOM, NXPI)",Business Insider,http://www.businessinsider.com/qualcomm-in-talks-to-buy-nxp-semiconductors-2016-10,positive,0.8005164861679077
10/21/2016 8:06:21 PM,"Qualcomm nears deal to acquire NXP Semiconductors-source (QCOM, NXPI)",Reuters,http://www.businessinsider.com/r-qualcomm-nears-deal-to-acquire-nxp-semiconductors-source-2016-10,positive,0.6413118839263916
10/21/2016 8:50:22 PM,"UPDATE 1-Qualcomm nears $37 billion deal to buy NXP Semiconductors -source (NXPI, QCOM)",Reuters,http://www.businessinsider.com/r-update-1-qualcomm-nears-37-billion-deal-to-buy-nxp-semiconductors--source-2016-10,positive,0.7537195086479187
10/24/2016 11:54:44 AM,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, NXP, QCOM, MSFT, T, TWX, RAI)",Business Insider,http://www.businessinsider.com/opening-bell-october-21-2016-2016-10,neutral,0.950981855392456
10/27/2016 12:06:18 AM,"U.S. FCC chairman wants more industry action on robocalls (SIRI, T, AAPL, VZ, CHTR, CMCSA, USM, 005930, QCOM, MSFT, 066570)",Reuters,http://www.businessinsider.com/r-us-fcc-chairman-wants-more-industry-action-on-robocalls-2016-10,neutral,0.9074575304985046
10/27/2016 12:38:59 PM,Qualcomm to buy NXP for $38 billion in biggest chip deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/_0tF_vVwdBk/us-nxpsemiconductors-m-a-qualcomm-idUSKCN12R1AW,neutral,0.8954172134399414
10/27/2016 1:20:21 PM,"Qualcomm to buy NXP Semiconductors for enterprise value of $47 bln (NXPI, QCOM)",Reuters,http://www.businessinsider.com/r-qualcomm-to-buy-nxp-semiconductors-for-enterprise-value-of-47-bln-2016-10,neutral,0.8741174340248108
