datetime,title,source,link,sentiment_class,sentiment_score
10/17/2013 10:32:14 PM,Stryker 3rd-quarter net profit falls due to recalls as sales rise,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/MUgbMt0H9yU/story01.htm,negative,0.9744550585746765
5/28/2014 3:58:07 PM,Stryker says no plan to bid for Britain's Smith & Nephew,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/g2YMFMkhSDs/story01.htm,neutral,0.9300455451011658
2/16/2016 1:49:56 PM,Medical device maker Stryker to buy Physio-Control for $1.28 bln,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/CNoxpxHqgHk/story01.htm,neutral,0.8886487483978271
10/27/2016 11:06:30 PM,BRIEF-Stryker Q3 adjusted earnings per share $1.39 (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-q3-adjusted-earnings-per-share-139-2016-10,neutral,0.8036923408508301
11/7/2016 10:26:21 PM,"BRIEF-Stryker Corp CEO reports open market sale of 26,306 shares of company (SYK)",Reuters,http://www.businessinsider.com/r-brief-stryker-corp-ceo-reports-open-market-sale-of-26306-shares-of-company-2016-11,neutral,0.9406713247299194
12/7/2016 10:30:03 PM,BRIEF-Stryker increases 2017 annual dividend by 12 pct (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-increases-2017-annual-dividend-by-12-pct-2016-12,positive,0.8482415676116943
1/10/2017 10:32:03 PM,BRIEF-Stryker provides 2016 preliminary net sales results (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-provides-2016-preliminary-net-sales-results-2017-1,neutral,0.9320083260536194
1/24/2017 10:26:05 PM,BRIEF-Stryker Corp reports Q4 adjusted earnings per share $1.78 (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-corp-reports-q4-adjusted-earnings-per-share-178-2017-1,neutral,0.7774825096130371
1/31/2017 7:00:10 PM,"BRIEF-Stryker Corp director Louise Francesconi reports sale of 3,716 shares of co's common stock (SYK)",Reuters,http://www.businessinsider.com/r-brief-stryker-corp-director-louise-francesconi-reports-sale-of-3716-shares-of-cos-common-stock-2017-1,neutral,0.948395311832428
2/6/2017 11:36:08 PM,Stryker Orthopaedics Corp wins $486 mln Pentagon contract -statement (SYK),Reuters,http://www.businessinsider.com/r-stryker-orthopaedics-corp-wins-486-mln-pentagon-contract--statement-2017-2,positive,0.9041240215301514
2/9/2017 12:42:09 PM,"UPDATE 2-Smith & Nephew hurt by tough markets in China and Gulf states (SN., SYK)",Reuters,http://www.businessinsider.com/r-update-2-smith--nephew-hurt-by-tough-markets-in-china-and-gulf-states-2017-2,negative,0.9669848680496216
3/13/2017 9:40:26 PM,"U.S. medtech shares gain as investors seek shelter from drug price debate (BSX, BAX, MDT, HOLX, SYK)",Reuters,http://www.businessinsider.com/r-us-medtech-shares-gain-as-investors-seek-shelter-from-drug-price-debate-2017-3,positive,0.5165870189666748
3/14/2017 2:00:00 PM,Technological Advances in the Regenerative Medicine Markets,PR Newswire,/news/stocks/technological-advances-in-the-regenerative-medicine-markets-1001833688,positive,0.5665581822395325
3/20/2017 7:04:46 PM,BRIEF-Stryker Corp says CEO Kevin Lobo's total compensation for 2016 was $12.8 mln (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-corp-says-ceo-kevin-lobos-total-compensation-for-2016-was-128-mln-2017-3,neutral,0.6292212605476379
3/29/2017 1:00:00 PM,"How These Medical Equipment Stocks are Faring? -- Zimmer Biomet, ZELTIQ Aesthetics, Stryker, and Globus Medical",PR Newswire,/news/stocks/how-these-medical-equipment-stocks-are-faring-zimmer-biomet-zeltiq-aesthetics-stryker-and-globus-medical-1001877273,neutral,0.917579710483551
5/3/2017 12:40:00 PM,"Research Reports Initiation on Medical Equipment Stocks -- Edwards Lifesciences, Hologic, and Stryker",PR Newswire,/news/stocks/research-reports-initiation-on-medical-equipment-stocks-edwards-lifesciences-hologic-and-stryker-1001973753,neutral,0.9469138979911804
5/3/2017 2:26:05 PM,BRIEF-Stryker declares a $0.425 per share quarterly dividend (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-declares-a-0425-per-share-quarterly-dividend-2017-5,neutral,0.7420839667320251
5/8/2017 6:36:07 PM,BRIEF-Stryker Orthopaedics 2016 settlement program reaches milestone (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-orthopaedics-2016-settlement-program-reaches-milestone-2017-5,positive,0.5473403930664062
6/19/2017 2:12:12 PM,"BRIEF-Stryker to acquire NOVADAQ Technologies (SYK, NDQ)",Reuters,http://www.businessinsider.com/r-brief-stryker-to-acquire-novadaq-technologies-2017-6,neutral,0.9455287456512451
6/19/2017 2:20:41 PM,Stryker To Acquire NOVADAQ For $11.75/shr - Quick Facts ,RTTNews,/news/stocks/stryker-to-acquire-novadaq-for-11-75-shr-quick-facts-1002103413,neutral,0.9312310218811035
6/19/2017 2:22:06 PM,"BRIEF-NOVADAQ enters into agreement to be acquired by Stryker (NDQ, SYK)",Reuters,http://www.businessinsider.com/r-brief-novadaq-enters-into-agreement-to-be-acquired-by-stryker-2017-6,positive,0.500885009765625
6/22/2017 12:35:00 PM,"Medical Equipment Stock Performance Review -- MiMedx, Stryker, Zimmer Biomet, and ResMed",PR Newswire,/news/stocks/medical-equipment-stock-performance-review-mimedx-stryker-zimmer-biomet-and-resmed-1002115450,neutral,0.9258153438568115
7/6/2017 4:36:05 PM,"Robot wars: knee surgery marks new battleground for companies (SYK, SN., ISRG, JNJ)",Reuters,http://www.businessinsider.com/r-robot-wars-knee-surgery-marks-new-battleground-for-companies-2017-7,positive,0.809182345867157
7/13/2017 4:30:08 PM,Stryker awarded $248.7 million in patent case against Zimmer (SYK),Reuters,http://www.businessinsider.com/r-stryker-awarded-2487-million-in-patent-case-against-zimmer-2017-7,positive,0.6340340375900269
7/27/2017 10:14:04 PM,BRIEF-Stryker Q2 adjusted earnings per share $1.53 (SYK),Reuters,http://www.businessinsider.com/r-brief-stryker-q2-adjusted-earnings-per-share-153-2017-7,neutral,0.794844925403595
