datetime,title,source,link,sentiment_class,sentiment_score
12/6/2016 1:36:07 PM,"BRIEF-Teledyne Technologies entered agreements that amend and restate amended and restated loan agreements, dated as of November 21, 2013 (TDY)",Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies-entered-agreements-that-amend-and-restate-amended-and-restated-loan-agreements-dated-as-of-november-21-2013-2016-12,neutral,0.49782121181488037
12/6/2016 4:58:03 PM,BRIEF-Teledyne acquires Hanson Research Corporation (TDY),Reuters,http://www.businessinsider.com/r-brief-teledyne-acquires-hanson-research-corporation-2016-12,neutral,0.9461941123008728
12/12/2016 12:20:37 PM,"British imaging sensor maker E2V is being bought for £620 million (TDY, E2V)",Reuters,http://www.businessinsider.com/r-update-1-imaging-sensor-maker-e2v-tech-agrees-to-620-mln-stg-offer-from-teledyne-2016-12,neutral,0.849077045917511
12/12/2016 1:12:03 PM,"BRIEF-E2V Technologies agrees on takeover terms from Teledyne Tech (E2V, TDY)",Reuters,http://www.businessinsider.com/r-brief-e2v-technologies-agrees-on-takeover-terms-from-teledyne-tech-2016-12,positive,0.8163245916366577
12/12/2016 1:20:05 PM,"UPDATE 1-UK Stocks-Factors to watch on Dec. 12 (AZN, IPF, ESR, ASC, E2V, TDY, JKX)",Reuters,http://www.businessinsider.com/r-update-1-uk-stocks-factors-to-watch-on-dec-12-2016-12,neutral,0.9318546652793884
12/12/2016 1:20:05 PM,E2V Technologies says agrees on terms of Teledyne Tech offer,Reuters,http://www.businessinsider.com/r-e2v-technologies-says-agrees-on-terms-of-teledyne-tech-offer-2016-12,positive,0.8432358503341675
12/13/2016 1:40:05 AM,"BRIEF-Teledyne Technologies - entered into a credit agreement dated December 11, 2016 (TDY)",Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies---entered-into-a-credit-agreement-dated-december-11-2016-2016-12,neutral,0.7037201523780823
1/19/2017 12:36:06 PM,BRIEF-Teledyne Technologies says entered into a second amendment to its amended and restated credit agreement (TDY),Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies-says-entered-into-a-second-amendment-to-its-amended-and-restated-credit-agreement-2017-1,positive,0.7683815360069275
2/2/2017 12:57:15 PM,Teledyne Technologies Inc Bottom Line Retreats 5% In Q4,RTTNews,/news/stocks/teledyne-technologies-inc-bottom-line-retreats-5-in-q4-1001717271,negative,0.9741447567939758
2/2/2017 1:22:07 PM,BRIEF-Teledyne Technologies reports Q4 earnings per share $1.49 from continuing operations (TDY),Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies-reports-q4-earnings-per-share-149-from-continuing-operations-2017-2,positive,0.5050168633460999
2/10/2017 12:04:11 AM,"BAE, Northrop, SAIC, others in $3.04 bln U.S. defense contract (KTOS, TDY, BA., NOC, RTN, KBR)",Reuters,http://www.businessinsider.com/r-bae-northrop-saic-others-in-304-bln-us-defense-contract-2017-2,neutral,0.886925220489502
2/10/2017 8:20:12 PM,"UPDATE 1-BAE, Northrop, SAIC, others in $3.04 bln U.S. defense contract (KTOS, TDY, BA., NOC, RTN, KBR)",Reuters,http://www.businessinsider.com/r-update-1-bae-northrop-saic-others-in-304-bln-us-defense-contract-2017-2,neutral,0.8664315342903137
4/19/2017 12:33:03 PM,"BRIEF-Teledyne Technologies, unit enter into note purchase, guaranty agreement (TDY)",Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies-unit-enter-into-note-purchase-guaranty-agreement-2017-4,neutral,0.8927627801895142
5/4/2017 1:03:00 PM,Teledyne Technologies Inc Q1 Profit Drops 22%,RTTNews,/news/stocks/teledyne-technologies-inc-q1-profit-drops-22-1001979044,negative,0.9715473651885986
5/4/2017 1:08:03 PM,BRIEF-Teledyne Technologies Q1 adjusted EPS $1.26 (TDY),Reuters,http://www.businessinsider.com/r-brief-teledyne-technologies-q1-adjusted-eps-126-2017-5,neutral,0.8986551761627197
