datetime,title,source,link,sentiment_class,sentiment_score
2/7/2020 8:21:14 PM,"2020 Fed stress test to be tougher for card issuers, brokers",Seeking Alpha,https://seekingalpha.com/news/3539812-2020-fed-stress-test-to-be-tougher-for-card-issuers-brokers?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.8173483610153198
2/19/2020 4:54:04 PM,3 Bank Stocks to Buy As the Market Trends Higher,InvestorPlace,/news/stocks/3-bank-stocks-buy-market-trends-higher-1028920238,neutral,0.8831742405891418
2/27/2020 10:43:31 PM,Goldman Sachs BDC gets a better rate on its revolving credit,Seeking Alpha,https://seekingalpha.com/news/3546864-goldman-sachs-bdc-gets-better-rate-on-revolving-credit?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9326083660125732
2/28/2020 4:09:26 PM,Dividend Stocks Are Screaming-Hot Buys Once Coronavirus Fears Fade,InvestorPlace,/news/stocks/dividend-stocks-buy-once-coronavirus-fears-fade-1028950543,neutral,0.5370909571647644
4/1/2020 12:09:54 PM,"Levered debt bets unravel, exposing Wall Street risk - Bloomberg",Seeking Alpha,https://seekingalpha.com/news/3557150-levered-debt-bets-unravel-exposing-wall-street-risk-bloomberg?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.5035732388496399
4/19/2020 9:30:00 PM,Truist Financial Q1 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3561901-truist-financial-q1-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9229041337966919
4/19/2020 9:30:59 PM,Notable earnings before Monday's open,Seeking Alpha,https://seekingalpha.com/news/3561887-notable-earnings-mondays-open?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8824689984321594
4/20/2020 10:12:38 AM,"Truist Financial EPS beats by $0.03, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3561944-truist-financial-eps-beats-0_03-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.6903741955757141
4/20/2020 11:26:55 AM,"Truist Financial boosts PCL marks down loans, goodwill in Q1",Seeking Alpha,https://seekingalpha.com/news/3561983-truist-financial-boosts-pcl-marks-down-loans-goodwill-in-q1?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.614456832408905
4/20/2020 12:04:25 PM,EARNINGS SUMMARY: Details of Truist Financial Corporation Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-truist-financial-corporation-q1-earnings-report-1029106460,neutral,0.9308182001113892
5/13/2020 5:19:24 PM,Banks continue their slide after Powell's grim economic outlook,Seeking Alpha,https://seekingalpha.com/news/3574034-banks-continue-slide-after-powells-grim-economic-outlook?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.9357232451438904
6/3/2020 5:53:10 PM,Banks lead stock rally as investors turn to cyclicals,Seeking Alpha,https://seekingalpha.com/news/3580156-banks-lead-stock-rally-investors-turn-to-cyclicals?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.47459128499031067
