datetime,title,source,link,sentiment_class,sentiment_score
11/15/2016 4:56:18 PM,Off-price retailer TJX's quarterly sales rise 6.9 percent (TJX),Reuters,http://www.businessinsider.com/r-off-price-retailer-tjxs-quarterly-sales-rise-69-percent-2016-11,positive,0.9446132779121399
11/15/2016 5:20:17 PM,UPDATE 1-TJX comparable store sales beat as discounts attract shoppers (TJX),Reuters,http://www.businessinsider.com/r-update-1-tjx-comparable-store-sales-beat-as-discounts-attract-shoppers-2016-11,positive,0.8771108984947205
11/15/2016 5:20:17 PM,BRIEF-TJX Companies reports Q3 FY17 results (TJX),Reuters,http://www.businessinsider.com/r-brief-tjx-companies-reports-q3-fy17-results-2016-11,neutral,0.8599197268486023
11/15/2016 10:18:04 PM,"BONDS RALLY, DOW HITS NEW HIGH: Here's what you need to know (HD, TJX)",Business Insider,http://www.businessinsider.com/closing-bell-november-15-2016-2016-11,neutral,0.8849760293960571
11/15/2016 10:20:22 PM,BRIEF-TJX Cos says expects Q4 consol sales $9.3 bln-$9.4 bln - conf call (TJX),Reuters,http://www.businessinsider.com/r-brief-tjx-cos-says-expects-q4-consol-sales-93-bln-94-bln---conf-call-2016-11,neutral,0.8287481069564819
11/16/2016 9:32:36 AM,"BONDS RALLY, DOW HITS NEW HIGH: Here's what you need to know (HD, TJX)",Business Insider,http://markets.businessinsider.com/news/stocks/BONDS-RALLY-DOW-HITS-NEW-HIGH-Heres-what-you-need-to-know-HD-TJX-1001525492,neutral,0.8849760293960571
11/30/2016 8:40:08 PM,BRIEF-TJX sets quarterly dividend of $0.26 per share (TJX),Reuters,http://www.businessinsider.com/r-brief-tjx-sets-quarterly-dividend-of-026-per-share-2016-11,neutral,0.89217209815979
1/20/2017 10:24:06 PM,"U.S. department stores steady profitability boat even as sales slide (TJX, JCP, M, WMT, TGT, KSS, AMZN)",Reuters,http://www.businessinsider.com/r-us-department-stores-steady-profitability-boat-even-as-sales-slide-2017-1,positive,0.7642501592636108
2/2/2017 1:26:07 AM,"Sports Direct in talks to bid for Bob's, Eastern Mountain Sports -sources (TJX, DKS, SPD)",Reuters,http://www.businessinsider.com/r-sports-direct-in-talks-to-bid-for-bobs-eastern-mountain-sports--sources-2017-2,neutral,0.8936435580253601
2/2/2017 5:54:07 PM,"UPDATE 1-Sports Direct in talks to bid for Bob's, Eastern Mountain Sports -sources (TJX, FCCN, DKS, SPD)",Reuters,http://www.businessinsider.com/r-update-1-sports-direct-in-talks-to-bid-for-bobs-eastern-mountain-sports--sources-2017-2,neutral,0.8831140995025635
