datetime,title,source,link,sentiment_class,sentiment_score
3/9/2017 1:45:00 PM,"REIT Stocks Under Scanner -- UDR Inc., Mid-America Apartment, Apartment Investment, and Independence Realty Trust",PR Newswire,/news/stocks/reit-stocks-under-scanner-udr-inc-mid-america-apartment-apartment-investment-and-independence-realty-trust-1001819747,neutral,0.788902759552002
3/23/2017 9:58:45 PM,BRIEF-UDR announces 5 pct annualized common dividend increase for 2017 (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-announces-5-pct-annualized-common-dividend-increase-for-2017-2017-3,positive,0.8134079575538635
3/28/2017 11:16:50 PM,BRIEF-UDR CEO Thomas Toomey's FY 2016 total compensation was $5.93 mln vs $7.4 mln in FY 2015 (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-ceo-thomas-toomeys-fy-2016-total-compensation-was-593-mln-vs-74-mln-in-fy-2015-2017-3,negative,0.9238600730895996
4/11/2017 12:55:00 PM,"Research Reports Coverage on REIT Stocks -- UDR Inc., Apartment Investment and Management, Orchid Island, and Mid-America",PR Newswire,/news/stocks/research-reports-coverage-on-reit-stocks-udr-inc-apartment-investment-and-management-orchid-island-and-mid-america-1001913320,neutral,0.9474659562110901
4/24/2017 10:36:49 PM,"UDR, Inc. Reveals 7% Rise In Q1 Bottom Line",RTTNews,/news/stocks/udr-inc-reveals-7-rise-in-q1-bottom-line-1001943697,positive,0.939441978931427
4/25/2017 1:19:05 AM,BRIEF-UDR reports Q1 FFO of $0.45 per share (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-reports-q1-ffo-of-045-per-share-2017-4,neutral,0.8178238868713379
4/27/2017 5:05:11 PM,BRIEF-UDR INC FILES FOR POTENTIAL MIXED SHELF; SIZE NOT DISCLOSED (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-inc-files-for-potential-mixed-shelf-size-not-disclosed-2017-4,neutral,0.650294303894043
6/7/2017 10:28:05 PM,BRIEF-UDR prices $300 mln of senior unsecured notes due 2027 (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-prices-300-mln-of-senior-unsecured-notes-due-2027-2017-6,neutral,0.9082040786743164
6/20/2017 1:05:00 PM,"REIT Stocks on Investors' Radar -- New Residential Investment, Orchid Island Capital, UDR Inc., and New York Mortgage Trust",PR Newswire,/news/stocks/reit-stocks-on-investors-radar-new-residential-investment-orchid-island-capital-udr-inc-and-new-york-mortgage-trust-1002107034,neutral,0.9304434061050415
6/22/2017 10:38:05 PM,BRIEF-UDR sets quarterly dividend of $0.31 per share (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-sets-quarterly-dividend-of-031-per-share-2017-6,neutral,0.893174946308136
7/26/2017 10:38:20 PM,"UDR, Inc. Announces 6% Gain In Q2 Profit",RTTNews,/news/stocks/udr-inc-announces-6-gain-in-q2-profit-1002207728,positive,0.936547577381134
10/30/2017 9:19:50 PM,"UDR, Inc. Q3 Earnings Advance 4%",RTTNews,/news/stocks/udr-inc-q3-earnings-advance-4-1006213604,positive,0.928248941898346
10/30/2017 10:06:50 PM,"UDR Revises 2017 Earnings, Same-store Growth Guidance - Quick Facts ",RTTNews,/news/stocks/udr-revises-2017-earnings-same-store-growth-guidance-quick-facts-1006218115,neutral,0.8806281089782715
11/29/2017 10:32:04 PM,BRIEF-UDR Prices $300 Mln Of 3.50 Pct Senior Unsecured Notes Due 2028 (UDR),Reuters,http://www.businessinsider.com/r-brief-udr-prices-300-mln-of-350-pct-senior-unsecured-notes-due-2028-2017-11,neutral,0.8897587656974792
2/6/2018 10:24:27 PM,"UDR, Inc. Reports Advance In Q4 Profit",RTTNews,/news/stocks/udr-inc-reports-advance-in-q4-profit-1015011546,positive,0.9388146996498108
4/25/2018 10:45:43 PM,"UDR, Inc. Q1 adjusted earnings Beat Estimates",RTTNews,/news/stocks/udr-inc-q1-adjusted-earnings-beat-estimates-1022308021,positive,0.8901891112327576
7/28/2018 3:01:31 PM,What Wall Street expects from UDR's earnings,Markets Insider Automation,/news/stocks/udr_1-stock-quarter-earnings-preview-q2-1027408610,neutral,0.9229119420051575
7/30/2018 10:25:00 PM,"UDR, Inc. Q2 adjusted earnings of $0.45 per share",RTTNews,/news/stocks/udr-inc-q2-adjusted-earnings-of-0-45-per-share-1027413272,neutral,0.8109579086303711
7/30/2018 10:57:06 PM,"UDR Increases 2018 Earnings, Same-store Growth Guidance - Quick Facts ",RTTNews,/news/stocks/udr-increases-2018-earnings-same-store-growth-guidance-quick-facts-1027413390,positive,0.9336332678794861
10/27/2018 3:01:31 PM,What Wall Street expects from UDR's earnings,Markets Insider Automation,/news/stocks/udr_1-stock-price-q3-earnings-preview-1027661215,neutral,0.9229119420051575
10/29/2018 9:43:58 PM,UDR Increases Full-Year Guidance Ranges - Quick Facts ,RTTNews,/news/stocks/udr-increases-full-year-guidance-ranges-quick-facts-1027667497,positive,0.875958263874054
10/29/2018 9:54:18 PM,"UDR, Inc. Q3 adjusted earnings Beat Estimates",RTTNews,/news/stocks/udr-inc-q3-adjusted-earnings-beat-estimates-1027667515,positive,0.8691677451133728
2/10/2019 3:01:47 PM,What Wall Street expects from UDR's earnings,Markets Insider Automation,/news/stocks/udr_1-q4-quarterly-earnings-preview-1027938968,neutral,0.9229119420051575
2/12/2019 10:42:40 PM,"UDR, Inc. Q4 adjusted earnings of $0.46 per share",RTTNews,/news/stocks/udr-inc-q4-adjusted-earnings-of-0-46-per-share-1027947098,neutral,0.7594519257545471
4/28/2019 3:02:09 PM,UDR earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/udr_1-stock-price-quarter-earnings-preview-q1-1028145605,neutral,0.9296100735664368
4/30/2019 10:24:23 PM,"UDR, Inc. Reports Decline In Q1 Profit",RTTNews,/news/stocks/udr-inc-reports-decline-in-q1-profit-1028155816,negative,0.9724146723747253
5/9/2019 11:09:00 PM,"UDR, Inc. -- Moody's announces completion of a periodic review of ratings of UDR, Inc.",Moodys,/news/bonds/udr-inc-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-udr-inc-1028188322,neutral,0.856792688369751
7/28/2019 3:01:56 PM,Here's what to expect from UDR's earnings,Markets Insider Automation,/news/stocks/udr_1-q2-quarterly-earnings-preview-1028391186,neutral,0.937221109867096
8/23/2019 1:26:10 PM,"UDR, Inc. is Another Rising Real Estate Stock",InvestorPlace,/news/stocks/udr-rising-real-estate-stock-1028470724,positive,0.6819372773170471
10/29/2019 9:36:50 PM,"UDR, Inc. Reports Rise In Q3 Bottom Line",RTTNews,/news/stocks/udr-inc-reports-rise-in-q3-bottom-line-1028641414,positive,0.9279090762138367
