,datetime,title,source,link,sentiment_class,sentiment_score
0,8/30/2005 4:57:00 PM,Premcor Announces Shareholder Approval of Pending Merger With Valero,PR Newswire,/news/stocks/premcor-announces-shareholder-approval-of-pending-merger-with-valero-763321,neutral,0.812863290309906
1,9/19/2013 11:52:58 PM,Valero Energy Partners files for IPO of up to $345 million,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KgzaDOH6IL4/story01.htm,neutral,0.8681578040122986
2,3/3/2014 3:45:11 PM,Valero Energy CEO Bill Klesse to step down in May,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/cYu1UPXglEM/story01.htm,neutral,0.6097991466522217
3,3/3/2014 6:28:03 PM,Valero Energy CEO Bill Klesse to retire in May,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RmQGL4R2dG4/story01.htm,neutral,0.7815435528755188
4,10/28/2015 12:23:34 PM,Valero Energy profit rises 30 percent on higher refining margins,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RoV45wH97sc/story01.htm,positive,0.9540223479270935
5,9/28/2016 1:20:25 PM,"China slaps anti-subsidy duties on U.S. distillers' dried grains (VLO, ADM, ANDE)",Reuters,/news/stocks/china-slaps-anti-subsidy-duties-on-u-s-distillers-dried-grains-vlo-adm-ande-1001422296,negative,0.9180943369865417
6,9/28/2016 10:40:22 PM,"UPDATE 1-China slaps anti-subsidy duties on U.S. distillers' dried grains (VLO, ADM, ANDE)",Reuters,/news/stocks/update-1-china-slaps-anti-subsidy-duties-on-u-s-distillers-dried-grains-vlo-adm-ande-1001424811,negative,0.9197823405265808
7,10/10/2016 8:30:22 AM,"Crude realities for Bakken oil as Shell ditches W. Coast rail plan (RDSA, VLO)",Reuters,/news/stocks/crude-realities-for-bakken-oil-as-shell-ditches-w-coast-rail-plan-rdsa-vlo-1001445023,neutral,0.6937589049339294
8,10/12/2016 11:20:23 PM,"Venezuelan crude sales to the United States rose 10 pct in Sept (VLO, CVX)",Reuters,/news/stocks/venezuelan-crude-sales-to-the-united-states-rose-10-pct-in-sept-vlo-cvx-1001452734,positive,0.9459758400917053
9,10/21/2016 11:30:20 PM,"Lyondell's Houston refinery draws bids from Aramco, Valero, Suncor -sources (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-lyondells-houston-refinery-draws-bids-from-aramco-valero-suncor--sources-2016-10,neutral,0.506868839263916
10,10/25/2016 1:30:19 PM,Refiner Valero's profit halves as margins fall (VLO),Reuters,http://www.businessinsider.com/r-refiner-valeros-profit-halves-as-margins-fall-2016-10,negative,0.9673571586608887
11,10/25/2016 1:34:20 PM,"BRIEF-Valero Energy Q3 adj EPS $1.24, oper rev $19.65 bln (VLO)",Reuters,http://www.businessinsider.com/r-brief-valero-energy-q3-adj-eps-124-oper-rev-1965-bln-2016-10,neutral,0.9106858372688293
12,10/25/2016 2:22:19 PM,UPDATE 1-Cost cuts help refiner Valero beat profit estimate (VLO),Reuters,http://www.businessinsider.com/r-update-1-cost-cuts-help-refiner-valero-beat-profit-estimate-2016-10,positive,0.9351308345794678
13,11/3/2016 9:18:20 PM,"Venezuelan crude sales to the United States tumbled 23 pct in Oct (VLO, CVX)",Reuters,http://www.businessinsider.com/r-venezuelan-crude-sales-to-the-united-states-tumbled-23-pct-in-oct-2016-11,negative,0.9688583612442017
14,11/9/2016 10:20:20 PM,UPDATE 2-NARL Refining to layoff up to 130 workers at Canadian refinery -sources (VLO),Reuters,http://www.businessinsider.com/r-update-2-narl-refining-to-layoff-up-to-130-workers-at-canadian-refinery--sources-2016-11,negative,0.9637873768806458
15,11/10/2016 8:30:18 PM,U.S. EPA set to deny refiner requests to change biofuels program (VLO),Reuters,http://www.businessinsider.com/r-us-epa-set-to-deny-refiner-requests-to-change-biofuels-program-2016-11,neutral,0.8633264303207397
16,11/10/2016 9:00:18 PM,UPDATE 1-U.S. EPA set to deny refiner requests to change biofuels program (VLO),Reuters,http://www.businessinsider.com/r-update-1-us-epa-set-to-deny-refiner-requests-to-change-biofuels-program-2016-11,neutral,0.6731110215187073
17,12/5/2016 2:22:05 PM,BRIEF-Irving oil announces expansion of its terminal network in Nova Scotia (VLO),Reuters,http://www.businessinsider.com/r-brief-irving-oil-announces-expansion-of-its-terminal-network-in-nova-scotia-2016-12,positive,0.8886069059371948
18,12/14/2016 11:16:04 PM,"Venezuelan crude sales to the U.S. bounced to 742,535 bpd in Nov (VLO, CVX)",Reuters,http://www.businessinsider.com/r-venezuelan-crude-sales-to-the-us-bounced-to-742535-bpd-in-nov-2016-12,positive,0.8828620314598083
19,12/15/2016 9:50:03 PM,UPDATE 2-Corpus Christi halts tap water use due to suspected chemical leak (VLO),Reuters,http://www.businessinsider.com/r-update-2-corpus-christi-halts-tap-water-use-due-to-suspected-chemical-leak-2016-12,negative,0.9497649669647217
20,12/16/2016 8:32:03 PM,"As bruising year ends, U.S. refiners brace for more costly regulations (VLO, MPC)",Reuters,http://www.businessinsider.com/r-as-bruising-year-ends-us-refiners-brace-for-more-costly-regulations-2016-12,neutral,0.656505286693573
21,12/18/2016 11:02:03 PM,UPDATE 1-Texas city lifts tap water ban after chemical spill fear (VLO),Reuters,http://www.businessinsider.com/r-update-1-texas-city-lifts-tap-water-ban-after-chemical-spill-fear-2016-12,negative,0.670595109462738
22,12/18/2016 11:02:03 PM,Texas city lifts tap water ban after chemical spill,Reuters,http://www.businessinsider.com/r-texas-city-lifts-tap-water-ban-after-chemical-spill-2016-12,negative,0.5667360424995422
23,1/11/2017 5:04:05 AM,"China hikes dumping duties on U.S. DDGS in final ruling (ADM, PRTFU, ANDE, VLO)",Reuters,http://www.businessinsider.com/r-china-hikes-dumping-duties-on-us-ddgs-in-final-ruling-2017-1,positive,0.6648786664009094
24,1/11/2017 5:14:03 AM,"UPDATE 1-China hikes anti-dumping duties on U.S. DDGS in final ruling (VLO, PRTFU, ADM, ANDE)",Reuters,http://www.businessinsider.com/r-update-1-china-hikes-anti-dumping-duties-on-us-ddgs-in-final-ruling-2017-1,positive,0.8521026372909546
25,1/31/2017 1:02:07 PM,Valero Energy reports higher profit boosted by ethanol business (VLO),Reuters,http://www.businessinsider.com/r-valero-energy-reports-higher-profit-boosted-by-ethanol-business-2017-1,positive,0.9566707015037537
26,1/31/2017 1:16:07 PM,BRIEF-Valero Energy reports Q4 earnings per share $0.81 (VLO),Reuters,http://www.businessinsider.com/r-brief-valero-energy-reports-q4-earnings-per-share-081-2017-1,neutral,0.8068456649780273
27,1/31/2017 1:30:07 PM,UPDATE 1-Valero Energy profit beats estimates on higher ethanol margins (VLO),Reuters,http://www.businessinsider.com/r-update-1-valero-energy-profit-beats-estimates-on-higher-ethanol-margins-2017-1,positive,0.8918424844741821
28,1/31/2017 7:04:07 PM,Valero says record biofuels compliance costs to continue in 2017,Reuters,http://www.businessinsider.com/r-valero-says-record-biofuels-compliance-costs-to-continue-in-2017-2017-1,negative,0.9175974726676941
29,2/3/2017 10:10:07 PM,"UPDATE 1-Lyondell, buyers differed on value of Houston refinery -CEO (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-update-1-lyondell-buyers-differed-on-value-of-houston-refinery--ceo-2017-2,neutral,0.9162498116493225
30,2/5/2017 3:20:08 PM,U.S. refiners face weakening demand at pump for first time in 5 years,Reuters,http://www.businessinsider.com/r-us-refiners-face-weakening-demand-at-pump-for-first-time-in-5-years-2017-2,negative,0.9716314077377319
31,2/8/2017 10:20:11 PM,"U.S. refiners give mixed reviews of GOP-backed border tax plan (VLO, MPC)",Reuters,http://www.businessinsider.com/r-us-refiners-give-mixed-reviews-of-gop-backed-border-tax-plan-2017-2,neutral,0.49727103114128113
32,2/9/2017 6:26:13 PM,"UPDATE 1-U.S. refiners give mixed reviews of GOP-backed border tax plan (VLO, MPC, SU, MEG)",Reuters,http://www.businessinsider.com/r-update-1-us-refiners-give-mixed-reviews-of-gop-backed-border-tax-plan-2017-2,negative,0.8502510190010071
33,2/23/2017 6:50:12 PM,"Oil industry infighting heats up as EPA weighs biofuels rule change (VLO, MPC, CVI, CASY)",Reuters,http://www.businessinsider.com/r-oil-industry-infighting-heats-up-as-epa-weighs-biofuels-rule-change-2017-2,neutral,0.9080769419670105
34,2/25/2017 2:18:13 PM,"FEATURE-Dakota protesters regroup, plot resistance to other pipelines (ETP, SE, NEE, DUK, PAA, VLO)",Reuters,http://www.businessinsider.com/r-feature-dakota-protesters-regroup-plot-resistance-to-other-pipelines-2017-2,neutral,0.6798485517501831
35,2/28/2017 4:34:13 PM,"UPDATE 1-Trump to shift biofuel blending burden off refiners -U.S. ethanol group (VLO, CVI)",Reuters,http://www.businessinsider.com/r-update-1-trump-to-shift-biofuel-blending-burden-off-refiners--us-ethanol-group-2017-2,positive,0.5856400728225708
36,3/1/2017 7:16:13 AM,"INSIGHT-U.S. military marches forward on green energy, despite Trump (SRE, SO, LLL, TSLA, XOM, BP., RDSA, VLO)",Reuters,http://www.businessinsider.com/r-insight-us-military-marches-forward-on-green-energy-despite-trump-2017-3,positive,0.4954826831817627
37,3/1/2017 2:59:10 PM,"'This is about war-fighting capability': US military marches forward with green energy, despite Trump",Reuters,http://www.businessinsider.com/r-rpt-insight-us-military-marches-forward-on-green-energy-despite-trump-2017-3,positive,0.7046893835067749
38,3/2/2017 10:26:20 PM,"Oil, biofuels groups urge U.S. EPA deny refiner requests to tweak RFS program",Reuters,http://www.businessinsider.com/r-oil-biofuels-groups-urge-us-epa-deny-refiner-requests-to-tweak-rfs-program-2017-3,negative,0.8062745928764343
39,3/3/2017 10:20:22 PM,U.S. ethanol group clashes with Icahn over details of biofuels negotiation,Reuters,http://www.businessinsider.com/r-us-ethanol-group-clashes-with-icahn-over-details-of-biofuels-negotiation-2017-3,negative,0.955223560333252
40,3/6/2017 7:00:21 PM,"White House weighs U.S. biofuels program change, no position yet -official",Reuters,http://www.businessinsider.com/r-white-house-weighs-us-biofuels-program-change-no-position-yet--official-2017-3,neutral,0.9104846119880676
41,3/9/2017 7:34:22 PM,"U.S. Energy Dept awards 10 mln bbls of sour crude from SPR (BP., FP, 601857, MPC, RDSA, VLO)",Reuters,http://www.businessinsider.com/r-us-energy-dept-awards-10-mln-bbls-of-sour-crude-from-spr-2017-3,negative,0.9104418158531189
42,3/9/2017 7:54:22 PM,"UPDATE 1-U.S. Energy Dept awards 10 mln bbls of sour crude from SPR (BP., VLO, 601857, FP, MPC, RDSA)",Reuters,http://www.businessinsider.com/r-update-1-us-energy-dept-awards-10-mln-bbls-of-sour-crude-from-spr-2017-3,negative,0.7058243155479431
43,3/10/2017 6:14:22 PM,"U.S. refiners' biofuel bill soars to record high as debate heats up (VLO, CVI, MPC, TSO, CASY, CLMT, HFC, CVE, WNR, DAL, ALJ, DK)",Reuters,http://www.businessinsider.com/r-us-refiners-biofuel-bill-soars-to-record-high-as-debate-heats-up-2017-3,positive,0.8403117656707764
44,3/23/2017 4:08:48 PM,BRIEF-Valero Energy CEO Joseph Gorder's FY 2016 total compensation was $18.5 mln (VLO),Reuters,http://www.businessinsider.com/r-brief-valero-energy-ceo-joseph-gorders-fy-2016-total-compensation-was-185-mln-2017-3,neutral,0.8459026217460632
45,3/25/2017 12:00:46 AM,U.S. oil refiners push for biofuels overhaul at White House,Reuters,http://www.businessinsider.com/r-us-oil-refiners-push-for-biofuels-overhaul-at-white-house-2017-3,neutral,0.49549731612205505
46,3/29/2017 7:02:49 AM,"Troubled California oil refinery puts PBF's turnaround skills to the test (XOM, VLO, SUN, TSO, SCE.)",Reuters,http://www.businessinsider.com/r-troubled-california-oil-refinery-puts-pbfs-turnaround-skills-to-the-test-2017-3,positive,0.8349192142486572
47,3/31/2017 12:25:00 PM,"Technical Roundup on Oil and Gas Stocks -- Marathon Petroleum, Valero Energy, HollyFrontier, and Western Refining",PR Newswire,/news/stocks/technical-roundup-on-oil-and-gas-stocks-marathon-petroleum-valero-energy-hollyfrontier-and-western-refining-1001885429,neutral,0.9314746260643005
48,4/25/2017 12:52:37 PM,Valero Energy Corp. Reports 8% Rise In Q1 Bottom Line,RTTNews,/news/stocks/valero-energy-corp-reports-8-rise-in-q1-bottom-line-1001945780,positive,0.9398943781852722
49,4/25/2017 1:11:08 PM,BRIEF-Valero Energy Q1 earnings per share $0.68 (VLO),Reuters,http://www.businessinsider.com/r-brief-valero-energy-q1-earnings-per-share-068-2017-4,neutral,0.8258077502250671
50,4/25/2017 1:11:08 PM,Valero Energy's quarterly profit slumps 38.4 pct (VLO),Reuters,http://www.businessinsider.com/r-valero-energys-quarterly-profit-slumps-384-pct-2017-4,negative,0.9741560816764832
51,4/25/2017 5:07:12 PM,"Venezuelan crude sales to the U.S. declined again in March (VLO, CVX)",Reuters,http://www.businessinsider.com/r-venezuelan-crude-sales-to-the-us-declined-again-in-march-2017-4,negative,0.9631483554840088
52,4/25/2017 5:41:13 PM,UPDATE 1-Valero CEO expects Q2 biofuel costs to be 'a significant headwind' (VLO),Reuters,http://www.businessinsider.com/r-update-1-valero-ceo-expects-q2-biofuel-costs-to-be-a-significant-headwind-2017-4,negative,0.9588218927383423
53,4/28/2017 7:29:09 AM,"U.S. refiners bet on strong exports to balance market (MPC, VLO, CVI)",Reuters,http://www.businessinsider.com/r-us-refiners-bet-on-strong-exports-to-balance-market-2017-4,positive,0.9013797640800476
54,5/2/2017 1:48:03 AM,"Big short position on biofuels generated profit for Icahn's refiner (CVI, VLO, MPC)",Reuters,http://www.businessinsider.com/r-big-short-position-on-biofuels-generated-profit-for-icahns-refiner-2017-5,negative,0.7638271450996399
55,5/4/2017 12:26:07 AM,BRIEF-Valero Energy sets regular quarterly cash dividend of $0.70 per share (VLO),Reuters,http://www.businessinsider.com/r-brief-valero-energy-sets-regular-quarterly-cash-dividend-of-070-per-share-2017-5,neutral,0.9203583598136902
56,5/5/2017 7:16:06 AM,"Pemex seeks investors for its refineries, but who's buying? (VLO, TSO, CVX, 1605, XOM, FP, STL, BP.)",Reuters,http://www.businessinsider.com/r-pemex-seeks-investors-for-its-refineries-but-whos-buying-2017-5,neutral,0.9393521547317505
57,5/5/2017 1:12:05 PM,"Pemex seeks investors for its refineries, but who's buying? (VLO, TSO, CVX, 1605, XOM, FP, STL, BP.)",Reuters,http://www.businessinsider.com/r-rpt-pemex-seeks-investors-for-its-refineries-but-whos-buying-2017-5,neutral,0.9393521547317505
58,5/10/2017 9:52:05 PM,Venezuelan crude sales to the U.S. bounced in April (VLO),Reuters,http://www.businessinsider.com/r-venezuelan-crude-sales-to-the-us-bounced-in-april-2017-5,neutral,0.7925835251808167
