datetime,title,source,link,sentiment_class,sentiment_score
11/25/2020 6:25:04 PM,Merck and Biotech’s Swashbuckling Era,InvestorPlace,/news/stocks/swashbuckling-era-merck-mrk-stock-1029839832,neutral,0.9027481079101562
11/30/2020 2:12:00 AM,Biotech Stocks Facing FDA Decision In December 2020 ,RTTNews,/news/stocks/biotech-stocks-facing-fda-decision-in-december-2020-1029847132,neutral,0.7155784368515015
12/11/2020 2:29:46 PM,"Viatris says, up to 20% of workforce may be impacted in restructure",Seeking Alpha,https://seekingalpha.com/news/3643713-viatris-says-up-to-20-of-workforce-may-be-impacted-in-restructure?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.9540942907333374
12/11/2020 2:29:46 PM,Viatris says up to 20% of its workforce may be impacted by restructuring,Seeking Alpha,https://seekingalpha.com/news/3643713-viatris-says-up-to-20-of-workforce-may-be-impacted-restructuring?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.9523707032203674
12/11/2020 2:50:42 PM,"Viatris Says Restructuring To Impact 15 Manufacturing Facilities, Up To 20% Of Workforce ",RTTNews,/news/stocks/viatris-says-restructuring-to-impact-15-manufacturing-facilities-up-to-20-of-workforce-1029885463,negative,0.7119461894035339
12/20/2020 1:19:39 PM,"Notable Insider Buys of the Past Week: Mylan, Sonabank, Steak 'n Shake, U-Haul And More",Benzinga,/news/stocks/notable-insider-buys-of-the-past-week-mylan-sonabank-steak-n-shake-u-haul-and-more-1029909485,neutral,0.9066047668457031
12/26/2020 3:15:52 PM,"The Week Ahead In Biotech (Dec. 27-Jan. 2): Data Releases, Regulatory Filings To Move Stocks",Benzinga,/news/stocks/the-week-ahead-in-biotech-dec-27-jan-2-data-releases-regulatory-filings-to-move-stocks-1029919761,neutral,0.6830363869667053
12/31/2020 12:49:45 PM,Viatris biosimilar faces regulatory delay,Seeking Alpha,https://seekingalpha.com/news/3648043-viatris-biosimilar-faces-regulatory-delay?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8477115035057068
12/31/2020 7:19:38 PM,Why Pfizer is the Cheapest Coronavirus Vaccine Play,InvestorPlace,/news/stocks/pfe-stock-pfizer-does-not-include-value-biontech-and-vaccine-1029927517,neutral,0.868235170841217
1/12/2021 4:32:16 PM,"Even In This Market, There Are Better Choices Than Pfizer Stock",InvestorPlace,/news/stocks/better-choices-than-pfe-stock-1029961129,neutral,0.7564706206321716
1/14/2021 5:48:25 PM,Viatris under pressure on conservative outlook,Seeking Alpha,https://seekingalpha.com/news/3651544-viatris-under-pressure-on-conservative-outlook?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.6317262649536133
1/28/2021 7:20:43 PM,FTC approves final order on conditions for Pfizer spinoff Viatris,Seeking Alpha,https://seekingalpha.com/news/3655734-ftc-approves-final-order-on-conditions-for-pfizer-spinoff-viatris?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.6257563233375549
2/1/2021 8:08:03 PM,3 Reasons Pfizer Stock Will Have a Solid 2021,InvestorPlace,/news/stocks/3-reasons-pfizer-stock-will-have-a-solid-2021-1030029507,positive,0.9223460555076599
2/2/2021 10:01:15 AM,7 Pharmaceutical Stocks With Compelling Pipelines,InvestorPlace,/news/stocks/7-pharmaceutical-stocks-with-compelling-pipelines-1030031896,positive,0.9111998677253723
2/19/2021 8:15:51 PM,Seeking Alpha Catalyst Watch,Seeking Alpha,https://seekingalpha.com/news/3664052-seeking-alpha-catalyst-watch?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.8980498313903809
2/20/2021 3:36:28 PM,"The Week Ahead In Biotech: J&J Vaccine Adcom Meeting, Sarepta FDA Decision And Plenty Of Earnings",Benzinga,/news/stocks/the-week-ahead-in-biotech-j-j-vaccine-adcom-meeting-sarepta-fda-decision-and-plenty-of-earnings-1030104010,neutral,0.8801164627075195
2/22/2021 12:23:29 PM,"Viatris guides 2021 revenue below estimates, initiates dividend",Seeking Alpha,https://seekingalpha.com/news/3664243-viatris-guides-2021-revenue-below-estimates-initiates-dividend?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.4824621379375458
2/22/2021 1:25:46 PM,"OTIC, VTRS among premarket losers",Seeking Alpha,https://seekingalpha.com/news/3664290-otic-vtrs-among-premarket-losers?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.915080189704895
2/22/2021 1:33:27 PM,Viatris Sees FY21 Revenue Below View - Quick Facts ,RTTNews,/news/stocks/viatris-sees-fy21-revenue-below-view-quick-facts-1030107156,negative,0.5637221932411194
3/2/2021 4:02:35 PM,"Benzinga's Top Ratings Upgrades, Downgrades For March 2, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-march-2-2021-1030141204,negative,0.545123815536499
3/5/2021 4:50:37 PM,7 Mega-Cap Stocks Standing Above the Fray,InvestorPlace,/news/stocks/7-mega-cap-stocks-standing-above-the-fray-1030155694,positive,0.6427069306373596
