datetime,title,source,link,sentiment_class,sentiment_score
6/28/2011 3:42:20 AM,China's Yurun stock plunges on Muddy Waters rumors,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/JKmal0DpcLc/idINIndia-57952020110628,negative,0.9597220420837402
11/28/2011 10:20:54 AM,Govt waters down retail reform amid opposition,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/0blg_YZFQbM/idINIndia-60762920111128,negative,0.9235866665840149
1/7/2013 4:04:45 PM,Platform-free oil in Arctic waters within striking distance,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/q7RZStN-FIE/us-oil-innovation-subsea-idUSBRE9060GK20130107,neutral,0.9261413812637329
3/22/2013 8:17:51 AM,Analysis: Big Tech tests the waters of the music stream,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/glhVLupueSA/story01.htm,neutral,0.8850908875465393
5/13/2013 1:58:45 PM,StanChart falls after short seller Muddy Waters flags bad debts,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/O0tEA-28zyI/story01.htm,negative,0.9399147033691406
6/30/2013 8:11:37 PM,The Fed and China churn already choppy waters,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/l8Wm5E8gXqQ/story01.htm,negative,0.9123533964157104
1/30/2014 10:12:24 PM,China's loan sharks circle in murky shadow bank waters,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/5OOuw4ACNYA/story01.htm,negative,0.6904295682907104
11/8/2014 8:06:08 AM,"Burger King tests India waters, starts with 12 outlets",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/jCLaKFP1rN8/story01.htm,neutral,0.9042171835899353
11/8/2014 8:15:34 AM,"Burger King tests India waters, starts with 12 outlets",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/_ynrAIySQaQ/story01.htm,neutral,0.9042171835899353
2/9/2015 3:46:35 PM,SodaStream looks to flavored waters as consumers shun sugary drinks,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BkYfiWSqPhQ/story01.htm,neutral,0.5986255407333374
11/3/2015 11:42:20 AM,"UBS waters down targets on tougher economy, capital rules",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/--hPnXFXXQ0/story01.htm,negative,0.9269618391990662
12/15/2015 6:29:44 AM,Asia investors in uncharted waters as Fed set for historic hike,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/S4HimTyO1ak/story01.htm,neutral,0.45843878388404846
9/22/2016 1:50:59 AM,Oil bet gone wrong: rusting tankers and rigs clog up Asian waters,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/bv7dXhqKgfU/asia-oil-glut-idINKCN11R2YM,negative,0.9588667154312134
10/25/2016 1:30:18 PM,BRIEF-Waters Corp Q3 adjusted earnings per share $1.57 (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-corp-q3-adjusted-earnings-per-share-157-2016-10,neutral,0.8320449590682983
12/8/2016 4:40:03 PM,BRIEF-Waters Corp appoints Sherry Buck as CFO (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-corp-appoints-sherry-buck-as-cfo-2016-12,neutral,0.913050651550293
3/23/2017 12:45:00 PM,"Medical Instruments Stocks Under Scanner -- Waters, Integra LifeSciences, Insulet, and Cooper",PR Newswire,/news/stocks/medical-instruments-stocks-under-scanner-waters-integra-lifesciences-insulet-and-cooper-1001861690,neutral,0.845649003982544
3/29/2017 3:58:50 PM,BRIEF-Waters CEO Christopher O’Connell's 2016 total compensation $7.6 mln (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-ceo-christopher-oconnells-2016-total-compensation-76-mln-2017-3,neutral,0.8747649192810059
4/25/2017 12:56:10 PM,Waters Corp. Q1 Income Advances 14%,RTTNews,/news/stocks/waters-corp-q1-income-advances-14-1001945777,neutral,0.6310001611709595
4/25/2017 1:40:10 PM,BRIEF-Waters Corporation posts Q1 adj earnings per share $1.46 (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-corporation-posts-q1-adj-earnings-per-share-146-2017-4,neutral,0.8825061917304993
5/5/2017 1:10:00 PM,"Research Reports Coverage on Medical Supplies Stocks -- Antares Pharma, Becton, Dickinson, Integra LifeSciences, and Waters",PR Newswire,/news/stocks/research-reports-coverage-on-medical-supplies-stocks-antares-pharma-becton-dickinson-integra-lifesciences-and-waters-1001983738,neutral,0.9347023963928223
5/15/2017 9:26:05 PM,"Life-science tool stocks thrive away from Obamacare glare (WAT, TMO, PKI, MTD, A, ILMN)",Reuters,http://www.businessinsider.com/r-life-science-tool-stocks-thrive-away-from-obamacare-glare-2017-5,neutral,0.8119582533836365
6/13/2017 1:10:00 PM,"Stock Performance Review on Medical Supplies Industry -- Antares Pharma, Becton, Dickinson, Integra LifeSciences, and Waters",PR Newswire,/news/stocks/stock-performance-review-on-medical-supplies-industry-antares-pharma-becton-dickinson-integra-lifesciences-and-waters-1002088461,neutral,0.9039674997329712
6/15/2017 4:02:00 PM,Andrews Alliance and Waters Sign Co-Marketing Agreement,PR Newswire,/news/stocks/andrews-alliance-and-waters-sign-co-marketing-agreement-1002096660,positive,0.6437919735908508
6/15/2017 6:28:06 PM,BRIEF-Waters signs co-marketing agreement with Andrews Alliance (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-signs-co-marketing-agreement-with-andrews-alliance-2017-6,positive,0.8221991658210754
7/25/2017 12:30:00 PM,"Today's Research Report Coverage on Medical Supplies Stocks -- Antares Pharma, Integra LifeSciences, Becton, Dickinson, and Waters",PR Newswire,/news/stocks/today-s-research-report-coverage-on-medical-supplies-stocks-antares-pharma-integra-lifesciences-becton-dickinson-and-waters-1002201315,neutral,0.9334407448768616
7/25/2017 12:56:03 PM,Waters Corp. Announces 10% Rise In Q2 Profit,RTTNews,/news/stocks/waters-corp-announces-10-rise-in-q2-profit-1002201441,positive,0.9407964944839478
7/25/2017 1:32:03 PM,BRIEF-Waters Corp reports Q2 EPS $1.63 (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-corp-reports-q2-eps-163-2017-7,neutral,0.8702012896537781
8/31/2017 12:35:00 PM,"Medical Supplies Stock Performance Review -- Integra LifeSciences, Antares Pharma, Becton, Dickinson and Co., and Waters",PR Newswire,/news/stocks/medical-supplies-stock-performance-review-integra-lifesciences-antares-pharma-becton-dickinson-and-co-and-waters-1002298001,neutral,0.8828479051589966
9/12/2017 1:38:28 AM,"Lenders, investors breathe easier as U.S. hurricane waters recede",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BF3R8ZzPwTY/lenders-investors-breathe-easier-as-u-s-hurricane-waters-recede-idUSKCN1BM2W9,neutral,0.5944719314575195
10/16/2017 10:43:00 AM,Nord Anglia Education Announces Formation of Education Advisory Board Chaired by Lord David Puttnam,PR Newswire,/news/stocks/nord-anglia-education-announces-formation-of-education-advisory-board-chaired-by-lord-david-puttnam-1002096658,neutral,0.9275941848754883
10/24/2017 12:52:53 PM,Waters Corp. Q3 Income Rises 12%,RTTNews,/news/stocks/waters-corp-q3-income-rises-12-1005436296,positive,0.9261847138404846
10/24/2017 1:27:07 PM,BRIEF-Waters Corporation reports third quarter 2017 financial results (WAT),Reuters,http://www.businessinsider.com/r-brief-waters-corporation-reports-third-quarter-2017-financial-results-2017-10,neutral,0.8324828147888184
10/25/2017 8:06:45 PM,Ryan says Republican tax plan must speed through choppy waters: Reuters interview,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/9Q7JZcjSdJ4/ryan-says-republican-tax-plan-must-speed-through-choppy-waters-reuters-interview-idUSKBN1CU1T0,neutral,0.8574371933937073
12/4/2017 8:17:04 PM,"BRIEF-Waters Corp Says Entered Into Credit Agreement Dated As Of November 30, 2017 -SEC Filing (WAT)",Reuters,http://www.businessinsider.com/r-brief-waters-corp-says-entered-into-credit-agreement-dated-as-of-november-30-2017--sec-filing-2017-12,neutral,0.9173372387886047
1/23/2018 12:54:25 PM,Waters Corp. Earnings Advance 13% In Q4,RTTNews,/news/stocks/waters-corp-earnings-advance-13-in-q4-1013704759,positive,0.9414696097373962
3/29/2018 3:24:21 PM,BRIEF-Waters Corp CEO's 2017 Total Compensation Was $7.6 Million,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/TH8bgsSCajs/brief-waters-corp-ceos-2017-total-compensation-was-7-6-million-idUSFWN1RB0LN,negative,0.5150652527809143
4/3/2018 12:55:59 PM,BRIEF-Waters Corp To Invest $215 Mln In Precision Chemistry Manufacturing In Massachusetts,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/myF43WU5FBU/brief-waters-corp-to-invest-215-mln-in-precision-chemistry-manufacturing-in-massachusetts-idUSFWN1RG0EY,neutral,0.6753714680671692
4/3/2018 1:06:26 PM,Waters Corp. To Significantly Expand Precision Chemistry Operation In Taunton ,RTTNews,/news/stocks/waters-corp-to-significantly-expand-precision-chemistry-operation-in-taunton-1020335935,positive,0.8206501007080078
4/24/2018 12:55:48 PM,Waters Corp. Q1 adjusted earnings Beat Estimates,RTTNews,/news/stocks/waters-corp-q1-adjusted-earnings-beat-estimates-1022106125,positive,0.8125441074371338
4/24/2018 12:57:40 PM,Waters Corp. Revises Earnings Outlook; Authorizes $3 Bln Share Buyback ,RTTNews,/news/stocks/waters-corp-revises-earnings-outlook-authorizes-3-bln-share-buyback-1022106124,positive,0.689723789691925
4/30/2018 2:51:04 PM,BRIEF-China Internet Nationwide Financial Says Independent Committee Completed Investigation Into Allegations In Muddy Waters Report,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/xz7pd0y9lug/brief-china-internet-nationwide-financial-says-independent-committee-completed-investigation-into-allegations-in-muddy-waters-report-idUSFWN1S70XQ,neutral,0.6216099858283997
5/17/2018 10:37:25 AM,Rosneft says South China Sea drilling is within Vietnam waters,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/uqOIkE0mR7I/rosneft-says-south-china-sea-drilling-is-within-vietnam-waters-idUSL3N1SO39Z,neutral,0.9267072677612305
5/17/2018 11:02:10 AM,"China says no one can carry out oil, gas activities in Chinese waters without Beijing's permission",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/VnFy1cnBXlM/china-says-no-one-can-carry-out-oil-gas-activities-in-chinese-waters-without-beijings-permission-idUSS6N1S201L,neutral,0.9292086958885193
7/22/2018 3:01:31 PM,Waters earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/waters-stock-q2-earnings-preview-1027387766,neutral,0.9329107999801636
7/24/2018 1:04:52 PM,Waters Corp. Q2 adjusted earnings Beat Estimates,RTTNews,/news/stocks/waters-corp-q2-adjusted-earnings-beat-estimates-1027393337,positive,0.7585712671279907
7/31/2018 11:10:49 PM,Our Money: How to wade into the daunting waters of flood insurance,Reuters,http://feeds.reuters.com/~r/news/wealth/~3/aOHBZAu3bkE/our-money-how-to-wade-into-the-daunting-waters-of-flood-insurance-idUSKBN1KL2XG,neutral,0.8933680653572083
8/1/2018 4:35:45 PM,Your Money: How to wade into the daunting waters of flood insurance,Reuters,http://feeds.reuters.com/~r/news/wealth/~3/QEzaUTjbPX8/your-money-how-to-wade-into-the-daunting-waters-of-flood-insurance-idUSKBN1KL2XG,neutral,0.9176102876663208
8/10/2018 2:13:48 PM,Russia-led Nord Stream 2 seeks new route to avoid Danish waters,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/VA4fs8TP7Bw/russia-led-nord-stream-2-seeks-new-route-to-avoid-danish-waters-idINKBN1KV1BF,positive,0.5787588357925415
8/31/2018 5:04:43 PM,"Casino shares sink, Muddy Waters tweet stirs fresh debt fears",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Rmk4F7YB5Kg/casino-shares-sink-muddy-waters-tweet-stirs-fresh-debt-fears-idUSKCN1LG20W,negative,0.9404718279838562
9/16/2018 3:16:09 AM,"UPDATE 9-Flood waters rise, 8 killed as Florence dumps 'epic' rain on Carolinas",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/wdh-tuHMxYs/update-9-flood-waters-rise-8-killed-as-florence-dumps-epic-rain-on-carolinas-idUSL2N1W103X,negative,0.9250233769416809
9/16/2018 5:29:25 AM,"UPDATE 10-Flood waters rise, 8 killed as Florence dumps 'epic' rain on Carolinas",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/owykqcnTo74/update-10-flood-waters-rise-8-killed-as-florence-dumps-epic-rain-on-carolinas-idUSL2N1W103X,negative,0.9266155362129211
9/23/2018 8:37:05 AM,Danger remains even as flood waters recede in Hurricane Florence's aftermath,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/0dBVuBLSCy0/danger-remains-even-as-flood-waters-recede-in-hurricane-florences-aftermath-idUSL2N1W901Y,negative,0.40279659628868103
9/23/2018 10:31:39 PM,UPDATE 1-Danger remains even as flood waters recede in Hurricane Florence's aftermath,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/AoJxRYRxKlQ/update-1-danger-remains-even-as-flood-waters-recede-in-hurricane-florences-aftermath-idUSL2N1W907A,positive,0.5069990754127502
10/21/2018 3:01:25 PM,Here's what Wall Street expects from Waters's earnings report,Markets Insider Automation,/news/stocks/waters-stock-quarter-earnings-preview-q3-1027636064,neutral,0.9230626821517944
10/23/2018 1:06:34 PM,Waters Corp. Lowers FY18 Guidance - Quick Facts ,RTTNews,/news/stocks/waters-corp-lowers-fy18-guidance-quick-facts-1027643494,negative,0.7661547660827637
11/14/2018 7:29:48 PM,U.S.-based fund investors test waters in bond market -ICI,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/tYBRe0vn2KI/u-s-based-fund-investors-test-waters-in-bond-market-ici-idUSL2N1XP1CK,neutral,0.8978856205940247
11/15/2018 11:57:55 AM,Tankers storing LNG in Asian waters double as pre-winter demand disappoints,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/fqs6SpyMpiM/tankers-storing-lng-in-asian-waters-double-as-pre-winter-demand-disappoints-idINKCN1NK1DF,negative,0.94240403175354
11/27/2018 8:11:51 AM,Dismantling the oil industry: rough North Sea waters test new ideas,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/aT7R_NmANW4/dismantling-the-oil-industry-rough-north-sea-waters-test-new-ideas-idUSKCN1NW0IL,neutral,0.7917285561561584
11/27/2018 8:17:42 AM,Analysis: Dismantling the oil industry - rough North Sea waters test new ideas,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/9WL3Qu_6HZ8/analysis-dismantling-the-oil-industry-rough-north-sea-waters-test-new-ideas-idINKCN1NW0IH,neutral,0.7295205593109131
