date,close,volume,open,high,low
2025-03-13,175.89,552843,177.18,178.99,174.91
2025-03-12,177.06,542544,179.48,180.413,177.06
2025-03-11,180.15,601882,186.89,186.89,180.09
2025-03-10,186.52,787994,183.92,189.75,183.88
2025-03-07,183.94,1195522,181.42,184.866,181.42
2025-03-06,182.4,1149114,181.06,183.16,180.11
2025-03-05,182.82,1055995,180.91,183.625,179.93
2025-03-04,181.33,980386,184.74,185.64,180.79
2025-03-03,185.92,557708,189.13,190.45,185.44
2025-02-28,187.97,718085,186.23,188.25,185.875
2025-02-27,185.49,337534,185.06,186.705,184.83
2025-02-26,185.75,480687,186.49,186.585,184.34
2025-02-25,186.38,535858,185.6,186.98,185.24
2025-02-24,184.54,569222,184.57,186.23,183.26
2025-02-21,184.36,672244,184.34,184.92,183.03
2025-02-20,184.27,700036,183.12,184.45,182.1
2025-02-19,182.98,727876,182.09,183.929,182.065
2025-02-18,183.67,419993,182.13,183.79,181.47
2025-02-14,181.61,526618,183.71,184.82,180.43
2025-02-13,182.88,512883,182.27,183.84,181.775
2025-02-12,181.19,815518,178.96,183.803,178.72
2025-02-11,179.99,745752,180.68,181.91,178.84
2025-02-10,181.7,568549,180.0,182.215,179.06
2025-02-07,179.15,675442,182.09,182.23,178.72
2025-02-06,181.68,872970,186.08,186.08,180.86
2025-02-05,184.63,940847,183.12,184.96,181.18
2025-02-04,182.62,725855,184.21,184.21,182.28
2025-02-03,183.34,1023544,182.46,184.02,180.5
2025-01-31,185.73,1500428,184.7,188.33,184.46
2025-01-30,182.49,2345174,187.04,187.12,179.2
2025-01-29,192.91,1066867,192.88,194.75,192.325
2025-01-28,193.3,661602,195.15,196.405,192.89
2025-01-27,195.91,823613,192.59,195.92,191.11
2025-01-24,191.52,682027,193.43,194.53,190.95
2025-01-23,193.36,675437,190.53,193.44,189.61
2025-01-22,190.53,597323,191.19,192.45,190.05
2025-01-21,192.5,879554,192.18,193.97,191.47
2025-01-17,191.32,623811,192.25,193.22,190.76
2025-01-16,191.24,382541,190.32,191.365,189.535
2025-01-15,190.23,628739,191.96,193.55,189.62
2025-01-14,189.31,516568,189.05,189.99,187.75
2025-01-13,187.96,560817,184.46,188.17,184.415
2025-01-10,184.86,431367,185.35,187.01,184.7
2025-01-08,187.71,405591,185.81,187.88,184.56
2025-01-07,186.69,485812,188.25,191.24,186.115
2025-01-06,188.04,823929,185.29,189.85,185.29
2025-01-03,185.09,915336,183.45,185.4,181.99
2025-01-02,183.31,620696,187.62,189.1802,182.835
2024-12-31,187.13,452740,187.24,189.26,186.56
2024-12-30,187.24,533074,186.86,187.98,185.29
2024-12-27,188.51,572985,188.03,190.27,187.84
2024-12-26,189.35,301303,188.82,190.07,188.6
2024-12-24,189.38,167105,188.95,189.7,188.03
2024-12-23,188.58,515941,186.96,189.005,186.16
