date,close,volume,open,high,low
2025-03-13,225.57,494234,223.59,226.09,222.55
2025-03-12,225.11,601535,227.8,228.03,222.91
2025-03-11,226.33,886650,233.51,233.51,226.19
2025-03-10,232.45,1169755,238.8,240.45,231.37
2025-03-07,240.92,632797,236.74,241.775,234.98
2025-03-06,237.84,811035,241.46,241.46,237.37
2025-03-05,242.49,702537,240.05,245.33,240.05
2025-03-04,241.83,897006,244.34,246.55,241.755
2025-03-03,244.83,500883,242.0,246.58,241.93
2025-02-28,241.22,904152,240.0,242.88,237.67
2025-02-27,237.42,322767,237.15,239.065,236.805
2025-02-26,236.34,396851,236.19,238.81,235.58
2025-02-25,236.8,567920,237.52,239.0699,236.21
2025-02-24,236.43,283274,235.05,237.65,234.44
2025-02-21,235.33,363116,235.75,235.87,233.9
2025-02-20,236.3,438837,238.0,238.05,234.51
2025-02-19,238.93,595494,239.25,242.0,230.87
2025-02-18,239.15,518629,239.61,241.21,238.49
2025-02-14,240.33,277689,243.23,244.47,240.24
2025-02-13,242.75,344379,243.0,243.63,241.18
2025-02-12,242.38,406806,238.56,242.67,238.095
2025-02-11,241.57,248601,241.71,242.9999,239.66
2025-02-10,242.34,333911,240.9,242.87,240.0503
2025-02-07,240.42,321250,240.98,241.445,239.06
2025-02-06,240.03,489977,240.41,241.215,238.43
2025-02-05,240.09,405543,241.82,242.39,240.05
2025-02-04,240.59,563587,237.61,242.03,237.61
2025-02-03,238.65,515967,237.12,240.16,234.3101
2025-01-31,238.22,726786,231.03,241.25,230.69
2025-01-30,239.12,438326,236.56,240.115,236.56
2025-01-29,235.56,478045,237.72,238.83,235.52
2025-01-28,237.91,390107,239.67,241.4499,237.75
2025-01-27,239.54,420436,237.41,241.18,236.52
2025-01-24,237.35,327315,235.79,237.81,235.79
2025-01-23,236.76,443102,235.18,237.11,234.06
2025-01-22,234.95,397047,233.65,236.05,232.06
2025-01-21,233.55,465141,232.49,234.1975,231.65
2025-01-17,230.4,582537,231.87,233.5554,230.15
2025-01-16,231.04,422879,227.95,231.88,227.69
2025-01-15,228.09,372184,230.0,230.0,226.22
2025-01-14,227.12,372505,224.88,227.66,224.562
2025-01-13,224.81,393717,221.29,225.25,220.13
2025-01-10,221.46,642686,227.63,228.195,220.0
2025-01-08,229.49,675908,226.69,229.73,225.199
2025-01-07,226.32,627128,226.04,227.93,225.23
2025-01-06,225.44,524948,228.24,229.7,224.93
2025-01-03,229.23,553388,226.0,229.97,225.875
2025-01-02,226.83,626947,226.48,228.15,225.08
2024-12-31,226.09,316105,225.6,227.13,225.14
2024-12-30,225.5,389654,224.41,226.34,221.89
2024-12-27,226.37,231373,226.23,227.915,224.89
2024-12-26,227.74,301766,225.9,228.02,225.5
2024-12-24,227.34,113761,225.12,227.47,224.625
2024-12-23,224.49,306819,225.0,225.43,223.1001
2024-12-20,226.01,1191499,222.9,228.085,222.57
2024-12-19,224.18,474832,223.29,225.7,223.215
2024-12-18,223.09,500245,228.91,231.35,222.87
2024-12-17,229.69,680469,231.88,233.58,229.27
2024-12-16,231.92,372053,233.88,234.58,231.4431
2024-12-13,233.53,366702,234.93,235.45,233.195
2024-12-12,235.89,321326,236.38,236.68,234.495
2024-12-11,235.59,361527,236.8,237.015,235.05
2024-12-10,235.9,342864,233.89,236.08,230.05
2024-12-09,233.57,423587,234.56,236.11,232.13
2024-12-06,235.43,389430,236.29,237.96,235.37
2024-12-05,235.91,594430,231.95,236.1,230.68
2024-12-04,232.93,483605,231.88,234.11,230.88
2024-12-03,232.22,432184,233.82,234.6,229.935
2024-12-02,234.25,334807,236.23,236.23,233.0552
2024-11-29,236.02,253044,236.04,236.94,234.87
2024-11-27,235.8,361709,236.64,237.74,235.55
2024-11-26,236.44,655851,234.17,236.5,232.55
2024-11-25,233.23,815534,231.69,234.45,229.95
2024-11-22,230.24,943602,229.29,230.305,227.2
2024-11-21,227.47,974932,226.7,228.69,224.96
2024-11-20,225.39,457418,224.85,226.03,222.01
2024-11-19,224.84,382865,225.49,226.87,223.98
2024-11-18,227.08,418085,227.26,229.34,226.835
2024-11-15,227.78,583317,227.13,229.64,225.94
2024-11-14,227.56,562307,228.81,229.185,226.335
2024-11-13,229.01,434043,226.34,230.0,226.34
2024-11-12,226.86,500297,226.94,228.75,225.98
2024-11-11,226.21,536479,226.0,228.06,225.15
2024-11-08,225.21,466059,221.57,226.16,221.57
2024-11-07,221.18,433939,220.14,222.1534,218.37
2024-11-06,219.46,753771,225.18,225.29,216.31
2024-11-05,218.3,651590,208.59,218.49,208.195
2024-11-04,209.64,653949,210.77,211.45,209.12
2024-11-01,210.21,525248,211.22,212.62,209.825
2024-10-31,210.86,610913,211.3,212.53,209.52
2024-10-30,212.5,456526,214.57,215.55,212.32
2024-10-29,212.66,447020,213.58,215.24,212.64
2024-10-28,213.7,378459,215.13,216.11,212.91
2024-10-25,214.03,271083,217.53,217.55,212.657
2024-10-24,216.76,454938,216.1,217.79,214.7886
