date,close,volume,open,high,low
2025-03-13,27.78,3382374,28.4,28.85,27.65
2025-03-12,28.56,3320073,29.22,29.46,28.145
2025-03-11,29.24,3413992,29.86,30.0,28.955
2025-03-10,29.85,3535821,29.8,30.58,29.58
2025-03-07,29.81,2103569,29.02,29.94,29.0
2025-03-06,29.37,1890727,29.14,29.6,29.01
2025-03-05,29.19,3483354,28.41,29.395,28.385
2025-03-04,28.12,2820096,28.19,28.56,27.9
2025-03-03,28.83,2101798,30.01,30.15,28.54
2025-02-28,29.77,3021096,29.6,29.9,29.35
2025-02-27,29.61,1488386,29.88,30.26,29.59
2025-02-26,30.06,1739478,30.05,30.55,29.94
2025-02-25,29.99,2763613,29.87,30.11,29.535
2025-02-24,29.74,2220967,29.69,29.96,29.13
2025-02-21,29.49,1761401,30.45,30.51,29.2733
2025-02-20,30.25,2286030,29.77,30.28,29.39
2025-02-19,29.67,2602881,29.79,30.1,29.55
2025-02-18,30.25,2565661,30.41,30.49,29.96
2025-02-14,30.22,2915066,29.78,30.29,29.57
2025-02-13,29.4,2147132,29.19,29.61,28.89
2025-02-12,28.89,2924640,29.19,29.19,28.65
2025-02-11,29.44,2418118,29.25,29.85,29.23
2025-02-10,29.34,3393265,30.32,30.42,29.28
2025-02-07,30.02,4107221,30.48,30.48,29.33
2025-02-06,30.24,5333737,31.86,32.98,29.98
2025-02-05,31.17,3604055,31.33,31.49,30.9
2025-02-04,31.33,2472280,31.05,31.51,31.025
2025-02-03,31.16,3474429,30.46,31.62,29.94
2025-01-31,31.9,1871447,32.59,32.88,31.7
2025-01-30,32.85,1700839,32.77,33.11,32.451
2025-01-29,32.47,1893232,32.62,32.745,32.23
2025-01-28,32.55,2045601,32.58,32.745,32.16
2025-01-27,32.9,2487754,32.94,33.4,32.675
2025-01-24,32.65,2443193,32.39,32.71,32.03
2025-01-23,32.23,3021315,31.92,32.35,31.65
2025-01-22,31.79,2913161,32.4,32.595,31.48
2025-01-21,32.72,2752175,32.57,32.735,32.03
2025-01-17,32.29,2423084,32.16,32.5,32.05
2025-01-16,32.01,2275110,32.2,32.41,31.59
2025-01-15,32.3,2124019,32.58,32.635,31.94
2025-01-14,31.86,2206333,31.89,32.09,31.35
2025-01-13,31.59,2452085,30.79,31.6,30.75
2025-01-10,31.04,3843840,31.3,31.7055,30.94
2025-01-08,31.54,1543644,31.91,32.0,31.28
2025-01-07,32.27,1600509,32.37,32.605,32.06
2025-01-06,32.08,1666598,32.07,32.71,31.935
2025-01-03,31.52,2217342,31.33,31.53,30.71
2025-01-02,31.32,1988669,31.91,32.08,31.26
2024-12-31,31.79,1604158,31.72,32.025,31.59
2024-12-30,31.64,1546071,31.9,32.02,31.43
2024-12-27,32.19,1191694,31.96,32.63,31.88
2024-12-26,32.26,1210039,32.11,32.41,31.925
2024-12-24,32.18,718119,31.99,32.23,31.8101
2024-12-23,32.0,1907466,31.72,32.09,31.605
2024-12-20,31.88,7655106,31.26,32.04,31.26
2024-12-19,31.48,3279124,32.24,32.255,31.35
2024-12-18,31.95,2545518,33.36,33.675,31.94
2024-12-17,33.24,2391076,32.89,33.6125,32.89
2024-12-16,32.98,3054215,33.58,33.9,32.82
2024-12-13,34.05,2516586,34.93,35.0,33.825
2024-12-12,35.05,3019517,34.82,35.3,34.53
