date,close,volume,open,high,low
2025-03-13,19.12,28369710,19.52,19.79,18.78
2025-03-12,19.5,30901460,19.44,19.95,19.22
2025-03-11,19.1,46610160,18.89,19.2,18.155
2025-03-10,19.08,41514060,19.96,20.0,18.66
2025-03-07,20.64,34604900,20.86,20.86,19.8307
2025-03-06,20.87,26983490,21.56,21.87,20.795
2025-03-05,22.34,28569260,22.05,22.37,21.73
2025-03-04,21.91,44502460,22.53,22.65,21.44
2025-03-03,23.26,18348980,23.82,24.47,23.02
2025-02-28,23.93,16216940,23.55,23.95,23.28
2025-02-27,23.5,18890620,24.41,24.57,23.23
2025-02-26,24.12,12983250,24.08,24.6,23.82
2025-02-25,23.74,19622190,24.08,24.11,23.31
2025-02-24,23.63,21830730,23.72,24.05,23.26
2025-02-21,23.22,31226450,24.7,24.7,22.8201
2025-02-20,24.56,52245840,25.59,25.68,23.42
2025-02-19,26.09,13325360,25.53,26.095,25.2
2025-02-18,25.73,22472240,26.15,26.39,25.38
2025-02-14,26.23,12164820,25.98,26.25,25.48
2025-02-13,25.86,14560060,25.985,26.34,25.38
2025-02-12,25.89,13942610,25.2,25.9,25.055
2025-02-11,25.61,14040790,25.8,25.85,25.33
2025-02-10,26.1,14713090,26.75,26.93,26.01
2025-02-07,26.75,15149200,27.54,27.815,26.67
2025-02-06,27.44,14071180,27.28,27.57,26.935
2025-02-05,27.19,13072160,27.29,27.59,26.74
2025-02-04,27.09,18287110,27.18,27.34,26.61
2025-02-03,27.05,18261640,26.52,27.53,26.27
2025-01-31,27.67,18067980,28.53,28.72,27.6
2025-01-30,28.49,19955990,28.16,28.5,28.01
2025-01-29,27.91,39258130,27.77,28.12,27.3746
2025-01-28,27.77,37778500,25.79,27.82,25.76
2025-01-27,25.68,17600280,25.01,25.87,24.88
2025-01-24,25.42,17631650,25.52,25.74,25.3501
2025-01-23,25.61,15381940,25.25,25.65,24.95
2025-01-22,25.25,16706290,25.87,25.92,25.105
2025-01-21,25.6,30257360,26.44,26.77,25.53
2025-01-17,25.85,21345380,25.2,26.105,25.17
2025-01-16,25.05,14694650,24.91,25.11,24.59
2025-01-15,24.94,27603630,25.22,25.275,24.665
2025-01-14,24.51,16470090,24.08,24.59,23.83
2025-01-13,23.89,16174120,23.73,24.175,23.555
2025-01-10,24.27,20698560,23.55,24.52,23.34
2025-01-08,24.18,18531010,23.51,24.265,23.4
2025-01-07,23.84,23142460,24.075,24.17,23.27
2025-01-06,24.13,20057280,24.65,24.74,24.0614
2025-01-03,24.38,20575510,25.03,25.098,23.9301
2025-01-02,25.01,26418690,25.13,25.4,24.6
2024-12-31,24.92,10363480,24.86,25.38,24.86
2024-12-30,25.05,15497630,24.54,25.3464,24.31
2024-12-27,25.08,14967430,25.41,25.54,24.89
2024-12-26,25.66,12380800,25.48,25.83,25.365
2024-12-24,25.79,10234860,26.0,26.05,25.42
2024-12-23,25.73,35169580,26.52,26.54,25.26
2024-12-20,26.8,61014990,25.78,27.14,25.44
2024-12-19,25.18,21381730,25.0,25.445,24.77
2024-12-18,24.82,21896680,26.11,26.188,24.545
2024-12-17,25.72,17328010,25.87,25.985,25.4
2024-12-16,25.91,15710900,26.28,26.46,25.85
2024-12-13,25.9,13799140,26.285,26.41,25.78
2024-12-12,26.18,15743810,26.5,26.78,26.18
2024-12-11,26.61,15172130,25.93,26.615,25.93
2024-12-10,25.83,18652700,25.96,26.355,25.64
2024-12-09,25.39,19616040,26.56,26.595,25.33
2024-12-06,26.61,18633150,26.485,26.65,25.89
2024-12-05,26.45,21657670,26.99,27.165,26.42
2024-12-04,26.78,19191550,26.26,26.79,26.26
2024-12-03,26.11,19172770,26.09,26.57,25.93
2024-12-02,25.99,21179740,25.67,26.66,25.63
2024-11-29,25.43,8047732,25.27,25.58,25.26
2024-11-27,25.14,9131338,25.35,25.52,25.14
2024-11-26,25.34,20993050,25.08,25.8,24.97
2024-11-25,25.19,24680880,25.2,25.44,25.05
2024-11-22,24.9,32540390,25.35,25.58,24.845
2024-11-21,25.35,19109450,25.13,25.6,25.0
2024-11-20,25.08,14495960,25.18,25.45,24.89
2024-11-19,25.13,27670700,24.0,25.22,23.86
2024-11-18,24.51,24156000,24.22,24.64,23.95
2024-11-15,24.31,18241910,24.01,24.41,23.92
2024-11-14,24.31,20945300,24.57,24.99,24.26
2024-11-13,24.55,17563940,24.58,24.8273,24.32
2024-11-12,24.59,18197440,24.22,24.78,24.21
2024-11-11,24.6,20466830,24.5,24.725,24.01
2024-11-08,24.07,18979460,23.7,24.41,23.67
2024-11-07,23.68,24617770,23.83,24.19,23.68
2024-11-06,24.23,48010990,23.63,24.34,23.51
2024-11-05,22.45,17652310,21.94,22.67,21.94
2024-11-04,21.91,16784930,21.8,22.205,21.55
2024-11-01,21.9,23498960,22.0,22.15,21.75
2024-10-31,22.0,32433280,22.49,23.05,21.91
2024-10-30,22.16,23747320,21.92,22.3,21.72
2024-10-29,22.1,27969830,21.47,22.35,21.43
2024-10-28,21.92,32073400,21.72,22.39,21.5501
2024-10-25,20.91,16284030,20.98,21.06,20.74
2024-10-24,20.91,15605380,21.05,21.245,20.61
2024-10-23,21.0,15934810,21.28,21.4,20.82
2024-10-22,21.45,19644120,21.17,21.56,20.78
2024-10-21,21.28,17595590,21.25,21.38,21.03
2024-10-18,21.32,17996290,21.36,21.42,21.05
2024-10-17,21.41,20065320,21.62,21.78,21.23
2024-10-16,21.4,22859800,21.57,21.67,21.29
2024-10-15,21.55,46916660,20.78,21.796,20.76
2024-10-14,20.21,27465880,20.33,20.43,19.97
2024-10-11,20.43,28855370,20.46,20.81,20.36
2024-10-10,20.39,38703110,19.86,20.5,19.72
2024-10-09,20.2,70901670,19.15,20.45,19.09
2024-10-08,18.87,35723370,18.08,18.99,18.07
2024-10-07,18.01,31436440,17.99,18.4199,17.83
2024-10-04,18.02,31753080,17.68,18.15,17.55
2024-10-03,17.34,31611030,17.43,17.695,17.105
2024-10-02,17.71,29643720,17.71,17.86,17.48
2024-10-01,18.02,45154330,18.7,18.82,17.62
2024-09-30,18.48,68574020,18.67,18.72,17.33
2024-09-27,18.54,34530750,18.8,18.8699,18.48
2024-09-26,18.68,31889030,18.43,18.9,18.38
2024-09-25,18.04,32886920,18.67,18.685,17.99
2024-09-24,18.73,32022100,19.0,19.01,18.37
2024-09-23,18.97,27346840,19.0,19.02,18.71
2024-09-20,19.0,36581250,18.7,19.09,18.55
2024-09-19,18.76,25872350,18.93,18.99,18.62
2024-09-18,18.36,30907100,18.125,18.74,18.125
2024-09-17,18.03,24716420,18.035,18.18,17.87
2024-09-16,17.83,27539900,17.37,17.94,17.27
2024-09-13,17.26,23340840,17.01,17.49,17.0
2024-09-12,16.92,27610350,16.64,17.17,16.615
2024-09-11,16.54,31864350,16.11,16.55,15.88
2024-09-10,16.14,17919670,16.13,16.17,15.49
2024-09-09,16.03,21478390,15.88,16.205,15.85
2024-09-06,15.67,24505610,16.21,16.46,15.5
2024-09-05,16.15,15078890,16.3,16.59,16.07
2024-09-04,16.15,18999250,16.23,16.518,15.99
2024-09-03,16.34,23606050,16.3,16.79,16.2
2024-08-30,16.5,20664210,16.62,16.7948,16.25
2024-08-29,16.54,22799990,16.79,16.87,16.505
2024-08-28,16.63,24878390,16.93,17.0201,16.49
2024-08-27,17.04,30136590,16.55,17.37,16.505
2024-08-26,16.6,21673620,16.6,16.71,16.41
2024-08-23,16.61,42378860,15.52,16.75,15.47
2024-08-22,15.45,18683590,15.66,15.67,15.32
2024-08-21,15.49,13809530,15.41,15.61,15.3
2024-08-20,15.32,20241860,15.53,15.53,15.28
2024-08-19,15.6,17931340,15.49,15.67,15.42
2024-08-16,15.46,23514040,15.645,15.665,15.31
2024-08-15,15.74,32425420,15.06,15.79,15.035
2024-08-14,14.76,23096990,14.9,15.08,14.53
2024-08-13,14.87,18842810,14.8,14.9099,14.56
2024-08-12,14.6,19250760,14.79,14.85,14.49
2024-08-09,14.77,26030010,14.49,14.85,14.49
2024-08-08,14.49,24132100,14.11,14.55,14.08
2024-08-07,14.01,29573280,14.8,14.84,13.95
2024-08-06,14.54,32738560,14.45,15.035,14.44
2024-08-05,14.4,35572320,13.87,14.705,13.78
2024-08-02,14.8,44420020,15.16,15.2,14.63
2024-08-01,15.76,41570920,16.79,16.865,15.48
2024-07-31,16.66,38380670,17.43,17.53,16.65
2024-07-30,17.12,20316770,17.33,17.4,17.065
2024-07-29,17.25,16795890,17.34,17.535,17.0347
2024-07-26,17.27,20816920,17.38,17.51,17.12
2024-07-25,17.1,34773370,18.16,18.16,17.075
2024-07-24,18.19,28171390,18.87,19.0299,18.18
2024-07-23,19.07,35636010,18.51,19.48,18.46
2024-07-22,18.42,21676000,18.4,18.74,18.2
2024-07-19,18.43,13619910,18.29,18.5,18.1552
2024-07-18,18.25,20659630,18.46,18.7,18.095
2024-07-17,18.4,30846560,18.68,19.12,18.4
2024-07-16,19.18,28752590,18.4,19.24,18.38
2024-07-15,18.32,25269120,18.3,18.34,17.79
2024-07-12,18.23,22504450,18.15,18.57,18.15
2024-07-11,18.12,30702560,17.68,18.15,17.31
2024-07-10,17.74,22307840,18.12,18.17,17.73
2024-07-09,17.9,26311500,17.51,18.11,17.5
2024-07-08,17.56,29603550,17.33,17.88,17.33
2024-07-05,17.21,25550000,17.53,17.54,17.01
2024-07-03,17.45,14095440,17.56,17.59,17.32
2024-07-02,17.56,24523780,17.67,17.99,17.51
