date,close,volume,open,high,low
2025-03-13,96.87,11059480,97.77,98.65,95.925
2025-03-12,98.76,11891790,98.68,99.49,96.38
2025-03-11,97.9,16906010,99.79,101.04,97.45
2025-03-10,103.08,10947070,104.43,104.8,102.1104
2025-03-07,105.51,12715900,105.0,105.77,103.31
2025-03-06,105.43,11618750,108.38,108.83,105.0165
2025-03-05,109.31,9956143,109.34,110.9383,108.22
2025-03-04,109.01,12658020,111.7,112.25,108.27
2025-03-03,112.79,7884746,114.07,115.55,112.0
2025-02-28,113.8,14609400,111.46,113.99,111.0
2025-02-27,111.31,7854650,112.32,113.12,111.06
2025-02-26,111.83,7831584,110.055,113.25,110.055
2025-02-25,110.53,7288975,111.43,111.9,109.07
2025-02-24,111.2,7093298,108.84,111.555,108.65
2025-02-21,108.66,9082075,111.0,111.76,107.92
2025-02-20,110.55,5970106,111.24,111.52,109.375
2025-02-19,111.35,8452114,109.14,111.76,109.14
2025-02-18,109.56,8362898,109.775,109.92,108.71
2025-02-14,110.38,5964541,109.86,110.51,109.5901
2025-02-13,109.59,6553224,108.92,109.76,108.56
2025-02-12,109.23,6521246,108.25,109.525,107.75
2025-02-11,109.02,7456717,108.38,109.05,107.69
2025-02-10,109.28,8239512,111.14,111.38,108.69
2025-02-07,110.86,8669320,111.61,112.55,110.8101
2025-02-06,112.09,12470790,111.88,112.68,109.15
2025-02-05,110.54,23309980,115.7,118.59,110.23
2025-02-04,113.3,13521150,113.8,114.655,112.51
2025-02-03,114.0,8870666,111.35,114.6,110.86
2025-01-31,113.06,7797690,113.3,114.01,112.76
2025-01-30,113.43,6236187,114.085,115.18,113.12
2025-01-29,113.19,7607068,113.495,114.3844,112.76
2025-01-28,112.14,6516763,112.845,112.96,111.56
2025-01-27,113.34,10176940,111.68,114.08,111.46
2025-01-24,112.16,8304478,111.155,113.39,110.63
2025-01-23,111.04,7608265,108.5,111.07,108.49
2025-01-22,108.81,8781705,109.55,109.55,108.23
2025-01-21,108.7,8643694,107.1,109.45,106.8
2025-01-17,107.02,7144263,106.83,107.74,106.54
2025-01-16,106.46,7872767,108.29,108.6,106.16
2025-01-15,108.18,6296861,109.17,109.6,107.99
2025-01-14,108.12,5501600,108.68,108.96,107.61
2025-01-13,108.08,6690232,107.93,108.61,106.72
2025-01-10,108.65,8835518,110.0,110.54,107.62
2025-01-08,109.76,7805312,111.0,111.11,108.64
2025-01-07,111.39,7878807,112.15,113.74,111.29
2025-01-06,111.05,6274419,111.47,112.8537,110.87
2025-01-03,111.16,5394318,111.37,111.535,110.18
2025-01-02,110.82,5688086,111.7,112.2,110.17
2024-12-31,111.35,4757538,110.78,111.59,110.67
2024-12-30,110.8,5716337,110.425,111.54,109.83
2024-12-27,111.55,4523820,111.82,112.12,110.86
2024-12-26,112.55,4782814,112.12,113.32,111.86
2024-12-24,112.56,2474994,111.25,112.74,111.1924
2024-12-23,111.4,6037212,111.61,111.85,110.31
2024-12-20,112.03,17955330,110.61,112.97,110.43
2024-12-19,111.37,9468516,111.66,112.91,111.25
2024-12-18,111.35,12292780,113.34,116.1184,111.24
2024-12-17,113.02,12238620,111.025,114.04,110.8
2024-12-16,112.11,10528530,113.0,113.067,111.73
2024-12-13,113.34,6864475,114.322,114.96,113.3
2024-12-12,114.9,5285116,114.7,115.01,114.16
