date,close,volume,open,high,low
2025-03-13,288.62,332698,292.98,294.24,287.22
2025-03-12,292.88,350572,294.64,295.72,291.03
2025-03-11,295.54,487356,300.8,300.8,291.7
2025-03-10,299.12,483409,300.87,304.57,298.26
2025-03-07,301.74,554556,302.24,306.75,299.52
2025-03-06,301.44,398063,305.34,305.34,298.1
2025-03-05,308.22,275846,303.95,308.66,303.0
2025-03-04,307.59,392729,314.09,316.29,307.22
2025-03-03,313.85,468302,311.64,315.7,311.1682
2025-02-28,311.57,884944,306.79,312.1,306.385
2025-02-27,303.91,297602,300.96,305.78,300.96
2025-02-26,301.55,308465,301.3,305.0,300.52
2025-02-25,301.24,357170,299.56,303.03,299.56
2025-02-24,298.47,591884,295.53,301.46,292.2
2025-02-21,294.74,456279,295.23,296.39,291.66
2025-02-20,294.41,492882,290.63,295.28,289.915
2025-02-19,291.2,594142,288.04,292.905,288.04
2025-02-18,290.78,595030,288.08,292.02,287.37
2025-02-14,288.37,441879,291.86,293.79,287.68
2025-02-13,291.62,422323,291.21,292.4299,289.67
2025-02-12,290.42,356728,285.85,294.045,285.85
2025-02-11,291.59,460758,287.93,291.62,287.715
2025-02-10,291.21,422750,292.08,292.695,286.82
2025-02-07,292.14,444466,298.05,299.66,291.55
2025-02-06,298.07,683882,296.68,300.34,295.5
2025-02-05,295.79,790919,283.0,297.26,282.865
2025-02-04,287.14,530862,284.02,287.96,281.11
2025-02-03,284.39,406996,281.12,287.39,280.33
2025-01-31,284.57,534526,280.8,284.69,278.27
2025-01-30,281.16,290348,279.75,283.41,278.84
2025-01-29,276.62,282949,281.27,282.65,275.76
2025-01-28,281.2,271051,282.36,286.31,280.29
2025-01-27,283.09,431781,279.0,286.72,278.27
2025-01-24,277.93,411064,276.33,278.44,274.45
2025-01-23,277.63,461073,279.66,280.225,274.45
2025-01-22,279.9,426719,282.03,282.99,278.61
2025-01-21,285.24,363545,284.33,287.14,282.44
2025-01-17,283.41,364616,284.6,285.205,282.62
2025-01-16,283.75,338853,284.05,284.28,280.08
2025-01-15,282.85,499657,289.75,291.48,281.64
2025-01-14,284.46,505838,283.08,288.4,282.8
2025-01-13,282.95,781214,274.57,284.22,274.0
2025-01-10,271.9,1105590,270.15,277.42,269.505
2025-01-08,272.64,541321,270.39,273.1,267.955
2025-01-07,270.06,606744,274.72,275.75,269.56
2025-01-06,272.79,371728,281.86,284.41,272.14
2025-01-03,284.25,331220,279.91,284.68,279.45
2025-01-02,279.52,282743,282.4,284.615,279.08
2024-12-31,285.44,339962,284.31,285.71,282.25
2024-12-30,282.8,249517,282.32,283.62,278.74
2024-12-27,284.43,298667,285.9,288.55,283.43
2024-12-26,287.71,231604,286.18,289.2,285.715
2024-12-24,286.79,121587,284.6,286.81,282.27
2024-12-23,284.33,386497,282.31,284.94,281.1
2024-12-20,283.76,1417592,280.42,287.245,280.31
2024-12-19,279.01,448814,283.62,287.0,278.14
2024-12-18,283.99,430649,293.75,297.955,283.7
2024-12-17,294.1,509245,295.0,297.37,292.71
2024-12-16,299.05,320500,300.02,303.52,298.73
2024-12-13,299.79,213399,301.41,303.25,298.55
2024-12-12,302.3,241808,298.23,306.325,296.65
2024-12-11,298.04,293926,300.13,302.0,296.82
2024-12-10,297.63,372912,301.75,301.76,295.9
2024-12-09,301.0,421719,299.83,301.53,296.83
2024-12-06,300.1,318988,301.65,301.655,298.46
2024-12-05,299.67,261834,298.96,302.305,298.89
2024-12-04,301.39,272559,301.87,301.87,299.33
2024-12-03,301.0,322897,305.5,305.5,300.96
2024-12-02,304.09,295214,308.5,308.5,302.925
2024-11-29,310.46,238721,313.31,313.7,309.66
2024-11-27,312.84,220732,312.0,314.65,311.515
2024-11-26,309.75,284788,310.0,311.25,308.24
2024-11-25,309.6,432939,306.87,311.74,305.38
2024-11-22,305.53,213711,304.63,309.14,304.63
2024-11-21,304.34,241516,300.62,306.16,299.91
2024-11-20,300.59,244185,299.96,300.97,297.57
2024-11-19,301.78,269694,301.81,302.73,298.657
2024-11-18,302.54,250304,300.63,303.32,300.13
2024-11-15,301.76,328604,302.67,303.59,299.665
2024-11-14,302.74,250393,305.72,306.89,302.46
2024-11-13,307.28,253725,303.63,308.37,303.13
2024-11-12,300.81,253170,304.05,305.55,300.73
2024-11-11,304.14,239676,304.71,308.14,303.8
2024-11-08,304.66,441840,298.32,305.99,298.045
2024-11-07,296.54,340625,293.76,297.58,292.41
2024-11-06,293.76,836438,294.23,299.48,290.56
2024-11-05,291.0,364039,279.08,291.01,276.22
2024-11-04,280.61,361466,275.71,280.71,275.6001
2024-11-01,276.97,485420,283.23,284.605,276.463
2024-10-31,283.86,594187,291.07,291.42,283.705
2024-10-30,294.02,470731,298.0,298.695,292.0
2024-10-29,298.43,342507,299.76,299.93,295.99
2024-10-28,299.67,319861,298.18,300.43,296.46
2024-10-25,295.65,228191,303.49,303.49,295.21
2024-10-24,301.76,337470,301.44,302.265,299.31
2024-10-23,299.96,343064,294.39,301.89,294.39
2024-10-22,293.4,212040,290.91,294.88,290.91
2024-10-21,291.37,346304,293.42,295.12,288.94
2024-10-18,296.5,198747,295.7,297.69,294.6
2024-10-17,294.25,291794,297.1,298.74,293.15
