date,close,volume,open,high,low
2025-03-13,67.95,5694649,68.74,68.92,67.32
2025-03-12,68.51,5312290,69.11,70.7399,68.33
2025-03-11,68.39,4250091,68.24,69.0235,67.8
2025-03-10,68.53,4773489,69.48,69.97,68.18
2025-03-07,70.33,5207844,70.83,71.53,69.325
2025-03-06,71.8,5028690,72.06,73.1,71.4501
2025-03-05,72.85,4821945,71.33,73.195,70.95
2025-03-04,71.38,6279854,71.53,71.69,69.87
2025-03-03,71.39,3174021,72.16,72.99,71.15
2025-02-28,71.62,5955822,71.47,71.77,70.14
2025-02-27,71.4,2993185,71.66,72.64,71.375
2025-02-26,71.96,2316112,71.55,72.4,71.21
2025-02-25,71.45,6406855,72.94,73.12,70.55
2025-02-24,72.76,5725387,73.61,73.895,72.2067
2025-02-21,73.3,2843657,74.31,74.66,73.2
2025-02-20,74.71,2517569,74.4,75.21,74.25
2025-02-19,74.67,3023279,75.49,76.5,74.56
2025-02-18,75.67,4938322,75.86,76.666,75.56
2025-02-14,76.19,3899214,76.2,76.73,75.74
2025-02-13,76.0,4771399,76.34,76.71,74.85
2025-02-12,75.82,9353191,74.0,76.0,73.89
2025-02-11,70.91,3464627,70.73,71.05,70.32
2025-02-10,71.1,2743460,70.63,71.31,70.0965
2025-02-07,70.35,3695667,71.19,71.68,70.32
2025-02-06,70.99,4179122,71.78,71.9,70.715
2025-02-05,72.1,3772799,72.0,72.365,71.45
2025-02-04,71.33,3852498,70.85,71.43,70.65
2025-02-03,71.38,3410708,71.53,72.36,71.25
2025-01-31,72.45,3238447,73.33,73.47,72.39
2025-01-30,73.22,4946293,73.11,73.88,72.63
2025-01-29,71.13,4669933,72.5,72.99,71.11
2025-01-28,72.56,7623873,69.48,72.74,69.0
2025-01-27,69.2,5171158,68.79,69.42,68.42
2025-01-24,68.99,5528234,68.64,69.64,68.4
2025-01-23,68.93,5220958,69.05,69.4,68.34
2025-01-22,69.04,6023584,69.44,70.24,68.23
2025-01-21,69.97,4786286,70.2,70.675,69.2
2025-01-17,69.78,5031238,69.96,70.28,69.0997
2025-01-16,69.86,5723576,68.95,70.0,68.235
2025-01-15,70.28,3519496,71.43,72.095,70.195
2025-01-14,71.04,3228813,71.34,71.715,70.54
2025-01-13,71.09,5366680,70.54,72.34,69.7786
2025-01-10,73.42,3473379,73.43,74.1,72.89
2025-01-08,74.15,3447118,73.62,74.74,73.33
2025-01-07,73.64,3093941,73.73,74.44,73.41
2025-01-06,73.54,4102477,74.0,74.33,73.18
2025-01-03,73.91,3997406,72.81,74.0,72.15
2025-01-02,72.59,5547884,74.31,74.5,71.97
2024-12-31,74.03,2722136,74.66,75.36,73.82
2024-12-30,74.24,2414104,74.67,75.35,74.0768
2024-12-27,75.65,6102806,75.29,76.23,75.11
2024-12-26,75.92,3146818,75.0,75.95,74.9218
2024-12-24,75.38,1687362,74.93,75.38,74.43
2024-12-23,74.81,4228782,74.46,74.9,73.435
2024-12-20,74.81,14210480,73.3,75.27,72.97
2024-12-19,73.93,8719293,72.9,74.0,72.29
2024-12-18,72.81,7721021,73.85,74.31,72.61
2024-12-17,74.12,7070144,73.5,74.38,73.4
2024-12-16,73.91,5992937,74.13,74.575,72.91
2024-12-13,73.32,3092539,73.91,74.28,72.49
