date,close,volume,open,high,low
2025-03-13,309.68,1811975,316.09,317.25,304.77
2025-03-12,316.49,1685867,322.99,324.8,315.67
2025-03-11,319.42,2033138,333.7,333.94,317.71
2025-03-10,333.77,1956892,337.57,342.605,330.7228
2025-03-07,344.36,1717700,347.13,347.74,332.76
2025-03-06,347.94,1783239,348.68,363.88,345.0
2025-03-05,349.53,1355469,344.13,350.795,340.84
2025-03-04,345.29,2120866,342.62,349.5599,330.3
2025-03-03,347.81,1696832,365.8,367.01,345.52
2025-02-28,365.61,1194152,358.68,366.54,358.0
2025-02-27,362.16,1438707,364.64,371.7522,359.305
2025-02-26,366.03,1242150,366.33,372.66,363.0781
2025-02-25,366.72,1365479,366.41,370.25,359.19
2025-02-24,368.22,2001716,364.0,372.41,360.0
2025-02-21,358.97,1400582,366.0,366.99,354.29
2025-02-20,365.82,1463217,367.21,369.5293,359.1
2025-02-19,367.22,1423416,370.11,374.41,362.87
2025-02-18,372.44,2250957,365.68,372.94,354.05
2025-02-14,366.68,3310326,393.52,393.54,365.62
2025-02-13,390.85,1529602,400.01,400.01,390.025
2025-02-12,395.16,1169522,392.945,399.78,390.3
2025-02-11,397.63,866275,398.17,403.21,397.1339
2025-02-10,399.71,1341692,398.1,401.07,387.28
2025-02-07,398.1,1487987,414.14,414.14,396.735
2025-02-06,411.83,1236545,416.25,417.115,407.74
2025-02-05,412.8,1186709,415.98,417.0,411.0674
2025-02-04,415.9,1088367,409.24,417.91,408.43
2025-02-03,410.29,1752573,404.5,413.1399,399.4804
2025-01-31,414.2,1297961,419.11,422.87,412.0
2025-01-30,421.16,1519732,415.0,423.32,413.51
2025-01-29,411.16,976799,410.38,413.55,407.6
2025-01-28,409.42,1660797,404.39,416.0,403.235
2025-01-27,402.9,2337863,395.48,408.1215,394.5
2025-01-24,400.03,1969629,390.12,400.79,385.73
2025-01-23,387.85,1445175,383.45,389.5,379.31
2025-01-22,382.82,1838456,371.99,383.38,370.0
2025-01-21,372.81,2115492,375.94,377.73,367.2001
2025-01-17,373.7,1344060,378.265,378.53,373.04
2025-01-16,370.99,1805301,377.67,377.855,367.15
2025-01-15,376.66,2195750,391.54,393.35,374.4
2025-01-14,388.74,2531450,400.0,401.9499,384.06
2025-01-13,398.86,2086783,401.92,404.75,389.484
2025-01-10,395.47,1322082,391.76,397.35,388.671
2025-01-08,392.92,973724,390.0,393.22,386.18
2025-01-07,393.46,1845211,403.87,414.82,393.15
2025-01-06,395.31,1729661,381.42,396.59,381.42
2025-01-03,378.18,1032678,375.52,382.03,373.765
2025-01-02,372.31,1350690,381.5,385.28,371.48
2024-12-31,382.41,1027697,384.06,386.36,380.26
2024-12-30,384.05,1254672,380.03,389.19,377.54
2024-12-27,386.67,1075795,382.0,387.48,380.32
2024-12-26,385.82,1013024,384.86,389.86,384.0101
2024-12-24,385.69,496441,385.205,386.88,383.21
2024-12-23,383.49,1900052,379.9,388.4048,376.79
2024-12-20,379.42,3167304,367.99,384.1599,366.95
2024-12-19,373.54,2022030,375.0,377.5,368.66
2024-12-18,372.07,2096893,387.0,389.67,371.88
2024-12-17,390.59,1394566,386.11,391.49,382.0
2024-12-16,389.74,1494366,390.91,397.66,389.01
2024-12-13,391.63,1442506,387.01,392.6,385.0
2024-12-12,389.33,1572398,396.73,398.24,389.17
2024-12-11,399.75,1359486,399.47,405.16,398.08
2024-12-10,397.1,2263272,404.0,407.55,393.0
2024-12-09,404.79,3708250,398.68,420.21,396.45
2024-12-06,399.6,10951950,377.0,409.7,377.0
2024-12-05,344.81,4435434,345.48,351.38,340.69
2024-12-04,342.27,2036420,338.84,342.94,337.145
2024-12-03,340.66,1924772,333.56,341.42,329.74
2024-12-02,334.4,2330076,322.91,337.3,321.83
2024-11-29,320.66,839228,321.93,324.16,318.47
2024-11-27,319.52,1126435,319.82,322.8521,316.4123
2024-11-26,318.84,1209476,325.395,326.22,318.24
2024-11-25,326.72,2150293,319.46,328.71,318.8603
2024-11-22,317.11,1873197,315.14,327.67,315.14
2024-11-21,315.14,1521574,306.19,316.49,304.44
2024-11-20,308.31,1403984,298.74,309.17,298.67
2024-11-19,301.85,2090269,305.17,307.791,298.2
2024-11-18,309.53,1896867,322.0,322.43,307.89
2024-11-15,320.01,1264651,330.62,331.32,319.7595
2024-11-14,330.26,1579592,328.675,334.575,324.53
2024-11-13,328.3,2000971,323.71,334.35,321.74
2024-11-12,320.9,1159533,317.0,322.25,314.12
