date,close,volume,open,high,low
2025-03-13,227.69,1470168,231.68,231.68,226.04
2025-03-12,230.96,1893287,229.99,231.7536,225.53
2025-03-11,232.98,1499476,238.22,238.775,232.19
2025-03-10,239.1,1969783,241.05,246.65,237.715
2025-03-07,242.22,1221460,238.25,244.38,237.25
2025-03-06,238.2,1178741,237.91,239.645,235.67
2025-03-05,238.64,1497620,240.0,241.97,236.82
2025-03-04,238.51,1137949,242.86,243.815,238.42
2025-03-03,245.14,1112096,246.88,249.71,243.19
2025-02-28,245.75,1099241,244.16,246.11,241.38
2025-02-27,242.18,876896,241.65,244.495,240.19
2025-02-26,242.06,1142702,244.36,244.8,241.75
2025-02-25,245.1,2116686,244.89,247.325,241.98
2025-02-24,244.1,1209386,248.0,248.69,243.315
2025-02-21,247.76,1493699,248.72,248.97,243.91
2025-02-20,249.41,1208458,248.57,249.78,246.23
2025-02-19,249.05,2441016,256.93,258.105,248.01
2025-02-18,258.42,935886,256.4,258.58,254.25
2025-02-14,255.99,908982,257.95,259.9,255.51
2025-02-13,257.22,880367,253.7,258.27,252.645
2025-02-12,253.91,876546,251.15,256.43,251.15
2025-02-11,256.45,1036838,253.32,257.02,252.56
2025-02-10,253.43,1204236,250.51,254.33,250.02
2025-02-07,249.1,725429,251.22,252.39,248.18
2025-02-06,251.48,830875,253.89,253.89,250.13
2025-02-05,252.51,774775,253.64,254.0,252.02
2025-02-04,252.92,828859,250.49,253.88,249.97
2025-02-03,250.32,1338603,250.105,254.44,247.255
2025-01-31,255.3,1475155,257.16,260.24,255.25
2025-01-30,257.2,1415564,259.6,260.345,254.16
2025-01-29,256.74,2255091,264.74,270.005,256.13
2025-01-28,252.32,2207231,256.95,259.37,251.83
2025-01-27,259.76,1487560,256.0,261.24,253.1
2025-01-24,254.67,1385791,253.63,255.99,251.3
2025-01-23,256.14,1567393,256.16,257.78,252.3101
2025-01-22,251.85,1724214,250.7,253.78,249.13
2025-01-21,251.85,1513381,246.58,253.56,246.58
2025-01-17,245.34,1024024,248.0,248.0,244.8492
2025-01-16,247.11,1269858,240.21,247.8,239.4
2025-01-15,240.36,940808,242.87,243.16,238.97
2025-01-14,239.24,960523,238.5,239.85,237.39
2025-01-13,237.36,894621,233.88,238.0,233.245
2025-01-10,233.94,1022530,233.85,237.375,233.01
2025-01-08,236.91,850304,235.81,237.66,234.22
2025-01-07,237.76,760790,238.0,239.345,235.98
2025-01-06,236.96,1112341,237.5,240.4,236.08
2025-01-03,235.88,1001255,235.07,236.99,233.57
2025-01-02,234.6,1049131,237.5,237.5,232.87
2024-12-31,234.7,942476,234.17,236.44,233.8001
2024-12-30,233.49,643198,233.57,234.365,231.19
2024-12-27,235.25,526204,235.07,238.3188,233.73
2024-12-26,237.18,605656,236.64,238.03,236.38
2024-12-24,237.92,518693,236.02,237.92,234.1
2024-12-23,235.77,1409217,233.96,236.535,232.675
