date,close,volume,open,high,low
2025-03-13,129.2,3434129,128.31,129.64,128.0
2025-03-12,127.96,4702043,128.35,128.55,126.81
2025-03-11,128.11,4405170,128.69,129.05,127.1
2025-03-10,128.52,4916819,127.0,129.84,126.41
2025-03-07,128.4,6418493,127.0,128.9,126.26
2025-03-06,128.28,6258256,128.61,128.8647,125.96
2025-03-05,129.64,5774924,129.48,130.54,128.23
2025-03-04,128.7,7911240,133.52,134.725,128.49
2025-03-03,133.83,6215800,134.34,135.356,132.92
2025-02-28,132.99,7460961,131.29,133.09,130.615
2025-02-27,130.52,5758937,128.42,130.99,127.83
2025-02-26,127.31,3904462,127.52,128.33,126.835
2025-02-25,127.34,6008104,125.91,127.93,125.66
2025-02-24,125.43,4460973,125.0,126.225,124.625
2025-02-21,123.29,4846056,124.56,125.48,122.68
2025-02-20,125.11,3131993,124.76,125.31,123.1908
2025-02-19,125.41,5124631,124.41,126.61,124.1
2025-02-18,123.76,5386280,124.24,125.325,123.41
2025-02-14,122.41,7715889,125.45,125.45,121.38
2025-02-13,125.84,6580412,127.54,127.64,125.265
2025-02-12,126.78,5155318,127.81,128.605,126.44
2025-02-11,129.11,3320669,129.1,129.42,127.8
2025-02-10,128.25,5345158,128.07,128.5,126.9
2025-02-07,127.95,3827457,128.8,129.0,127.33
2025-02-06,128.78,3363639,129.06,129.745,127.53
2025-02-05,129.16,4881490,129.66,129.89,128.285
2025-02-04,128.37,4036842,129.54,130.46,128.02
2025-02-03,129.92,6067319,128.5,130.545,127.55
2025-01-31,128.95,5570633,129.14,129.93,127.51
2025-01-30,128.98,4343560,125.66,129.22,125.55
2025-01-29,125.13,5179013,127.4,129.76,125.01
2025-01-28,128.35,8451630,131.175,132.43,126.13
2025-01-27,125.05,6207816,126.62,127.99,124.38
2025-01-24,125.31,3483366,125.52,126.28,125.08
2025-01-23,126.29,5501596,125.76,127.0,124.7
2025-01-22,124.38,5103799,125.68,125.88,123.645
2025-01-21,125.75,6071066,122.73,125.805,122.5
2025-01-17,121.11,4368575,120.6,121.35,119.86
2025-01-16,120.46,3897153,119.35,120.51,119.1
2025-01-15,119.09,4279973,120.15,120.37,118.17
2025-01-14,119.47,3804908,118.76,119.52,118.18
2025-01-13,117.74,5414874,114.58,117.93,114.58
2025-01-10,115.11,4287362,115.84,116.53,114.81
2025-01-08,115.92,4294465,114.93,116.2,114.41
2025-01-07,114.8,3588513,114.1,115.28,113.925
2025-01-06,114.1,3832296,116.28,116.28,113.73
2025-01-03,115.87,2902721,116.3,116.67,115.83
2025-01-02,116.01,3207521,116.97,117.45,115.5371
2024-12-31,115.72,2445270,115.57,116.0999,114.905
2024-12-30,115.22,2822191,115.44,115.9182,114.5252
2024-12-27,116.71,3847470,116.27,117.53,115.8374
2024-12-26,117.04,2147102,116.77,117.62,116.39
2024-12-24,116.83,1663027,115.95,116.96,115.88
2024-12-23,116.63,3589080,116.19,116.89,115.79
2024-12-20,116.48,13389430,114.94,116.78,114.595
2024-12-19,115.46,5446927,115.7,117.25,115.25
2024-12-18,114.45,4113615,116.86,117.45,114.37
2024-12-17,117.42,3012393,117.69,118.13,117.001
2024-12-16,118.11,3986443,117.43,118.3493,116.8
2024-12-13,117.75,5061628,116.26,117.93,115.97
2024-12-12,116.05,3848629,116.94,117.25,115.62
2024-12-11,116.94,4298311,117.84,117.98,116.3
2024-12-10,117.61,3725524,116.6,118.22,116.0
2024-12-09,116.58,7255401,117.35,117.85,114.22
2024-12-06,117.99,4792353,118.02,118.35,117.4
2024-12-05,118.52,3328836,118.8,119.005,117.69
2024-12-04,119.23,3774623,117.76,119.37,117.5
2024-12-03,118.1,3620258,119.02,119.45,117.89
2024-12-02,118.68,4468706,121.83,121.99,118.535
2024-11-29,121.83,2728552,120.68,121.87,120.655
2024-11-27,120.34,3604221,121.04,121.75,120.325
2024-11-26,120.61,3176003,118.87,121.04,118.5904
2024-11-25,118.65,8322352,120.36,121.0,118.02
2024-11-22,120.77,3585477,120.72,121.88,120.5
2024-11-21,120.53,4848286,119.6,120.88,118.86
2024-11-20,119.15,3990801,118.85,119.28,117.67
2024-11-19,118.96,4654074,121.24,121.35,118.5
2024-11-18,119.39,4462475,118.37,119.72,118.37
2024-11-15,118.53,6970495,118.15,118.85,117.13
2024-11-14,118.92,6113203,123.2,123.5,117.56
2024-11-13,123.75,2802784,123.38,123.95,122.96
2024-11-12,123.37,3896236,124.89,125.2799,122.295
2024-11-11,124.56,4012288,124.075,125.54,124.02
2024-11-08,123.55,6382044,120.95,124.22,120.9
2024-11-07,120.08,4415193,122.0,122.25,119.96
2024-11-06,121.59,9631913,122.55,122.8567,120.26
2024-11-05,118.98,8093630,118.49,119.1,117.7
2024-11-04,118.0,6856069,119.07,119.63,117.83
2024-11-01,118.75,5235060,121.5,121.62,118.74
2024-10-31,120.99,4112743,121.3,122.0899,120.5757
