date,close,volume,open,high,low
2025-03-13,508.9,1574672,512.0,516.48,508.35
2025-03-12,512.65,1412344,516.69,520.69,511.81
2025-03-11,514.2,1864178,525.18,526.76,509.405
2025-03-10,526.8,2174159,526.28,536.21,525.35
2025-03-07,531.71,1799004,524.72,532.98,519.305
2025-03-06,527.64,1852932,523.44,534.01,521.34
2025-03-05,524.19,1685156,512.88,524.91,512.16
2025-03-04,516.57,2720158,523.02,524.85,512.46
2025-03-03,523.64,2330311,530.92,532.475,519.63
2025-02-28,528.96,2229660,528.26,530.05,520.58
2025-02-27,523.23,1539369,530.1,533.02,519.13
2025-02-26,533.29,1330562,541.73,543.845,530.95
2025-02-25,539.55,1888986,534.79,541.25,532.31
2025-02-24,535.55,1375430,531.81,543.62,531.81
2025-02-21,532.55,1613867,538.36,542.62,532.0
2025-02-20,537.83,1967915,533.78,543.38,533.59
2025-02-19,530.86,1965219,521.22,532.6,520.0
2025-02-18,523.09,2969932,531.66,533.05,521.05
2025-02-14,531.85,1517273,535.1,537.455,531.309
2025-02-13,532.64,1915355,540.0,540.18,531.205
2025-02-12,538.0,2062481,539.09,541.98,532.2
2025-02-11,545.23,2234526,550.49,553.94,541.98
2025-02-10,552.86,2972012,560.1,563.36,544.01
2025-02-07,571.47,1826948,574.78,577.48,566.45
2025-02-06,572.71,2034089,581.94,584.07,568.37
2025-02-05,582.38,1348853,589.62,590.09,577.9
2025-02-04,580.57,2097371,585.59,591.8571,576.85
2025-02-03,593.75,2135677,593.13,600.405,589.36
2025-01-31,597.75,2165825,599.87,605.05,597.0
2025-01-30,606.74,3349850,590.6,610.97,590.0
2025-01-29,568.23,2884711,574.95,577.03,566.7
2025-01-28,584.29,2156803,595.9,597.0,579.005
2025-01-27,583.64,1727906,579.66,584.09,573.13
2025-01-24,574.82,1156526,573.385,577.57,571.8
2025-01-23,574.85,1246262,575.95,576.655,562.6505
2025-01-22,574.59,1702544,570.68,579.57,570.0
2025-01-21,573.06,2311529,564.1,576.37,562.56
2025-01-17,559.65,2140069,562.46,565.0,559.11
2025-01-16,561.71,1835537,551.12,561.81,546.42
2025-01-15,551.47,3251325,557.88,563.81,544.06
2025-01-14,556.99,2207392,557.5,561.3999,551.38
2025-01-13,555.52,2269943,544.18,562.32,541.67
2025-01-10,542.31,2920058,541.76,557.16,541.31
2025-01-08,544.93,1837771,544.38,547.78,538.25
2025-01-07,545.65,1839339,539.52,551.39,538.28
2025-01-06,537.19,1981838,529.89,545.32,528.51
2025-01-03,532.02,1515347,524.32,536.79,522.74
2025-01-02,522.57,1817498,519.17,526.1,518.09
2024-12-31,520.23,1262858,520.32,524.735,517.16
2024-12-30,518.84,1035557,522.69,522.93,515.77
2024-12-27,526.07,943215,524.0,528.2787,523.0
2024-12-26,527.18,777720,524.6,527.33,523.695
2024-12-24,528.98,488699,523.25,528.98,522.3
2024-12-23,525.29,1558114,520.18,526.2399,519.59
2024-12-20,524.05,2758854,516.69,526.43,515.0
2024-12-19,516.69,2237163,518.72,522.4291,508.8553
2024-12-18,516.18,1774329,528.0,533.34,515.9
2024-12-17,528.84,2544835,526.01,535.94,526.01
2024-12-16,530.26,2595619,527.34,534.73,526.72
2024-12-13,526.89,1553525,523.65,528.09,517.15
2024-12-12,525.0,2539196,531.33,531.8899,524.05
2024-12-11,534.36,1389224,535.0,540.03,533.64
2024-12-10,535.85,1937999,539.53,542.4019,534.53
2024-12-09,537.23,2106677,529.69,538.09,526.64
2024-12-06,529.36,1869732,523.0,531.32,522.0
2024-12-05,520.86,2665270,527.21,527.41,517.6778
2024-12-04,528.87,2579756,532.55,536.53,524.84
2024-12-03,534.42,2665203,530.25,535.98,527.94
2024-12-02,529.95,2558569,528.7,534.84,526.6
2024-11-29,529.63,2108339,523.13,533.165,523.0
2024-11-27,521.66,2914199,515.41,528.86,514.975
2024-11-26,512.98,1748538,514.2,514.2,507.27
2024-11-25,514.2,3063549,512.3,516.34,509.36
2024-11-22,513.26,1833539,514.62,517.0,507.17
2024-11-21,516.1,1956777,514.12,516.22,507.46
2024-11-20,512.84,1534010,507.08,513.85,502.73
2024-11-19,509.12,3658663,496.19,511.3,493.3
2024-11-18,501.29,3164274,511.0,512.77,498.61
2024-11-15,513.08,3953117,529.4,529.4,511.7
2024-11-14,533.02,1765190,539.9,542.38,531.69
2024-11-13,541.9,1212172,540.0,544.8,538.0
2024-11-12,540.75,1724079,549.16,550.16,540.05
2024-11-11,546.92,1565850,549.08,553.93,545.07
2024-11-08,551.74,1620732,557.23,558.55,549.0
2024-11-07,555.89,1304090,565.0,565.88,554.1973
2024-11-06,559.68,1423148,570.2,570.2,549.2
2024-11-05,560.79,998699,550.41,561.78,550.24
2024-11-04,555.47,815123,556.68,559.5585,550.15
2024-11-01,557.92,1459815,550.0,564.87,547.29
2024-10-31,546.32,1472599,548.56,552.085,544.49
2024-10-30,550.62,1452184,547.5,554.7419,546.75
2024-10-29,547.77,1638339,550.96,553.61,547.25
2024-10-28,552.54,1116741,559.25,559.37,550.45
2024-10-25,554.38,1090373,560.16,562.22,553.3058
2024-10-24,557.38,1757565,572.36,574.83,557.26
2024-10-23,576.49,2058331,574.58,578.69,566.08
2024-10-22,586.38,1619551,587.49,591.2,584.16
2024-10-21,595.37,914622,597.89,600.58,591.8205
2024-10-18,601.71,1081607,600.03,604.39,595.56
2024-10-17,599.25,1946149,604.34,608.39,596.87
2024-10-16,591.55,1369297,590.27,596.8,587.27
2024-10-15,600.52,1290564,605.0,610.56,599.375
2024-10-14,603.79,1006424,600.79,604.54,595.2327
2024-10-11,596.92,2138162,595.64,602.41,594.31
2024-10-10,593.79,1221166,597.17,597.17,589.87
2024-10-09,599.25,890916,594.11,600.065,593.11
2024-10-08,595.45,883538,599.05,602.3,594.705
2024-10-07,598.85,1165872,592.32,599.295,592.32
2024-10-04,598.61,871514,602.63,603.99,596.53
2024-10-03,600.92,1258287,609.86,611.49,599.35
2024-10-02,612.72,665365,610.0,616.57,605.33
2024-10-01,612.94,1169248,620.0,620.0,610.5701
2024-09-30,618.57,1041296,612.49,619.02,609.0301
2024-09-27,614.42,871044,619.39,623.765,614.04
2024-09-26,619.33,1312919,604.56,620.54,604.56
2024-09-25,599.78,1282532,613.87,613.905,596.0
2024-09-24,611.88,1361146,611.21,613.96,607.815
2024-09-23,610.35,883226,615.64,616.41,607.8
2024-09-20,613.69,1983068,619.04,619.04,608.2
2024-09-19,620.25,1474247,617.61,623.75,611.81
2024-09-18,610.12,1092625,609.14,614.92,601.86
2024-09-17,610.49,1333012,613.18,616.58,607.0
2024-09-16,614.15,1198221,615.59,616.48,607.26
2024-09-13,611.17,1125097,614.84,617.04,607.8107
2024-09-12,614.16,1397629,615.71,619.31,604.18
2024-09-11,618.46,1324098,622.08,623.0,608.855
2024-09-10,624.21,1302892,620.62,627.88,618.25
2024-09-09,620.42,1443321,614.51,622.26,614.1
2024-09-06,611.33,1868789,607.49,619.7,607.49
2024-09-05,606.88,1467659,611.04,614.17,601.26
2024-09-04,611.9,1005979,605.66,612.67,604.23
2024-09-03,606.43,1282258,611.47,615.03,603.645
2024-08-30,615.07,1058979,616.11,618.0,605.0
2024-08-29,611.68,722498,614.43,616.55,609.66
2024-08-28,613.14,790456,610.25,618.0,609.21
2024-08-27,610.4,737395,605.6,610.98,602.0
2024-08-26,605.59,519485,606.0,606.9099,602.25
2024-08-23,606.12,777265,606.77,607.7,600.56
2024-08-22,603.86,1138403,613.17,613.7,602.0
2024-08-21,610.17,965573,615.0,618.12,609.0
2024-08-20,614.54,1075495,609.92,614.8,608.33
2024-08-19,607.6,959411,604.19,610.88,603.95
2024-08-16,603.98,1076197,601.79,606.58,599.59
2024-08-15,603.69,1241073,605.52,608.62,599.98
2024-08-14,602.1,1128139,602.09,603.47,595.8
2024-08-13,604.21,1042544,599.98,605.57,599.458
2024-08-12,599.07,1164022,596.26,599.53,591.59
2024-08-09,596.18,963806,600.0,601.35,593.875
2024-08-08,600.04,1116715,589.74,601.14,587.5
2024-08-07,587.37,1692238,600.97,601.78,585.68
2024-08-06,602.02,1316881,600.26,612.88,596.6074
2024-08-05,598.03,2117077,607.54,611.37,592.81
2024-08-02,615.69,1564731,621.95,622.0,605.47
2024-08-01,621.77,1458185,616.4,622.3,612.87
2024-07-31,613.34,1702277,614.23,620.63,609.295
2024-07-30,615.06,1627170,609.81,615.737,602.85
2024-07-29,604.12,1621893,604.25,607.81,595.2
2024-07-26,607.14,2715365,600.85,614.65,599.3
2024-07-25,594.5,3625187,576.14,603.82,572.13
2024-07-24,574.73,2857263,552.92,575.25,552.65
2024-07-23,552.24,2005647,570.97,572.24,550.67
2024-07-22,546.42,1163691,540.67,547.12,535.98
2024-07-19,534.35,1667269,541.15,542.23,531.475
2024-07-18,540.62,1744967,551.69,557.16,537.77
2024-07-17,555.06,1131158,553.0,559.96,550.85
2024-07-16,555.42,1122114,549.24,555.775,547.72
2024-07-15,544.68,1326049,546.59,549.68,542.99
2024-07-12,548.09,945210,542.69,551.66,540.855
2024-07-11,542.69,1403938,539.76,548.63,537.87
2024-07-10,536.87,1976237,533.25,537.0,528.82
2024-07-09,531.86,1567536,538.09,538.33,528.37
2024-07-08,536.29,1140129,541.45,543.02,535.43
2024-07-05,540.1,1233257,538.65,540.165,533.85
2024-07-03,535.61,908266,533.0,539.81,532.435
2024-07-02,533.93,1316367,539.31,541.59,533.46
2024-07-01,541.72,1459439,553.45,557.5655,539.4
2024-06-28,553.0,6150885,552.93,558.27,545.63
2024-06-27,550.78,1506859,556.72,558.26,549.23
2024-06-26,558.17,1091353,556.8,561.38,554.84
2024-06-25,556.52,1943699,564.84,568.34,556.19
2024-06-24,565.95,1557605,565.61,571.51,562.32
2024-06-21,564.6,3198558,558.71,568.59,558.105
2024-06-20,557.21,3071545,560.85,560.85,551.71
2024-06-18,569.17,1398080,569.56,572.04,564.62
2024-06-17,568.0,1318499,566.45,569.305,563.745
2024-06-14,572.05,1413701,572.86,573.1,566.74
2024-06-13,572.63,1304701,573.36,574.63,565.001
2024-06-12,575.69,1397925,579.26,581.97,574.6
2024-06-11,575.89,1407737,578.95,580.0,573.91
2024-06-10,581.48,1540561,580.0,582.28,575.86
2024-06-07,581.09,1231957,579.51,585.95,577.085
2024-06-06,579.84,1153843,575.29,581.665,571.94
2024-06-05,575.28,896124,569.85,575.58,566.72
2024-06-04,569.67,994975,570.79,573.7529,565.24
2024-06-03,569.58,943688,569.39,573.63,563.005
2024-05-31,567.98,2106711,564.59,568.58,560.4
2024-05-30,562.76,2431317,551.53,563.97,550.33
2024-05-29,567.3,1324775,570.11,570.11,563.67
2024-05-28,572.57,1435576,581.67,581.97,569.17
2024-05-24,584.05,883271,586.0,587.955,581.345
2024-05-23,585.03,1184975,590.0,592.0,584.16
2024-05-22,590.8,872991,589.67,596.63,587.62
2024-05-21,590.12,1133164,594.0,594.0,585.32
2024-05-20,594.01,805710,593.63,597.235,592.75
2024-05-17,595.3,1398449,596.95,597.1,589.36
2024-05-16,597.15,1409375,598.25,600.09,593.28
2024-05-15,599.02,1188732,600.0,602.0,595.03
2024-05-14,594.8,1040938,591.16,597.18,586.65
2024-05-13,590.7,944626,591.27,594.525,588.95
2024-05-10,593.03,1328832,580.17,594.025,578.81
2024-05-09,577.93,1513316,574.23,579.065,572.5
2024-05-08,573.64,1598138,572.71,575.345,567.71
2024-05-07,572.87,1890726,571.5,576.59,565.34
2024-05-06,573.55,1140684,575.41,576.385,570.345
2024-05-03,572.38,1749670,579.84,579.84,571.63
2024-05-02,571.25,1357370,579.48,579.795,565.49
2024-05-01,574.99,1171977,569.86,581.9,568.4
2024-04-30,568.72,1515137,574.7,576.46,567.97
2024-04-29,576.89,962351,575.09,579.49,571.3
2024-04-26,573.6,1438184,567.94,575.0,566.95
2024-04-25,571.73,1184004,577.4,577.99,569.98
2024-04-24,577.39,2035044,578.0,586.4623,565.23
2024-04-23,574.59,2543991,567.51,576.89,560.0
2024-04-22,548.38,1522884,549.15,552.86,543.15
2024-04-19,544.78,1738509,542.95,546.14,539.17
2024-04-18,541.52,2075785,534.8,544.87,529.64
2024-04-17,547.25,1610057,555.86,556.0,546.45
2024-04-16,554.55,1010299,559.04,559.04,552.685
2024-04-15,557.87,1031658,570.72,570.72,554.51
2024-04-12,565.23,1201602,570.91,573.385,561.64
2024-04-11,574.57,1295511,579.56,580.355,571.36
2024-04-10,573.71,1282843,577.29,579.675,571.89
2024-04-09,589.2,1026320,583.78,589.93,583.23
2024-04-08,578.8,998949,579.35,582.41,575.71
2024-04-05,579.46,1181253,570.22,583.84,569.06
2024-04-04,570.61,1231899,580.41,582.0,568.57
2024-04-03,576.0,1151569,571.23,578.25,569.19
2024-04-02,571.56,1381269,570.75,572.39,565.78
2024-04-01,577.45,837591,581.05,581.53,572.84
2024-03-28,581.21,1081545,579.3,582.295,576.19
2024-03-27,579.37,1525832,572.52,579.77,571.08
2024-03-26,568.82,1784927,574.01,574.985,567.84
2024-03-25,573.56,1226909,583.21,585.03,571.09
2024-03-22,583.09,1061222,586.82,588.99,579.74
2024-03-21,584.13,1230529,580.0,587.08,577.6
2024-03-20,580.05,728710,581.05,581.63,576.29
2024-03-19,582.72,1053626,581.28,584.25,577.2
2024-03-18,580.05,1554424,585.86,586.845,578.3
2024-03-15,584.15,1920147,575.17,584.65,573.73
2024-03-14,584.91,1757994,590.98,595.1,581.25
2024-03-13,593.32,1035189,599.03,599.03,591.045
2024-03-12,597.25,1146315,598.9,600.62,594.69
2024-03-11,599.43,1380447,594.18,599.99,589.64
2024-03-08,597.61,1600305,597.0,603.82,595.96
2024-03-07,597.66,1819492,595.0,598.905,592.5
2024-03-06,591.5,1886807,588.35,598.35,585.81
2024-03-05,584.61,1973288,581.13,586.15,580.0
2024-03-04,581.64,1547722,575.4,582.54,571.521
2024-03-01,576.33,1440176,564.56,578.5,563.0
2024-02-29,570.18,1794277,574.65,575.0,567.55
2024-02-28,572.03,1021434,565.2,573.01,565.02
2024-02-27,566.17,901044,564.98,567.82,560.84
2024-02-26,563.48,758574,563.34,565.99,561.01
2024-02-23,564.71,970071,562.87,566.68,560.86
2024-02-22,560.49,1139590,555.0,560.74,550.27
2024-02-21,552.85,786478,546.11,552.97,544.29
2024-02-20,548.14,989294,544.86,550.41,542.35
2024-02-16,547.84,1028206,546.32,552.69,546.32
2024-02-15,548.57,1519047,547.26,553.225,545.28
2024-02-14,548.27,1296996,541.64,548.69,541.64
2024-02-13,538.6,1268029,541.42,546.19,534.41
2024-02-12,546.86,1073036,551.0,551.0,544.11
2024-02-09,550.75,1280838,549.65,554.13,548.29
2024-02-08,550.89,1549469,552.2,552.86,541.46
2024-02-07,552.31,1451424,562.0,566.0,552.03
2024-02-06,560.28,1328171,552.49,560.5,551.45
2024-02-05,551.62,1473858,549.46,556.975,546.67
2024-02-02,551.82,1327462,549.02,554.45,541.885
2024-02-01,552.23,2163879,542.14,553.92,534.24
2024-01-31,538.98,3589573,563.3,566.0,537.78
2024-01-30,567.12,2301337,559.5,570.0,559.5
2024-01-29,557.77,2445913,550.0,559.19,547.36
2024-01-26,547.33,3172314,554.0,556.41,546.65
2024-01-25,538.21,1748147,543.23,547.7768,537.64
2024-01-24,539.99,1842524,549.85,551.99,539.14
2024-01-23,550.74,1116609,556.2,557.03,545.37
2024-01-22,553.39,1818531,552.88,558.69,550.53
2024-01-19,551.75,2123960,545.16,553.275,541.84
2024-01-18,544.42,1728161,537.35,547.03,535.99
2024-01-17,539.25,1966276,538.75,545.9506,536.84
2024-01-16,542.0,1838961,543.51,550.84,541.185
2024-01-12,544.32,2013148,548.51,553.08,542.79
2024-01-11,546.0,1983133,543.53,548.54,540.41
2024-01-10,543.93,2026699,540.79,549.36,533.88
2024-01-09,541.85,2889967,538.52,559.23,536.6467
2024-01-08,541.38,2126866,529.63,543.56,527.4
2024-01-05,531.23,1817209,533.97,540.77,530.47
2024-01-04,537.36,1831255,527.32,539.84,527.32
2024-01-03,528.82,2170268,542.81,543.67,527.97
2024-01-02,544.15,2310861,529.56,546.1,527.37
2023-12-29,530.79,804285,531.21,533.97,529.52
2023-12-28,532.94,763369,533.0,536.0,531.5
2023-12-27,531.65,805991,530.81,533.07,529.295
2023-12-26,529.7,639110,526.88,531.24,525.7808
2023-12-22,529.05,1081485,528.09,532.92,526.8988
2023-12-21,526.56,1016630,518.07,527.03,518.07
2023-12-20,519.43,1497316,528.0,532.49,519.37
2023-12-19,528.14,2569382,521.01,528.8572,519.81
2023-12-18,518.62,1607374,521.13,523.86,515.6
2023-12-15,518.03,4354941,520.77,523.48,517.72
2023-12-14,521.52,2763855,529.54,534.43,520.13
2023-12-13,518.54,2776711,498.59,518.87,496.88
2023-12-12,497.37,1420265,496.33,498.51,491.47
2023-12-11,494.99,2030858,492.56,497.4525,491.33
2023-12-08,489.77,1871843,492.81,495.68,488.02
2023-12-07,494.1,2101760,494.53,498.2957,492.31
2023-12-06,493.81,1241717,495.0,496.68,491.65
2023-12-05,491.6,1613574,492.97,493.63,487.06
2023-12-04,495.34,1222282,493.47,498.31,490.362
2023-12-01,496.13,1219795,490.88,499.2,489.6
2023-11-30,495.76,1913969,495.9,497.5,489.38
2023-11-29,492.92,1195835,489.89,495.8,489.89
2023-11-28,485.92,1549615,488.42,488.75,480.57
2023-11-27,490.13,2427137,489.22,493.42,488.15
2023-11-24,490.78,722765,488.5,491.029,486.81
2023-11-22,487.53,1464197,486.08,490.57,485.71
2023-11-21,482.39,2915929,478.28,490.315,476.45
2023-11-20,469.03,1185500,467.03,471.68,465.8996
2023-11-17,466.42,1556348,475.0,475.0,464.17
2023-11-16,472.47,1613376,472.06,474.7,468.71
2023-11-15,470.54,2184150,464.66,474.83,463.99
2023-11-14,459.26,1822439,456.81,462.24,455.22
2023-11-13,445.15,1675026,445.53,446.81,439.11
2023-11-10,448.43,1896503,443.82,449.16,437.26
2023-11-09,444.27,2042364,458.54,458.84,443.06
2023-11-08,454.31,1848087,461.51,464.01,453.08
2023-11-07,459.24,1708717,453.88,463.85,452.11
2023-11-06,455.02,1613790,456.7,459.475,452.25
2023-11-03,454.74,1921821,454.69,460.57,451.6
2023-11-02,447.57,1713889,444.84,448.14,441.93
2023-11-01,441.11,2275452,445.13,445.13,434.0
2023-10-31,444.77,2895407,436.49,446.6,433.15
2023-10-30,434.11,2946678,432.18,435.35,420.21
2023-10-27,431.41,2495581,439.57,439.955,427.37
2023-10-26,440.16,2971270,431.13,445.33,429.175
2023-10-25,433.18,7906724,423.0,438.844,415.6
2023-10-24,458.26,2376743,451.93,458.85,447.14
2023-10-23,461.81,1897513,461.75,469.47,459.98
2023-10-20,464.36,1599333,469.51,471.2,463.25
2023-10-19,469.67,2014566,472.3,476.7,467.43
2023-10-18,467.26,2134778,480.98,480.98,466.87
2023-10-17,484.77,1355251,479.0,489.96,477.7
2023-10-16,488.54,1247706,482.85,492.05,480.28
2023-10-13,482.85,2004342,479.63,484.2675,476.0
2023-10-12,482.56,2026200,491.84,495.855,470.61
2023-10-11,492.63,1207083,497.22,498.63,491.79
2023-10-10,496.15,1304863,495.59,499.535,492.93
2023-10-09,496.13,1182473,495.0,497.66,490.3898
2023-10-06,498.55,1108436,495.82,502.16,493.07
2023-10-05,498.02,917531,497.39,500.44,492.7
2023-10-04,502.45,1022088,501.21,503.1937,495.835
2023-10-03,499.61,1559463,492.9,502.5,492.6
2023-10-02,495.79,1652154,503.08,506.99,490.68
2023-09-29,506.17,1380512,509.21,510.99,504.77
2023-09-28,503.02,1443330,502.05,507.4005,500.34
2023-09-27,498.29,1343945,502.62,504.5725,494.92
2023-09-26,501.59,1189979,503.0,506.44,500.84
2023-09-25,505.66,961531,501.23,506.04,500.36
2023-09-22,502.79,1197981,502.9,507.16,501.57
2023-09-21,501.59,1606924,502.43,503.805,499.56
2023-09-20,504.89,1271290,511.37,511.92,504.16
2023-09-19,508.74,1181120,505.22,509.41,503.31
2023-09-18,507.73,1300115,515.51,515.51,507.301
2023-09-15,515.53,5179741,515.64,534.19,509.305
2023-09-14,515.64,1598277,515.13,518.22,506.535
2023-09-13,510.9,2359119,499.19,526.32,498.01
2023-09-12,510.99,1568002,515.0,515.0,509.3636
2023-09-11,514.94,1556082,515.41,517.62,512.8436
2023-09-08,518.27,1834895,530.0,532.66,512.78
2023-09-07,531.66,1079215,535.24,538.73,530.675
2023-09-06,536.7,1217931,540.92,545.44,536.0
2023-09-05,542.01,1405059,559.28,559.69,541.695
2023-09-01,557.22,1015534,563.45,565.86,556.82
2023-08-31,557.1,1192123,560.4,563.69,556.95
2023-08-30,559.0,773492,557.77,562.94,554.74
2023-08-29,555.41,1291437,546.24,557.465,544.957
2023-08-28,545.19,642693,544.32,546.63,540.53
2023-08-25,541.59,749931,538.79,544.05,535.96
2023-08-24,538.01,1326207,545.2,549.62,537.92
2023-08-23,545.24,1769169,541.31,547.645,538.18
2023-08-22,527.05,960669,531.0,533.3,526.35
2023-08-21,532.26,903824,536.56,536.56,530.35
2023-08-18,532.38,1093699,533.14,535.875,528.14
2023-08-17,535.96,1256993,530.85,538.24,529.86
2023-08-16,528.87,980750,530.09,531.14,526.75
2023-08-15,534.43,894726,535.82,538.9721,532.14
2023-08-14,540.34,1068415,540.75,542.3,538.3458
2023-08-11,543.78,925104,543.0,547.29,540.89
2023-08-10,547.28,1168400,550.37,556.77,545.5901
2023-08-09,547.58,947071,554.77,556.39,547.37
2023-08-08,555.78,1002115,553.17,556.9,545.6138
2023-08-07,551.79,737336,550.0,554.5,546.86
2023-08-04,548.64,1102278,547.51,554.99,546.77
2023-08-03,548.38,1103160,550.29,552.7114,545.31
2023-08-02,553.76,1398777,543.9,555.89,542.61
2023-08-01,545.84,1517491,546.53,550.7,542.66
2023-07-31,548.66,2144919,557.42,557.685,546.42
2023-07-28,561.85,1642886,562.41,565.69,553.765
2023-07-27,560.02,2260868,575.4,577.4,559.375
2023-07-26,574.41,3559345,554.96,575.0,554.96
2023-07-25,570.91,3073887,555.475,580.09,554.3
2023-07-24,571.52,3196802,560.0,572.56,559.115
2023-07-21,562.19,2755764,538.66,564.72,530.89
2023-07-20,538.27,1147498,537.33,541.59,530.46
2023-07-19,535.55,1715511,526.99,539.42,526.95
2023-07-18,523.68,1461202,525.53,525.79,519.72
2023-07-17,525.26,1290810,526.32,527.13,519.26
2023-07-14,529.36,953034,529.67,531.925,525.31
2023-07-13,526.65,1364357,535.0,536.45,524.025
2023-07-12,525.92,1678435,525.71,529.53,523.99
2023-07-11,519.26,1310932,516.3,520.13,515.27
2023-07-10,516.85,1026605,512.49,518.92,511.19
2023-07-07,513.73,1020679,515.0,519.46,513.31
2023-07-06,517.32,1506434,514.79,519.07,509.02
2023-07-05,520.6,1432832,520.23,523.56,518.14
2023-07-03,519.11,616164,519.34,521.26,515.36
2023-06-30,521.75,1315484,516.48,523.61,515.94
2023-06-29,514.39,999222,510.0,515.145,506.08
2023-06-28,510.15,1395252,511.4,511.41,506.65
2023-06-27,509.62,2036170,520.34,522.31,503.31
2023-06-26,522.03,956913,523.02,526.18,515.88
2023-06-23,524.21,3779928,523.2,529.72,522.46
2023-06-22,528.31,945607,526.15,530.0,521.45
2023-06-21,525.95,1617847,524.99,530.45,522.76
2023-06-20,527.4,2115471,512.0,530.7934,507.15
2023-06-16,537.3,3427995,538.72,542.075,533.3955
2023-06-15,535.11,1723417,520.16,536.295,518.915
2023-06-14,520.12,1996530,527.83,528.03,518.66
2023-06-13,526.05,1328879,525.48,527.41,523.02
2023-06-12,523.69,1246177,519.99,524.74,516.67
2023-06-09,518.18,1041802,517.96,521.79,514.625
2023-06-08,515.25,1580511,520.65,522.75,515.16
2023-06-07,520.78,1649452,514.53,523.21,512.6
2023-06-06,516.26,1723023,522.0,523.19,512.7
2023-06-05,518.58,1477444,524.06,524.4593,513.42
2023-06-02,520.14,2564327,524.58,527.16,518.665
2023-06-01,519.38,1830129,513.13,521.65,508.51
2023-05-31,508.46,4052168,513.67,513.67,501.66
2023-05-30,514.22,1793841,523.82,526.44,513.11
