date,close,volume,open,high,low
2025-03-13,182.86,1552913,187.61,188.66,181.72
2025-03-12,187.04,1586672,185.24,188.96,183.1
2025-03-11,181.19,2097680,178.57,183.8,177.99
2025-03-10,178.44,3016914,180.18,182.18,175.85
2025-03-07,181.91,2635125,182.59,184.575,176.43
2025-03-06,181.98,1681983,183.96,186.56,180.64
2025-03-05,186.81,2375763,187.55,188.77,182.8997
2025-03-04,190.01,2695092,192.01,194.37,185.06
2025-03-03,195.68,1968671,202.74,205.61,194.5
2025-02-28,201.72,3502888,194.35,203.96,194.35
2025-02-27,195.54,1483227,198.85,199.69,194.05
2025-02-26,198.57,1470818,195.57,199.95,195.57
2025-02-25,194.92,2206733,198.35,198.35,188.65
2025-02-24,198.47,1481765,199.67,205.15,195.68
2025-02-21,200.36,2760258,203.81,204.63,198.5173
2025-02-20,204.7,2812380,201.77,205.81,195.42
2025-02-19,210.29,1842754,208.95,211.87,208.52
2025-02-18,209.45,1338430,206.0,209.785,205.72
2025-02-14,205.36,1181743,203.94,207.18,202.45
2025-02-13,204.42,1166166,200.31,205.13,199.43
2025-02-12,200.59,1425794,199.71,204.1599,199.05
2025-02-11,203.17,1477042,205.2,205.2,199.63
2025-02-10,205.97,1394146,203.0,208.53,202.86
2025-02-07,201.42,822034,199.68,203.18,197.845
2025-02-06,198.98,1280651,205.88,205.88,196.0
2025-02-05,204.44,1160078,201.56,204.85,200.65
2025-02-04,199.81,1129214,200.14,202.02,197.7001
2025-02-03,201.73,1432308,195.5,202.7888,195.08
2025-01-31,196.8,1722319,205.69,205.69,196.15
2025-01-30,205.21,1022667,205.21,206.095,203.22
2025-01-29,202.86,925872,201.79,207.4748,201.35
2025-01-28,202.37,1610878,200.49,203.28,199.13
2025-01-27,199.24,2002424,205.9,205.96,197.0
2025-01-24,209.07,1066086,210.06,213.19,208.59
2025-01-23,211.39,1042743,213.43,213.76,209.33
2025-01-22,211.27,1554582,218.19,218.51,208.63
2025-01-21,217.22,2239403,215.02,217.34,213.61
2025-01-17,215.72,1851610,212.68,217.02,210.14
2025-01-16,212.95,1908884,205.53,212.98,205.38
2025-01-15,205.5,1444795,203.9,205.82,202.67
2025-01-14,201.38,1625353,198.0,203.69,197.0
2025-01-13,197.47,1435844,193.34,198.2,193.0
2025-01-10,193.3,1800609,194.0,196.815,192.0
2025-01-08,191.98,1225605,187.79,192.07,187.03
2025-01-07,187.82,1588578,186.54,189.22,184.12
2025-01-06,186.16,1911379,187.97,187.97,184.71
2025-01-03,186.17,1156208,184.36,187.61,184.09
2025-01-02,183.06,1148081,180.17,183.305,179.28
2024-12-31,178.5,1254830,178.13,179.45,177.23
2024-12-30,177.76,1068699,177.06,178.82,175.28
2024-12-27,177.36,1017183,177.39,178.3,175.92
2024-12-26,177.9,982261,180.53,180.53,177.12
2024-12-24,180.72,675592,179.39,181.17,178.375
2024-12-23,178.37,1577970,176.33,178.58,173.53
2024-12-20,176.79,5128696,171.68,176.8,171.53
2024-12-19,172.53,3305905,174.41,176.94,171.19
2024-12-18,171.94,3150446,180.74,181.275,171.7
2024-12-17,181.22,2433624,181.28,181.84,177.85
2024-12-16,183.4,2537444,184.55,185.13,181.83
2024-12-13,184.62,996896,185.87,187.31,183.97
2024-12-12,185.57,1222809,186.79,187.455,184.96
2024-12-11,186.28,1707581,187.3,187.3,183.76
2024-12-10,185.34,1489494,187.85,189.04,184.74
2024-12-09,186.93,2305023,195.04,195.76,186.41
2024-12-06,194.34,1497397,197.61,197.98,192.495
2024-12-05,198.33,1263607,195.82,199.4491,195.385
2024-12-04,195.45,1490009,196.65,197.915,193.29
2024-12-03,197.13,1474785,195.54,198.245,194.61
2024-12-02,194.54,2137585,204.46,204.65,193.12
2024-11-29,204.3,826795,203.26,205.47,202.01
2024-11-27,201.39,1506355,203.91,204.54,201.22
2024-11-26,203.41,1733799,201.69,203.49,200.81
2024-11-25,201.06,3926880,208.94,209.0122,199.74
2024-11-22,207.31,1267090,208.25,209.87,206.525
2024-11-21,207.69,1175548,205.0,208.15,202.845
2024-11-20,202.84,1370639,204.81,205.2029,201.2
2024-11-19,203.57,2402650,197.39,203.67,197.12
2024-11-18,199.0,1758488,197.9,199.755,195.995
2024-11-15,196.04,1376500,190.4,196.21,190.01
2024-11-14,191.57,1536681,192.21,192.455,188.54
2024-11-13,193.0,1469775,194.29,194.8,191.74
2024-11-12,194.31,1123251,196.91,197.1399,192.9501
2024-11-11,194.96,1231867,193.8,196.6,192.5
2024-11-08,192.28,2372731,188.88,192.63,188.47
2024-11-07,187.79,1224161,185.3,188.22,183.6
2024-11-06,186.04,2885554,183.27,189.62,182.185
2024-11-05,177.4,2921699,168.47,178.59,167.54
2024-11-04,169.2,1111894,165.56,169.29,165.56
2024-11-01,165.27,1257957,168.34,168.57,164.36
2024-10-31,166.96,1257610,166.04,168.28,165.66
2024-10-30,166.63,1438626,164.33,167.62,164.23
2024-10-29,164.41,835771,164.59,165.01,163.15
2024-10-28,164.72,1990143,162.95,164.92,162.35
2024-10-25,165.96,2454740,169.87,169.9199,162.42
2024-10-24,168.57,1856530,166.59,169.59,166.04
2024-10-23,165.84,2730851,164.25,167.43,164.25
2024-10-22,165.12,1012058,162.04,165.65,161.345
2024-10-21,161.71,1075041,163.85,164.9,161.04
2024-10-18,162.75,843919,162.51,163.375,161.24
2024-10-17,161.92,1262387,164.08,165.38,161.625
2024-10-16,162.63,776313,161.93,163.29,161.03
2024-10-15,161.87,1927955,163.42,164.51,160.81
2024-10-14,166.66,1960725,165.0,167.79,165.0
2024-10-11,165.76,2355097,162.92,166.07,162.03
2024-10-10,162.52,1521398,163.22,163.47,160.2
2024-10-09,163.4,2637173,157.09,163.71,157.09
2024-10-08,158.29,1470128,157.36,158.84,155.48
2024-10-07,158.08,1887201,157.74,159.72,157.32
2024-10-04,158.02,1097144,156.77,158.12,155.8
2024-10-03,155.5,1026758,154.6,156.1791,153.12
2024-10-02,153.24,1432382,151.45,153.4,150.4375
2024-10-01,150.58,1423041,147.17,151.2,146.5457
2024-09-30,148.01,2020182,147.0,148.16,145.54
2024-09-27,146.8,2341546,146.37,147.43,144.3
2024-09-26,146.31,2084363,153.43,154.535,146.1
2024-09-25,155.55,941893,156.46,156.91,154.2929
2024-09-24,156.46,1915379,156.66,157.68,156.0
2024-09-23,155.53,2141596,153.2,155.78,153.2
2024-09-20,152.83,4283722,149.3,154.4,148.29
2024-09-19,152.21,1729607,154.34,154.8733,151.78
2024-09-18,152.19,1811887,152.55,154.24,151.64
2024-09-17,152.02,847410,150.42,152.2,150.21
2024-09-16,150.59,1186475,149.76,151.055,148.28
2024-09-13,148.19,833577,147.21,148.28,146.39
2024-09-12,146.72,1305143,145.17,148.22,144.9
2024-09-11,144.72,1650535,144.05,145.255,142.11
2024-09-10,144.18,2167542,144.42,145.2,143.155
2024-09-09,143.93,2859754,147.41,148.23,143.524
2024-09-06,146.75,1612464,149.99,150.915,145.04
2024-09-05,149.78,2139641,147.64,150.02,147.64
2024-09-04,147.15,2327661,151.65,152.42,146.2
2024-09-03,149.88,3130218,146.21,150.48,143.89
2024-08-30,146.9,2325456,145.0,147.02,145.0
2024-08-29,146.29,894215,144.89,146.68,143.64
2024-08-28,144.29,1223156,145.0,145.8298,144.16
2024-08-27,145.13,1207944,145.21,147.08,144.73
2024-08-26,145.47,1416473,145.55,146.21,143.7
2024-08-23,144.13,869714,143.65,144.21,142.715
2024-08-22,142.85,1363616,142.44,144.0,142.18
2024-08-21,142.31,1295122,142.5,143.2899,141.58
2024-08-20,141.6,928400,144.35,144.81,140.9
2024-08-19,144.49,1413418,142.42,144.835,142.42
2024-08-16,142.46,1530642,142.24,142.96,141.26
2024-08-15,142.83,2235735,141.48,142.91,140.74
2024-08-14,140.16,2106645,136.86,140.25,136.6
2024-08-13,136.6,2030005,136.89,137.075,135.5
2024-08-12,137.59,1886719,136.45,138.47,136.45
2024-08-09,135.69,1744611,136.72,137.145,135.16
2024-08-08,136.71,1905375,133.87,137.13,133.5
2024-08-07,133.24,3539331,133.55,137.49,133.15
2024-08-06,131.62,3240363,129.06,133.74,128.44
2024-08-05,127.86,2917066,126.19,128.3,122.56
2024-08-02,130.58,1766901,134.82,134.875,129.225
2024-08-01,136.1,2290379,135.35,139.35,134.3
2024-07-31,135.28,1560571,134.59,136.48,134.05
2024-07-30,134.14,1264119,133.23,134.74,132.615
2024-07-29,133.01,1084440,132.27,133.095,131.12
2024-07-26,131.57,1364845,132.36,133.07,131.25
2024-07-25,131.98,1588451,131.62,133.06,130.67
2024-07-24,131.62,1557445,136.05,136.375,131.53
2024-07-23,135.93,921512,137.1,137.75,135.69
2024-07-22,137.76,1399288,136.15,138.28,135.8828
2024-07-19,136.37,1552763,136.73,136.875,135.31
2024-07-18,136.17,1618570,134.0,136.535,133.43
2024-07-17,133.97,994711,135.0,136.725,133.72
2024-07-16,134.82,807573,134.89,135.15,133.83
2024-07-15,134.34,1150012,135.86,136.295,134.23
2024-07-12,135.05,990308,134.36,135.47,133.31
2024-07-11,133.61,879002,132.76,133.75,132.01
2024-07-10,132.89,728666,132.74,133.36,132.03
2024-07-09,132.41,1149716,132.0,133.63,131.52
2024-07-08,132.55,1004807,131.98,133.2499,131.72
2024-07-05,132.49,819053,133.29,133.35,131.81
2024-07-03,133.6,892813,131.76,133.78,131.11
2024-07-02,131.0,1238042,131.85,132.078,130.45
2024-07-01,131.27,1858132,129.98,131.32,127.96
2024-06-28,128.78,3430547,129.11,130.53,128.65
2024-06-27,128.58,2011230,128.0,128.89,127.82
2024-06-26,127.5,1617989,130.0,130.23,127.2
2024-06-25,129.83,1496883,128.04,129.88,127.29
2024-06-24,128.6,1439892,125.54,129.04,125.17
2024-06-21,125.1,3372550,129.68,129.68,124.85
2024-06-20,126.32,2152330,123.91,126.57,123.46
2024-06-18,123.44,1588785,122.24,123.79,121.64
2024-06-17,121.6,1582313,119.16,121.92,119.0
2024-06-14,119.0,1085787,119.84,120.245,118.93
2024-06-13,120.24,1273670,121.44,121.78,119.21
2024-06-12,121.48,1539780,121.99,122.24,120.17
2024-06-11,121.1,1178209,120.16,121.15,119.09
2024-06-10,119.91,1600085,118.25,120.48,117.88
2024-06-07,118.01,1043282,117.7,118.65,116.73
2024-06-06,117.98,1250653,117.91,118.46,117.01
2024-06-05,118.19,1288692,116.97,118.23,115.82
2024-06-04,116.73,1585218,115.56,116.965,114.5105
2024-06-03,116.53,1502036,118.23,118.63,114.64
2024-05-31,118.23,1859015,116.73,118.27,116.15
2024-05-30,116.58,1436094,114.73,116.67,114.73
2024-05-29,114.68,990582,115.27,115.83,114.355
2024-05-28,115.51,1458530,114.62,116.17,114.62
2024-05-24,114.28,928756,114.5,114.745,113.65
2024-05-23,113.85,1136566,115.45,116.2599,113.75
2024-05-22,114.92,1379509,117.0,117.54,114.17
2024-05-21,118.2,1112913,117.75,119.68,117.52
2024-05-20,117.55,867004,117.7,118.12,116.73
2024-05-17,117.67,1102149,116.75,117.945,116.32
2024-05-16,116.13,1270177,115.51,117.165,115.34
2024-05-15,115.58,1523874,114.0,115.97,113.655
2024-05-14,114.43,1279365,112.59,114.49,112.27
2024-05-13,112.91,1065561,113.42,113.95,112.73
2024-05-10,113.2,1541059,113.89,114.0,112.265
2024-05-09,113.59,1246557,112.63,113.715,112.3
2024-05-08,112.45,1195190,112.36,113.11,112.05
2024-05-07,112.83,1052974,112.95,113.52,112.535
2024-05-06,112.8,1346467,113.0,113.9,112.33
2024-05-03,112.31,1753022,113.25,113.33,110.09
2024-05-02,112.99,1874548,113.15,114.59,111.895
2024-05-01,112.41,2460736,113.86,114.44,111.405
2024-04-30,114.06,1809115,116.86,117.1,113.95
2024-04-29,117.2,1333795,116.72,117.34,116.32
2024-04-26,116.86,1602709,117.33,117.4,115.94
2024-04-25,117.68,1381425,117.01,117.87,115.78
2024-04-24,116.9,1367183,115.46,116.99,115.0
2024-04-23,116.01,1659509,113.69,116.32,113.11
2024-04-22,113.81,1584666,112.92,114.83,111.61
2024-04-19,112.92,1518526,112.03,113.94,112.0
2024-04-18,111.78,1756259,112.54,112.88,111.27
2024-04-17,112.23,2013188,114.27,114.4,111.81
2024-04-16,114.07,2175448,114.36,115.06,112.7175
2024-04-15,114.34,1899229,116.13,116.72,113.86
2024-04-12,114.69,2138635,116.28,117.61,114.12
2024-04-11,115.33,2178898,114.75,115.48,113.32
2024-04-10,114.68,2481507,113.79,115.68,113.22
2024-04-09,114.41,2238600,116.45,116.45,113.52
2024-04-08,115.97,1893416,115.93,116.92,115.09
2024-04-05,115.97,1177416,115.0,116.12,114.35
2024-04-04,114.36,1628119,116.44,116.7,113.75
2024-04-03,116.0,1710627,114.14,116.13,113.995
2024-04-02,113.29,1240569,112.5,113.33,111.925
2024-04-01,112.23,1116117,112.51,112.51,111.19
2024-03-28,111.99,1571188,111.77,112.2825,110.56
2024-03-27,111.05,1335008,110.88,111.98,110.26
2024-03-26,110.65,1556388,111.6,111.68,110.46
2024-03-25,111.61,1894781,111.25,112.5,111.01
2024-03-22,110.9,1828618,111.04,111.755,110.44
2024-03-21,111.01,1986501,109.17,111.13,109.125
2024-03-20,109.08,1538829,109.12,109.4503,108.65
2024-03-19,109.11,1912268,107.46,109.38,107.31
2024-03-18,107.36,1016357,106.53,107.44,106.04
2024-03-15,105.97,1930160,104.89,106.86,104.89
2024-03-14,105.64,1234382,106.31,106.87,104.92
2024-03-13,106.42,1120212,106.38,107.28,105.99
