date,close,volume,open,high,low
2025-03-13,163.99,1101002,167.02,167.665,162.4
2025-03-12,166.61,946090,172.53,172.785,164.75
2025-03-11,172.52,1225600,175.0,175.35,171.0
2025-03-10,174.55,1515853,171.14,179.55,171.14
2025-03-07,172.66,1876368,174.87,176.8,171.08
2025-03-06,175.42,1237186,177.11,179.16,173.09
2025-03-05,177.72,1194528,173.06,178.44,172.135
2025-03-04,173.3,1078246,176.26,177.01,171.49
2025-03-03,175.8,1075868,176.01,177.69,174.58
2025-02-28,175.25,2057120,170.61,175.31,165.99
2025-02-27,186.06,2144716,190.09,195.23,184.44
2025-02-26,180.12,1149937,187.53,188.11,178.96
2025-02-25,189.01,846059,181.8,189.61,181.8
2025-02-24,181.46,726728,181.05,181.5125,177.07
2025-02-21,180.03,760529,182.88,184.03,179.05
2025-02-20,184.17,742566,182.53,184.495,182.17
2025-02-19,183.42,941096,180.82,184.935,180.82
2025-02-18,183.04,590517,182.06,183.55,181.01
2025-02-14,181.54,392296,183.2,184.925,181.31
2025-02-13,182.81,1033647,179.42,182.88,176.22
2025-02-12,179.24,902198,184.1,184.31,177.58
2025-02-11,185.95,320015,184.9,186.655,184.45
2025-02-10,185.35,478705,188.16,188.16,181.29
2025-02-07,187.93,291646,189.54,190.26,186.89
2025-02-06,188.43,605730,193.52,194.41,186.19
2025-02-05,193.27,427091,194.09,195.53,192.08
2025-02-04,192.64,391748,189.46,192.77,189.2902
2025-02-03,190.71,481716,186.39,195.0,185.48
2025-01-31,188.56,369869,188.95,190.93,187.815
2025-01-30,189.29,321346,188.87,191.88,188.42
2025-01-29,187.18,403600,189.2,190.51,186.47
2025-01-28,188.71,514448,192.33,192.81,186.44
2025-01-27,191.27,453507,186.82,191.98,186.82
2025-01-24,185.77,721373,190.07,191.01,182.245
2025-01-23,189.9,672285,188.14,190.26,186.4
2025-01-22,187.03,304598,188.35,188.78,184.69
2025-01-21,188.78,404646,185.81,189.07,184.81
2025-01-17,184.8,378442,184.3,185.51,183.4
2025-01-16,184.06,363146,183.31,185.185,181.96
2025-01-15,183.59,332513,187.21,187.21,183.1
2025-01-14,184.16,390111,185.93,185.97,180.63
2025-01-13,185.74,429723,181.75,185.75,180.75
2025-01-10,182.93,767477,188.89,190.7712,180.62
2025-01-08,190.33,786366,185.19,190.94,183.7175
2025-01-07,186.0,667795,182.78,187.19,182.465
2025-01-06,181.06,553268,179.67,183.22,179.67
2025-01-03,178.89,407531,180.0,180.09,174.1
2025-01-02,179.67,301109,180.98,182.03,179.15
2024-12-31,179.42,298847,179.1,180.145,178.045
2024-12-30,178.37,320518,179.91,180.46,176.4185
2024-12-27,180.46,355464,178.99,181.62,177.48
2024-12-26,181.13,242866,180.52,181.45,180.085
2024-12-24,181.22,127193,180.09,181.22,179.64
2024-12-23,180.72,443591,179.34,180.86,178.67
2024-12-20,180.11,1272916,176.31,181.085,175.975
2024-12-19,175.8,1406980,177.02,178.81,175.35
2024-12-18,177.53,926041,183.76,185.16,177.02
2024-12-17,182.6,701367,182.53,184.3825,180.85
2024-12-16,184.16,902852,185.0,188.0,183.51
2024-12-13,187.4,498144,186.41,187.99,186.055
2024-12-12,186.44,628452,191.16,193.0,185.93
2024-12-11,190.71,343471,193.3,193.3,189.76
2024-12-10,191.7,458068,192.26,193.82,188.72
2024-12-09,192.85,500499,194.53,195.87,192.09
2024-12-06,194.22,569535,196.62,198.02,192.44
2024-12-05,196.05,441090,199.12,199.17,195.68
2024-12-04,199.12,563143,199.0,200.17,197.93
2024-12-03,198.34,453780,203.36,203.72,198.13
2024-12-02,201.06,726431,203.13,204.43,200.54
2024-11-29,205.0,375780,202.48,205.25,201.96
2024-11-27,203.5,566569,206.01,208.44,202.055
2024-11-26,206.09,986726,199.59,206.71,198.12
