date,close,volume,open,high,low
2025-03-13,176.25,1175896,174.81,176.99,174.36
2025-03-12,176.0,802384,178.39,178.39,174.755
2025-03-11,175.92,1413805,175.59,178.0856,174.27
2025-03-10,175.5,1488924,176.06,178.08,173.97
2025-03-07,179.29,1285279,176.45,179.92,173.33
2025-03-06,177.59,1020185,177.23,180.69,176.67
2025-03-05,179.89,1188803,179.0,181.16,177.34
2025-03-04,177.65,1501036,179.15,180.04,172.5841
2025-03-03,181.65,1341894,187.1,187.65,180.09
2025-02-28,185.36,1676353,182.15,185.69,181.38
2025-02-27,181.19,1130390,183.0,184.63,180.82
2025-02-26,183.0,1490704,183.55,185.66,182.415
2025-02-25,182.05,1829185,182.55,183.09,180.05
2025-02-24,182.0,2036281,185.84,186.13,181.2
2025-02-21,184.63,1381625,192.31,192.34,183.54
2025-02-20,192.11,1153590,192.57,193.28,190.4332
2025-02-19,193.32,1591734,187.5,193.69,186.28
2025-02-18,188.28,1303295,187.78,188.55,185.03
2025-02-14,188.19,1949404,195.72,196.214,187.31
2025-02-13,196.48,1879439,190.64,197.97,190.2425
2025-02-12,189.27,4113514,192.0,192.99,183.35
2025-02-11,208.12,1431417,207.97,209.39,206.39
2025-02-10,208.37,1140291,207.6,209.06,206.55
2025-02-07,206.8,523851,208.72,209.145,206.36
2025-02-06,207.49,762108,208.47,208.88,205.62
2025-02-05,207.24,691239,207.27,207.76,205.04
2025-02-04,206.09,1030018,205.87,208.49,204.63
2025-02-03,204.64,911973,203.72,207.08,201.75
2025-01-31,207.92,783739,210.22,210.83,206.99
2025-01-30,209.86,547270,208.17,210.88,206.83
2025-01-29,206.81,760192,205.56,207.82,204.8
2025-01-28,205.06,724437,204.08,205.84,203.1418
2025-01-27,204.33,1035563,205.41,207.12,203.83
2025-01-24,208.86,536041,208.99,209.92,208.15
2025-01-23,208.99,606026,206.87,209.6677,205.7401
2025-01-22,206.98,917068,206.74,207.7,205.225
2025-01-21,205.65,927049,202.7,205.71,202.7
2025-01-17,201.69,944684,199.54,202.61,196.84
2025-01-16,199.35,939750,201.12,201.78,198.72
2025-01-15,200.29,1221588,201.0,202.26,199.75
2025-01-14,198.1,1258664,193.27,199.25,193.2
2025-01-13,191.84,992509,187.25,191.96,187.25
2025-01-10,188.87,761349,189.25,190.33,187.07
2025-01-08,191.27,946719,189.03,191.71,186.9
2025-01-07,189.14,1062246,192.0,192.78,188.44
2025-01-06,192.23,976059,191.46,193.3593,190.85
2025-01-03,190.45,822177,189.46,191.5974,189.46
2025-01-02,188.97,1059355,191.56,191.56,187.73
2024-12-31,189.59,559441,191.33,192.44,189.22
2024-12-30,190.95,673992,190.0,191.945,188.13
2024-12-27,192.0,664865,192.1,193.74,190.3101
2024-12-26,193.86,595624,193.36,194.11,192.14
2024-12-24,194.16,321609,191.62,194.26,190.8155
2024-12-23,191.45,785202,192.09,192.98,190.1
2024-12-20,193.03,4334889,188.91,194.23,188.62
2024-12-19,189.56,1157604,192.19,193.365,189.08
2024-12-18,190.27,1404499,198.4,198.83,190.08
2024-12-17,198.19,1187184,201.16,203.215,197.46
2024-12-16,202.3,1288994,199.75,202.8,198.76
2024-12-13,199.68,840057,201.83,203.71,199.31
2024-12-12,201.97,1210087,204.01,204.31,201.61
2024-12-11,203.85,1123207,204.66,206.05,203.59
2024-12-10,202.87,1285316,201.9,205.98,199.815
2024-12-09,202.69,3422180,205.59,207.51,202.24
2024-12-06,205.41,1990143,203.0,205.53,202.205
2024-12-05,202.93,1156345,202.45,203.76,202.05
2024-12-04,202.7,897360,200.33,202.88,199.09
2024-12-03,200.35,1734580,200.15,200.595,197.8401
2024-12-02,199.78,721617,200.95,201.43,199.15
2024-11-29,200.62,720997,200.05,202.0,199.66
2024-11-27,200.04,606264,201.31,203.04,198.79
2024-11-26,201.71,733692,198.14,202.125,197.89
2024-11-25,199.28,1113996,199.22,200.45,197.4779
2024-11-22,199.15,519089,198.55,199.34,198.01
2024-11-21,198.03,693291,195.57,198.59,193.87
2024-11-20,194.43,877283,196.49,197.34,193.33
2024-11-19,196.12,614097,193.45,196.2,192.89
2024-11-18,195.46,661078,195.18,196.4996,194.3112
2024-11-15,195.17,945432,195.39,196.975,194.63
2024-11-14,196.71,716813,198.84,199.44,195.59
2024-11-13,198.84,876743,200.4,200.47,198.28
2024-11-12,199.28,650629,201.66,201.76,198.37
2024-11-11,201.17,736732,202.28,202.84,200.8
2024-11-08,200.69,746298,198.11,202.33,198.11
2024-11-07,198.72,689470,200.85,201.3799,198.53
2024-11-06,200.4,1462964,200.94,202.185,197.74
2024-11-05,192.7,1212313,189.06,193.0,188.3
2024-11-04,188.8,681058,186.87,189.09,186.695
2024-11-01,186.84,771052,188.15,189.3,186.69
2024-10-31,187.98,896562,188.24,189.365,186.85
2024-10-30,189.33,884229,188.67,189.91,187.6
2024-10-29,190.09,1035393,190.18,191.89,189.785
2024-10-28,190.85,916111,189.3,192.37,189.3
2024-10-25,188.76,1147096,190.0,190.97,188.21
2024-10-24,189.08,1397203,188.86,189.27,186.34
